Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,24.96,24.96,24.48,24.61,11200,24.61
2014-06-12,24.50,24.90,24.26,24.81,15000,24.81
2014-06-11,24.89,25.05,24.58,24.61,12100,24.61
2014-06-10,25.61,25.61,25.13,25.22,11200,25.22
2014-06-09,25.14,25.65,25.14,25.62,15800,25.62
2014-06-06,25.15,25.84,25.10,25.38,23900,25.38
2014-06-05,24.02,25.14,24.02,25.10,17700,25.10
2014-06-04,23.95,24.42,23.90,24.05,51000,24.05
2014-06-03,23.72,24.49,23.72,24.17,49800,24.17
2014-06-02,24.04,24.17,23.69,23.99,20100,23.99
2014-05-30,24.44,24.57,24.07,24.23,13800,24.23
2014-05-29,24.78,24.82,24.25,24.33,33500,24.33
2014-05-28,24.69,24.71,24.55,24.61,11600,24.61
2014-05-27,24.79,25.22,24.74,24.86,18300,24.86
2014-05-23,23.90,24.57,23.85,24.57,18500,24.57
2014-05-22,23.33,24.00,23.33,23.84,19000,23.84
2014-05-21,23.45,23.65,23.30,23.34,29400,23.34
2014-05-20,23.91,24.00,23.27,23.59,86500,23.49
2014-05-19,23.68,24.25,23.66,24.07,47200,23.97
2014-05-16,23.32,23.88,23.28,23.71,40100,23.61
2014-05-15,23.21,23.72,22.38,23.44,109500,23.34
2014-05-14,24.18,24.28,23.45,23.49,47000,23.39
2014-05-13,24.84,25.00,24.31,24.43,73300,24.33
2014-05-12,24.26,25.19,24.26,25.03,22700,24.92
2014-05-09,23.72,24.53,23.72,24.39,13600,24.29
2014-05-08,23.95,24.22,23.83,23.90,16800,23.80
2014-05-07,24.08,24.36,23.71,23.95,25000,23.85
2014-05-06,24.03,24.70,23.77,23.81,38000,23.71
2014-05-05,24.08,24.42,24.00,24.04,49400,23.94
2014-05-02,23.86,24.74,23.86,24.35,49900,24.25
2014-05-01,24.16,24.28,23.55,23.84,68300,23.74
2014-04-30,24.35,24.64,24.01,24.30,42400,24.20
2014-04-29,24.39,25.50,24.35,24.35,41400,24.25
2014-04-28,25.55,25.63,24.39,24.39,21700,24.29
2014-04-25,25.31,25.42,25.15,25.16,39800,25.05
2014-04-24,25.33,25.53,25.26,25.36,17700,25.25
2014-04-23,25.34,25.65,25.25,25.33,14500,25.22
2014-04-22,25.51,25.83,25.27,25.48,11800,25.37
2014-04-21,25.30,25.76,25.21,25.71,16200,25.60
2014-04-17,25.51,25.82,25.14,25.43,44600,25.32
2014-04-16,25.80,25.80,25.17,25.67,9900,25.56
2014-04-15,25.10,25.57,24.76,25.52,43900,25.41
2014-04-14,25.68,25.87,25.01,25.25,26600,25.14
2014-04-11,25.56,26.09,25.33,25.34,23800,25.23
2014-04-10,26.58,26.58,25.73,25.86,23700,25.75
2014-04-09,26.75,26.89,26.40,26.70,27200,26.59
2014-04-08,27.27,27.71,26.71,26.75,22100,26.64
2014-04-07,27.15,27.67,26.60,27.13,33400,27.01
2014-04-04,28.00,28.09,26.72,27.18,39500,27.06
2014-04-03,27.94,28.27,27.83,28.02,22800,27.90
2014-04-02,27.99,28.18,27.76,28.00,27400,27.88
2014-04-01,27.10,28.21,27.10,28.02,23900,27.90
2014-03-31,26.98,27.36,26.55,26.99,30900,26.88
2014-03-28,27.06,27.23,26.39,26.74,20600,26.63
2014-03-27,27.32,27.61,27.02,27.09,19500,26.98
2014-03-26,28.10,28.10,27.03,27.38,24200,27.26
2014-03-25,27.17,28.09,27.17,27.81,18800,27.69
2014-03-24,27.35,27.98,27.35,27.81,21900,27.69
2014-03-21,27.07,27.69,26.91,27.22,85400,27.10
2014-03-20,27.05,27.64,26.58,27.07,18500,26.96
2014-03-19,26.92,27.15,26.58,27.00,10100,26.89
2014-03-18,26.71,27.04,26.55,26.90,15100,26.79
2014-03-17,26.63,26.75,26.42,26.61,13600,26.50
2014-03-14,26.58,26.74,26.30,26.48,28700,26.37
2014-03-13,27.10,27.23,26.50,26.64,25900,26.53
2014-03-12,27.18,27.44,26.45,27.03,31800,26.92
2014-03-11,28.19,28.33,27.13,27.27,35800,27.15
2014-03-10,27.75,28.15,26.82,28.10,24500,27.98
2014-03-07,28.00,28.04,27.58,27.90,26400,27.78
2014-03-06,27.58,27.91,27.46,27.89,24300,27.77
2014-03-05,27.50,27.79,27.24,27.62,20300,27.50
2014-03-04,26.97,28.00,26.96,27.60,62700,27.48
2014-03-03,26.60,26.80,26.23,26.69,22200,26.58
2014-02-28,26.81,27.47,26.62,26.90,48200,26.79
2014-02-27,26.61,26.84,26.21,26.83,19200,26.72
2014-02-26,26.27,26.79,26.08,26.62,17100,26.51
2014-02-25,26.40,26.63,26.12,26.20,19700,26.09
2014-02-24,26.14,27.06,26.14,26.48,24300,26.37
2014-02-21,25.96,26.85,25.96,26.22,40000,26.11
2014-02-20,25.67,26.16,25.50,25.78,13100,25.67
2014-02-19,26.27,26.27,25.67,25.72,29700,25.61
2014-02-18,26.07,26.71,25.36,26.47,30500,26.26
2014-02-14,26.10,26.10,25.42,25.89,18300,25.68
2014-02-13,26.11,26.17,25.38,26.05,15200,25.84
2014-02-12,25.52,26.27,25.52,26.08,49000,25.87
2014-02-11,25.09,25.67,24.99,25.45,17100,25.25
2014-02-10,24.96,25.06,24.35,24.97,26400,24.77
2014-02-07,25.07,25.07,24.55,24.89,27400,24.69
2014-02-06,24.89,25.03,24.77,24.93,21100,24.73
2014-02-05,24.92,25.14,24.65,24.89,35900,24.69
2014-02-04,24.72,25.23,24.46,24.98,80800,24.78
2014-02-03,25.20,25.20,24.17,24.52,82700,24.32
2014-01-31,25.26,25.71,25.15,25.19,42000,24.99
2014-01-30,25.54,25.98,25.29,25.64,38600,25.43
2014-01-29,25.76,26.23,25.31,25.34,50300,25.14
2014-01-28,26.34,26.34,25.93,26.12,69000,25.91
2014-01-27,26.02,27.04,25.75,26.13,53500,25.92
2014-01-24,25.55,25.88,25.35,25.84,50500,25.63
2014-01-23,26.25,26.25,25.38,25.75,66100,25.54
2014-01-22,26.14,26.68,26.06,26.41,27600,26.20
2014-01-21,26.10,26.76,25.85,26.04,16100,25.83
2014-01-17,25.74,26.00,25.65,25.92,22700,25.71
2014-01-16,25.81,25.85,25.41,25.70,24800,25.49
2014-01-15,25.79,26.32,25.50,25.77,56900,25.56
2014-01-14,25.64,25.95,25.31,25.77,59700,25.56
2014-01-13,26.34,26.36,25.51,25.64,53000,25.43
2014-01-10,26.84,26.84,26.40,26.49,29200,26.28
2014-01-09,27.00,27.00,26.75,26.77,27400,26.56
2014-01-08,27.42,27.42,26.85,26.90,47900,26.68
2014-01-07,27.11,27.62,27.07,27.37,23000,27.15
2014-01-06,27.47,27.47,26.82,27.09,65300,26.87
2014-01-03,27.69,27.80,27.02,27.27,45900,27.05
2014-01-02,28.76,28.76,27.62,27.67,66400,27.45
2013-12-31,29.20,29.20,28.68,28.79,50000,28.56
2013-12-30,29.18,29.18,28.91,29.15,14900,28.92
2013-12-27,29.31,29.32,29.03,29.20,10100,28.97
2013-12-26,29.50,29.57,29.13,29.18,27800,28.95
2013-12-24,29.42,29.51,29.23,29.33,10200,29.10
2013-12-23,28.93,29.36,28.71,29.26,56800,29.03
2013-12-20,28.97,28.97,28.59,28.76,262900,28.53
2013-12-19,29.00,29.13,28.61,28.85,38800,28.62
2013-12-18,29.00,29.15,28.65,29.00,71000,28.77
2013-12-17,29.15,29.15,28.79,28.90,14600,28.67
2013-12-16,28.99,29.42,28.90,29.15,62100,28.92
2013-12-13,28.74,29.15,28.35,28.96,24400,28.73
2013-12-12,28.16,29.10,28.16,28.60,34200,28.37
2013-12-11,28.73,28.75,28.15,28.17,39900,27.94
2013-12-10,29.14,29.47,28.59,28.65,32600,28.42
2013-12-09,29.41,29.41,29.00,29.10,23900,28.87
2013-12-06,29.35,29.50,28.87,29.31,64100,29.08
2013-12-05,28.87,29.17,28.80,29.00,22200,28.77
2013-12-04,28.92,29.24,28.81,28.95,19000,28.72
2013-12-03,29.13,29.66,28.87,29.07,26000,28.84
2013-12-02,29.86,29.92,29.09,29.25,44500,29.02
2013-11-29,29.88,30.06,29.33,29.81,13100,29.57
2013-11-27,29.08,29.62,28.92,29.62,33000,29.38
2013-11-26,28.63,29.28,28.58,29.00,20700,28.77
2013-11-25,28.64,28.86,28.51,28.51,21400,28.28
2013-11-22,28.26,28.65,27.90,28.46,48300,28.23
2013-11-21,27.60,28.33,27.60,28.26,30400,28.03
2013-11-20,27.67,27.67,27.28,27.47,23600,27.25
2013-11-19,27.19,28.04,27.19,27.58,24200,27.26
2013-11-18,27.09,27.49,26.43,27.23,27500,26.91
2013-11-15,27.10,27.10,26.74,26.96,70300,26.65
2013-11-14,26.90,27.34,26.86,27.02,42200,26.71
2013-11-13,26.95,27.15,26.70,27.00,58500,26.69
2013-11-12,27.05,27.22,26.74,27.05,38200,26.74
2013-11-11,26.99,27.46,26.64,27.06,22600,26.75
2013-11-08,26.32,27.64,26.32,27.03,42700,26.72
2013-11-07,26.65,26.65,26.00,26.18,16700,25.88
2013-11-06,26.62,26.68,26.46,26.59,6700,26.28
2013-11-05,26.36,26.75,26.01,26.37,22500,26.06
2013-11-04,26.48,26.83,26.05,26.41,33700,26.10
2013-11-01,26.40,26.76,26.06,26.46,62400,26.15
2013-10-31,26.82,27.18,26.47,26.49,143400,26.18
2013-10-30,27.25,27.25,26.83,26.84,23800,26.53
2013-10-29,27.80,27.84,26.59,27.19,58100,26.87
2013-10-28,28.41,28.60,28.12,28.41,25800,28.08
2013-10-25,29.16,29.28,28.50,28.56,27500,28.23
2013-10-24,28.54,29.11,28.20,29.02,16900,28.68
