Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,0.45,0.53,0.43,0.50,1032000,0.50
2014-06-12,0.41,0.45,0.41,0.44,138900,0.44
2014-06-11,0.45,0.45,0.42,0.44,107100,0.44
2014-06-10,0.41,0.43,0.41,0.42,152000,0.42
2014-06-09,0.41,0.42,0.41,0.41,81800,0.41
2014-06-06,0.43,0.43,0.40,0.41,100600,0.41
2014-06-05,0.40,0.43,0.39,0.41,336300,0.41
2014-06-04,0.43,0.45,0.38,0.41,300700,0.41
2014-06-03,0.44,0.45,0.43,0.43,24500,0.43
2014-06-02,0.43,0.46,0.42,0.43,56000,0.43
2014-05-30,0.45,0.47,0.43,0.43,95400,0.43
2014-05-29,0.43,0.44,0.43,0.44,55900,0.44
2014-05-28,0.44,0.45,0.44,0.44,54200,0.44
2014-05-27,0.45,0.47,0.44,0.44,106600,0.44
2014-05-23,0.44,0.46,0.44,0.46,199900,0.46
2014-05-22,0.43,0.48,0.43,0.46,133200,0.46
2014-05-21,0.44,0.46,0.42,0.44,126500,0.44
2014-05-20,0.45,0.47,0.43,0.44,172300,0.44
2014-05-19,0.49,0.49,0.45,0.46,109900,0.46
2014-05-16,0.49,0.49,0.42,0.47,255100,0.47
2014-05-15,0.50,0.50,0.43,0.47,112000,0.47
2014-05-14,0.41,0.46,0.41,0.45,122400,0.45
2014-05-13,0.46,0.47,0.43,0.44,34500,0.44
2014-05-12,0.46,0.47,0.42,0.46,98300,0.46
2014-05-09,0.43,0.45,0.42,0.43,65700,0.43
2014-05-08,0.42,0.44,0.41,0.42,98400,0.42
2014-05-07,0.45,0.46,0.42,0.43,53300,0.43
2014-05-06,0.46,0.48,0.44,0.44,90500,0.44
2014-05-05,0.44,0.47,0.42,0.46,206900,0.46
2014-05-02,0.48,0.48,0.40,0.42,601700,0.42
2014-05-01,0.50,0.50,0.47,0.47,107100,0.47
2014-04-30,0.50,0.51,0.47,0.47,46400,0.47
2014-04-29,0.50,0.51,0.47,0.47,102600,0.47
2014-04-28,0.53,0.54,0.45,0.50,108800,0.50
2014-04-25,0.50,0.51,0.43,0.50,258200,0.50
2014-04-24,0.45,0.49,0.45,0.47,136800,0.47
2014-04-23,0.46,0.46,0.44,0.45,113700,0.45
2014-04-22,0.48,0.48,0.44,0.47,130200,0.47
2014-04-21,0.46,0.48,0.44,0.48,192600,0.48
2014-04-17,0.51,0.53,0.43,0.46,468200,0.46
2014-04-16,0.52,0.55,0.50,0.51,112500,0.51
2014-04-15,0.57,0.58,0.50,0.51,436800,0.51
2014-04-14,0.52,0.57,0.48,0.56,855500,0.56
2014-04-11,0.52,0.54,0.52,0.52,147200,0.52
2014-04-10,0.52,0.54,0.52,0.52,201600,0.52
2014-04-09,0.52,0.56,0.52,0.52,370500,0.52
2014-04-08,0.53,0.55,0.51,0.53,298700,0.53
2014-04-07,0.55,0.57,0.52,0.54,252700,0.54
2014-04-04,0.54,0.56,0.52,0.54,169800,0.54
2014-04-03,0.56,0.56,0.52,0.55,310100,0.55
2014-04-02,0.56,0.57,0.55,0.56,92400,0.56
2014-04-01,0.55,0.58,0.51,0.56,571200,0.56
2014-03-31,0.65,0.65,0.55,0.55,784000,0.55
2014-03-28,0.67,0.68,0.63,0.63,506600,0.63
2014-03-27,0.64,0.68,0.64,0.66,214500,0.66
2014-03-26,0.73,0.73,0.64,0.64,591000,0.64
2014-03-25,0.65,0.72,0.61,0.69,1675300,0.69
2014-03-24,0.65,0.65,0.59,0.63,376100,0.63
2014-03-21,0.67,0.67,0.58,0.65,846800,0.65
2014-03-20,0.60,0.67,0.55,0.64,1540400,0.64
2014-03-19,0.62,0.67,0.58,0.61,905800,0.61
2014-03-18,0.54,0.65,0.53,0.63,1976000,0.63
2014-03-17,0.54,0.59,0.51,0.52,903600,0.52
2014-03-14,0.51,0.53,0.46,0.50,798200,0.50
2014-03-13,0.60,0.60,0.53,0.55,468400,0.55
2014-03-12,0.63,0.64,0.52,0.57,759200,0.57
2014-03-11,0.74,0.75,0.56,0.56,2384300,0.56
2014-03-10,0.64,0.74,0.55,0.71,5765300,0.71
2014-03-07,0.39,0.61,0.37,0.59,6785000,0.59
2014-03-06,0.37,0.40,0.37,0.39,175200,0.39
2014-03-05,0.36,0.38,0.36,0.38,144500,0.38
2014-03-04,0.39,0.39,0.36,0.37,197300,0.37
2014-03-03,0.40,0.40,0.38,0.38,187000,0.38
2014-02-28,0.36,0.40,0.36,0.38,121800,0.38
2014-02-27,0.38,0.39,0.36,0.36,117700,0.36
2014-02-26,0.39,0.39,0.37,0.39,137200,0.39
2014-02-25,0.39,0.39,0.37,0.39,93300,0.39
2014-02-24,0.39,0.39,0.37,0.39,64100,0.39
2014-02-21,0.40,0.40,0.38,0.38,271300,0.38
2014-02-20,0.37,0.39,0.36,0.38,243900,0.38
2014-02-19,0.36,0.38,0.34,0.35,121900,0.35
2014-02-18,0.42,0.42,0.36,0.36,244100,0.36
2014-02-14,0.36,0.42,0.35,0.38,427600,0.38
2014-02-13,0.33,0.36,0.31,0.36,235100,0.36
2014-02-12,0.34,0.36,0.33,0.33,235600,0.33
2014-02-11,0.35,0.37,0.34,0.34,181700,0.34
2014-02-10,0.37,0.37,0.35,0.36,195300,0.36
2014-02-07,0.37,0.38,0.35,0.37,191500,0.37
2014-02-06,0.34,0.37,0.34,0.35,136800,0.35
2014-02-05,0.34,0.35,0.33,0.34,132500,0.34
2014-02-04,0.34,0.35,0.33,0.34,232600,0.34
2014-02-03,0.35,0.37,0.34,0.34,309200,0.34
2014-01-31,0.41,0.41,0.35,0.37,415700,0.37
2014-01-30,0.40,0.43,0.39,0.40,569100,0.40
2014-01-29,0.43,0.43,0.40,0.40,582300,0.40
2014-01-28,0.36,0.45,0.36,0.43,2035200,0.43
2014-01-27,0.37,0.38,0.35,0.36,689400,0.36
2014-01-24,0.32,0.36,0.31,0.36,1288900,0.36
2014-01-23,0.33,0.33,0.30,0.32,181500,0.32
2014-01-22,0.33,0.34,0.31,0.33,205000,0.33
2014-01-21,0.29,0.34,0.29,0.34,1757500,0.34
2014-01-17,0.29,0.30,0.27,0.30,339300,0.30
2014-01-16,0.27,0.28,0.26,0.28,241900,0.28
2014-01-15,0.28,0.28,0.27,0.28,163200,0.28
2014-01-14,0.28,0.28,0.25,0.28,231800,0.28
2014-01-13,0.28,0.30,0.26,0.26,387700,0.26
2014-01-10,0.26,0.29,0.26,0.28,499500,0.28
2014-01-09,0.26,0.26,0.26,0.26,126200,0.26
2014-01-08,0.25,0.26,0.25,0.26,98800,0.26
2014-01-07,0.26,0.27,0.24,0.25,480000,0.25
2014-01-06,0.26,0.26,0.26,0.26,45200,0.26
2014-01-03,0.26,0.27,0.25,0.26,97400,0.26
2014-01-02,0.25,0.26,0.25,0.26,68100,0.26
2013-12-31,0.26,0.27,0.25,0.25,308200,0.25
2013-12-30,0.25,0.26,0.25,0.25,245500,0.25
2013-12-27,0.26,0.26,0.25,0.25,163700,0.25
2013-12-26,0.25,0.26,0.25,0.26,157100,0.26
2013-12-24,0.24,0.25,0.24,0.25,116700,0.25
2013-12-23,0.26,0.27,0.23,0.24,918600,0.24
2013-12-20,0.27,0.28,0.25,0.26,148100,0.26
2013-12-19,0.27,0.27,0.25,0.26,60700,0.26
2013-12-18,0.26,0.27,0.26,0.26,98900,0.26
2013-12-17,0.28,0.28,0.26,0.27,69500,0.27
2013-12-16,0.26,0.27,0.26,0.27,151600,0.27
2013-12-13,0.30,0.30,0.28,0.28,64600,0.28
2013-12-12,0.28,0.28,0.28,0.28,77200,0.28
2013-12-11,0.29,0.29,0.28,0.28,83600,0.28
2013-12-10,0.28,0.30,0.28,0.28,90600,0.28
2013-12-09,0.30,0.30,0.28,0.28,107800,0.28
2013-12-06,0.30,0.30,0.28,0.28,188000,0.28
2013-12-05,0.30,0.30,0.28,0.30,255300,0.30
2013-12-04,0.28,0.30,0.28,0.30,106600,0.30
2013-12-03,0.30,0.30,0.28,0.29,101300,0.29
2013-12-02,0.29,0.31,0.28,0.30,170500,0.30
2013-11-29,0.28,0.30,0.28,0.29,62800,0.29
2013-11-27,0.29,0.30,0.28,0.28,125300,0.28
2013-11-26,0.30,0.30,0.29,0.30,29200,0.30
2013-11-25,0.30,0.31,0.28,0.28,97300,0.28
2013-11-22,0.31,0.31,0.29,0.30,282600,0.30
2013-11-21,0.30,0.31,0.28,0.30,220700,0.30
2013-11-20,0.27,0.32,0.27,0.30,826400,0.30
2013-11-19,0.26,0.28,0.26,0.27,70100,0.27
2013-11-18,0.28,0.28,0.25,0.27,130100,0.27
2013-11-15,0.26,0.28,0.25,0.26,329800,0.26
2013-11-14,0.29,0.29,0.27,0.28,207700,0.28
2013-11-13,0.28,0.29,0.27,0.28,211800,0.28
2013-11-12,0.29,0.29,0.27,0.28,68100,0.28
2013-11-11,0.27,0.29,0.27,0.28,262100,0.28
2013-11-08,0.26,0.28,0.26,0.26,195100,0.26
2013-11-07,0.27,0.27,0.26,0.27,61900,0.27
2013-11-06,0.27,0.27,0.26,0.26,240800,0.26
2013-11-05,0.28,0.29,0.26,0.27,311300,0.27
2013-11-04,0.26,0.27,0.26,0.27,102500,0.27
2013-11-01,0.26,0.26,0.25,0.26,262000,0.26
2013-10-31,0.27,0.27,0.26,0.26,267000,0.26
2013-10-30,0.27,0.27,0.26,0.27,77000,0.27
2013-10-29,0.27,0.28,0.26,0.27,146100,0.27
2013-10-28,0.28,0.29,0.27,0.27,350000,0.27
2013-10-25,0.28,0.28,0.27,0.27,347400,0.27
2013-10-24,0.29,0.29,0.28,0.28,181000,0.28
2013-10-23,0.30,0.30,0.27,0.29,169600,0.29
2013-10-22,0.30,0.30,0.28,0.28,205800,0.28
2013-10-21,0.30,0.30,0.29,0.30,205500,0.30
2013-10-18,0.30,0.31,0.29,0.30,259300,0.30
2013-10-17,0.30,0.32,0.30,0.30,135600,0.30
2013-10-16,0.30,0.32,0.29,0.29,309500,0.29
2013-10-15,0.31,0.32,0.30,0.30,71300,0.30
2013-10-14,0.33,0.33,0.30,0.30,335800,0.30
2013-10-11,0.32,0.33,0.30,0.33,118000,0.33
2013-10-10,0.30,0.33,0.29,0.32,246500,0.32
2013-10-09,0.29,0.31,0.28,0.30,162400,0.30
2013-10-08,0.31,0.31,0.29,0.30,99100,0.30
2013-10-07,0.31,0.31,0.29,0.29,191000,0.29
2013-10-04,0.32,0.34,0.30,0.31,386200,0.31
2013-10-03,0.29,0.35,0.28,0.33,929300,0.33
2013-10-02,0.28,0.28,0.27,0.28,149900,0.28
2013-10-01,0.29,0.29,0.27,0.28,272900,0.28
2013-09-30,0.29,0.30,0.29,0.29,165200,0.29
2013-09-27,0.30,0.30,0.29,0.30,57600,0.30
2013-09-26,0.30,0.30,0.30,0.30,54500,0.30
2013-09-25,0.31,0.31,0.30,0.30,99400,0.30
2013-09-24,0.31,0.31,0.30,0.30,85400,0.30
2013-09-23,0.32,0.32,0.30,0.31,37000,0.31
2013-09-20,0.30,0.31,0.29,0.31,264700,0.31
2013-09-19,0.30,0.31,0.30,0.30,146300,0.30
2013-09-18,0.30,0.32,0.30,0.30,76200,0.30
2013-09-17,0.33,0.33,0.30,0.30,111900,0.30
2013-09-16,0.31,0.33,0.30,0.32,110300,0.32
2013-09-13,0.32,0.32,0.30,0.31,83400,0.31
2013-09-12,0.31,0.32,0.30,0.31,89700,0.31
2013-09-11,0.30,0.32,0.30,0.30,18800,0.30
2013-09-10,0.31,0.33,0.30,0.30,258000,0.30
2013-09-09,0.31,0.34,0.30,0.32,116900,0.32
2013-09-06,0.30,0.33,0.30,0.32,98000,0.32
2013-09-05,0.31,0.31,0.30,0.30,97800,0.30
2013-09-04,0.31,0.32,0.30,0.31,36400,0.31
2013-09-03,0.30,0.31,0.30,0.30,237300,0.30
2013-08-30,0.31,0.33,0.30,0.30,111100,0.30
2013-08-29,0.34,0.34,0.32,0.32,153700,0.32
2013-08-28,0.31,0.34,0.30,0.33,922900,0.33
2013-08-27,0.30,0.31,0.30,0.30,101400,0.30
2013-08-26,0.32,0.33,0.30,0.30,101300,0.30
2013-08-23,0.31,0.32,0.30,0.31,78800,0.31
2013-08-22,0.30,0.31,0.30,0.31,117400,0.31
2013-08-21,0.30,0.31,0.30,0.30,55600,0.30
2013-08-20,0.32,0.32,0.30,0.30,82500,0.30
2013-08-19,0.31,0.32,0.30,0.32,110700,0.32
2013-08-16,0.29,0.31,0.29,0.31,225000,0.31
2013-08-15,0.32,0.32,0.29,0.32,207300,0.32
2013-08-14,0.31,0.31,0.29,0.31,125600,0.31
2013-08-13,0.30,0.31,0.29,0.29,322400,0.29
2013-08-12,0.32,0.33,0.30,0.31,450300,0.31
2013-08-09,0.32,0.33,0.31,0.32,200900,0.32
2013-08-08,0.34,0.34,0.32,0.33,123300,0.33
2013-08-07,0.36,0.36,0.31,0.33,264500,0.33
2013-08-06,0.36,0.37,0.34,0.35,341900,0.35
2013-08-05,0.35,0.38,0.34,0.36,597500,0.36
2013-08-02,0.35,0.38,0.33,0.34,1128200,0.34
2013-08-01,0.33,0.35,0.30,0.35,444400,0.35
2013-07-31,0.33,0.33,0.32,0.33,256700,0.33
2013-07-30,0.33,0.33,0.31,0.32,158100,0.32
2013-07-29,0.33,0.33,0.31,0.31,202900,0.31
2013-07-26,0.31,0.33,0.30,0.33,224500,0.33
2013-07-25,0.33,0.33,0.28,0.30,378700,0.30
2013-07-24,0.33,0.33,0.32,0.33,95900,0.33
