Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,12.23,12.25,12.19,12.22,329300,12.22
2014-06-12,12.24,12.25,12.18,12.23,260500,12.23
2014-06-11,12.23,12.31,12.23,12.29,300600,12.21
2014-06-10,12.24,12.26,12.22,12.26,292100,12.18
2014-06-09,12.22,12.25,12.22,12.24,351500,12.16
2014-06-06,12.22,12.26,12.21,12.23,400200,12.15
2014-06-05,12.24,12.25,12.19,12.21,362200,12.13
2014-06-04,12.27,12.28,12.21,12.24,610900,12.16
2014-06-03,12.23,12.26,12.20,12.26,529400,12.18
2014-06-02,12.29,12.29,12.24,12.26,326900,12.18
2014-05-30,12.27,12.29,12.25,12.29,334600,12.21
2014-05-29,12.24,12.26,12.22,12.26,260000,12.18
2014-05-28,12.15,12.23,12.14,12.20,342400,12.12
2014-05-27,12.18,12.18,12.13,12.14,373800,12.06
2014-05-23,12.16,12.18,12.15,12.17,373200,12.09
2014-05-22,12.17,12.20,12.16,12.16,455800,12.08
2014-05-21,12.16,12.18,12.14,12.15,529100,12.07
2014-05-20,12.14,12.15,12.11,12.13,239000,12.05
2014-05-19,12.17,12.18,12.12,12.15,490700,12.07
2014-05-16,12.18,12.18,12.13,12.13,330800,12.05
2014-05-15,12.23,12.23,12.12,12.15,519800,12.07
2014-05-14,12.23,12.28,12.22,12.23,463500,12.15
2014-05-13,12.25,12.25,12.21,12.23,348400,12.15
2014-05-12,12.25,12.30,12.23,12.30,466400,12.14
2014-05-09,12.22,12.25,12.21,12.25,412900,12.09
2014-05-08,12.23,12.26,12.21,12.23,595000,12.07
2014-05-07,12.20,12.24,12.18,12.23,565400,12.07
2014-05-06,12.20,12.20,12.17,12.19,324900,12.03
2014-05-05,12.19,12.22,12.18,12.20,329200,12.04
2014-05-02,12.21,12.23,12.18,12.19,300700,12.03
2014-05-01,12.21,12.24,12.17,12.21,541600,12.05
2014-04-30,12.21,12.23,12.20,12.22,273500,12.06
2014-04-29,12.19,12.23,12.17,12.21,305900,12.05
2014-04-28,12.22,12.22,12.18,12.18,421900,12.02
2014-04-25,12.21,12.22,12.17,12.20,331000,12.04
2014-04-24,12.21,12.23,12.17,12.20,340600,12.04
2014-04-23,12.22,12.24,12.19,12.21,330700,12.05
2014-04-22,12.14,12.21,12.13,12.19,304400,12.03
2014-04-21,12.14,12.16,12.11,12.14,392900,11.98
2014-04-17,12.18,12.19,12.12,12.14,430600,11.98
2014-04-16,12.15,12.19,12.15,12.18,248200,12.02
2014-04-15,12.17,12.18,12.12,12.14,568500,11.98
2014-04-14,12.19,12.20,12.15,12.16,444800,12.00
2014-04-11,12.14,12.24,12.14,12.16,291300,12.00
2014-04-10,12.29,12.32,12.26,12.30,319400,12.06
2014-04-09,12.29,12.30,12.25,12.27,417400,12.03
2014-04-08,12.25,12.28,12.22,12.28,339200,12.04
2014-04-07,12.27,12.30,12.23,12.26,416700,12.02
2014-04-04,12.27,12.31,12.26,12.27,359800,12.03
2014-04-03,12.23,12.29,12.23,12.27,473300,12.03
2014-04-02,12.26,12.28,12.25,12.25,544000,12.01
2014-04-01,12.25,12.29,12.25,12.26,398300,12.02
2014-03-31,12.28,12.31,12.24,12.26,271000,12.02
2014-03-28,12.28,12.28,12.25,12.26,190600,12.02
2014-03-27,12.30,12.31,12.24,12.29,327900,12.05
2014-03-26,12.30,12.32,12.27,12.30,229100,12.06
2014-03-25,12.26,12.30,12.23,12.30,165400,12.06
2014-03-24,12.29,12.29,12.22,12.25,222000,12.01
2014-03-21,12.31,12.33,12.22,12.26,466100,12.02
2014-03-20,12.26,12.32,12.24,12.29,227900,12.05
2014-03-19,12.35,12.35,12.23,12.24,722200,12.00
2014-03-18,12.24,12.31,12.24,12.30,375000,12.06
