Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,13.23,13.41,13.21,13.26,86000,13.26
2014-06-12,13.28,13.29,13.16,13.22,47800,13.22
2014-06-11,13.34,13.34,13.20,13.27,37400,13.27
2014-06-10,13.27,13.40,13.22,13.32,50400,13.32
2014-06-09,13.18,13.31,13.18,13.27,46700,13.27
2014-06-06,13.10,13.26,13.06,13.25,62200,13.25
2014-06-05,13.06,13.19,13.01,13.14,47500,13.14
2014-06-04,13.06,13.06,12.99,13.05,41000,13.05
2014-06-03,13.12,13.15,13.08,13.14,37100,13.14
2014-06-02,13.14,13.20,13.10,13.14,28600,13.14
2014-05-30,13.07,13.29,12.94,13.14,114400,13.14
2014-05-29,12.94,13.11,12.93,13.08,63700,13.08
2014-05-28,12.98,13.02,12.93,12.97,42700,12.97
2014-05-27,12.99,13.00,12.92,13.00,54600,13.00
2014-05-23,12.95,13.04,12.95,13.00,32800,13.00
2014-05-22,12.90,12.99,12.90,12.99,43500,12.99
2014-05-21,12.90,12.93,12.85,12.93,42700,12.93
2014-05-20,12.81,12.92,12.81,12.87,55800,12.87
2014-05-19,12.75,12.86,12.73,12.86,57000,12.86
2014-05-16,12.71,12.74,12.65,12.70,80300,12.70
2014-05-15,12.69,12.74,12.61,12.63,61200,12.63
2014-05-14,12.60,12.68,12.57,12.67,66400,12.67
2014-05-13,12.55,12.65,12.54,12.63,74700,12.63
2014-05-12,12.48,12.54,12.43,12.49,57500,12.49
2014-05-09,12.47,12.50,12.40,12.41,78200,12.41
2014-05-08,12.51,12.53,12.47,12.47,30300,12.47
2014-05-07,12.47,12.53,12.43,12.48,25000,12.48
2014-05-06,12.44,12.53,12.44,12.51,33400,12.51
2014-05-05,12.46,12.47,12.36,12.46,49200,12.46
2014-05-02,12.47,12.49,12.40,12.46,33700,12.46
2014-05-01,12.54,12.55,12.47,12.48,33600,12.48
2014-04-30,12.48,12.52,12.42,12.52,34000,12.52
2014-04-29,12.48,12.51,12.46,12.51,54600,12.51
2014-04-28,12.32,12.45,12.31,12.43,54100,12.43
2014-04-25,12.40,12.40,12.32,12.37,38900,12.37
2014-04-24,12.55,12.55,12.40,12.43,53000,12.43
2014-04-23,12.47,12.49,12.44,12.47,51000,12.47
2014-04-22,12.54,12.59,12.46,12.51,67700,12.51
2014-04-21,12.48,12.49,12.42,12.48,39000,12.48
2014-04-17,12.47,12.53,12.40,12.47,136900,12.47
2014-04-16,12.38,12.53,12.38,12.52,66300,12.52
2014-04-15,12.44,12.46,12.35,12.36,57100,12.36
2014-04-14,12.52,12.52,12.37,12.44,90000,12.44
2014-04-11,12.40,12.45,12.37,12.44,49700,12.44
2014-04-10,12.59,12.65,12.47,12.52,55400,12.52
2014-04-09,12.44,12.55,12.42,12.55,37900,12.55
2014-04-08,12.29,12.40,12.29,12.38,35900,12.38
2014-04-07,12.29,12.32,12.22,12.26,48200,12.26
2014-04-04,12.42,12.51,12.27,12.36,67500,12.36
2014-04-03,12.42,12.44,12.32,12.34,53700,12.34
2014-04-02,12.49,12.50,12.40,12.46,40000,12.46
2014-04-01,12.48,12.54,12.45,12.50,61600,12.50
2014-03-31,12.65,12.73,12.60,12.73,111900,12.41
2014-03-28,12.39,12.56,12.39,12.55,100700,12.23
2014-03-27,12.23,12.37,12.22,12.33,52900,12.02
2014-03-26,12.23,12.36,12.21,12.24,26600,11.93
2014-03-25,12.24,12.33,12.17,12.17,44800,11.86
2014-03-24,12.28,12.28,12.17,12.17,37000,11.86
2014-03-21,12.20,12.26,12.14,12.23,62700,11.92
2014-03-20,12.30,12.30,12.13,12.13,72800,11.83
2014-03-19,12.32,12.34,12.26,12.31,48800,12.00
2014-03-18,12.31,12.39,12.23,12.39,70300,12.08
2014-03-17,12.11,12.22,12.10,12.22,75200,11.91
2014-03-14,12.11,12.14,12.02,12.05,63000,11.75
2014-03-13,12.40,12.43,12.03,12.11,102900,11.81
