Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,4.37,4.74,4.01,4.74,13100,4.74
2014-06-12,4.15,4.30,4.03,4.06,10400,4.06
2014-06-11,4.11,4.12,4.10,4.10,6600,4.10
2014-06-10,4.01,4.01,4.01,4.01,000,4.01
2014-06-09,4.30,4.30,4.01,4.01,3200,4.01
2014-06-06,4.14,4.14,4.14,4.14,000,4.14
2014-06-05,4.14,4.14,4.14,4.14,000,4.14
2014-06-04,4.09,4.20,4.04,4.14,2000,4.14
2014-06-03,4.00,4.30,3.92,4.25,4500,4.25
2014-06-02,4.32,4.32,3.87,4.26,1100,4.26
2014-05-30,4.32,4.32,4.31,4.31,300,4.31
2014-05-29,4.20,4.20,4.10,4.10,700,4.10
2014-05-28,4.40,4.40,4.39,4.40,600,4.40
2014-05-27,4.30,4.40,4.14,4.40,4400,4.40
2014-05-23,3.96,4.40,3.94,4.30,2400,4.30
2014-05-22,4.14,4.14,4.14,4.14,000,4.14
2014-05-21,4.00,4.14,3.98,4.14,7400,4.14
2014-05-20,3.80,3.85,3.80,3.85,1700,3.85
2014-05-19,3.80,3.98,3.80,3.98,900,3.98
2014-05-16,3.90,4.00,3.60,3.63,1700,3.63
2014-05-15,3.55,3.95,3.30,3.95,19500,3.95
2014-05-14,3.30,3.50,3.30,3.50,9200,3.50
2014-05-13,3.69,3.69,3.66,3.66,1700,3.66
2014-05-12,3.44,3.44,3.44,3.44,100,3.44
2014-05-09,3.62,3.65,3.45,3.45,1200,3.45
2014-05-08,3.53,3.53,3.52,3.52,700,3.52
2014-05-07,3.90,3.90,3.51,3.51,3800,3.51
2014-05-06,3.74,3.78,3.54,3.78,2300,3.78
2014-05-05,3.90,3.90,3.77,3.77,700,3.77
2014-05-02,4.16,4.16,3.81,3.94,4900,3.94
2014-05-01,4.14,4.14,4.04,4.04,400,4.04
2014-04-30,4.20,4.20,4.05,4.10,4500,4.10
2014-04-29,4.40,4.55,4.13,4.25,6800,4.25
2014-04-28,4.35,4.38,4.35,4.35,2500,4.35
2014-04-25,4.42,4.42,4.42,4.42,000,4.42
2014-04-24,4.42,4.42,4.42,4.42,000,4.42
2014-04-23,4.42,4.42,4.42,4.42,000,4.42
2014-04-22,4.48,4.55,4.36,4.42,5800,4.42
2014-04-21,4.36,4.51,4.36,4.46,2800,4.46
2014-04-17,4.45,4.55,4.45,4.55,2900,4.55
2014-04-16,4.43,4.45,4.40,4.45,1400,4.45
2014-04-15,4.55,4.58,4.54,4.54,3000,4.54
2014-04-14,4.55,4.58,4.55,4.58,5200,4.58
2014-04-11,4.46,4.55,4.30,4.55,3900,4.55
2014-04-10,4.65,4.65,4.40,4.44,1100,4.44
2014-04-09,4.48,4.48,4.41,4.41,300,4.41
2014-04-08,4.44,4.44,4.44,4.44,000,4.44
2014-04-07,4.41,4.44,4.41,4.44,600,4.44
2014-04-04,4.50,4.53,4.49,4.50,3800,4.50
2014-04-03,4.51,4.51,4.51,4.51,000,4.51
2014-04-02,4.53,4.53,4.51,4.51,1000,4.51
2014-04-01,4.80,4.80,4.80,4.80,000,4.80
2014-03-31,4.60,4.80,4.60,4.80,2100,4.80
2014-03-28,4.53,4.53,4.53,4.53,000,4.53
2014-03-27,4.53,4.53,4.53,4.53,000,4.53
2014-03-26,4.53,4.53,4.53,4.53,500,4.53
2014-03-25,4.55,4.55,4.55,4.55,000,4.55
2014-03-24,4.55,4.55,4.55,4.55,900,4.55
2014-03-21,4.60,4.60,4.60,4.60,000,4.60
