Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,2.04,2.17,2.00,2.06,60200,2.06
2014-06-12,2.20,2.20,2.02,2.03,47300,2.03
2014-06-11,2.20,2.20,2.10,2.18,14900,2.18
2014-06-10,2.15,2.20,2.12,2.20,6500,2.20
2014-06-09,2.13,2.20,2.08,2.18,53000,2.18
2014-06-06,2.22,2.24,2.06,2.20,41100,2.20
2014-06-05,2.24,2.24,2.14,2.23,46800,2.23
2014-06-04,2.20,2.26,2.17,2.25,5100,2.25
2014-06-03,2.15,2.25,2.15,2.25,9800,2.25
2014-06-02,2.17,2.21,2.17,2.19,2300,2.19
2014-05-30,2.25,2.25,2.16,2.22,4300,2.22
2014-05-29,2.25,2.25,2.03,2.20,6300,2.20
2014-05-28,2.15,2.23,2.15,2.21,21600,2.21
2014-05-27,2.22,2.27,2.18,2.18,11100,2.18
2014-05-23,2.25,2.26,2.25,2.25,5300,2.25
2014-05-22,2.26,2.30,2.19,2.26,41800,2.26
2014-05-21,2.18,2.27,2.10,2.24,110000,2.24
2014-05-20,2.15,2.19,2.15,2.18,21600,2.18
2014-05-19,2.11,2.25,2.06,2.16,100500,2.16
2014-05-16,2.10,2.19,2.00,2.15,73700,2.15
2014-05-15,1.94,2.13,1.89,2.05,149000,2.05
2014-05-14,1.97,2.11,1.97,2.05,58500,2.05
2014-05-13,2.15,2.15,2.10,2.14,4400,2.12
2014-05-12,2.17,2.21,2.10,2.18,8100,2.16
2014-05-09,2.26,2.27,2.19,2.22,18500,2.20
2014-05-08,2.23,2.33,1.97,2.19,149100,2.17
2014-05-07,2.08,2.40,2.08,2.21,107700,2.19
2014-05-06,2.08,2.18,2.08,2.18,3600,2.16
2014-05-05,2.09,2.18,2.09,2.18,6000,2.16
2014-05-02,2.10,2.18,2.10,2.16,5400,2.14
2014-05-01,2.15,2.25,1.96,2.11,70700,2.09
2014-04-30,2.05,2.15,2.02,2.15,49200,2.13
2014-04-29,1.91,2.15,1.91,2.04,71200,2.02
2014-04-28,1.90,1.94,1.89,1.94,12900,1.92
2014-04-25,1.94,1.94,1.88,1.92,2000,1.90
2014-04-24,1.98,1.98,1.85,1.91,24100,1.89
2014-04-23,1.94,1.94,1.94,1.94,500,1.92
2014-04-22,2.01,2.05,1.92,1.97,67000,1.95
2014-04-21,1.90,2.02,1.90,1.96,5800,1.94
2014-04-17,2.00,2.00,1.90,1.96,9700,1.94
2014-04-16,2.00,2.01,1.91,1.91,21700,1.89
2014-04-15,2.01,2.05,1.96,1.99,41700,1.97
2014-04-14,2.11,2.15,2.02,2.07,9700,2.05
2014-04-11,2.07,2.17,2.06,2.16,5100,2.14
2014-04-10,2.12,2.18,2.12,2.16,5700,2.14
2014-04-09,2.09,2.18,2.08,2.18,19100,2.16
2014-04-08,2.18,2.18,2.14,2.18,1200,2.16
2014-04-07,2.09,2.18,2.08,2.12,6500,2.10
2014-04-04,2.13,2.18,2.05,2.16,32200,2.14
2014-04-03,2.05,2.16,2.02,2.07,15900,2.05
2014-04-02,2.10,2.18,2.10,2.18,12100,2.16
2014-04-01,2.15,2.17,2.07,2.13,47200,2.11
2014-03-31,2.13,2.13,2.00,2.12,4000,2.10
2014-03-28,1.99,2.11,1.94,2.11,40100,2.09
2014-03-27,2.09,2.11,1.92,2.10,58200,2.08
2014-03-26,2.10,2.10,2.01,2.07,46600,2.05
2014-03-25,2.11,2.14,2.10,2.13,19200,2.11
2014-03-24,2.11,2.14,2.10,2.10,7700,2.08
2014-03-21,2.13,2.18,2.10,2.14,82600,2.12
2014-03-20,2.15,2.17,2.10,2.17,29800,2.15
2014-03-19,2.21,2.22,2.12,2.15,39300,2.13
2014-03-18,2.25,2.25,2.19,2.24,22900,2.22
2014-03-17,2.25,2.25,2.15,2.23,8900,2.21
2014-03-14,2.19,2.25,2.19,2.24,3000,2.22
2014-03-13,2.26,2.28,2.16,2.28,15800,2.24
2014-03-12,2.31,2.35,2.25,2.34,4900,2.30
2014-03-11,2.25,2.35,2.16,2.35,18900,2.31
2014-03-10,2.26,2.36,2.21,2.29,20100,2.25
2014-03-07,2.37,2.37,2.21,2.22,32500,2.18
2014-03-06,2.31,2.42,2.24,2.25,46100,2.21
2014-03-05,2.27,2.34,2.23,2.28,37100,2.24
2014-03-04,2.39,2.48,2.21,2.28,101200,2.24
2014-03-03,2.37,2.45,2.37,2.43,7300,2.39
2014-02-28,2.41,2.48,2.41,2.46,15300,2.42
2014-02-27,2.40,2.41,2.37,2.41,14800,2.37
2014-02-26,2.42,2.43,2.40,2.43,6000,2.39
2014-02-25,2.38,2.48,2.37,2.43,10600,2.39
2014-02-24,2.38,2.48,2.38,2.40,6000,2.36
2014-02-21,2.50,2.55,2.37,2.50,14700,2.45
2014-02-20,2.47,2.55,2.41,2.45,11900,2.41
2014-02-19,2.56,2.60,2.36,2.44,30700,2.40
2014-02-18,2.40,2.60,2.40,2.59,38800,2.54
2014-02-14,2.42,2.49,2.41,2.49,22900,2.45
2014-02-13,2.36,2.43,2.36,2.42,3600,2.38
2014-02-12,2.43,2.43,2.34,2.43,1800,2.39
2014-02-11,2.34,2.45,2.34,2.44,14300,2.40
2014-02-10,2.35,2.44,2.31,2.44,9400,2.40
2014-02-07,2.43,2.43,2.43,2.43,000,2.39
2014-02-06,2.45,2.45,2.28,2.43,9100,2.39
2014-02-05,2.36,2.45,2.30,2.45,12900,2.41
2014-02-04,2.34,2.45,2.34,2.45,32200,2.41
2014-02-03,2.39,2.43,2.35,2.40,5700,2.36
2014-01-31,2.44,2.44,2.40,2.44,13600,2.40
2014-01-30,2.40,2.44,2.39,2.44,4400,2.40
2014-01-29,2.44,2.44,2.44,2.44,600,2.40
2014-01-28,2.44,2.44,2.35,2.42,11800,2.38
2014-01-27,2.23,2.44,2.22,2.41,7300,2.37
2014-01-24,2.32,2.43,2.29,2.41,9700,2.37
2014-01-23,2.24,2.42,2.24,2.40,11500,2.36
2014-01-22,2.34,2.45,2.34,2.44,5400,2.40
2014-01-21,2.43,2.44,2.27,2.43,32900,2.39
2014-01-17,2.41,2.44,2.32,2.43,4900,2.39
2014-01-16,2.42,2.45,2.40,2.41,2000,2.37
2014-01-15,2.33,2.45,2.33,2.44,5100,2.40
2014-01-14,2.21,2.45,2.16,2.44,8000,2.40
2014-01-13,2.32,2.45,2.29,2.45,42800,2.41
2014-01-10,2.22,2.46,2.12,2.41,32900,2.37
2014-01-09,2.20,2.32,2.19,2.31,14300,2.27
2014-01-08,2.06,2.24,2.06,2.18,31300,2.14
2014-01-07,2.07,2.23,2.07,2.17,17000,2.13
2014-01-06,2.15,2.15,2.06,2.13,18400,2.09
2014-01-03,2.01,2.14,2.01,2.14,11700,2.10
2014-01-02,2.03,2.16,2.03,2.15,21000,2.11
2013-12-31,1.98,2.08,1.94,1.98,47600,1.94
2013-12-30,1.97,2.03,1.93,1.93,47800,1.90
2013-12-27,1.91,2.02,1.88,2.00,32800,1.96
2013-12-26,2.08,2.14,1.90,2.02,66100,1.98
2013-12-24,1.86,2.06,1.85,2.03,46100,1.99
2013-12-23,1.90,1.96,1.82,1.89,52100,1.86
