Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,38.85,38.93,38.66,38.71,77500,38.71
2014-06-12,39.13,39.25,38.87,38.94,115200,38.94
2014-06-11,38.79,38.92,38.66,38.76,209500,38.76
2014-06-10,38.83,38.91,38.71,38.80,219700,38.80
2014-06-09,38.95,39.04,38.84,38.90,206700,38.90
2014-06-06,38.83,38.89,38.73,38.75,441000,38.75
2014-06-05,38.85,38.96,38.70,38.82,259800,38.82
2014-06-04,38.67,38.98,38.64,38.94,159600,38.94
2014-06-03,39.11,39.17,38.77,38.96,123400,38.96
2014-06-02,39.47,39.56,38.58,39.33,920700,39.33
2014-05-30,39.21,39.80,39.19,39.80,522100,39.80
2014-05-29,38.88,39.34,38.72,39.04,1525400,39.04
2014-05-28,38.34,38.83,38.28,38.41,125800,38.41
2014-05-27,39.11,39.25,38.60,38.74,269200,38.74
2014-05-23,37.50,37.64,37.47,37.62,121100,37.62
2014-05-22,37.50,37.57,37.35,37.43,362400,37.43
2014-05-21,37.25,37.52,37.20,37.44,115500,37.44
2014-05-20,36.94,37.02,36.74,36.83,42700,36.83
2014-05-19,36.78,37.04,36.78,37.00,48400,37.00
2014-05-16,36.78,37.02,36.78,36.99,82200,36.99
2014-05-15,37.13,37.20,36.80,37.08,132900,37.08
2014-05-14,37.22,37.28,37.00,37.02,116500,37.02
2014-05-13,37.22,37.53,37.20,37.48,65000,37.48
2014-05-12,37.12,37.14,36.98,37.13,129900,37.13
2014-05-09,37.16,37.18,36.93,37.09,101900,37.09
2014-05-08,37.71,37.94,37.28,37.39,100700,37.39
2014-05-07,37.81,37.89,37.57,37.83,124900,37.83
2014-05-06,37.13,37.32,37.04,37.11,121300,37.11
2014-05-05,36.72,37.10,36.28,37.10,89300,37.10
2014-05-02,36.95,37.21,36.83,36.90,228600,36.90
2014-05-01,34.27,34.43,34.21,34.31,111200,34.31
2014-04-30,33.88,34.42,33.88,34.42,128600,34.42
2014-04-29,33.67,33.81,33.54,33.70,107700,33.70
2014-04-28,33.52,33.63,33.17,33.47,142500,33.47
2014-04-25,33.47,33.76,33.43,33.66,126300,33.66
2014-04-24,33.44,33.60,33.20,33.51,108300,33.51
2014-04-23,32.95,32.96,32.74,32.86,65800,32.86
2014-04-22,33.05,33.06,32.91,33.00,74400,33.00
2014-04-21,32.60,32.73,32.45,32.64,67900,32.64
2014-04-17,32.43,32.59,32.35,32.53,94300,32.53
2014-04-16,32.22,32.32,32.06,32.30,65000,32.30
2014-04-15,32.17,32.24,31.76,32.12,103500,32.12
2014-04-14,32.07,32.21,31.85,32.09,80000,32.09
2014-04-11,31.78,31.99,31.72,31.75,98200,31.75
2014-04-10,32.41,32.54,31.80,31.83,110600,31.83
2014-04-09,32.41,32.65,32.30,32.65,95400,32.65
2014-04-08,31.94,32.29,31.93,32.21,149000,32.21
2014-04-07,31.83,31.93,31.53,31.60,118500,31.60
2014-04-04,32.04,32.23,31.68,31.71,113400,31.71
2014-04-03,32.48,32.50,32.07,32.23,132100,32.23
2014-04-02,32.58,32.66,32.49,32.57,105100,32.57
2014-04-01,32.35,32.65,32.35,32.64,129700,32.64
2014-03-31,32.18,32.47,32.16,32.40,165400,32.40
2014-03-28,32.18,32.40,32.17,32.22,98500,32.22
2014-03-27,32.11,32.33,32.07,32.21,117900,32.21
2014-03-26,32.57,32.57,32.23,32.28,145000,32.28
2014-03-25,32.21,32.53,32.21,32.40,369600,32.40
