Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,7.44,7.50,7.28,7.49,18800,7.49
2014-06-12,7.44,7.49,7.20,7.43,17400,7.43
2014-06-11,7.20,7.49,7.01,7.48,18600,7.48
2014-06-10,7.32,7.66,7.20,7.20,63800,7.20
2014-06-09,6.94,7.35,6.75,7.32,44600,7.32
2014-06-06,6.90,6.94,6.69,6.80,5200,6.80
2014-06-05,6.84,6.90,6.84,6.90,1400,6.90
2014-06-04,6.95,6.95,6.88,6.90,2100,6.90
2014-06-03,6.94,6.94,6.77,6.87,2200,6.87
2014-06-02,6.86,6.94,6.73,6.73,2700,6.73
2014-05-30,6.89,6.99,6.85,6.99,2700,6.99
2014-05-29,6.97,6.97,6.65,6.95,7000,6.95
2014-05-28,6.99,7.02,6.76,6.89,8900,6.89
2014-05-27,6.99,7.05,6.82,6.85,4200,6.85
2014-05-23,6.98,7.05,6.95,7.00,4200,7.00
2014-05-22,6.90,7.00,6.81,6.98,3000,6.98
2014-05-21,7.06,7.29,6.81,6.95,25200,6.95
2014-05-20,6.36,6.87,6.26,6.83,49200,6.83
2014-05-19,6.20,6.63,6.15,6.40,29200,6.40
2014-05-16,6.66,6.66,6.15,6.47,32500,6.47
2014-05-15,6.83,6.83,6.57,6.60,7600,6.60
2014-05-14,6.68,6.80,6.62,6.74,2600,6.74
2014-05-13,6.87,6.89,6.51,6.81,20100,6.81
2014-05-12,6.82,7.24,6.65,6.89,35200,6.89
2014-05-09,6.84,6.99,6.82,6.95,2400,6.95
2014-05-08,7.00,7.04,6.82,6.84,8500,6.84
2014-05-07,7.03,7.25,6.84,7.01,15000,7.01
2014-05-06,7.30,7.30,7.03,7.24,34900,7.24
2014-05-05,6.70,7.45,6.70,7.26,246400,7.26
2014-05-02,6.70,6.75,6.61,6.69,9600,6.69
2014-05-01,6.75,6.75,6.56,6.65,11100,6.65
2014-04-30,6.57,6.75,6.52,6.61,21700,6.61
2014-04-29,6.45,6.75,6.45,6.68,24800,6.68
