Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,6.75,6.75,6.74,6.74,1800,6.74
2014-06-12,6.46,6.53,6.46,6.53,1400,6.53
2014-06-11,6.75,6.77,6.75,6.76,1000,6.76
2014-06-10,6.54,6.79,6.54,6.70,4400,6.70
2014-06-09,6.76,6.76,6.76,6.76,1000,6.76
2014-06-06,6.78,6.78,6.72,6.75,2000,6.75
2014-06-05,6.76,6.76,6.76,6.76,000,6.76
2014-06-04,6.76,6.76,6.76,6.76,000,6.76
2014-06-03,6.76,6.76,6.76,6.76,200,6.76
2014-06-02,6.31,6.31,6.31,6.31,000,6.31
2014-05-30,6.25,6.31,6.25,6.31,2100,6.31
2014-05-29,6.39,6.39,6.39,6.39,000,6.39
2014-05-28,6.39,6.39,6.39,6.39,000,6.39
2014-05-27,6.39,6.39,6.39,6.39,300,6.39
2014-05-23,6.18,6.18,6.18,6.18,000,6.18
2014-05-22,6.18,6.18,6.18,6.18,000,6.18
2014-05-21,6.18,6.18,6.18,6.18,600,6.18
2014-05-20,6.51,6.51,6.50,6.50,700,6.50
2014-05-19,6.79,6.79,6.60,6.60,3200,6.60
2014-05-16,6.65,6.65,6.65,6.65,000,6.65
2014-05-15,6.65,6.65,6.65,6.65,000,6.65
2014-05-14,6.33,6.65,6.26,6.65,2900,6.65
2014-05-13,6.46,6.48,6.44,6.48,700,6.48
2014-05-12,6.14,6.14,6.14,6.14,200,6.14
2014-05-09,6.02,6.18,5.69,6.18,900,6.18
2014-05-08,6.28,6.28,6.28,6.28,700,6.28
2014-05-07,6.55,6.55,6.30,6.32,1100,6.32
2014-05-06,6.80,6.89,6.26,6.79,14200,6.79
2014-05-05,6.53,6.73,6.53,6.73,300,6.73
2014-05-02,6.83,6.83,6.83,6.83,1400,6.83
2014-05-01,6.92,6.92,6.71,6.71,5600,6.71
2014-04-30,6.37,6.84,6.37,6.84,5000,6.84
2014-04-29,6.30,6.40,6.18,6.40,3900,6.40
2014-04-28,6.40,6.48,6.03,6.03,9300,6.03
2014-04-25,6.40,6.40,6.40,6.40,200,6.40
2014-04-24,6.48,6.48,6.48,6.48,200,6.48
2014-04-23,6.40,6.46,6.40,6.46,1100,6.46
2014-04-22,6.40,6.40,6.40,6.40,500,6.40
2014-04-21,6.19,6.28,6.19,6.28,900,6.28
2014-04-17,6.27,6.27,6.01,6.27,3800,6.27
2014-04-16,6.18,6.37,6.18,6.27,2900,6.27
