Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,28.15,28.30,27.59,27.75,114400,27.75
2014-06-12,28.23,28.29,28.02,28.16,101900,28.16
2014-06-11,28.12,28.63,27.75,28.35,86900,28.35
2014-06-10,28.42,28.67,28.06,28.23,94700,28.23
2014-06-09,29.10,29.22,28.43,28.52,111800,28.52
2014-06-06,28.97,29.28,28.85,29.10,110500,29.10
2014-06-05,28.50,28.95,28.42,28.86,113100,28.86
2014-06-04,28.75,28.98,28.47,28.51,75200,28.51
2014-06-03,29.25,29.49,28.70,28.94,285400,28.94
2014-06-02,29.96,29.96,28.89,29.27,289900,29.27
2014-05-30,30.23,30.24,29.58,29.87,153000,29.87
2014-05-29,29.36,30.30,29.33,30.21,192400,30.21
2014-05-28,29.93,29.93,28.96,29.33,190100,29.33
2014-05-27,29.31,29.85,29.31,29.80,69700,29.80
2014-05-23,29.41,29.57,28.95,29.21,100600,29.21
2014-05-22,29.17,29.49,29.00,29.39,77600,29.39
2014-05-21,29.69,29.76,29.14,29.26,51700,29.26
2014-05-20,30.00,30.38,29.46,29.66,127100,29.66
2014-05-19,29.72,30.20,29.51,30.11,122800,30.11
2014-05-16,29.51,29.99,29.45,29.94,100700,29.94
2014-05-15,29.94,29.94,29.05,29.60,144300,29.60
2014-05-14,30.96,31.32,29.96,30.12,178400,30.12
2014-05-13,31.95,32.11,31.20,31.21,133200,31.21
2014-05-12,31.91,32.04,31.64,32.00,167400,32.00
2014-05-09,31.97,32.18,30.70,31.87,169200,31.87
2014-05-08,32.26,33.80,31.99,32.11,354400,32.11
2014-05-07,35.90,36.03,35.41,35.77,113000,35.77
2014-05-06,36.25,36.78,35.63,35.72,90700,35.72
2014-05-05,36.38,36.60,36.12,36.43,71200,36.43
2014-05-02,36.04,36.63,35.82,36.52,109600,36.52
2014-05-01,36.48,36.73,35.38,35.82,92300,35.82
2014-04-30,35.97,36.63,35.35,36.59,179400,36.59
2014-04-29,35.73,36.22,35.46,36.09,95200,36.09
