Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,25.50,25.53,25.37,25.39,33300,25.39
2014-06-12,25.45,25.51,25.40,25.50,34800,25.50
2014-06-11,25.42,25.52,25.38,25.51,45600,25.51
2014-06-10,25.39,25.46,25.38,25.45,47200,25.45
2014-06-09,25.40,25.50,25.40,25.43,92500,25.43
2014-06-06,25.44,25.47,25.35,25.39,49100,25.39
2014-06-05,25.41,25.47,25.40,25.45,32100,25.45
2014-06-04,25.31,25.50,25.31,25.45,366900,25.45
2014-06-03,25.38,25.41,25.30,25.40,68900,25.40
2014-06-02,25.34,25.41,25.34,25.38,38300,25.38
2014-05-30,25.37,25.40,25.33,25.33,49100,25.33
2014-05-29,25.40,25.44,25.31,25.38,55000,25.38
2014-05-28,25.30,25.45,25.28,25.41,103900,25.41
2014-05-27,25.35,25.35,25.30,25.33,40100,25.33
2014-05-23,25.30,25.39,25.30,25.36,248100,25.36
2014-05-22,25.33,25.37,25.29,25.30,93100,25.30
2014-05-21,25.35,25.37,25.33,25.33,50100,25.33
2014-05-20,25.37,25.39,25.33,25.37,46600,25.37
2014-05-19,25.35,25.40,25.32,25.37,54900,25.37
2014-05-16,25.32,25.43,25.32,25.40,52500,25.40
2014-05-15,25.33,25.39,25.30,25.33,43800,25.33
2014-05-14,25.28,25.40,25.27,25.39,73400,25.39
2014-05-13,25.27,25.35,25.27,25.33,48100,25.33
2014-05-12,25.35,25.35,25.20,25.28,103700,25.28
2014-05-09,25.28,25.29,25.27,25.29,18100,25.29
2014-05-08,25.26,25.30,25.26,25.29,95500,25.29
2014-05-07,25.20,25.31,25.20,25.28,109900,25.28
2014-05-06,25.24,25.30,25.23,25.29,119300,25.29
2014-05-05,25.20,25.28,25.17,25.24,72000,25.24
2014-05-02,25.16,25.22,25.16,25.17,162400,25.17
2014-05-01,25.14,25.23,25.06,25.19,74600,25.19
2014-04-30,25.06,25.15,25.06,25.15,133400,25.15
2014-04-29,25.00,25.17,25.00,25.10,64800,25.10
2014-04-28,25.07,25.13,24.98,25.00,96400,25.00
2014-04-25,24.98,25.07,24.95,25.07,71800,25.07
2014-04-24,24.93,25.00,24.93,24.98,38000,24.98
2014-04-23,24.96,25.00,24.94,24.97,54400,24.97
2014-04-22,24.87,24.95,24.83,24.92,152000,24.92
2014-04-21,24.81,24.87,24.80,24.80,28800,24.80
2014-04-17,24.89,24.91,24.80,24.80,93900,24.80
2014-04-16,24.94,25.01,24.88,24.89,85500,24.89
2014-04-15,24.87,24.97,24.82,24.93,76600,24.93
2014-04-14,24.87,25.00,24.86,24.87,55100,24.87
2014-04-11,24.81,24.89,24.80,24.84,39700,24.84
2014-04-10,24.80,24.84,24.79,24.79,98000,24.79
2014-04-09,24.63,24.81,24.63,24.77,199900,24.77
2014-04-08,24.70,24.74,24.65,24.68,50600,24.68
2014-04-07,24.70,24.75,24.66,24.72,60500,24.72
2014-04-04,24.65,24.72,24.64,24.66,66800,24.66
2014-04-03,24.77,24.77,24.65,24.65,69200,24.65
2014-04-02,24.68,24.78,24.64,24.70,95700,24.70
2014-04-01,24.80,24.85,24.68,24.68,151000,24.68
2014-03-31,24.50,24.71,24.50,24.65,113100,24.65
2014-03-28,24.45,24.45,24.35,24.36,65700,24.36
2014-03-27,24.82,24.83,24.60,24.77,53800,24.39
2014-03-26,24.84,24.84,24.75,24.80,60400,24.42
2014-03-25,24.86,24.88,24.75,24.84,66800,24.46
2014-03-24,24.85,24.91,24.79,24.84,88600,24.46
2014-03-21,24.95,24.95,24.78,24.79,79800,24.41
2014-03-20,24.72,24.82,24.66,24.82,63500,24.44
2014-03-19,24.89,24.89,24.73,24.75,42000,24.37
2014-03-18,24.82,24.85,24.75,24.82,47300,24.44
2014-03-17,24.87,24.87,24.75,24.77,43800,24.39
2014-03-14,24.83,24.83,24.71,24.83,58200,24.45
2014-03-13,24.77,24.83,24.72,24.83,51100,24.45
2014-03-12,24.65,24.74,24.60,24.72,72900,24.34
2014-03-11,24.45,24.63,24.45,24.62,114700,24.24
2014-03-10,24.45,24.50,24.35,24.47,45500,24.09
2014-03-07,24.50,24.50,24.38,24.45,37000,24.07
2014-03-06,24.49,24.52,24.40,24.49,49500,24.11
2014-03-05,24.35,24.50,24.35,24.47,48700,24.09
2014-03-04,24.35,24.47,24.29,24.39,51600,24.01
2014-03-03,24.36,24.38,24.29,24.33,39000,23.95
2014-02-28,24.45,24.45,24.38,24.39,35200,24.01
2014-02-27,24.35,24.38,24.30,24.36,48100,23.98
2014-02-26,24.33,24.47,24.31,24.31,45400,23.93
2014-02-25,24.32,24.45,24.31,24.31,59800,23.93
2014-02-24,24.40,24.51,24.32,24.32,69000,23.94
2014-02-21,24.28,24.42,24.28,24.34,77900,23.96
2014-02-20,24.41,24.45,24.38,24.38,70400,24.00
2014-02-19,24.40,24.45,24.30,24.38,68500,24.00
2014-02-18,24.52,24.56,24.32,24.41,92900,24.03
2014-02-14,24.38,24.52,24.38,24.49,84000,24.11
2014-02-13,24.19,24.42,24.15,24.38,55300,24.00
2014-02-12,24.03,24.24,24.01,24.17,69100,23.80
