Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,12.44,12.69,12.30,12.57,12600,12.57
2014-06-12,12.50,12.95,12.15,12.49,15400,12.49
2014-06-11,12.91,12.91,12.32,12.63,8500,12.47
2014-06-10,12.78,12.88,12.60,12.73,6900,12.57
2014-06-09,12.45,12.77,12.23,12.48,11500,12.32
2014-06-06,12.39,12.81,12.30,12.44,3700,12.28
2014-06-05,11.40,12.50,11.40,12.29,11200,12.13
2014-06-04,11.55,11.76,11.51,11.70,9100,11.55
2014-06-03,11.56,11.71,11.40,11.49,6200,11.34
2014-06-02,11.31,11.64,11.31,11.46,11100,11.31
2014-05-30,11.38,11.44,11.30,11.35,3100,11.21
2014-05-29,11.08,11.39,11.03,11.30,20300,11.16
2014-05-28,11.22,11.28,10.92,11.09,10400,10.95
2014-05-27,10.99,11.29,10.76,11.06,37500,10.92
2014-05-23,10.99,11.29,10.75,10.92,12000,10.78
2014-05-22,11.10,11.30,11.05,11.05,6000,10.91
2014-05-21,11.25,11.44,11.14,11.29,19100,11.15
2014-05-20,11.28,11.34,10.94,11.15,11300,11.01
2014-05-19,11.10,11.50,11.07,11.31,23900,11.17
2014-05-16,11.13,11.24,11.02,11.14,1700,11.00
2014-05-15,11.25,11.25,10.97,11.13,17200,10.99
2014-05-14,11.46,11.59,11.01,11.13,15100,10.99
2014-05-13,11.59,11.63,11.10,11.38,20100,11.24
2014-05-12,11.45,11.88,11.23,11.59,17300,11.44
2014-05-09,11.70,11.83,10.94,11.37,24500,11.23
2014-05-08,11.73,11.95,11.53,11.57,16000,11.42
2014-05-07,11.93,12.35,11.57,11.95,16600,11.80
2014-05-06,12.28,12.40,12.08,12.26,7700,12.10
2014-05-05,11.58,12.22,11.58,12.18,12600,12.03
2014-05-02,12.09,12.16,11.88,11.88,6400,11.73
2014-05-01,12.11,12.23,12.06,12.07,3200,11.92
2014-04-30,12.08,12.10,11.88,12.09,8300,11.94
2014-04-29,12.15,12.32,11.97,12.15,3800,12.00
2014-04-28,12.80,12.80,11.87,12.12,20300,11.97
2014-04-25,12.84,13.08,12.56,12.72,3600,12.56
2014-04-24,12.58,12.95,12.22,12.80,16000,12.64
2014-04-23,13.17,13.17,12.51,12.62,26200,12.46
2014-04-22,13.07,13.42,13.02,13.24,6000,13.07
2014-04-21,13.19,13.50,13.18,13.24,21600,13.07
2014-04-17,13.46,13.46,13.11,13.19,1200,13.02
2014-04-16,13.44,13.44,13.03,13.08,1400,12.91
2014-04-15,13.19,13.39,13.01,13.08,11100,12.91
2014-04-14,13.22,13.38,13.01,13.09,5600,12.92
2014-04-11,13.04,13.48,12.90,13.06,19500,12.89
2014-04-10,13.13,13.37,13.07,13.16,10700,12.99
2014-04-09,13.02,13.19,13.01,13.11,5300,12.94
2014-04-08,12.84,12.99,12.73,12.93,7600,12.77
2014-04-07,12.78,12.98,12.57,12.78,9300,12.62
2014-04-04,12.99,13.09,12.50,12.86,13800,12.70
2014-04-03,13.22,13.22,12.71,12.87,7900,12.71
2014-04-02,13.19,13.24,13.04,13.04,5800,12.87
2014-04-01,13.04,13.17,12.74,13.04,12200,12.87
2014-03-31,12.64,13.08,12.64,12.87,10600,12.71
2014-03-28,12.54,12.70,12.50,12.50,6300,12.34
2014-03-27,12.62,12.90,12.51,12.55,7900,12.39
2014-03-26,13.00,13.05,12.69,12.69,21300,12.53
2014-03-25,13.05,13.12,13.00,13.11,6300,12.94
2014-03-24,13.12,13.12,12.99,13.00,8900,12.84
2014-03-21,12.65,13.08,12.50,12.97,20500,12.81
2014-03-20,12.32,12.67,12.32,12.52,11200,12.36
2014-03-19,12.00,12.99,12.00,12.47,18600,12.31
2014-03-18,11.80,12.00,11.80,11.99,11300,11.84
2014-03-17,12.14,12.52,11.57,11.94,43100,11.63
2014-03-14,11.92,12.52,11.92,11.99,18300,11.68
2014-03-13,12.73,12.73,11.92,11.93,7800,11.62
2014-03-12,12.55,12.67,12.00,12.40,31900,12.08
2014-03-11,12.50,12.93,12.44,12.93,10800,12.60
2014-03-10,12.86,13.11,12.80,13.04,10500,12.70
2014-03-07,13.00,13.11,12.67,12.96,11000,12.62
2014-03-06,12.97,13.12,12.75,12.89,7800,12.56
2014-03-05,13.01,13.11,12.81,12.95,4900,12.61
2014-03-04,12.82,13.08,12.82,13.02,13300,12.68
2014-03-03,13.32,13.32,12.71,12.82,17000,12.49
2014-02-28,13.11,13.92,13.11,13.47,14400,13.12
2014-02-27,13.09,13.18,12.99,13.02,9600,12.68
2014-02-26,12.85,13.16,12.75,13.04,7100,12.70
2014-02-25,12.72,12.82,12.70,12.72,13100,12.39
2014-02-24,12.65,12.85,12.61,12.75,13400,12.42
2014-02-21,12.65,12.65,12.43,12.58,14700,12.25
2014-02-20,12.48,12.65,12.10,12.58,12100,12.25
2014-02-19,12.60,12.78,12.51,12.54,3500,12.22
2014-02-18,12.05,12.69,12.05,12.63,14100,12.30
