Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,27.61,28.75,27.01,27.69,1533700,27.69
2014-06-12,30.53,30.96,26.87,26.93,2458400,26.93
2014-06-11,31.01,31.50,30.08,30.52,1260800,30.52
2014-06-10,31.56,31.63,29.71,30.71,977600,30.71
2014-06-09,30.80,32.49,29.39,30.46,2161900,30.46
2014-06-06,28.74,31.00,28.72,29.69,935200,29.69
2014-06-05,28.50,30.18,28.20,28.35,1114900,28.35
2014-06-04,28.56,28.97,27.56,28.11,789800,28.11
2014-06-03,29.06,30.48,28.51,28.88,548800,28.88
2014-06-02,28.58,30.70,27.80,29.62,1743400,29.62
2014-05-30,27.85,28.30,27.00,27.50,780000,27.50
2014-05-29,28.58,29.70,27.12,27.50,1616400,27.50
2014-05-28,23.50,29.04,23.41,29.04,2997100,29.04
2014-05-27,23.02,23.80,22.46,23.09,1390600,23.09
2014-05-23,23.00,23.90,22.57,22.80,1265800,22.80
2014-05-22,24.15,24.46,22.00,22.54,1946400,22.54
2014-05-21,23.78,24.68,23.32,24.35,732600,24.35
2014-05-20,23.99,23.99,23.35,23.69,1421500,23.69
2014-05-19,24.09,24.10,23.50,23.75,1270500,23.75
2014-05-16,27.25,28.28,23.33,24.18,15923700,24.18
