Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,25.95,25.95,25.95,25.95,000,25.95
2014-06-12,26.00,26.00,25.95,25.95,3100,25.95
2014-06-11,25.95,26.19,25.95,26.00,6900,26.00
2014-06-10,26.19,26.19,26.08,26.08,1300,25.62
2014-06-09,26.20,26.20,26.06,26.20,2500,25.74
2014-06-06,26.15,26.19,26.15,26.15,2000,25.69
2014-06-05,26.14,26.18,26.06,26.06,4600,25.60
2014-06-04,26.03,26.09,26.02,26.09,2400,25.63
2014-06-03,26.07,26.08,26.07,26.08,1700,25.62
2014-06-02,26.19,26.19,26.17,26.18,2200,25.72
2014-05-30,26.16,26.18,26.15,26.15,1700,25.69
2014-05-29,26.15,26.17,26.15,26.15,4600,25.69
2014-05-28,26.15,26.15,26.02,26.09,2800,25.63
2014-05-27,26.00,26.19,26.00,26.07,2500,25.61
2014-05-23,26.10,26.10,26.08,26.10,2200,25.64
2014-05-22,26.10,26.10,26.04,26.05,3500,25.59
2014-05-21,26.06,26.12,26.06,26.10,3000,25.64
2014-05-20,26.08,26.16,26.08,26.16,1700,25.70
2014-05-19,26.12,26.12,26.00,26.01,2700,25.55
2014-05-16,26.00,26.10,26.00,26.09,5600,25.63
2014-05-15,26.03,26.19,26.01,26.15,11100,25.69
2014-05-14,26.25,26.25,26.18,26.18,2000,25.72
2014-05-13,26.11,26.13,25.94,26.13,2800,25.67
2014-05-12,26.10,26.11,26.00,26.10,1800,25.64
2014-05-09,26.10,26.10,25.92,25.93,2700,25.47
2014-05-08,26.05,26.12,26.00,26.12,2600,25.66
2014-05-07,26.09,26.09,25.88,26.09,5400,25.63
2014-05-06,25.92,26.14,25.92,25.93,4700,25.47
2014-05-05,26.15,26.95,25.86,25.96,12300,25.50
2014-05-02,26.14,26.20,26.14,26.17,1600,25.71
2014-05-01,26.10,26.10,26.10,26.10,000,25.64
2014-04-30,26.16,26.19,26.00,26.10,1600,25.64
2014-04-29,25.98,26.01,25.90,25.99,5300,25.53
2014-04-28,26.10,26.19,25.95,26.10,1400,25.64
2014-04-25,26.10,26.10,26.00,26.09,1800,25.63
2014-04-24,26.00,26.00,26.00,26.00,600,25.54
2014-04-23,26.20,26.20,26.01,26.01,1500,25.55
2014-04-22,26.01,26.15,26.01,26.15,1900,25.69
2014-04-21,26.00,26.14,26.00,26.14,1200,25.68
2014-04-17,26.01,26.19,26.00,26.19,2900,25.73
2014-04-16,26.03,26.14,26.03,26.14,1200,25.68
2014-04-15,26.15,26.15,26.15,26.15,300,25.69
2014-04-14,26.02,26.02,26.02,26.02,1100,25.56
2014-04-11,26.20,26.20,25.80,25.86,3400,25.40
2014-04-10,26.15,26.15,26.04,26.15,3800,25.69
2014-04-09,26.10,26.10,26.10,26.10,000,25.64
2014-04-08,26.10,26.10,26.10,26.10,200,25.64
2014-04-07,26.05,26.05,26.05,26.05,000,25.59
2014-04-04,26.05,26.05,26.05,26.05,200,25.59
2014-04-03,26.00,26.00,26.00,26.00,100,25.54
2014-04-02,26.08,26.08,25.95,25.95,2800,25.49
2014-04-01,26.15,26.15,26.05,26.05,3400,25.59
2014-03-31,26.15,26.15,26.10,26.10,5200,25.64
2014-03-28,26.20,26.20,25.94,25.94,600,25.48
2014-03-27,26.00,26.15,25.99,26.00,6500,25.54
2014-03-26,26.00,26.15,25.91,25.91,3500,25.45
2014-03-25,26.10,26.20,25.80,25.80,3300,25.34
2014-03-24,26.10,26.10,25.90,25.90,4600,25.44
2014-03-21,26.14,26.15,25.75,26.00,26800,25.54
2014-03-20,26.02,26.10,26.00,26.10,2700,25.64
2014-03-19,26.02,26.10,26.02,26.10,2600,25.64
2014-03-18,26.01,26.10,26.01,26.10,1200,25.64
2014-03-17,25.89,26.15,25.89,26.09,1300,25.63
2014-03-14,25.65,25.98,25.65,25.95,4600,25.49
2014-03-13,25.55,25.90,25.55,25.85,3500,25.39
2014-03-12,26.15,26.15,25.65,25.99,800,25.53
2014-03-11,26.01,26.08,26.01,26.08,2100,25.17
2014-03-10,26.15,26.15,26.10,26.13,1700,25.21
2014-03-07,26.14,26.15,26.02,26.14,2300,25.22
2014-03-06,25.90,25.90,25.90,25.90,500,24.99
2014-03-05,26.10,26.15,26.08,26.14,4200,25.22
2014-03-04,26.10,26.15,26.05,26.05,1100,25.14
2014-03-03,26.10,26.12,26.05,26.05,4000,25.14
2014-02-28,26.10,26.15,26.10,26.14,3100,25.22
2014-02-27,26.09,26.10,26.09,26.09,7900,25.18
2014-02-26,26.09,26.09,26.09,26.09,1500,25.18
2014-02-25,25.95,26.10,25.95,26.05,3300,25.14
2014-02-24,26.10,26.10,26.10,26.10,8700,25.19
2014-02-21,26.10,26.10,26.10,26.10,2700,25.19
2014-02-20,26.10,26.10,26.05,26.05,5000,25.14
2014-02-19,25.90,26.10,25.85,26.10,1300,25.19
2014-02-18,26.10,26.10,26.10,26.10,200,25.19
2014-02-14,25.95,26.10,25.95,26.00,3200,25.09
2014-02-13,26.20,26.69,26.06,26.10,1300,25.19
2014-02-12,26.05,26.05,25.90,25.90,900,24.99
2014-02-11,26.10,26.10,26.05,26.05,1100,25.14
2014-02-10,26.10,26.10,26.07,26.10,2300,25.19
2014-02-07,26.10,26.10,26.10,26.10,3100,25.19
2014-02-06,26.10,26.10,26.05,26.07,2900,25.16
2014-02-05,26.10,26.10,26.09,26.10,800,25.19
2014-02-04,26.15,26.15,25.90,26.10,1600,25.19
2014-02-03,26.00,26.00,26.00,26.00,1300,25.09
2014-01-31,26.10,26.10,26.10,26.10,1000,25.19
2014-01-30,25.70,25.70,25.70,25.70,2400,24.80
2014-01-29,26.10,26.10,26.10,26.10,900,25.19
2014-01-28,26.15,26.15,25.87,25.87,1100,24.96
2014-01-27,25.85,26.15,25.85,26.15,900,25.23
2014-01-24,25.97,26.13,25.97,26.13,1600,25.21
2014-01-23,26.15,26.15,25.98,25.99,1400,25.08
2014-01-22,25.90,26.20,25.90,26.20,8200,25.28
2014-01-21,25.90,26.00,25.90,25.90,1800,24.99
2014-01-17,25.61,25.75,25.60,25.75,2500,24.85
2014-01-16,25.66,25.66,25.66,25.66,000,24.76
2014-01-15,25.57,25.66,25.57,25.66,5000,24.76
2014-01-14,25.45,25.50,25.35,25.50,15000,24.61
2014-01-13,25.67,25.73,25.66,25.72,2100,24.82
2014-01-10,25.70,25.70,25.70,25.70,000,24.80
2014-01-09,25.40,25.70,25.40,25.70,600,24.80
2014-01-08,25.70,25.73,25.43,25.43,1000,24.54
2014-01-07,25.65,25.65,25.55,25.65,2600,24.75
2014-01-06,25.56,25.62,25.55,25.55,5400,24.65
2014-01-03,25.54,25.55,25.53,25.55,2000,24.65
2014-01-02,25.26,25.38,25.26,25.35,2400,24.46
2013-12-31,25.73,25.73,25.26,25.26,500,24.37
2013-12-30,25.44,25.44,25.42,25.44,1000,24.55
2013-12-27,25.23,25.30,25.23,25.23,9300,24.35
2013-12-26,25.23,25.44,25.23,25.44,1100,24.55
2013-12-24,25.34,25.34,25.26,25.30,2000,24.41
2013-12-23,25.80,25.81,25.28,25.40,19300,24.51
2013-12-20,25.77,25.77,25.47,25.48,10800,24.59
2013-12-19,26.00,26.00,26.00,26.00,800,25.09
2013-12-18,25.75,26.10,25.75,26.10,1900,25.19
2013-12-17,25.75,25.75,25.75,25.75,1200,24.85
2013-12-16,25.78,25.80,25.75,25.75,3000,24.85
2013-12-13,25.78,25.80,25.78,25.80,1200,24.90
2013-12-12,25.73,25.80,25.72,25.80,700,24.90
2013-12-11,25.75,25.75,25.56,25.60,800,24.70
2013-12-10,26.05,26.10,26.05,26.10,1000,24.74
2013-12-09,26.00,26.00,26.00,26.00,400,24.65
2013-12-06,26.14,26.14,26.00,26.00,1200,24.65
2013-12-05,26.00,26.01,26.00,26.00,3400,24.65
2013-12-04,25.94,26.01,25.94,26.01,800,24.66
2013-12-03,26.05,26.05,26.05,26.05,000,24.69
2013-12-02,25.94,26.12,25.94,26.05,2900,24.69
2013-11-29,26.00,26.00,26.00,26.00,500,24.65
2013-11-27,26.10,26.10,25.75,25.75,1600,24.41
2013-11-26,26.15,26.20,25.90,26.00,3000,24.65
2013-11-25,26.19,26.19,25.76,26.00,2400,24.65
2013-11-22,25.77,26.14,25.77,25.85,1900,24.50
2013-11-21,26.00,26.00,26.00,26.00,000,24.65
2013-11-20,26.00,26.00,26.00,26.00,200,24.65
2013-11-19,26.30,26.30,26.20,26.20,900,24.84
2013-11-18,25.94,26.19,25.94,26.02,1300,24.66
2013-11-15,25.92,25.92,25.92,25.92,200,24.57
2013-11-14,25.85,25.95,25.85,25.95,1800,24.60
2013-11-13,25.80,25.80,25.66,25.77,1400,24.43
2013-11-12,25.80,25.80,25.80,25.80,600,24.46
