Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,16.49,16.49,16.27,16.36,8900,16.36
2014-06-12,16.35,16.55,16.11,16.36,9000,16.36
2014-06-11,16.49,16.55,16.22,16.50,9500,16.50
2014-06-10,16.39,16.60,16.25,16.60,18300,16.60
2014-06-09,15.89,16.30,15.89,16.18,16100,16.18
2014-06-06,15.63,16.12,15.20,16.07,35400,16.07
2014-06-05,15.36,16.40,15.25,16.40,18100,16.40
2014-06-04,15.46,16.76,15.15,15.46,18500,15.46
2014-06-03,15.40,15.82,15.31,15.47,33800,15.44
2014-06-02,15.70,16.08,15.32,15.41,11800,15.38
2014-05-30,16.57,16.58,15.99,16.10,10800,16.07
2014-05-29,16.78,16.93,16.42,16.58,7100,16.55
2014-05-28,16.65,16.96,16.62,16.69,12700,16.66
2014-05-27,16.72,16.98,16.46,16.63,15500,16.60
2014-05-23,15.41,16.60,15.25,16.59,26200,16.56
2014-05-22,15.46,15.59,15.25,15.48,30400,15.45
2014-05-21,15.27,15.45,15.24,15.36,11600,15.33
2014-05-20,15.54,15.66,15.24,15.25,25700,15.22
2014-05-19,15.50,15.69,15.45,15.64,7600,15.61
2014-05-16,15.25,15.64,15.23,15.54,12100,15.51
2014-05-15,15.25,15.29,15.00,15.25,30800,15.22
2014-05-14,15.95,15.95,15.09,15.25,14900,15.22
2014-05-13,16.06,16.06,15.72,15.73,28300,15.70
2014-05-12,15.44,16.19,15.41,16.06,21500,16.03
2014-05-09,15.25,15.46,15.10,15.43,11100,15.40
2014-05-08,15.35,15.44,15.22,15.26,16100,15.23
2014-05-07,15.29,15.33,15.05,15.32,13400,15.29
2014-05-06,15.42,15.42,14.99,15.25,17900,15.22
2014-05-05,15.61,15.61,15.48,15.51,14300,15.48
2014-05-02,15.65,16.04,15.65,15.70,11400,15.67
2014-05-01,15.54,15.79,15.45,15.57,23100,15.54
2014-04-30,15.53,15.71,15.53,15.61,15200,15.58
2014-04-29,15.90,16.02,15.52,15.62,6900,15.59
2014-04-28,16.08,16.21,15.50,15.77,21400,15.74
2014-04-25,16.11,16.43,16.02,16.09,20100,16.06
2014-04-24,16.48,16.70,16.15,16.19,9900,16.16
2014-04-23,16.76,16.77,16.33,16.38,10100,16.35
2014-04-22,16.72,16.99,16.67,16.83,10600,16.80
2014-04-21,16.59,16.97,16.58,16.74,5100,16.71
2014-04-17,16.41,16.82,16.31,16.58,12100,16.55
2014-04-16,16.58,16.58,16.35,16.41,9200,16.38
2014-04-15,16.50,16.58,16.12,16.52,15400,16.49
2014-04-14,16.70,16.79,16.55,16.57,16100,16.54
2014-04-11,16.50,16.86,16.50,16.51,15500,16.48
2014-04-10,16.97,16.97,16.52,16.64,16800,16.61
2014-04-09,17.01,17.08,16.75,16.96,21100,16.93
2014-04-08,16.50,17.13,16.40,17.03,19100,17.00
2014-04-07,16.37,16.57,16.00,16.44,38300,16.41
2014-04-04,17.18,17.18,16.32,16.38,14500,16.35
2014-04-03,17.04,17.13,17.00,17.04,27800,17.01
2014-04-02,15.85,17.01,15.85,16.98,36000,16.95
2014-04-01,15.68,15.85,15.68,15.75,38300,15.72
2014-03-31,15.76,15.84,15.66,15.68,26100,15.65
2014-03-28,15.70,15.84,15.68,15.69,11000,15.66
2014-03-27,15.98,16.00,15.60,15.73,13300,15.70
2014-03-26,16.33,16.33,15.84,15.84,19000,15.81
2014-03-25,16.13,16.30,15.98,16.14,16900,16.11
2014-03-24,15.94,16.16,15.61,16.00,22000,15.97
2014-03-21,16.42,16.42,15.53,15.83,43200,15.80
2014-03-20,16.30,16.48,16.27,16.38,18800,16.35
2014-03-19,16.29,16.34,16.11,16.26,21000,16.23
2014-03-18,16.02,16.36,16.00,16.26,17300,16.23
2014-03-17,15.60,15.97,15.60,15.96,24500,15.93
