Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,52.25,52.40,51.95,52.12,1851800,52.12
2014-06-12,52.45,52.60,51.88,52.25,2663300,52.25
2014-06-11,53.06,53.12,52.32,52.37,2497900,52.37
2014-06-10,53.59,53.77,53.13,53.23,2408600,53.23
2014-06-09,53.82,54.51,53.61,53.71,2090600,53.71
2014-06-06,53.91,54.45,53.83,54.20,1690500,53.81
2014-06-05,54.33,54.36,52.96,53.69,2470400,53.30
2014-06-04,53.79,54.41,53.76,54.25,1581400,53.86
2014-06-03,53.97,54.20,53.76,53.90,1768800,53.51
2014-06-02,54.66,54.81,54.23,54.28,1690000,53.89
2014-05-30,54.34,54.89,53.84,54.44,2883300,54.05
2014-05-29,54.03,54.55,53.94,54.48,1716700,54.09
2014-05-28,54.19,54.19,53.36,53.96,1896800,53.57
2014-05-27,53.33,54.31,52.95,54.30,3142000,53.91
2014-05-23,52.81,52.97,52.54,52.83,1362300,52.45
2014-05-22,52.90,53.39,52.64,52.88,1779700,52.50
2014-05-21,52.44,53.28,52.31,52.70,1794200,52.32
2014-05-20,52.89,53.00,51.89,52.35,2193700,51.97
2014-05-19,53.07,53.56,52.74,53.04,2512000,52.66
2014-05-16,52.42,53.38,51.83,53.26,3495200,52.88
2014-05-15,52.30,54.02,52.17,52.21,6679800,51.83
2014-05-14,55.83,56.03,53.83,54.03,4877000,53.64
2014-05-13,55.66,56.14,55.31,55.89,2900300,55.49
2014-05-12,54.96,55.86,54.96,55.60,2880500,55.20
2014-05-09,53.87,54.84,53.66,54.75,2845000,54.36
2014-05-08,53.71,54.83,53.56,53.86,2672900,53.47
2014-05-07,53.99,53.99,52.82,53.60,3042600,53.21
2014-05-06,55.12,55.15,53.63,53.84,2877000,53.45
2014-05-05,55.35,55.95,55.01,55.34,1846000,54.94
2014-05-02,55.37,56.23,55.26,55.72,1569400,55.32
2014-05-01,54.89,55.48,54.69,55.24,1639000,54.84
2014-04-30,55.21,55.21,54.38,54.79,2111000,54.40
2014-04-29,55.47,55.68,55.07,55.34,1559300,54.94
2014-04-28,54.92,55.92,54.80,55.44,2310500,55.04
2014-04-25,54.59,54.81,53.88,54.68,1532400,54.29
2014-04-24,54.84,55.09,54.50,54.73,1110500,54.34
2014-04-23,54.26,54.97,54.22,54.77,1642800,54.38
2014-04-22,54.59,54.66,54.05,54.24,2110900,53.85
2014-04-21,55.34,55.34,54.33,54.57,1289300,54.18
2014-04-17,55.10,55.11,53.75,54.26,2444600,53.87
2014-04-16,54.75,55.35,54.64,55.04,1996800,54.64
2014-04-15,53.70,54.59,53.64,54.43,2875700,54.04
2014-04-14,53.74,53.97,53.11,53.56,2433800,53.17
2014-04-11,53.95,54.25,53.12,53.53,3346000,53.14
2014-04-10,56.25,56.75,54.54,54.56,3839900,54.17
2014-04-09,56.78,57.14,56.01,56.34,1928100,55.93
2014-04-08,55.89,56.82,55.53,56.64,2328300,56.23
2014-04-07,57.45,57.53,55.91,56.02,2721300,55.62
2014-04-04,57.99,58.20,57.53,57.66,2597700,57.25
2014-04-03,57.98,58.07,57.34,57.85,1931400,57.43
2014-04-02,56.85,58.11,56.56,57.89,3287200,57.47
2014-04-01,56.91,57.16,56.70,56.85,2357200,56.44
2014-03-31,56.93,57.06,56.38,56.80,3457000,56.39
2014-03-28,56.57,57.20,56.31,57.00,2867800,56.59
2014-03-27,55.28,57.25,55.28,56.50,3897300,56.09
2014-03-26,55.22,55.98,55.06,55.35,2591700,54.95
2014-03-25,55.81,55.89,54.84,55.13,2805600,54.73
2014-03-24,55.85,56.19,55.59,55.64,3012900,55.24
2014-03-21,55.20,56.21,55.08,55.79,4037600,55.39
2014-03-20,54.59,55.22,54.42,54.91,1955300,54.51
2014-03-19,55.76,56.09,54.39,54.71,2618300,54.32
2014-03-18,55.82,55.98,55.43,55.73,1448000,55.33
2014-03-17,55.04,56.00,55.04,55.85,1726500,55.45
2014-03-14,54.46,55.37,54.46,54.92,1967100,54.52
2014-03-13,55.33,55.80,54.10,54.49,2480300,54.10
2014-03-12,55.17,55.37,54.92,55.17,1655500,54.77
2014-03-11,55.06,55.87,54.91,55.42,2316200,55.02
2014-03-10,54.75,55.29,54.75,55.04,2209200,54.64
2014-03-07,55.04,55.96,54.78,55.45,3240600,54.66
2014-03-06,55.25,55.33,54.63,54.73,2506800,53.95
2014-03-05,55.88,56.18,54.48,55.01,3974700,54.23
2014-03-04,56.61,56.69,55.71,55.89,1995100,55.10
2014-03-03,55.60,56.31,55.52,56.11,2399300,55.31
2014-02-28,55.85,56.72,55.64,56.19,2979100,55.39
2014-02-27,54.89,57.33,53.35,55.74,6703800,54.95
2014-02-26,53.42,54.94,53.33,54.44,4639600,53.67
2014-02-25,51.96,53.55,51.94,53.21,2271600,52.46
2014-02-24,51.91,52.40,51.88,51.95,2486600,51.21
2014-02-21,51.77,52.09,51.65,51.89,1898700,51.15
2014-02-20,51.38,51.95,51.21,51.87,1915500,51.13
2014-02-19,51.60,51.60,50.71,51.16,2545000,50.43
2014-02-18,51.58,52.02,50.84,51.66,2260600,50.93
2014-02-14,51.10,51.86,50.81,51.27,2104100,50.54
2014-02-13,51.10,51.32,50.52,51.13,2306700,50.41
2014-02-12,51.65,52.00,50.93,51.25,1588600,50.52
2014-02-11,50.98,51.80,50.77,51.58,2902900,50.85
2014-02-10,51.04,51.34,50.63,51.07,2430000,50.35
2014-02-07,51.78,52.36,51.01,51.19,3280300,50.46
2014-02-06,51.97,53.10,50.48,51.55,7688100,50.82
2014-02-05,48.91,50.14,48.68,49.83,2607700,49.12
2014-02-04,49.53,49.75,48.94,49.09,2749100,48.39
2014-02-03,50.63,51.09,49.30,49.45,2932500,48.75
2014-01-31,50.03,50.92,49.82,50.63,2914400,49.91
2014-01-30,50.18,51.25,50.15,50.85,1953300,50.13
2014-01-29,50.83,51.13,49.93,49.97,2894300,49.26
2014-01-28,50.19,51.27,50.11,51.08,3667900,50.36
2014-01-27,50.28,50.52,49.80,50.11,2848400,49.40
2014-01-24,50.70,50.81,49.98,50.22,2836700,49.51
2014-01-23,51.19,51.48,51.01,51.10,2112500,50.38
2014-01-22,52.56,52.63,50.71,51.37,4886000,50.64
2014-01-21,53.05,53.17,52.26,52.59,2253700,51.84
2014-01-17,53.27,53.27,52.50,52.93,3069200,52.18
2014-01-16,53.48,53.57,52.55,52.83,6046700,52.08
2014-01-15,54.31,54.50,53.46,53.66,3320000,52.90
2014-01-14,53.36,54.24,53.01,54.22,3134100,53.45
