Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,51.56,52.39,50.93,51.00,682600,51.00
2014-06-12,51.42,52.13,50.63,51.19,669100,51.19
2014-06-11,51.38,51.62,51.16,51.39,657900,51.39
2014-06-10,51.00,51.82,51.00,51.79,592800,51.79
2014-06-09,51.58,51.84,51.19,51.25,1501400,51.25
2014-06-06,51.09,51.60,50.98,51.51,534600,51.51
2014-06-05,51.68,51.71,50.82,50.97,694000,50.97
2014-06-04,51.20,51.61,50.64,51.44,630600,51.44
2014-06-03,51.16,51.81,50.82,51.40,614500,51.40
2014-06-02,50.60,51.35,50.53,51.05,553100,51.05
2014-05-30,50.09,50.65,49.88,50.50,285800,50.50
2014-05-29,50.83,50.87,49.37,50.29,427000,50.29
2014-05-28,50.75,51.28,50.28,50.70,826800,50.70
2014-05-27,50.25,50.92,49.90,50.61,933900,50.61
2014-05-23,49.82,50.20,49.30,49.97,425700,49.97
2014-05-22,49.97,50.28,49.46,49.94,417600,49.94
2014-05-21,49.26,50.14,48.83,49.78,883700,49.78
2014-05-20,49.93,50.23,48.50,49.08,1088500,49.08
2014-05-19,48.97,50.34,48.74,50.17,929100,50.17
2014-05-16,48.38,49.03,47.89,49.02,962200,49.02
2014-05-15,49.46,49.46,47.76,48.23,785000,48.23
2014-05-14,49.89,50.29,48.97,49.42,533600,49.42
2014-05-13,49.78,50.57,49.56,50.08,642700,50.08
2014-05-12,49.04,50.01,48.95,49.65,393500,49.65
2014-05-09,48.84,49.07,48.27,48.77,731400,48.77
2014-05-08,49.00,50.42,48.78,48.90,678400,48.90
2014-05-07,49.21,49.90,48.60,49.36,591800,49.06
2014-05-06,49.77,49.91,48.62,48.64,563100,48.34
2014-05-05,49.95,50.61,48.08,50.15,1133000,49.85
2014-05-02,49.19,50.26,49.00,50.11,1158800,49.81
2014-05-01,48.25,49.85,47.11,48.99,2680600,48.69
2014-04-30,47.02,47.62,46.55,47.05,983300,46.76
2014-04-29,46.43,47.51,46.29,47.24,1030500,46.95
2014-04-28,47.35,47.57,45.95,46.42,632600,46.14
2014-04-25,48.57,48.77,47.14,47.37,565500,47.08
2014-04-24,48.03,49.25,47.71,49.01,1339700,48.71
2014-04-23,47.23,47.83,46.87,47.79,635900,47.50
2014-04-22,45.75,47.32,45.75,47.31,759200,47.02
2014-04-21,45.80,45.96,45.09,45.69,595900,45.41
2014-04-17,45.26,46.25,45.12,45.80,1169800,45.52
2014-04-16,44.74,45.24,44.53,44.98,632100,44.71
2014-04-15,45.06,45.29,43.27,44.24,670700,43.97
2014-04-14,44.94,45.30,44.13,44.78,984400,44.51
2014-04-11,44.93,45.20,43.56,44.20,1376000,43.93
2014-04-10,47.63,47.98,45.86,45.86,846900,45.58
2014-04-09,46.48,47.71,45.95,47.65,431500,47.36
2014-04-08,46.45,46.50,45.25,46.26,688900,45.98
2014-04-07,46.82,47.11,45.85,46.31,476200,46.03
2014-04-04,48.97,49.18,46.62,46.82,742500,46.54
2014-04-03,49.33,49.50,48.05,48.44,535000,48.15
2014-04-02,48.31,49.20,47.95,49.00,563600,48.70
2014-04-01,47.44,48.38,47.00,48.31,975600,48.02
2014-03-31,46.45,47.42,46.17,47.09,768700,46.80
2014-03-28,45.90,46.57,45.61,45.80,457600,45.52
2014-03-27,46.64,46.89,45.55,45.73,666800,45.45
2014-03-26,46.95,47.68,46.64,46.74,980600,46.46
2014-03-25,45.93,46.57,45.55,46.13,353700,45.85
2014-03-24,46.31,46.39,45.44,45.73,538300,45.45
2014-03-21,46.75,46.94,45.89,46.20,1045500,45.92
2014-03-20,45.46,46.56,45.31,46.38,825900,46.10
2014-03-19,46.01,46.07,45.41,45.46,419800,45.18
2014-03-18,46.14,46.26,45.85,45.93,521900,45.65
2014-03-17,45.79,46.21,45.72,45.99,704700,45.71
2014-03-14,45.86,46.09,45.36,45.46,464000,45.18
2014-03-13,46.91,46.94,45.48,46.00,688900,45.72
2014-03-12,46.33,46.63,45.87,46.61,348700,46.33
2014-03-11,46.60,47.29,46.17,46.55,923900,46.27
2014-03-10,45.81,46.76,45.51,46.69,676800,46.41
2014-03-07,46.14,46.50,45.52,45.81,573600,45.53
