Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,39.15,39.79,39.03,39.41,857100,39.41
2014-06-12,39.20,39.30,38.79,39.03,462500,39.03
2014-06-11,39.64,39.69,39.25,39.35,433800,39.35
2014-06-10,40.08,40.08,39.57,39.70,408900,39.70
2014-06-09,40.68,40.70,39.85,40.04,645800,40.04
2014-06-06,40.66,40.77,40.26,40.72,630000,40.72
2014-06-05,39.64,40.51,39.39,40.38,757400,40.38
2014-06-04,37.44,40.07,37.14,40.04,1202400,40.04
2014-06-03,38.12,38.38,37.81,37.94,914600,37.94
2014-06-02,38.16,38.72,38.05,38.49,610200,38.49
2014-05-30,38.07,38.31,37.86,38.15,3418300,38.15
2014-05-29,38.15,38.45,37.62,38.27,673800,38.27
2014-05-28,37.59,38.50,37.59,38.03,840900,38.03
2014-05-27,37.72,38.45,37.61,37.74,649000,37.74
2014-05-23,37.02,37.96,37.02,37.74,445000,37.74
2014-05-22,36.80,37.48,36.57,37.13,580700,37.13
2014-05-21,36.93,37.16,36.52,36.90,602700,36.90
2014-05-20,37.41,37.41,36.68,36.84,908700,36.84
2014-05-19,36.84,37.57,36.83,37.50,452400,37.50
2014-05-16,36.84,37.21,36.64,37.07,807300,37.07
2014-05-15,37.67,37.85,36.82,36.95,1312800,36.95
2014-05-14,38.17,38.24,37.75,37.86,371000,37.86
2014-05-13,38.28,38.49,38.15,38.26,437600,38.26
2014-05-12,37.91,38.52,37.91,38.32,430100,38.32
2014-05-09,37.39,37.97,37.28,37.88,370000,37.88
2014-05-08,37.32,38.12,37.25,37.45,503300,37.45
2014-05-07,37.00,37.50,36.62,37.48,630300,37.48
2014-05-06,36.97,37.14,36.52,36.99,995300,36.99
2014-05-05,35.82,37.65,35.70,37.04,801900,37.04
2014-05-02,37.35,37.51,36.91,36.98,853500,36.98
2014-05-01,37.50,37.79,37.21,37.29,937600,37.29
2014-04-30,37.31,37.35,36.81,37.24,1281500,37.24
2014-04-29,37.34,37.69,37.17,37.25,581900,37.25
2014-04-28,36.91,37.25,36.67,37.11,523300,37.11
2014-04-25,36.98,37.07,36.68,36.85,567700,36.85
2014-04-24,37.58,37.74,37.10,37.12,513100,37.12
2014-04-23,37.48,37.73,37.23,37.57,443500,37.57
2014-04-22,37.10,37.67,37.10,37.60,532900,37.60
2014-04-21,37.07,37.59,37.06,37.25,629300,37.25
2014-04-17,37.22,37.53,37.06,37.36,517800,37.36
2014-04-16,37.22,37.51,37.14,37.37,952100,37.37
2014-04-15,36.86,37.42,36.73,37.32,808900,37.32
2014-04-14,36.46,37.16,36.46,36.91,1235500,36.91
2014-04-11,36.15,37.34,36.05,36.83,1772100,36.83
2014-04-10,36.97,37.37,36.66,37.09,1321200,36.77
2014-04-09,37.28,37.38,36.87,37.06,1412700,36.74
2014-04-08,37.00,37.53,36.85,37.21,904100,36.89
2014-04-07,36.87,37.17,36.77,36.95,1216400,36.63
2014-04-04,36.93,37.45,36.82,36.97,2358000,36.65
2014-04-03,36.71,36.96,36.45,36.85,1239200,36.53
2014-04-02,36.98,37.20,36.38,36.71,1865200,36.39
2014-04-01,35.86,37.08,35.66,37.05,2182500,36.73
2014-03-31,34.63,35.49,34.43,35.37,1695500,35.06
2014-03-28,34.77,35.50,34.00,34.64,2475000,34.34
2014-03-27,41.30,41.30,35.02,35.20,4861700,34.90
2014-03-26,43.24,43.36,42.89,43.14,854200,42.77
2014-03-25,42.67,43.11,42.48,42.98,804000,42.61
2014-03-24,42.09,42.53,42.03,42.35,1013600,41.98
2014-03-21,42.22,42.56,42.09,42.31,1256000,41.94
2014-03-20,42.50,42.74,42.05,42.10,708400,41.74
2014-03-19,43.01,43.19,42.48,42.63,533800,42.26
2014-03-18,42.48,42.98,42.38,42.89,827700,42.52
2014-03-17,42.37,42.80,42.36,42.49,594500,42.12
2014-03-14,42.21,42.79,42.17,42.23,834000,41.87
2014-03-13,42.78,43.16,42.34,42.40,863600,42.03
2014-03-12,42.88,43.30,42.61,42.80,771200,42.43
2014-03-11,44.31,44.41,43.06,43.20,916200,42.83
2014-03-10,44.13,44.66,43.93,44.12,475600,43.74
2014-03-07,44.46,44.62,43.91,44.39,689600,44.01
2014-03-06,44.92,44.97,44.36,44.43,403400,44.05
2014-03-05,45.23,45.23,44.50,44.80,465400,44.41
2014-03-04,44.79,45.34,44.36,45.27,370900,44.88
2014-03-03,44.20,44.79,43.78,44.67,481700,44.28
2014-02-28,44.66,45.07,44.36,44.66,556500,44.27
2014-02-27,45.02,45.34,44.62,44.65,553900,44.26
2014-02-26,44.94,45.32,44.76,45.04,633500,44.65
2014-02-25,45.00,45.26,44.76,44.94,906900,44.55
2014-02-24,45.41,45.65,44.98,45.05,601500,44.66
2014-02-21,45.99,45.99,45.46,45.51,572400,45.12
