Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,15.23,15.30,15.20,15.20,10600,15.20
2014-06-12,15.35,15.35,15.25,15.27,8600,15.27
2014-06-11,15.32,15.32,15.15,15.29,21500,15.29
2014-06-10,15.29,15.35,15.26,15.33,15100,15.33
2014-06-09,15.32,15.32,15.13,15.23,14800,15.23
2014-06-06,15.27,15.27,15.18,15.24,10200,15.24
2014-06-05,15.15,15.20,15.15,15.20,8600,15.20
2014-06-04,15.21,15.27,15.09,15.17,19400,15.17
2014-06-03,15.11,15.22,15.11,15.14,7900,15.14
2014-06-02,15.16,15.19,15.12,15.15,7900,15.15
2014-05-30,15.33,15.33,15.11,15.11,11800,15.11
2014-05-29,15.38,15.38,15.27,15.27,7300,15.27
2014-05-28,15.40,15.42,15.26,15.36,25100,15.36
2014-05-27,15.36,15.36,15.21,15.26,17000,15.26
2014-05-23,15.39,15.39,15.27,15.27,14300,15.27
2014-05-22,15.39,15.39,15.30,15.32,11000,15.32
2014-05-21,15.23,15.38,15.23,15.32,9800,15.32
2014-05-20,15.26,15.31,15.18,15.21,8900,15.21
2014-05-19,15.29,15.42,15.21,15.25,14500,15.25
2014-05-16,15.27,15.39,15.14,15.20,21800,15.20
2014-05-15,15.56,15.56,15.36,15.44,22500,15.44
2014-05-14,15.85,15.98,15.47,15.49,23700,15.49
2014-05-13,15.94,15.98,15.82,15.85,9500,15.85
2014-05-12,15.74,15.92,15.61,15.86,25900,15.86
2014-05-09,15.72,15.86,15.53,15.69,42900,15.69
2014-05-08,15.27,15.52,15.26,15.51,18800,15.51
2014-05-07,15.31,15.31,15.15,15.20,12500,15.20
2014-05-06,15.21,15.50,15.17,15.30,11200,15.30
2014-05-05,15.25,15.34,15.10,15.15,11500,15.15
2014-05-02,15.26,15.26,15.25,15.26,12700,15.26
2014-05-01,15.22,15.28,15.20,15.28,8200,15.28
2014-04-30,15.27,15.27,15.10,15.24,17000,15.24
2014-04-29,15.21,15.25,15.15,15.20,8900,15.20
2014-04-28,15.09,15.14,15.09,15.13,5700,15.13
2014-04-25,15.07,15.07,15.04,15.06,5000,15.06
2014-04-24,15.01,15.10,15.00,15.02,7300,15.02
2014-04-23,15.12,15.15,15.08,15.15,26900,14.85
2014-04-22,15.02,15.13,15.02,15.08,25600,14.78
2014-04-21,15.04,15.10,15.02,15.05,9000,14.75
2014-04-17,15.02,15.10,15.02,15.10,6700,14.80
2014-04-16,15.13,15.13,15.02,15.05,6300,14.75
2014-04-15,15.10,15.10,15.01,15.04,14400,14.74
2014-04-14,15.15,15.17,15.10,15.10,7000,14.80
2014-04-11,15.16,15.24,15.12,15.17,6800,14.87
2014-04-10,15.27,15.30,15.15,15.15,11600,14.85
2014-04-09,15.24,15.27,15.20,15.22,7200,14.92
2014-04-08,15.24,15.25,15.15,15.22,12200,14.92
2014-04-07,15.25,15.38,15.16,15.16,41200,14.86
2014-04-04,15.22,15.37,15.18,15.30,39700,15.00
2014-04-03,15.48,15.48,15.13,15.16,20800,14.86
2014-04-02,15.41,15.46,15.30,15.46,6300,15.15
2014-04-01,15.12,15.42,15.12,15.40,60900,15.10
