Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,24.50,24.59,24.45,24.56,3600,24.56
2014-06-12,24.40,24.58,24.40,24.58,7300,24.58
2014-06-11,24.55,24.75,24.36,24.45,9200,24.45
2014-06-10,24.80,24.80,24.80,24.80,300,24.42
2014-06-09,24.83,24.84,24.80,24.84,2900,24.46
2014-06-06,24.84,24.90,24.82,24.84,13900,24.46
2014-06-05,24.83,24.84,24.78,24.84,1800,24.46
2014-06-04,24.76,24.84,24.75,24.75,11700,24.37
2014-06-03,24.84,24.85,24.55,24.84,14500,24.46
2014-06-02,24.82,25.00,24.82,24.84,5000,24.46
2014-05-30,24.84,24.85,24.80,24.84,9700,24.46
2014-05-29,24.77,24.85,24.72,24.84,8000,24.46
2014-05-28,24.80,24.83,24.77,24.83,3200,24.45
2014-05-27,24.78,24.80,24.71,24.80,7600,24.42
2014-05-23,24.82,24.85,24.70,24.83,3900,24.45
2014-05-22,24.75,24.82,24.70,24.71,7000,24.33
2014-05-21,24.68,24.85,24.60,24.61,4400,24.23
2014-05-20,24.89,24.89,24.67,24.88,3400,24.50
2014-05-19,24.55,24.96,24.55,24.96,1400,24.57
2014-05-16,24.50,24.68,24.45,24.68,4100,24.30
2014-05-15,24.60,24.69,24.54,24.55,2400,24.17
2014-05-14,24.50,24.65,24.50,24.64,1400,24.26
2014-05-13,24.50,24.77,24.50,24.56,13100,24.18
2014-05-12,24.50,24.73,24.50,24.69,2800,24.31
2014-05-09,24.58,24.67,24.50,24.50,1400,24.12
2014-05-08,24.45,24.68,24.45,24.68,500,24.30
2014-05-07,24.60,24.87,24.27,24.62,1100,24.24
2014-05-06,24.66,24.88,24.65,24.65,5000,24.27
2014-05-05,24.75,24.78,24.68,24.78,15100,24.40
2014-05-02,24.70,24.75,24.70,24.70,4100,24.32
2014-05-01,24.65,24.75,24.60,24.70,6300,24.32
2014-04-30,24.60,24.69,24.55,24.65,10000,24.27
2014-04-29,24.38,24.60,24.25,24.60,13100,24.22
2014-04-28,24.58,24.60,24.35,24.56,4700,24.18
2014-04-25,24.75,24.75,24.56,24.60,1900,24.22
2014-04-24,24.50,24.60,24.49,24.60,2800,24.22
2014-04-23,24.45,24.52,24.40,24.52,6100,24.14
2014-04-22,24.47,24.47,24.30,24.30,1700,23.92
2014-04-21,24.56,24.57,24.25,24.38,8200,24.00
2014-04-17,24.60,24.60,24.50,24.50,2900,24.12
