Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,15.35,15.35,15.35,15.35,700,15.35
2014-06-12,15.02,15.02,15.02,15.02,000,15.02
2014-06-11,15.02,15.02,15.02,15.02,000,15.02
2014-06-10,15.02,15.02,15.02,15.02,100,15.02
2014-06-09,15.49,15.49,15.15,15.23,600,15.23
2014-06-06,15.49,15.49,15.49,15.49,000,15.49
2014-06-05,15.49,15.49,15.49,15.49,100,15.49
2014-06-04,14.90,15.85,14.90,15.16,4500,15.16
2014-06-03,14.90,15.70,14.90,14.93,1600,14.93
2014-06-02,15.74,15.80,15.60,15.60,2900,15.60
2014-05-30,15.60,15.60,15.60,15.60,000,15.60
2014-05-29,15.60,15.60,15.60,15.60,000,15.60
2014-05-28,15.67,15.67,15.60,15.60,200,15.60
2014-05-27,15.34,15.37,15.32,15.37,4100,15.37
2014-05-23,14.99,15.15,14.75,14.91,9100,14.91
2014-05-22,14.98,15.30,14.80,14.80,2500,14.80
2014-05-21,14.81,14.81,14.74,14.74,500,14.74
2014-05-20,14.70,14.92,14.64,14.64,1000,14.64
2014-05-19,15.00,15.00,14.89,14.89,1000,14.89
2014-05-16,15.37,15.37,14.85,14.88,2700,14.88
2014-05-15,15.51,15.51,15.01,15.01,400,15.01
2014-05-14,15.31,15.32,15.19,15.19,700,15.19
2014-05-13,15.39,15.40,15.01,15.01,1500,15.01
2014-05-12,15.42,15.43,15.42,15.43,300,15.43
2014-05-09,15.73,15.73,15.73,15.73,200,15.73
2014-05-08,15.40,15.40,15.40,15.40,000,15.40
2014-05-07,15.40,15.40,15.15,15.40,1900,15.40
2014-05-06,15.50,15.50,15.01,15.09,2200,15.09
2014-05-05,15.68,15.68,15.45,15.60,1300,15.60
2014-05-02,15.09,15.09,15.09,15.09,000,14.99
2014-05-01,15.66,15.81,14.96,15.09,5700,14.99
2014-04-30,16.00,16.00,15.00,15.00,800,14.90
2014-04-29,14.95,14.95,14.95,14.95,000,14.85
2014-04-28,14.95,14.95,14.95,14.95,100,14.85
2014-04-25,14.90,15.50,14.80,14.80,15400,14.70
2014-04-24,14.90,14.90,14.90,14.90,600,14.80
2014-04-23,14.48,14.88,14.48,14.88,8200,14.78
2014-04-22,14.00,14.00,14.00,14.00,000,13.91
2014-04-21,14.00,14.00,14.00,14.00,600,13.91
2014-04-17,14.52,14.52,14.52,14.52,000,14.42
2014-04-16,14.50,14.52,14.40,14.52,900,14.42
2014-04-15,14.45,14.45,14.45,14.45,200,14.35
2014-04-14,14.48,14.48,14.48,14.48,500,14.38
2014-04-11,14.26,14.26,14.26,14.26,000,14.17
2014-04-10,14.26,14.26,14.26,14.26,600,14.17
2014-04-09,14.86,14.86,14.86,14.86,000,14.76
2014-04-08,14.86,14.86,14.86,14.86,000,14.76
2014-04-07,14.86,14.86,14.86,14.86,400,14.76
2014-04-04,14.50,14.50,14.50,14.50,200,14.40
2014-04-03,14.62,14.62,14.50,14.50,1100,14.40
2014-04-02,14.50,14.50,14.50,14.50,000,14.40
2014-04-01,14.50,14.50,14.50,14.50,000,14.40
2014-03-31,14.50,14.50,14.50,14.50,000,14.40
2014-03-28,14.50,14.50,14.50,14.50,000,14.40
2014-03-27,14.50,14.50,14.50,14.50,000,14.40
2014-03-26,14.36,14.50,14.36,14.50,1700,14.40
2014-03-25,14.36,14.36,14.36,14.36,100,14.26
2014-03-24,14.70,14.70,14.49,14.49,300,14.39
2014-03-21,14.36,14.36,14.36,14.36,900,14.26
2014-03-20,14.35,14.35,14.20,14.20,300,14.11
2014-03-19,14.10,14.10,14.10,14.10,600,14.01
2014-03-18,14.10,14.10,14.10,14.10,000,14.01
2014-03-17,14.11,14.11,14.10,14.10,700,14.01
2014-03-14,14.30,14.30,14.30,14.30,000,14.21
2014-03-13,14.30,14.30,14.30,14.30,000,14.21
2014-03-12,14.30,14.30,14.30,14.30,000,14.21
2014-03-11,14.25,14.30,14.25,14.30,1100,14.21
2014-03-10,14.93,14.93,14.93,14.93,300,14.83
2014-03-07,14.33,14.33,14.33,14.33,000,14.24
2014-03-06,14.50,14.54,14.33,14.33,600,14.24
2014-03-05,14.55,14.55,14.55,14.55,000,14.45
2014-03-04,14.55,14.55,14.52,14.55,2400,14.45
2014-03-03,14.50,14.54,14.50,14.50,3900,14.40
2014-02-28,14.90,14.90,14.25,14.53,1100,14.43
2014-02-27,14.64,14.64,14.25,14.25,600,14.16
2014-02-26,14.36,14.36,14.15,14.15,1800,14.06
2014-02-25,14.01,14.31,14.01,14.31,500,14.22
2014-02-24,14.40,14.75,14.38,14.75,2800,14.65
2014-02-21,14.47,14.47,14.47,14.47,300,14.37
2014-02-20,14.50,14.50,14.50,14.50,100,14.40
2014-02-19,14.60,14.60,14.60,14.60,200,14.50
2014-02-18,14.20,14.40,13.90,13.93,1200,13.84
2014-02-14,13.86,14.50,13.86,14.20,16000,14.11
2014-02-13,13.80,13.80,13.68,13.68,700,13.59
2014-02-12,13.80,13.80,13.80,13.80,000,13.71
2014-02-11,14.17,14.17,13.80,13.80,900,13.71
2014-02-10,14.24,14.24,14.24,14.24,000,14.15
2014-02-07,14.24,14.24,14.24,14.24,200,14.15
2014-02-06,14.10,14.10,14.10,14.10,200,14.01
2014-02-05,13.98,14.08,13.90,14.01,5200,13.92
2014-02-04,14.05,14.05,14.05,14.05,000,13.96
2014-02-03,14.01,14.20,14.01,14.05,1600,13.96
2014-01-31,14.01,14.01,14.01,14.01,300,13.87
2014-01-30,14.45,14.45,14.38,14.38,700,14.23
2014-01-29,14.22,14.22,14.22,14.22,000,14.08
2014-01-28,14.22,14.22,14.22,14.22,000,14.08
2014-01-27,14.60,14.60,14.21,14.22,700,14.08
2014-01-24,14.97,14.97,14.45,14.50,2100,14.35
2014-01-23,13.80,14.97,13.69,14.10,2200,13.96
2014-01-22,14.10,14.13,14.00,14.00,1800,13.86
2014-01-21,13.82,14.50,13.68,14.16,11400,14.02
2014-01-17,13.39,13.57,13.39,13.57,700,13.43
2014-01-16,13.25,13.75,13.25,13.35,1200,13.21
2014-01-15,13.43,13.43,13.30,13.30,900,13.16
2014-01-14,13.47,13.55,13.41,13.41,3300,13.27
2014-01-13,13.75,13.85,13.25,13.54,5600,13.40
2014-01-10,14.11,14.11,14.11,14.11,000,13.97
2014-01-09,14.11,14.11,14.11,14.11,000,13.97
2014-01-08,14.11,14.11,14.11,14.11,000,13.97
2014-01-07,14.11,14.11,14.11,14.11,000,13.97
2014-01-06,14.11,14.11,14.11,14.11,1900,13.97
2014-01-03,14.46,14.90,14.35,14.35,1100,14.20
2014-01-02,14.34,14.40,14.33,14.33,4200,14.18
2013-12-31,14.29,14.34,14.29,14.34,600,14.19
2013-12-30,14.29,14.29,14.29,14.29,000,14.14
2013-12-27,14.21,14.36,14.20,14.29,6900,14.14
2013-12-26,13.86,14.85,13.86,14.00,5300,13.86
2013-12-24,14.20,14.20,13.90,13.90,500,13.66
2013-12-23,14.23,14.45,13.55,13.90,1200,13.66
2013-12-20,13.24,14.20,13.15,14.20,5600,13.95
2013-12-19,13.10,14.50,13.10,14.15,11400,13.91
2013-12-18,13.00,14.00,13.00,13.10,4500,12.87
2013-12-17,12.89,12.89,12.89,12.89,000,12.67
2013-12-16,12.65,13.00,12.65,12.89,3300,12.67
2013-12-13,12.62,12.65,12.60,12.65,2100,12.43
2013-12-12,12.70,12.75,12.68,12.75,4100,12.53
2013-12-11,12.55,12.79,12.54,12.71,6900,12.49
2013-12-10,12.55,12.55,12.55,12.55,000,12.33
2013-12-09,12.55,12.55,12.55,12.55,000,12.33
2013-12-06,12.35,12.56,12.35,12.55,4700,12.33
2013-12-05,12.42,12.43,12.42,12.43,500,12.22
2013-12-04,12.25,12.35,12.20,12.20,13300,11.99
2013-12-03,12.20,12.20,12.20,12.20,000,11.99
2013-12-02,12.20,12.20,12.20,12.20,100,11.99
2013-11-29,12.41,12.41,12.41,12.41,600,12.20
2013-11-27,12.45,12.58,12.10,12.10,11200,11.89
2013-11-26,12.57,12.57,12.52,12.53,2000,12.31
2013-11-25,12.44,12.69,12.43,12.69,2400,12.47
2013-11-22,12.25,12.45,12.25,12.42,3200,12.21
2013-11-21,12.39,12.39,12.39,12.39,100,12.18
2013-11-20,12.36,12.44,12.14,12.15,13300,11.94
2013-11-19,12.39,12.60,12.29,12.29,3800,12.08
2013-11-18,12.20,12.32,12.20,12.30,4800,12.09
2013-11-15,12.20,12.25,12.15,12.15,4800,11.94
2013-11-14,12.10,12.10,12.10,12.10,000,11.89
2013-11-13,12.08,12.25,12.05,12.10,400,11.89
2013-11-12,12.25,12.50,12.12,12.12,4800,11.91
2013-11-11,12.23,12.50,12.15,12.19,5300,11.98
2013-11-08,12.07,12.07,12.07,12.07,000,11.86
2013-11-07,12.07,12.07,12.07,12.07,000,11.86
2013-11-06,12.07,12.07,12.07,12.07,100,11.86
2013-11-05,12.05,12.10,12.05,12.10,3800,11.89
2013-11-04,12.05,12.05,12.01,12.01,300,11.80
2013-11-01,12.00,12.29,12.00,12.00,6000,11.74
2013-10-31,12.00,12.23,11.98,12.00,8200,11.74
2013-10-30,12.02,12.02,12.02,12.02,100,11.76
2013-10-29,12.01,12.35,12.00,12.00,9100,11.74
2013-10-28,12.05,12.08,12.01,12.01,1700,11.75
2013-10-25,12.30,12.30,12.00,12.01,4300,11.75
2013-10-24,12.03,12.17,12.00,12.15,6100,11.89
2013-10-23,11.70,12.25,11.70,12.25,11400,11.99
2013-10-22,11.70,11.70,11.63,11.63,600,11.38
2013-10-21,11.69,11.69,11.69,11.69,200,11.44
2013-10-18,11.70,11.70,11.60,11.60,600,11.35
2013-10-17,11.65,11.65,11.65,11.65,000,11.40
2013-10-16,11.65,11.65,11.65,11.65,100,11.40
2013-10-15,11.55,11.61,11.55,11.55,3800,11.30
2013-10-14,11.70,11.70,11.48,11.48,1300,11.23
2013-10-11,11.71,11.72,11.38,11.46,2600,11.21
2013-10-10,11.59,11.80,11.56,11.80,4200,11.55
2013-10-09,11.54,11.54,11.45,11.45,700,11.21
2013-10-08,11.75,11.75,11.50,11.50,1400,11.25
2013-10-07,11.65,11.65,11.53,11.53,200,11.28
2013-10-04,11.55,11.55,11.55,11.55,000,11.30
2013-10-03,11.55,11.55,11.55,11.55,000,11.30
2013-10-02,11.55,11.55,11.55,11.55,500,11.30
2013-10-01,11.45,11.83,11.45,11.49,18300,11.24
2013-09-30,11.68,11.71,11.45,11.45,4400,11.21
2013-09-27,11.50,11.50,11.50,11.50,000,11.25
