Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,9.84,9.88,9.80,9.82,72500,9.82
2014-06-12,9.84,9.85,9.81,9.85,59500,9.85
2014-06-11,9.83,9.89,9.83,9.87,103500,9.81
2014-06-10,9.86,9.88,9.83,9.86,158100,9.80
2014-06-09,9.78,9.87,9.78,9.85,135300,9.79
2014-06-06,9.71,9.81,9.71,9.80,152400,9.74
2014-06-05,9.66,9.73,9.66,9.71,73800,9.65
2014-06-04,9.75,9.77,9.66,9.66,205100,9.60
2014-06-03,9.83,9.84,9.75,9.75,175600,9.69
2014-06-02,9.86,9.86,9.80,9.82,153100,9.76
2014-05-30,9.84,9.87,9.81,9.83,83000,9.77
2014-05-29,9.85,9.87,9.82,9.83,75700,9.77
2014-05-28,9.83,9.87,9.83,9.84,114300,9.78
2014-05-27,9.84,9.84,9.81,9.82,99200,9.76
2014-05-23,9.77,9.82,9.77,9.81,167800,9.75
2014-05-22,9.77,9.78,9.75,9.76,122800,9.70
2014-05-21,9.73,9.77,9.73,9.76,114100,9.70
2014-05-20,9.73,9.75,9.72,9.73,100100,9.67
2014-05-19,9.72,9.75,9.71,9.71,129500,9.65
2014-05-16,9.73,9.76,9.70,9.70,180600,9.64
2014-05-15,9.74,9.77,9.70,9.72,182200,9.66
2014-05-14,9.70,9.74,9.70,9.72,129300,9.66
2014-05-13,9.69,9.73,9.69,9.69,199800,9.63
2014-05-12,9.73,9.79,9.72,9.77,147500,9.66
2014-05-09,9.72,9.76,9.72,9.73,124900,9.62
2014-05-08,9.72,9.78,9.68,9.74,163100,9.63
2014-05-07,9.70,9.77,9.70,9.74,187700,9.63
2014-05-06,9.66,9.73,9.66,9.73,192500,9.62
2014-05-05,9.66,9.70,9.65,9.67,192600,9.56
2014-05-02,9.66,9.71,9.64,9.66,235300,9.55
2014-05-01,9.71,9.76,9.65,9.70,208600,9.59
2014-04-30,9.63,9.67,9.62,9.64,239300,9.53
2014-04-29,9.65,9.67,9.61,9.61,151300,9.50
2014-04-28,9.70,9.75,9.66,9.66,161500,9.55
2014-04-25,9.67,9.71,9.67,9.68,124900,9.57
2014-04-24,9.62,9.68,9.62,9.66,140400,9.55
2014-04-23,9.60,9.64,9.60,9.64,81600,9.53
2014-04-22,9.60,9.61,9.57,9.59,197200,9.48
2014-04-21,9.55,9.57,9.53,9.57,134600,9.46
2014-04-17,9.52,9.54,9.49,9.52,161800,9.41
2014-04-16,9.48,9.52,9.48,9.50,102100,9.39
2014-04-15,9.46,9.51,9.46,9.48,84400,9.37
2014-04-14,9.50,9.52,9.46,9.48,148800,9.37
2014-04-11,9.52,9.54,9.48,9.50,78100,9.39
2014-04-10,9.54,9.60,9.53,9.57,132100,9.40
2014-04-09,9.55,9.57,9.52,9.54,127800,9.37
2014-04-08,9.52,9.56,9.52,9.55,136300,9.38
2014-04-07,9.53,9.55,9.50,9.54,163700,9.37
2014-04-04,9.48,9.53,9.47,9.50,135100,9.33
2014-04-03,9.46,9.52,9.45,9.48,105800,9.31
2014-04-02,9.51,9.54,9.42,9.46,184200,9.29
2014-04-01,9.52,9.54,9.49,9.51,113700,9.34
