Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,1.99,2.00,1.92,1.95,495200,1.95
2014-06-12,1.99,2.03,1.91,1.98,620900,1.98
2014-06-11,1.98,2.03,1.95,2.00,652500,2.00
2014-06-10,2.14,2.16,1.97,2.00,885500,2.00
2014-06-09,1.96,2.12,1.91,2.07,1735600,2.07
2014-06-06,1.96,2.00,1.87,1.94,1294400,1.94
2014-06-05,2.10,2.25,1.93,2.01,9052800,2.01
2014-06-04,1.71,1.80,1.71,1.76,372600,1.76
2014-06-03,1.78,1.80,1.70,1.76,751900,1.76
2014-06-02,1.85,1.89,1.76,1.78,624300,1.78
2014-05-30,1.98,2.00,1.88,1.92,638500,1.92
2014-05-29,1.95,2.03,1.90,1.98,949700,1.98
2014-05-28,1.85,2.01,1.82,1.95,1828500,1.95
2014-05-27,1.82,1.89,1.80,1.86,746700,1.86
2014-05-23,1.70,1.87,1.69,1.81,1712900,1.81
2014-05-22,1.68,1.73,1.66,1.70,242000,1.70
2014-05-21,1.69,1.74,1.66,1.68,257400,1.68
2014-05-20,1.69,1.77,1.67,1.71,393800,1.71
2014-05-19,1.60,1.68,1.59,1.67,249300,1.67
2014-05-16,1.64,1.67,1.58,1.59,360800,1.59
2014-05-15,1.69,1.69,1.62,1.65,304400,1.65
2014-05-14,1.65,1.81,1.61,1.68,1475000,1.68
2014-05-13,1.64,1.71,1.63,1.65,444600,1.65
2014-05-12,1.59,1.67,1.58,1.63,231900,1.63
2014-05-09,1.55,1.62,1.55,1.59,297000,1.59
2014-05-08,1.58,1.58,1.55,1.55,319400,1.55
2014-05-07,1.61,1.64,1.55,1.57,634800,1.57
2014-05-06,1.65,1.72,1.60,1.60,1063900,1.60
2014-05-05,1.70,1.72,1.62,1.65,418800,1.65
2014-05-02,1.68,1.72,1.65,1.70,304300,1.70
2014-05-01,1.67,1.75,1.63,1.68,180300,1.68
2014-04-30,1.76,1.77,1.65,1.69,546700,1.69
2014-04-29,1.65,1.79,1.65,1.74,718600,1.74
2014-04-28,1.70,1.71,1.62,1.66,312200,1.66
2014-04-25,1.68,1.69,1.63,1.69,250300,1.69
2014-04-24,1.69,1.73,1.64,1.65,367900,1.65
2014-04-23,1.65,1.72,1.64,1.67,371500,1.67
2014-04-22,1.69,1.70,1.63,1.63,370400,1.63
2014-04-21,1.65,1.71,1.65,1.68,356300,1.68
2014-04-17,1.64,1.71,1.63,1.64,275400,1.64
