Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,14.49,14.69,14.18,14.53,120700,14.53
2014-06-12,14.24,14.60,14.08,14.50,96600,14.50
2014-06-11,14.01,14.39,13.71,14.32,41300,14.32
2014-06-10,13.88,14.17,13.61,14.16,89400,14.16
2014-06-09,13.67,14.00,13.46,13.95,118400,13.95
2014-06-06,13.52,13.80,13.23,13.71,146600,13.71
2014-06-05,13.00,13.49,12.57,13.36,246100,13.36
2014-06-04,12.56,13.15,12.37,13.12,134900,13.12
2014-06-03,12.22,12.69,11.87,12.65,117200,12.65
2014-06-02,13.24,13.26,12.10,12.24,275700,12.24
2014-05-30,13.35,13.58,12.95,13.31,141400,13.31
2014-05-29,13.32,13.35,13.16,13.30,49400,13.30
2014-05-28,13.36,13.52,13.00,13.30,76400,13.30
2014-05-27,13.10,13.70,13.03,13.42,72100,13.42
2014-05-23,13.04,13.73,12.83,12.97,41900,12.97
2014-05-22,13.26,13.26,12.73,13.11,106900,13.11
2014-05-21,13.33,13.50,12.70,13.27,54900,13.27
2014-05-20,13.42,13.58,13.11,13.32,58200,13.32
2014-05-19,14.04,14.43,13.27,13.50,95900,13.50
2014-05-16,13.97,14.29,13.90,14.17,59900,14.17
2014-05-15,13.88,14.01,13.45,13.89,49400,13.89
2014-05-14,13.53,13.93,13.35,13.90,74200,13.90
2014-05-13,14.30,14.35,13.41,13.60,191700,13.60
2014-05-12,13.97,14.58,13.87,14.35,88500,14.35
2014-05-09,13.63,14.23,13.20,14.03,107100,14.03
2014-05-08,12.62,14.20,12.31,13.69,181500,13.69
2014-05-07,13.59,13.73,12.00,12.26,185200,12.26
2014-05-06,13.75,14.26,13.59,13.76,126400,13.76
2014-05-05,14.53,14.58,13.73,13.75,101500,13.75
2014-05-02,14.91,15.20,14.38,14.69,61100,14.69
2014-05-01,14.92,15.20,14.21,14.92,66600,14.92
2014-04-30,14.23,15.00,14.00,14.92,78600,14.92
2014-04-29,14.55,14.58,14.15,14.31,25300,14.31
2014-04-28,14.30,14.54,13.55,14.52,81100,14.52
2014-04-25,15.31,15.39,13.66,14.19,100100,14.19
2014-04-24,16.07,16.17,15.12,15.42,75700,15.42
2014-04-23,15.99,15.99,15.43,15.91,81400,15.91
2014-04-22,15.90,16.15,15.89,15.95,42300,15.95
2014-04-21,15.70,16.09,15.54,15.95,22800,15.95
2014-04-17,15.84,15.93,15.41,15.71,25500,15.71
2014-04-16,15.81,16.13,15.25,15.91,48600,15.91
2014-04-15,15.57,15.75,14.68,15.60,81100,15.60
2014-04-14,15.64,15.65,15.01,15.36,50400,15.36
2014-04-11,15.41,15.99,15.02,15.41,98100,15.41
2014-04-10,16.02,16.06,15.21,15.62,87900,15.62
2014-04-09,15.09,16.27,15.06,16.12,125400,16.12
2014-04-08,15.00,15.77,14.88,14.97,37700,14.97
2014-04-07,14.98,15.08,14.12,15.01,129000,15.01
2014-04-04,16.96,17.09,15.08,15.16,114300,15.16
2014-04-03,17.75,18.00,16.60,16.85,97000,16.85
2014-04-02,17.57,17.91,17.03,17.75,91900,17.75
2014-04-01,17.85,17.88,17.15,17.56,52500,17.56
2014-03-31,17.87,18.00,17.07,17.90,125100,17.90
2014-03-28,17.89,18.14,17.19,17.83,58700,17.83
2014-03-27,17.51,18.23,17.06,17.79,95200,17.79
2014-03-26,18.21,18.48,17.32,17.46,150900,17.46
2014-03-25,18.64,18.78,17.78,18.15,83700,18.15
2014-03-24,18.04,18.78,16.88,18.45,84100,18.45
2014-03-21,18.63,18.63,17.96,18.02,103700,18.02
2014-03-20,18.12,18.68,18.03,18.63,37700,18.63
2014-03-19,17.96,18.48,17.92,18.09,60900,18.09
2014-03-18,18.00,18.18,17.82,18.00,48400,18.00
2014-03-17,17.57,18.39,17.57,17.96,91400,17.96
2014-03-14,16.47,17.41,16.08,17.40,41400,17.40
2014-03-13,16.61,16.71,16.16,16.47,45400,16.47
2014-03-12,16.54,16.87,16.19,16.55,85400,16.55
2014-03-11,16.85,17.23,16.60,16.68,47400,16.68
2014-03-10,16.97,17.35,16.55,16.90,74700,16.90
2014-03-07,17.42,17.49,16.50,16.95,197800,16.95
2014-03-06,17.28,18.35,17.15,17.19,101200,17.19
2014-03-05,17.25,17.45,16.81,17.15,62300,17.15
2014-03-04,15.95,17.34,15.71,16.96,90400,16.96
2014-03-03,15.26,15.86,14.96,15.71,36200,15.71
2014-02-28,15.14,15.51,14.79,15.45,139900,15.45
2014-02-27,14.39,15.15,14.37,14.99,108000,14.99
2014-02-26,14.37,14.50,14.15,14.50,39800,14.50
2014-02-25,14.57,14.74,14.06,14.41,34300,14.41
2014-02-24,15.08,15.08,13.93,14.71,128800,14.71
2014-02-21,15.09,15.45,14.06,14.99,194800,14.99
2014-02-20,14.15,14.15,13.76,14.10,53100,14.10
2014-02-19,14.04,14.50,14.01,14.41,21000,14.41
2014-02-18,14.57,14.75,13.99,14.08,69100,14.08
2014-02-14,14.43,14.76,14.12,14.50,205000,14.50
2014-02-13,13.49,14.53,13.47,14.40,197500,14.40
2014-02-12,12.97,13.53,12.62,13.53,64700,13.53
2014-02-11,12.65,12.93,12.54,12.80,31400,12.80
2014-02-10,12.95,12.95,12.55,12.55,100800,12.55
2014-02-07,12.60,12.96,12.33,12.94,62000,12.94
2014-02-06,12.53,12.61,12.16,12.50,33400,12.50
2014-02-05,12.48,12.62,12.20,12.40,32300,12.40
2014-02-04,11.99,12.53,11.95,12.50,21600,12.50
2014-02-03,12.75,13.26,11.89,11.99,42500,11.99
2014-01-31,12.44,12.76,12.23,12.74,76300,12.74
2014-01-30,12.51,12.80,12.51,12.69,33700,12.69
2014-01-29,12.32,12.53,12.17,12.45,52100,12.45
2014-01-28,12.64,13.37,12.10,12.48,51200,12.48
2014-01-27,12.28,12.75,12.00,12.68,60500,12.68
2014-01-24,12.37,12.70,11.88,12.59,60600,12.59
2014-01-23,12.91,12.91,12.09,12.37,44100,12.37
2014-01-22,12.58,12.98,12.30,12.93,35900,12.93
2014-01-21,12.88,12.97,12.13,12.62,43600,12.62
2014-01-17,12.25,12.91,12.15,12.71,64500,12.71
2014-01-16,11.98,12.48,11.80,12.25,208900,12.25
2014-01-15,12.17,12.44,11.88,11.98,62200,11.98
2014-01-14,10.93,12.43,10.93,12.05,173400,12.05
2014-01-13,10.90,11.20,10.82,10.85,139500,10.85
2014-01-10,10.88,11.08,10.52,11.08,23100,11.08
2014-01-09,10.77,10.97,10.25,10.89,25300,10.89
2014-01-08,10.79,10.85,10.65,10.77,15900,10.77
2014-01-07,10.88,11.03,10.70,10.83,12800,10.83
2014-01-06,10.86,11.00,10.73,10.82,13300,10.82
2014-01-03,11.13,11.37,10.77,10.92,28600,10.92
2014-01-02,11.21,11.21,10.40,11.11,90300,11.11
2013-12-31,11.09,11.65,11.05,11.16,49200,11.16
2013-12-30,11.11,11.24,10.87,11.04,13800,11.04
2013-12-27,11.18,11.19,10.74,11.08,18400,11.08
2013-12-26,11.17,11.47,10.84,11.15,58500,11.15
2013-12-24,11.09,11.35,11.05,11.18,12600,11.18
2013-12-23,11.11,11.50,10.90,11.05,90100,11.05
2013-12-20,11.06,11.14,10.79,11.06,545600,11.06
2013-12-19,11.36,11.65,11.06,11.06,48800,11.06
2013-12-18,11.29,11.83,11.21,11.46,76900,11.46
2013-12-17,11.31,11.68,11.04,11.38,124000,11.38
2013-12-16,10.80,11.70,10.52,11.22,84900,11.22
2013-12-13,10.91,11.37,10.81,10.83,91700,10.83
2013-12-12,10.82,10.88,10.54,10.80,40500,10.80
2013-12-11,10.93,11.14,10.52,10.76,68100,10.76
2013-12-10,10.85,11.19,10.72,11.06,53900,11.06
2013-12-09,10.32,11.80,10.25,10.78,129900,10.78
2013-12-06,9.99,10.29,9.99,10.22,86900,10.22
2013-12-05,10.30,10.43,9.71,9.90,174400,9.90
2013-12-04,9.60,10.18,9.49,9.70,254600,9.70
2013-12-03,10.00,10.08,9.75,9.84,118500,9.84
2013-12-02,10.60,10.60,9.76,9.96,199400,9.96
2013-11-29,10.60,10.69,10.54,10.60,75700,10.60
2013-11-27,9.98,10.47,9.81,10.47,157900,10.47
2013-11-26,9.92,10.04,9.82,9.98,165400,9.98
2013-11-25,10.20,10.25,9.75,9.92,76000,9.92
2013-11-22,9.72,10.15,9.65,10.04,196500,10.04
2013-11-21,9.11,9.90,9.10,9.82,252200,9.82
2013-11-20,8.97,9.23,8.92,9.11,88200,9.11
2013-11-19,8.83,8.95,8.83,8.90,43500,8.90
2013-11-18,8.97,8.97,8.70,8.83,150300,8.83
2013-11-15,8.60,8.97,8.50,8.85,102000,8.85
2013-11-14,8.85,8.85,8.56,8.60,86800,8.60
2013-11-13,9.00,9.00,8.70,8.85,122300,8.85
2013-11-12,9.00,9.15,8.75,8.90,193700,8.90
2013-11-11,9.25,9.25,8.80,9.00,210100,9.00
2013-11-08,9.48,9.69,9.25,9.25,263200,9.25
2013-11-07,11.25,12.00,9.45,9.55,4617100,9.55
