Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,9.58,9.58,9.48,9.58,7600,9.58
2014-06-12,9.47,9.60,9.44,9.52,15500,9.52
2014-06-11,9.41,9.56,9.41,9.52,5600,9.52
2014-06-10,9.50,9.52,9.36,9.52,2100,9.52
2014-06-09,9.40,9.53,9.36,9.46,17100,9.46
2014-06-06,9.31,9.50,9.31,9.35,13100,9.35
2014-06-05,9.03,9.36,9.01,9.34,7700,9.34
2014-06-04,9.18,9.19,8.91,9.08,24200,9.08
2014-06-03,8.93,9.34,8.93,9.05,9200,9.05
2014-06-02,9.47,9.47,8.89,9.01,22200,9.01
2014-05-30,9.62,9.77,9.53,9.58,5000,9.58
2014-05-29,9.55,9.66,9.47,9.62,15400,9.62
2014-05-28,9.51,9.72,9.40,9.54,23800,9.54
2014-05-27,9.42,10.03,9.42,9.51,37600,9.51
2014-05-23,8.82,9.50,8.80,9.50,36400,9.50
2014-05-22,8.79,8.93,8.54,8.82,11800,8.82
2014-05-21,8.65,8.84,8.63,8.73,13800,8.73
2014-05-20,8.56,8.73,8.51,8.65,13500,8.65
2014-05-19,8.53,8.72,8.53,8.62,27400,8.62
2014-05-16,8.40,8.88,8.37,8.68,15100,8.68
2014-05-15,8.17,8.50,8.09,8.43,13300,8.43
2014-05-14,8.22,8.72,8.09,8.27,78500,8.27
2014-05-13,8.41,8.62,8.15,8.30,30800,8.30
2014-05-12,8.70,8.70,8.40,8.44,57200,8.44
2014-05-09,8.79,8.88,8.43,8.49,49300,8.49
2014-05-08,9.03,9.31,8.80,8.86,55200,8.86
2014-05-07,10.00,10.00,8.96,9.00,145300,9.00
2014-05-06,10.19,10.59,9.95,10.02,47100,10.02
2014-05-05,10.26,10.61,10.00,10.27,18600,10.27
2014-05-02,10.64,10.81,10.37,10.37,16200,10.37
2014-05-01,11.47,11.47,10.40,10.68,43300,10.68
2014-04-30,10.21,10.21,9.66,9.97,17400,9.97
2014-04-29,10.52,10.67,10.18,10.31,19900,10.31
2014-04-28,11.23,11.47,10.52,10.52,23600,10.52
2014-04-25,11.24,11.39,11.04,11.23,35400,11.23
2014-04-24,10.37,11.38,10.26,11.16,55900,11.16
2014-04-23,10.17,10.49,9.88,10.38,38000,10.38
2014-04-22,10.10,10.30,9.95,10.17,21100,10.17
2014-04-21,9.86,10.22,9.45,10.12,76100,10.12
2014-04-17,9.97,10.22,9.71,10.12,16300,10.12
2014-04-16,9.63,9.97,9.51,9.91,33700,9.91
2014-04-15,9.18,9.64,9.08,9.55,44400,9.55
2014-04-14,9.97,9.97,9.10,9.21,75100,9.21
2014-04-11,10.12,10.19,9.77,9.97,44100,9.97
2014-04-10,10.51,10.51,10.07,10.13,23200,10.13
2014-04-09,10.37,10.63,10.15,10.52,25200,10.52
2014-04-08,11.22,11.22,10.23,10.40,84500,10.40
2014-04-07,12.13,12.13,11.12,11.21,100800,11.21
2014-04-04,12.00,12.30,12.00,12.19,39500,12.19
