Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,16.68,16.71,16.54,16.70,211600,16.70
2014-06-12,16.53,16.80,16.50,16.69,213800,16.69
2014-06-11,16.94,16.94,16.62,16.69,246100,16.69
2014-06-10,17.11,17.11,16.89,16.96,226100,16.96
2014-06-09,16.90,17.23,16.90,17.11,694600,17.11
2014-06-06,16.98,16.98,16.77,16.93,390700,16.93
2014-06-05,16.12,16.98,16.11,16.89,816900,16.89
2014-06-04,15.51,16.02,15.45,15.96,303000,15.96
2014-06-03,15.67,15.80,15.51,15.54,279100,15.54
2014-06-02,15.63,15.77,15.52,15.68,182500,15.68
2014-05-30,15.77,15.77,15.59,15.67,187500,15.67
2014-05-29,15.96,16.06,15.66,15.75,120900,15.75
2014-05-28,15.95,16.02,15.76,15.87,182600,15.87
2014-05-27,15.95,16.15,15.79,16.01,260600,16.01
2014-05-23,15.50,15.80,15.31,15.79,323400,15.79
2014-05-22,15.32,15.51,15.19,15.48,221000,15.48
2014-05-21,15.25,15.45,15.14,15.27,385500,15.27
2014-05-20,15.29,15.38,15.14,15.17,469700,15.17
2014-05-19,15.47,15.58,15.28,15.32,235600,15.32
2014-05-16,15.44,15.51,15.30,15.48,238500,15.48
2014-05-15,15.31,15.54,15.01,15.43,323700,15.43
2014-05-14,15.80,15.80,15.52,15.58,339800,15.36
2014-05-13,16.21,16.26,15.80,15.84,346300,15.62
2014-05-12,16.29,16.45,16.05,16.19,614500,15.96
2014-05-09,16.15,16.28,16.00,16.25,586500,16.02
2014-05-08,15.96,16.32,15.87,16.24,1114700,16.01
2014-05-07,14.60,15.96,14.54,15.92,1524900,15.70
2014-05-06,15.78,16.04,14.56,14.65,3965700,14.44
2014-05-05,15.23,15.41,15.09,15.29,343800,15.07
2014-05-02,15.24,15.43,15.21,15.27,299100,15.05
2014-05-01,15.67,15.67,15.12,15.27,525400,15.05
2014-04-30,14.93,15.22,14.85,15.19,332800,14.98
2014-04-29,15.20,15.25,14.89,14.92,216400,14.71
2014-04-28,15.23,15.39,14.97,15.10,295600,14.89
2014-04-25,15.20,15.31,15.10,15.15,341500,14.94
2014-04-24,15.37,15.45,15.20,15.27,416200,15.05
2014-04-23,15.52,15.62,15.25,15.33,317600,15.11
2014-04-22,15.67,15.75,15.45,15.52,230100,15.30
2014-04-21,15.25,15.64,15.21,15.60,439300,15.38
2014-04-17,14.93,15.16,14.93,15.13,154000,14.92
2014-04-16,15.05,15.09,14.88,14.97,204400,14.76
2014-04-15,14.92,14.97,14.59,14.92,264900,14.71
2014-04-14,15.06,15.15,14.74,14.91,538400,14.70
2014-04-11,15.02,15.25,14.87,14.89,436400,14.68
2014-04-10,15.60,15.81,14.95,15.17,3583300,14.96
2014-04-09,15.48,15.68,15.39,15.65,204600,15.43
2014-04-08,15.38,15.52,15.22,15.41,147500,15.19
2014-04-07,15.62,15.83,15.19,15.33,190000,15.11
2014-04-04,16.01,16.04,15.56,15.64,359200,15.42
2014-04-03,15.86,15.98,15.76,15.90,352400,15.68
2014-04-02,15.57,15.82,15.47,15.82,331600,15.60
2014-04-01,15.42,15.68,15.31,15.58,714700,15.36
2014-03-31,14.89,15.23,14.82,15.00,273400,14.79
2014-03-28,14.78,15.04,14.70,14.85,214600,14.64
2014-03-27,14.68,15.00,14.65,14.81,253000,14.60
2014-03-26,14.88,15.21,14.72,14.74,555000,14.53
2014-03-25,14.87,14.96,14.73,14.76,239100,14.55
2014-03-24,15.25,15.25,14.76,14.82,207900,14.61
