Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,37.53,37.54,36.62,36.78,119700,36.78
2014-06-12,38.30,38.30,37.37,37.48,66000,37.48
2014-06-11,38.25,38.50,37.99,38.27,156100,38.27
2014-06-10,38.19,38.56,37.52,38.41,153600,38.41
2014-06-09,37.90,38.57,37.90,38.32,118500,38.32
2014-06-06,38.01,38.58,37.57,37.98,122000,37.98
2014-06-05,36.80,37.92,36.45,37.67,154900,37.67
2014-06-04,36.67,37.19,36.53,37.04,83000,37.04
2014-06-03,36.89,37.25,36.58,36.97,150400,36.97
2014-06-02,37.73,37.73,36.74,37.00,150400,37.00
2014-05-30,37.79,38.09,37.17,37.79,129900,37.79
2014-05-29,37.74,37.90,37.39,37.67,106100,37.67
2014-05-28,38.06,38.21,37.26,37.74,138400,37.74
2014-05-27,37.96,38.37,37.44,38.00,82500,38.00
2014-05-23,37.09,37.75,36.76,37.48,85400,37.48
2014-05-22,36.59,37.43,36.34,37.03,105800,37.03
2014-05-21,36.90,37.58,36.26,36.53,116700,36.53
2014-05-20,36.94,37.04,35.78,36.60,228800,36.60
2014-05-19,36.29,37.68,36.29,37.19,114300,37.19
2014-05-16,36.38,37.03,36.09,36.31,296800,36.31
2014-05-15,36.58,36.74,35.50,36.45,173000,36.45
2014-05-14,37.62,37.87,36.80,36.97,146800,36.97
2014-05-13,38.49,38.58,37.75,37.84,148300,37.84
2014-05-12,37.04,38.74,37.04,38.53,178600,38.53
2014-05-09,36.74,37.18,36.31,36.73,298800,36.73
2014-05-08,38.11,38.43,36.91,36.98,210000,36.98
2014-05-07,39.20,42.51,37.89,38.30,300100,38.30
2014-05-06,40.46,40.90,38.78,39.01,263500,39.01
2014-05-05,40.28,41.11,40.00,40.70,124100,40.70
2014-05-02,41.10,41.73,40.50,40.68,121300,40.68
2014-05-01,41.49,41.55,40.00,40.96,192900,40.96
2014-04-30,41.67,41.90,40.67,41.78,116200,41.78
2014-04-29,42.21,42.47,41.53,41.72,132900,41.72
2014-04-28,41.67,42.48,40.51,41.87,166100,41.87
2014-04-25,42.04,42.42,41.15,41.41,138400,41.41
2014-04-24,43.06,43.87,41.69,42.38,86600,42.38
