Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,36.40,36.40,35.39,36.08,336700,36.08
2014-06-12,36.57,36.73,36.42,36.66,33700,36.66
2014-06-11,36.57,36.70,36.25,36.63,81400,36.63
2014-06-10,36.52,36.84,36.16,36.72,43200,36.72
2014-06-09,36.73,36.80,36.35,36.60,393800,36.60
2014-06-06,36.40,36.62,36.19,36.56,541300,36.56
2014-06-05,35.57,36.44,35.52,36.34,120900,36.34
2014-06-04,35.40,35.60,35.20,35.57,198800,35.57
2014-06-03,35.23,35.55,34.87,35.42,146400,35.42
2014-06-02,35.07,35.15,34.37,35.04,131000,35.04
2014-05-30,34.52,35.07,34.47,35.00,141400,35.00
2014-05-29,34.39,34.64,34.14,34.64,146100,34.64
2014-05-28,34.17,34.46,33.55,34.40,98800,34.40
2014-05-27,34.71,34.72,34.10,34.35,109200,34.35
2014-05-23,34.70,34.86,34.57,34.66,47000,34.66
2014-05-22,34.89,34.89,34.45,34.81,47700,34.81
2014-05-21,34.94,35.03,34.49,34.89,42100,34.89
2014-05-20,35.05,35.05,34.65,34.90,45600,34.90
2014-05-19,34.80,35.38,34.57,34.99,1138300,34.99
2014-05-16,35.00,35.38,34.75,34.96,644200,34.96
2014-05-15,34.86,35.34,34.40,34.97,76400,34.97
2014-05-14,34.86,35.30,34.52,35.02,92100,35.02
2014-05-13,35.60,35.93,34.92,34.98,145600,34.98
2014-05-12,35.01,35.87,34.58,35.58,100700,35.58
2014-05-09,34.50,34.95,33.76,34.83,229500,34.83
2014-05-08,34.77,35.09,34.02,34.47,79500,34.47
2014-05-07,35.00,35.60,34.68,34.87,193500,34.87
2014-05-06,35.17,35.69,34.69,34.85,82100,34.85
2014-05-05,34.71,35.41,34.33,35.20,144900,35.20
2014-05-02,35.92,36.04,35.22,35.30,124100,34.75
2014-05-01,35.48,35.89,35.09,35.82,92200,35.27
2014-04-30,35.44,35.63,35.04,35.40,225400,34.85
2014-04-29,34.75,35.71,34.70,35.47,81000,34.92
