Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,45.06,45.49,44.80,45.36,1078800,45.36
2014-06-12,44.68,45.14,44.28,45.07,1395400,45.07
2014-06-11,45.10,45.24,44.65,44.66,1125700,44.66
2014-06-10,45.21,45.25,44.99,45.16,1110800,45.16
2014-06-09,45.35,45.50,45.03,45.17,1320100,45.17
2014-06-06,45.77,45.90,45.44,45.48,975600,45.48
2014-06-05,45.14,45.70,45.14,45.60,787600,45.60
2014-06-04,45.25,45.31,45.01,45.27,650700,45.27
2014-06-03,45.22,45.50,45.13,45.33,902600,45.33
2014-06-02,45.37,45.52,45.25,45.34,831800,45.34
2014-05-30,45.07,45.44,45.02,45.40,1638600,45.40
2014-05-29,45.19,45.29,44.77,45.03,1739200,45.03
2014-05-28,44.89,45.15,44.85,45.13,1114600,45.13
2014-05-27,45.56,45.67,45.18,45.22,1481700,44.83
2014-05-23,45.51,45.61,45.22,45.23,744100,44.84
2014-05-22,45.23,45.65,45.15,45.49,878100,45.09
2014-05-21,45.31,45.42,44.99,45.27,1341700,44.88
2014-05-20,45.25,45.66,44.83,45.19,1600000,44.80
2014-05-19,45.94,45.94,45.18,45.26,1331400,44.87
2014-05-16,45.49,46.02,45.35,45.98,2385800,45.58
2014-05-15,45.68,45.89,45.38,45.47,998900,45.07
2014-05-14,45.46,45.95,45.33,45.64,1660100,45.24
2014-05-13,45.27,45.64,45.16,45.34,1194200,44.95
2014-05-12,45.87,45.96,45.10,45.15,1617100,44.76
2014-05-09,46.42,46.60,45.70,45.77,1263000,45.37
2014-05-08,46.99,47.17,46.36,46.47,1251600,46.07
2014-05-07,46.51,47.07,46.43,47.00,1789500,46.59
2014-05-06,46.50,46.68,46.30,46.40,1162500,46.00
2014-05-05,46.06,46.70,45.99,46.62,1285100,46.21
2014-05-02,46.26,46.82,45.82,45.98,2165900,45.58
2014-05-01,47.51,47.51,46.79,47.16,1278900,46.75
2014-04-30,47.19,47.43,47.06,47.26,1677300,46.85
2014-04-29,47.33,47.60,46.97,47.11,2136500,46.70
2014-04-28,46.85,47.40,46.85,47.31,2126500,46.90
2014-04-25,46.54,47.02,46.48,46.97,1232300,46.56
2014-04-24,46.08,46.47,45.79,46.44,1460900,46.04
2014-04-23,45.89,46.57,45.87,46.10,1287300,45.70
2014-04-22,45.71,45.95,45.47,45.81,1220200,45.41
2014-04-21,45.88,46.07,45.36,45.71,1117200,45.31
2014-04-17,46.42,46.64,45.79,45.93,1435400,45.53
2014-04-16,46.46,46.63,46.28,46.54,1373800,46.14
2014-04-15,45.69,46.33,45.67,46.32,1657600,45.92
2014-04-14,45.63,45.81,45.33,45.67,1868100,45.27
2014-04-11,45.44,45.81,45.31,45.44,1493700,45.05
