Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,37.35,37.55,37.35,37.55,7200,37.55
2014-06-12,37.55,37.55,37.55,37.55,000,37.55
2014-06-11,37.55,37.55,37.55,37.55,000,37.55
2014-06-10,37.25,37.60,37.25,37.55,2300,37.55
2014-06-09,37.57,37.75,37.57,37.65,3300,37.65
2014-06-06,37.45,37.45,37.45,37.45,800,37.45
2014-06-05,37.25,37.45,37.25,37.36,2800,37.36
2014-06-04,37.44,37.44,37.44,37.44,000,37.44
2014-06-03,37.44,37.44,37.44,37.44,200,37.44
2014-06-02,36.92,37.26,36.92,37.26,1300,37.26
2014-05-30,37.15,37.15,36.69,36.69,300,36.69
2014-05-29,36.49,36.49,36.49,36.49,000,36.49
2014-05-28,36.94,36.94,36.48,36.49,1400,36.49
2014-05-27,36.41,36.91,36.41,36.91,500,36.91
2014-05-23,36.45,36.52,36.45,36.52,600,36.52
2014-05-22,36.39,36.39,36.01,36.02,600,36.02
2014-05-21,36.09,36.24,36.09,36.24,200,36.24
2014-05-20,36.57,36.57,35.95,36.38,1400,36.38
2014-05-19,36.38,36.38,36.38,36.38,000,36.38
2014-05-16,36.38,36.38,36.38,36.38,000,36.38
2014-05-15,37.00,37.00,36.38,36.38,2700,36.38
2014-05-14,37.24,37.24,37.20,37.20,500,37.20
2014-05-13,37.11,37.20,37.00,37.18,4500,37.18
2014-05-12,37.28,37.28,37.28,37.28,000,37.28
2014-05-09,37.25,37.31,37.20,37.28,8100,37.28
2014-05-08,37.12,37.48,37.12,37.31,9300,37.31
2014-05-07,37.01,37.10,37.01,37.10,1700,37.10
2014-05-06,37.26,37.39,37.00,37.00,30600,37.00
2014-05-05,37.45,37.45,37.28,37.28,500,37.28
2014-05-02,37.36,37.57,37.25,37.25,5300,37.25
2014-05-01,37.48,37.56,37.25,37.37,6500,37.37
2014-04-30,37.28,37.38,37.15,37.28,17700,37.28
2014-04-29,37.04,37.35,36.98,37.32,10000,37.32
2014-04-28,37.18,37.44,36.99,37.16,5000,37.16
2014-04-25,37.35,37.35,36.95,37.20,20500,37.20
2014-04-24,37.37,37.56,37.33,37.34,23600,37.34
2014-04-23,37.29,37.41,37.29,37.41,2500,37.41
2014-04-22,37.30,37.38,37.30,37.38,500,37.38
2014-04-21,37.52,37.52,37.52,37.52,100,37.52
2014-04-17,37.66,37.66,37.66,37.66,200,37.66
2014-04-16,37.10,37.10,37.10,37.10,400,37.10
2014-04-15,36.81,36.81,36.81,36.81,100,36.81
2014-04-14,36.61,36.70,36.61,36.70,700,36.70
2014-04-11,37.02,37.02,37.02,37.02,1400,37.02
2014-04-10,37.18,37.18,37.18,37.18,000,37.18
2014-04-09,37.13,37.23,37.13,37.18,1400,37.18
2014-04-08,37.26,37.26,37.08,37.08,2000,37.08
2014-04-07,37.58,37.58,37.58,37.58,200,37.58
2014-04-04,37.50,37.96,37.31,37.31,900,37.31
2014-04-03,37.31,37.31,37.31,37.31,000,37.31
2014-04-02,37.31,37.31,37.31,37.31,000,37.31
2014-04-01,37.31,37.31,37.31,37.31,200,37.31
2014-03-31,36.83,37.00,36.83,37.00,300,37.00
2014-03-28,36.98,36.98,36.86,36.93,4000,36.93
2014-03-27,36.45,36.45,36.45,36.45,000,36.45
2014-03-26,36.31,36.45,36.31,36.45,700,36.45
2014-03-25,36.38,36.38,36.38,36.38,000,36.38
2014-03-24,36.40,36.40,36.38,36.38,300,36.38
2014-03-21,36.53,36.65,36.30,36.38,24600,36.38
2014-03-20,36.24,36.24,35.99,35.99,700,35.99
2014-03-19,36.78,36.78,36.50,36.52,1000,36.52
2014-03-18,36.71,36.71,36.71,36.71,000,36.71
2014-03-17,36.71,36.71,36.71,36.71,500,36.71
2014-03-14,36.60,36.60,36.60,36.60,200,36.60
2014-03-13,36.53,36.53,36.53,36.53,000,36.53
2014-03-12,36.48,36.53,36.48,36.53,400,36.53
2014-03-11,36.60,36.62,36.55,36.59,1100,36.59
2014-03-10,36.91,36.91,36.91,36.91,300,36.91
2014-03-07,37.13,37.13,36.81,36.81,1800,36.81
2014-03-06,37.31,37.31,37.31,37.31,100,37.31
2014-03-05,36.91,37.05,36.91,37.05,500,37.05
2014-03-04,36.98,36.98,36.97,36.98,1200,36.98
2014-03-03,36.61,36.61,36.61,36.61,900,36.61
2014-02-28,37.20,37.20,36.98,36.98,1800,36.98
2014-02-27,37.04,37.04,37.04,37.04,700,37.04
2014-02-26,37.04,37.06,36.83,36.83,2300,36.83
2014-02-25,36.93,36.93,36.93,36.93,500,36.93
2014-02-24,36.68,36.75,36.68,36.75,400,36.75
2014-02-21,36.33,36.33,36.33,36.33,000,36.33
2014-02-20,36.39,36.57,36.30,36.33,1200,36.33
2014-02-19,36.56,36.57,36.49,36.49,1500,36.49
2014-02-18,36.36,36.36,36.36,36.36,000,36.36
2014-02-14,36.36,36.36,36.36,36.36,500,36.36
2014-02-13,36.01,36.01,36.01,36.01,000,36.01
2014-02-12,36.01,36.01,36.01,36.01,300,36.01
2014-02-11,35.73,36.14,35.73,36.14,1100,36.14
2014-02-10,35.35,35.35,35.35,35.35,000,35.35
2014-02-07,35.35,35.35,35.35,35.35,100,35.35
2014-02-06,35.44,35.48,35.35,35.35,2900,35.35
2014-02-05,34.60,34.60,34.60,34.60,100,34.60
2014-02-04,34.90,34.90,34.88,34.88,500,34.88
2014-02-03,35.56,35.56,35.56,35.56,000,35.56
2014-01-31,35.56,35.56,35.56,35.56,000,35.56
2014-01-30,35.56,35.56,35.56,35.56,000,35.56
2014-01-29,35.56,35.56,35.56,35.56,000,35.56
2014-01-28,35.38,35.56,35.38,35.56,400,35.56
2014-01-27,35.34,35.34,35.22,35.27,1400,35.27
2014-01-24,36.08,36.08,36.08,36.08,600,36.08
2014-01-23,36.45,36.45,36.45,36.45,100,36.45
2014-01-22,36.49,36.50,36.29,36.49,1100,36.49
2014-01-21,36.26,36.26,36.26,36.26,100,36.26
2014-01-17,36.07,36.20,36.07,36.20,1500,36.20
2014-01-16,36.08,36.08,36.01,36.01,400,36.01
2014-01-15,35.81,36.02,35.81,36.02,600,36.02
2014-01-14,35.90,35.90,35.90,35.90,400,35.90
2014-01-13,35.94,35.94,35.94,35.94,000,35.94
2014-01-10,35.95,35.95,35.94,35.94,400,35.94
2014-01-09,35.42,35.55,35.42,35.55,600,35.55
2014-01-08,35.53,35.64,35.50,35.64,3100,35.64
2014-01-07,35.26,35.29,35.26,35.29,800,35.29
2014-01-06,35.45,35.45,35.45,35.45,000,35.45
2014-01-03,35.45,35.45,35.45,35.45,200,35.45
2014-01-02,35.97,35.97,35.97,35.97,000,35.97
2013-12-31,35.99,36.03,35.86,35.97,3000,35.97
2013-12-30,35.79,35.79,35.79,35.79,000,35.79
2013-12-27,35.79,35.79,35.79,35.79,400,35.79
2013-12-26,35.56,35.56,35.56,35.56,100,35.56
2013-12-24,35.41,35.41,35.41,35.41,000,35.41
2013-12-23,35.16,35.45,35.16,35.41,1000,35.41
2013-12-20,35.10,35.16,35.10,35.15,2000,35.15
2013-12-19,34.99,34.99,34.99,34.99,000,34.99
2013-12-18,35.30,35.30,34.99,34.99,500,34.99
2013-12-17,34.67,34.67,34.67,34.67,200,34.67
2013-12-16,35.33,35.33,35.33,35.33,000,34.98
2013-12-13,35.33,35.33,35.33,35.33,000,34.98
2013-12-12,35.33,35.33,35.33,35.33,100,34.98
2013-12-11,35.87,35.87,35.87,35.87,000,35.52
2013-12-10,35.87,35.87,35.87,35.87,1000,35.52
2013-12-09,35.56,35.56,35.56,35.56,000,35.21
2013-12-06,35.52,35.56,35.52,35.56,1200,35.21
2013-12-05,35.14,35.33,35.14,35.33,500,34.98
2013-12-04,35.60,35.60,35.60,35.60,900,35.25
2013-12-03,35.70,35.79,35.60,35.61,32500,35.26
2013-12-02,36.17,36.17,35.70,35.70,300,35.35
2013-11-29,36.15,36.15,36.15,36.15,000,35.79
2013-11-27,36.15,36.15,36.15,36.15,100,35.79
2013-11-26,36.32,36.32,36.10,36.15,3100,35.79
2013-11-25,36.26,36.26,35.97,36.00,1700,35.64
2013-11-22,35.85,35.85,35.85,35.85,400,35.50
2013-11-21,36.06,36.19,36.06,36.19,700,35.83
2013-11-20,35.67,35.67,35.67,35.67,000,35.32
2013-11-19,35.67,35.67,35.67,35.67,000,35.32
2013-11-18,35.67,35.67,35.67,35.67,000,35.32
2013-11-15,35.67,35.67,35.67,35.67,000,35.32
2013-11-14,35.67,35.67,35.67,35.67,000,35.32
2013-11-13,35.37,35.67,35.37,35.67,400,35.32
2013-11-12,35.41,35.41,35.41,35.41,300,35.06
2013-11-11,35.94,35.94,35.94,35.94,000,35.58
2013-11-08,35.79,35.94,35.65,35.94,700,35.58
2013-11-07,36.00,36.00,36.00,36.00,000,35.64
2013-11-06,36.00,36.00,35.97,36.00,2200,35.64
2013-11-05,36.00,36.00,36.00,36.00,100,35.64
2013-11-04,36.00,36.00,36.00,36.00,200,35.64
2013-11-01,35.79,35.79,35.79,35.79,200,35.44
2013-10-31,35.64,35.64,35.50,35.51,3100,35.16
2013-10-30,35.99,36.05,35.99,36.05,2700,35.69
2013-10-29,35.99,35.99,35.99,35.99,400,35.63
2013-10-28,35.84,35.99,35.70,35.95,1400,35.59
2013-10-25,36.11,36.11,36.11,36.11,000,35.75
2013-10-24,36.11,36.11,36.11,36.11,100,35.75
2013-10-23,35.60,35.60,35.60,35.60,400,35.25
2013-10-22,36.18,36.18,36.18,36.18,200,35.82
2013-10-21,39.29,39.29,35.74,35.87,700,35.52
2013-10-18,35.13,35.13,35.13,35.13,000,34.78
2013-10-17,35.19,35.19,35.13,35.13,400,34.78
2013-10-16,35.25,35.47,35.25,35.40,3400,35.05
2013-10-15,35.42,35.42,35.42,35.42,000,35.07
2013-10-14,35.25,35.46,35.19,35.42,10900,35.07
2013-10-11,35.11,35.49,35.11,35.29,41200,34.94
