Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,28.28,28.28,27.70,28.13,156400,28.13
2014-06-12,28.66,28.69,27.90,28.13,269200,28.13
2014-06-11,28.94,29.03,28.52,28.56,422600,28.56
2014-06-10,28.24,28.97,28.05,28.72,733400,28.72
2014-06-09,27.88,28.36,27.75,28.15,354200,28.15
2014-06-06,27.09,27.44,26.69,27.42,213700,27.42
2014-06-05,26.50,27.08,26.31,26.89,180900,26.89
2014-06-04,25.07,26.72,25.07,26.37,311600,26.37
2014-06-03,25.12,25.28,24.65,24.99,78700,24.99
2014-06-02,24.65,25.32,24.46,25.12,191500,25.12
2014-05-30,24.61,24.68,24.30,24.54,189900,24.54
2014-05-29,24.70,24.75,24.35,24.45,199900,24.45
2014-05-28,24.52,25.09,24.30,24.66,209400,24.66
2014-05-27,25.29,25.38,24.11,24.22,187800,24.22
2014-05-23,24.72,25.13,24.50,25.05,499400,25.05
2014-05-22,24.56,24.82,24.39,24.58,225700,24.58
2014-05-21,24.92,25.00,24.45,24.45,136800,24.45
2014-05-20,24.75,25.00,24.57,24.71,160700,24.71
2014-05-19,25.35,25.35,24.54,24.62,519300,24.62
2014-05-16,25.56,25.64,25.30,25.35,169100,25.35
2014-05-15,25.84,26.14,25.00,25.30,216300,25.30
2014-05-14,26.03,26.29,25.82,25.96,196800,25.96
2014-05-13,26.54,26.54,25.98,26.05,331100,26.05
2014-05-12,26.50,26.81,26.26,26.38,156300,26.38
2014-05-09,26.38,26.62,26.16,26.49,190200,26.49
2014-05-08,26.42,26.78,26.23,26.32,292000,26.32
2014-05-07,26.81,27.17,26.00,26.51,702800,26.51
2014-05-06,26.72,27.08,26.51,26.59,157300,26.59
2014-05-05,26.64,26.96,26.49,26.73,86300,26.73
2014-05-02,26.91,28.04,26.84,26.95,144200,26.95
2014-05-01,26.61,27.60,26.52,26.82,126600,26.82
2014-04-30,26.81,26.85,26.00,26.70,356000,26.70
2014-04-29,26.92,28.15,26.68,27.02,380300,27.02
2014-04-28,26.71,27.04,25.87,26.86,622400,26.86
2014-04-25,26.98,27.25,26.58,26.60,113500,26.60
2014-04-24,27.29,27.29,26.25,27.14,260600,27.14
2014-04-23,26.09,28.48,25.99,26.97,1943300,26.97
2014-04-22,24.25,24.41,23.78,24.12,363000,24.12
2014-04-21,23.69,24.51,23.18,24.29,424000,24.29
2014-04-17,23.48,23.89,22.60,23.74,553400,23.74
2014-04-16,23.85,24.00,22.54,23.60,426800,23.60
2014-04-15,23.70,23.72,22.40,23.43,247700,23.43
2014-04-14,23.93,23.93,23.43,23.72,135200,23.72
2014-04-11,24.40,24.41,23.25,23.80,222000,23.80
2014-04-10,25.35,25.36,24.34,24.64,119200,24.64
2014-04-09,25.09,25.63,24.81,25.44,237700,25.44
2014-04-08,25.10,25.10,24.72,24.75,118400,24.75
2014-04-07,25.95,26.04,24.64,25.04,297700,25.04
2014-04-04,26.24,26.83,25.88,26.08,184200,26.08
2014-04-03,26.49,26.52,25.89,25.98,126600,25.98
2014-04-02,26.00,26.56,25.68,26.38,209000,26.38
2014-04-01,26.01,26.10,25.72,25.94,142300,25.94
2014-03-31,26.00,26.01,25.68,26.00,137000,26.00
2014-03-28,25.59,26.09,25.59,26.00,74900,26.00
2014-03-27,26.03,26.03,25.39,25.59,88700,25.59
2014-03-26,26.29,26.55,25.52,26.01,144200,26.01
2014-03-25,26.40,26.87,26.00,26.23,111200,26.23
2014-03-24,26.99,27.45,26.05,26.30,299300,26.30
2014-03-21,25.73,27.49,25.73,26.90,572600,26.90
2014-03-20,24.83,25.77,24.64,25.70,340000,25.70
2014-03-19,25.39,25.39,24.48,24.85,166700,24.85
2014-03-18,25.15,25.39,23.50,25.09,366500,25.09
2014-03-17,25.10,25.33,24.76,25.11,144500,25.11
2014-03-14,24.43,25.04,24.26,24.96,156000,24.96
2014-03-13,23.76,24.47,23.67,24.40,112600,24.40
2014-03-12,24.08,24.17,23.63,23.78,126200,23.78
2014-03-11,24.44,24.91,24.02,24.13,107200,24.13
2014-03-10,24.78,24.91,24.45,24.46,140000,24.46
2014-03-07,25.03,25.03,24.50,24.76,161600,24.76
2014-03-06,24.36,25.13,24.00,25.00,162400,25.00
2014-03-05,24.40,24.80,24.02,24.28,128000,24.28
2014-03-04,24.50,24.97,24.17,24.31,195800,24.31
2014-03-03,24.05,24.53,23.76,24.37,63000,24.37
2014-02-28,23.75,24.55,23.59,24.15,126800,24.15
2014-02-27,23.77,24.00,23.41,23.82,137400,23.82
2014-02-26,24.12,24.14,23.57,23.73,114300,23.73
2014-02-25,24.42,24.55,23.50,23.98,201800,23.98
2014-02-24,24.24,24.66,24.03,24.55,174000,24.55
2014-02-21,24.36,24.63,24.07,24.23,163700,24.23
2014-02-20,24.53,24.70,24.01,24.42,148300,24.42
2014-02-19,24.62,24.82,24.24,24.49,86600,24.49
2014-02-18,25.04,25.04,24.51,24.79,104600,24.79
2014-02-14,24.75,24.99,24.34,24.86,133900,24.86
2014-02-13,23.94,24.99,23.49,24.67,209600,24.67
2014-02-12,23.24,24.21,23.22,24.07,254800,24.07
2014-02-11,23.02,23.35,22.70,23.23,84600,23.23
2014-02-10,22.72,23.05,22.61,22.90,115200,22.90
2014-02-07,22.52,23.30,22.52,22.80,289500,22.80
2014-02-06,22.36,22.57,21.97,22.29,455300,22.29
2014-02-05,22.00,22.43,21.49,22.14,370300,22.14
2014-02-04,21.84,22.38,21.61,22.12,163300,22.12
2014-02-03,22.57,23.29,21.37,21.75,216700,21.75
2014-01-31,22.68,23.08,22.55,22.78,158500,22.78
2014-01-30,23.05,23.52,22.96,22.97,166500,22.97
2014-01-29,23.15,23.32,22.58,22.94,143900,22.94
2014-01-28,23.40,23.68,22.81,23.24,326600,23.24
2014-01-27,24.23,24.71,23.15,23.35,344300,23.35
2014-01-24,25.50,25.50,24.19,24.37,386100,24.37
2014-01-23,26.30,26.37,25.64,25.70,448800,25.70
2014-01-22,26.70,26.70,26.25,26.57,242400,26.57
2014-01-21,27.50,27.53,26.59,26.63,142600,26.63
2014-01-17,26.78,28.85,26.55,27.20,451700,27.20
2014-01-16,26.35,26.74,26.35,26.54,122300,26.54
2014-01-15,26.68,27.20,26.29,26.37,345300,26.37
2014-01-14,25.73,26.90,25.05,26.53,438800,26.53
2014-01-13,25.37,25.94,24.92,25.01,397500,25.01
2014-01-10,25.47,25.66,24.96,25.55,104600,25.55
2014-01-09,25.75,25.90,24.91,25.51,71000,25.51
2014-01-08,24.16,26.05,24.16,25.76,207600,25.76
2014-01-07,24.96,25.47,23.87,24.37,171800,24.37
2014-01-06,25.28,25.45,24.75,24.93,161900,24.93
2014-01-03,26.00,26.14,24.57,25.37,371500,25.37
2014-01-02,26.37,26.99,25.27,25.88,200400,25.88
2013-12-31,26.61,26.95,26.34,26.94,133700,26.94
2013-12-30,26.14,26.55,25.75,26.34,107200,26.34
2013-12-27,26.67,26.67,25.50,26.04,151900,26.04
2013-12-26,26.95,26.95,26.32,26.65,171100,26.65
2013-12-24,26.36,26.69,26.02,26.68,143500,26.68
2013-12-23,25.25,27.13,25.21,26.09,385900,26.09
2013-12-20,24.79,25.10,24.56,24.99,170600,24.99
2013-12-19,24.49,25.00,24.49,24.61,178100,24.61
