Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,3.66,3.72,3.65,3.70,7800,3.70
2014-06-12,3.64,3.64,3.64,3.64,000,3.64
2014-06-11,3.65,3.75,3.62,3.64,12500,3.64
2014-06-10,3.74,3.74,3.74,3.74,3400,3.74
2014-06-09,3.72,3.72,3.69,3.70,3300,3.70
2014-06-06,3.70,3.70,3.70,3.70,200,3.70
2014-06-05,3.70,3.72,3.70,3.70,2200,3.70
2014-06-04,3.64,3.64,3.64,3.64,000,3.64
2014-06-03,3.62,3.64,3.62,3.64,700,3.64
2014-06-02,3.71,3.72,3.70,3.71,1300,3.71
2014-05-30,3.69,3.69,3.69,3.69,000,3.69
2014-05-29,3.62,3.70,3.62,3.69,4400,3.69
2014-05-28,3.63,3.73,3.63,3.73,300,3.73
2014-05-27,3.69,3.70,3.62,3.70,3300,3.70
2014-05-23,3.66,3.66,3.66,3.66,000,3.66
2014-05-22,3.66,3.72,3.66,3.66,800,3.66
2014-05-21,3.72,3.72,3.72,3.72,000,3.72
2014-05-20,3.65,3.72,3.63,3.72,1400,3.72
2014-05-19,3.76,3.76,3.70,3.74,4700,3.74
2014-05-16,3.75,3.76,3.67,3.76,7700,3.76
2014-05-15,3.76,3.76,3.76,3.76,2300,3.76
2014-05-14,3.75,3.75,3.63,3.63,1500,3.63
2014-05-13,3.64,3.76,3.64,3.76,1000,3.76
2014-05-12,3.63,3.74,3.63,3.73,2900,3.73
2014-05-09,3.68,3.68,3.68,3.68,600,3.68
2014-05-08,3.71,3.76,3.65,3.65,1600,3.65
2014-05-07,3.65,3.75,3.65,3.75,3900,3.75
2014-05-06,3.69,3.69,3.67,3.68,17500,3.68
2014-05-05,3.70,3.70,3.69,3.70,8000,3.70
2014-05-02,3.76,3.76,3.72,3.72,1600,3.72
2014-05-01,3.70,3.77,3.70,3.70,39500,3.70
2014-04-30,3.79,3.79,3.72,3.72,200,3.72
2014-04-29,3.74,3.74,3.74,3.74,2200,3.74
2014-04-28,3.72,3.72,3.72,3.72,6400,3.72
2014-04-25,3.75,3.75,3.75,3.75,000,3.75
2014-04-24,3.75,3.75,3.75,3.75,000,3.75
2014-04-23,3.80,3.80,3.75,3.75,1300,3.73
2014-04-22,3.74,3.79,3.74,3.76,1700,3.74
2014-04-21,3.74,3.74,3.74,3.74,300,3.72
2014-04-17,3.77,3.77,3.77,3.77,500,3.75
2014-04-16,3.75,3.75,3.75,3.75,700,3.73
2014-04-15,3.77,3.77,3.77,3.77,300,3.75
2014-04-14,3.79,3.83,3.79,3.83,700,3.81
2014-04-11,3.79,3.79,3.79,3.79,000,3.77
2014-04-10,3.75,3.79,3.74,3.79,3600,3.77
2014-04-09,3.75,3.77,3.75,3.77,400,3.75
2014-04-08,3.75,3.75,3.75,3.75,300,3.73
2014-04-07,3.74,3.76,3.74,3.74,6700,3.72
2014-04-04,3.81,3.84,3.75,3.76,27700,3.74
2014-04-03,3.78,3.86,3.73,3.85,26200,3.83
2014-04-02,3.86,3.86,3.75,3.81,9800,3.79
2014-04-01,3.77,3.84,3.74,3.81,9800,3.79
