Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,64.95,65.08,64.58,64.81,520700,64.81
2014-06-12,65.01,65.14,64.63,64.96,492700,64.96
2014-06-11,65.05,65.63,64.87,65.19,386900,65.19
2014-06-10,65.46,66.04,64.93,65.46,614300,65.46
2014-06-09,66.21,66.92,65.69,65.87,1115700,65.67
2014-06-06,66.81,66.85,66.10,66.44,1023900,66.24
2014-06-05,66.06,67.01,65.58,66.51,1901300,66.31
2014-06-04,64.15,66.91,64.15,65.99,3221600,65.79
2014-06-03,63.59,64.69,63.58,64.35,977100,64.15
2014-06-02,63.28,63.76,63.10,63.63,815800,63.44
2014-05-30,63.37,63.72,63.37,63.55,903800,63.36
2014-05-29,63.43,63.62,63.04,63.52,577900,63.33
2014-05-28,63.59,63.59,62.90,63.33,1560200,63.14
2014-05-27,63.75,63.82,63.36,63.62,735400,63.43
2014-05-23,63.11,63.56,62.82,63.50,541700,63.31
2014-05-22,62.35,63.61,62.35,63.04,714400,62.85
2014-05-21,62.45,62.71,62.25,62.42,864300,62.23
2014-05-20,62.52,62.55,62.03,62.20,1349500,62.01
2014-05-19,62.22,62.83,62.22,62.52,1032400,62.33
2014-05-16,61.63,62.31,61.49,62.28,701000,62.09
2014-05-15,61.48,62.07,60.71,62.03,1199200,61.84
2014-05-14,61.57,61.63,61.18,61.56,567200,61.37
2014-05-13,61.74,61.95,60.48,61.67,762900,61.48
2014-05-12,61.07,61.92,60.80,61.74,832900,61.55
2014-05-09,60.30,60.84,59.92,60.75,640000,60.57
2014-05-08,60.39,61.14,60.00,60.41,1335200,60.23
2014-05-07,60.12,60.49,59.18,60.45,1017200,60.27
2014-05-06,59.86,60.23,59.51,59.85,1319400,59.67
2014-05-05,59.92,60.20,59.49,60.09,634200,59.91
2014-05-02,60.27,60.61,60.04,60.15,855000,59.97
2014-05-01,59.97,60.69,59.58,60.27,1781800,60.09
2014-04-30,58.44,59.33,57.95,59.27,1285700,59.09
2014-04-29,58.49,58.85,58.13,58.45,1049200,58.27
2014-04-28,58.78,58.98,57.83,58.31,1051200,58.13
2014-04-25,58.74,59.41,58.41,58.65,882800,58.47
2014-04-24,59.83,60.13,58.72,58.92,1329800,58.74
2014-04-23,57.56,60.85,57.14,59.52,1547900,59.34
2014-04-22,58.19,58.66,57.90,58.54,1150300,58.36
2014-04-21,57.84,58.16,57.38,58.13,674500,57.95
2014-04-17,57.78,58.27,57.36,57.82,712200,57.64
2014-04-16,57.95,58.12,57.49,57.76,815500,57.58
2014-04-15,58.03,58.43,57.00,57.54,930900,57.37
