Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,28.82,28.82,28.47,28.59,65300,28.59
2014-06-12,28.59,28.83,28.39,28.69,90700,28.69
2014-06-11,29.49,29.51,28.70,28.72,145100,28.72
2014-06-10,29.70,29.76,29.20,29.54,90300,29.54
2014-06-09,29.44,29.75,29.44,29.62,165200,29.62
2014-06-06,29.55,29.63,29.08,29.53,137100,29.53
2014-06-05,28.62,29.35,28.43,29.35,113600,29.35
2014-06-04,28.26,28.60,28.26,28.48,103000,28.48
2014-06-03,28.48,28.60,28.39,28.48,114100,28.48
2014-06-02,28.52,28.61,28.40,28.56,105300,28.56
2014-05-30,28.52,28.63,28.39,28.58,107500,28.58
2014-05-29,28.47,28.49,28.21,28.43,74400,28.43
2014-05-28,28.29,28.66,28.21,28.32,108800,28.32
2014-05-27,28.41,28.51,28.20,28.40,108600,28.40
2014-05-23,28.09,28.38,27.92,28.19,113300,28.19
2014-05-22,28.04,28.27,27.96,28.03,75900,28.03
2014-05-21,27.68,28.05,27.46,27.98,154000,27.98
2014-05-20,27.53,27.81,27.29,27.61,176500,27.61
2014-05-19,27.76,27.87,27.58,27.67,76000,27.67
2014-05-16,27.44,27.81,27.19,27.80,137900,27.80
2014-05-15,28.00,28.02,27.48,27.54,138700,27.54
2014-05-14,28.19,28.50,28.09,28.14,119700,28.14
2014-05-13,28.55,28.73,28.25,28.27,131200,28.27
2014-05-12,28.74,29.09,28.74,28.79,108800,28.49
2014-05-09,28.46,28.74,28.46,28.65,95300,28.35
2014-05-08,29.13,29.16,28.50,28.54,104900,28.24
2014-05-07,28.60,29.42,28.50,29.04,98400,28.73
2014-05-06,29.32,29.32,28.44,28.45,174400,28.15
2014-05-05,28.50,28.82,28.44,28.63,87100,28.33
2014-05-02,29.43,29.43,28.52,28.61,109100,28.31
2014-05-01,29.37,29.52,29.05,29.36,154500,29.05
2014-04-30,29.25,29.44,29.01,29.30,125700,28.99
2014-04-29,29.49,29.68,29.25,29.25,77900,28.94
2014-04-28,29.47,29.69,29.27,29.48,88100,29.17
2014-04-25,29.35,29.73,29.27,29.45,84400,29.14
2014-04-24,29.63,29.74,29.30,29.46,51700,29.15
2014-04-23,29.80,30.09,29.34,29.54,96800,29.23
2014-04-22,29.38,29.98,29.30,29.96,109300,29.64
2014-04-21,29.56,29.71,29.31,29.45,52200,29.14
2014-04-17,29.68,29.82,29.48,29.61,58400,29.30
2014-04-16,29.81,29.83,29.48,29.68,43700,29.37
2014-04-15,29.48,29.68,28.95,29.59,91200,29.28
2014-04-14,29.66,29.71,29.11,29.31,75700,29.00
2014-04-11,29.22,29.77,29.00,29.32,85900,29.01
2014-04-10,30.16,30.26,29.46,29.54,105500,29.23
2014-04-09,30.22,30.32,29.78,30.17,66100,29.85
2014-04-08,29.75,30.32,29.63,30.23,76500,29.91
2014-04-07,29.88,30.03,29.61,29.78,77300,29.47
2014-04-04,30.53,30.85,29.86,29.91,109700,29.60
2014-04-03,30.59,30.65,30.26,30.28,76800,29.96
2014-04-02,30.64,30.73,30.45,30.67,49100,30.35
2014-04-01,30.95,31.08,30.55,30.67,117300,30.35
2014-03-31,30.36,31.10,30.26,30.79,133900,30.47
2014-03-28,30.41,30.84,30.12,30.29,71800,29.97
2014-03-27,30.21,30.59,30.06,30.49,81400,30.17
2014-03-26,30.77,30.80,30.14,30.15,131000,29.83
2014-03-25,30.52,30.64,30.27,30.49,128200,30.17
2014-03-24,30.18,30.63,30.05,30.45,103400,30.13
2014-03-21,30.33,30.79,30.19,30.29,168600,29.97
2014-03-20,30.37,30.41,30.01,30.29,74400,29.97
2014-03-19,31.35,31.40,30.17,30.42,120100,30.10
2014-03-18,31.40,31.72,31.22,31.45,125900,31.12
2014-03-17,31.19,31.45,31.08,31.32,74700,30.99
2014-03-14,30.90,31.30,30.90,31.11,69100,30.78
2014-03-13,31.00,31.20,30.85,31.05,109700,30.72
2014-03-12,30.38,30.99,30.36,30.98,81800,30.65
2014-03-11,30.86,30.86,30.29,30.57,83800,30.25
2014-03-10,30.64,30.86,30.37,30.74,104900,30.42
2014-03-07,30.23,30.89,29.90,30.74,131500,30.42
2014-03-06,30.50,30.51,29.92,30.03,82000,29.71
2014-03-05,30.72,30.85,30.24,30.45,68900,30.13
2014-03-04,30.26,31.00,30.26,30.71,194700,30.39
2014-03-03,30.00,30.21,29.65,29.89,65700,29.58
2014-02-28,30.45,30.80,30.20,30.22,97500,29.90
2014-02-27,30.47,30.69,30.26,30.51,68800,30.19
2014-02-26,30.32,30.88,30.22,30.58,94200,30.26
2014-02-25,30.68,30.72,30.23,30.42,77000,30.10
2014-02-24,30.54,30.91,30.54,30.61,102600,30.29
2014-02-21,30.78,30.86,30.45,30.60,98700,30.28
2014-02-20,30.24,30.78,30.24,30.62,76900,30.30
2014-02-19,30.83,30.95,30.33,30.36,72500,30.04
2014-02-18,30.88,30.98,30.61,30.84,140700,30.52
