Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,14.07,14.07,13.40,14.00,65100,14.00
2014-06-12,14.46,14.47,13.91,13.97,120500,13.97
2014-06-11,14.35,14.54,14.25,14.46,24900,14.46
2014-06-10,14.65,14.67,14.35,14.43,59700,14.43
2014-06-09,14.45,14.68,14.19,14.64,104500,14.64
2014-06-06,14.33,14.50,13.89,14.45,42500,14.45
2014-06-05,13.01,14.43,13.01,14.17,67600,14.17
2014-06-04,14.00,14.44,13.59,14.30,73700,14.30
2014-06-03,13.74,14.11,13.43,14.03,84800,14.03
2014-06-02,13.49,13.83,13.18,13.54,47600,13.54
2014-05-30,13.41,13.52,13.24,13.35,76100,13.35
2014-05-29,13.45,13.82,13.43,13.48,64600,13.48
2014-05-28,14.08,14.08,13.12,13.25,244000,13.25
2014-05-27,14.57,14.81,13.76,14.03,68100,14.03
2014-05-23,15.35,15.35,14.31,14.53,352700,14.53
2014-05-22,13.91,15.61,13.85,15.38,85300,15.38
2014-05-21,14.25,14.25,13.87,14.00,47400,14.00
2014-05-20,13.50,14.30,13.37,14.00,141100,14.00
2014-05-19,13.85,13.85,13.10,13.24,202500,13.24
2014-05-16,14.29,14.68,13.57,13.81,119700,13.81
2014-05-15,14.00,14.31,13.61,14.29,110100,14.29
2014-05-14,14.15,14.29,13.91,14.07,105600,14.07
2014-05-13,14.57,14.87,13.68,13.87,90800,13.87
2014-05-12,14.73,14.87,14.09,14.09,111200,14.09
2014-05-09,15.12,15.17,14.12,14.51,76000,14.51
2014-05-08,15.25,15.33,15.18,15.18,18600,15.18
2014-05-07,15.26,15.29,14.95,15.05,92600,15.05
2014-05-06,15.63,15.63,15.25,15.31,31900,15.31
2014-05-05,15.69,15.99,15.68,15.68,13300,15.68
2014-05-02,15.69,16.06,15.69,15.80,22300,15.80
2014-05-01,15.29,15.90,15.29,15.67,39900,15.67
2014-04-30,15.17,15.51,15.06,15.41,53600,15.41
2014-04-29,15.01,15.45,15.01,15.28,68500,15.28
2014-04-28,15.43,15.66,14.51,14.97,197500,14.97
2014-04-25,15.75,15.75,15.25,15.30,71600,15.30
2014-04-24,16.28,16.30,15.75,15.75,42800,15.75
2014-04-23,15.82,16.18,15.80,16.07,56500,16.07
2014-04-22,16.20,16.69,15.76,15.98,96100,15.98
2014-04-21,16.59,16.59,16.01,16.10,78000,16.10
2014-04-17,15.95,16.55,15.71,16.25,262100,16.25
2014-04-16,15.35,16.09,15.21,15.62,266500,15.62
2014-04-15,17.90,17.92,15.15,15.35,3531700,15.35
