Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,40.38,40.39,39.86,40.05,152800,40.05
2014-06-12,40.05,40.43,39.90,40.37,160700,40.37
2014-06-11,40.22,40.57,39.92,40.22,130300,40.22
2014-06-10,40.19,40.67,39.93,40.42,130400,40.42
2014-06-09,40.39,40.68,40.21,40.30,95200,40.30
2014-06-06,40.95,41.02,40.40,40.50,158900,40.50
2014-06-05,40.16,40.92,40.05,40.72,163000,40.72
2014-06-04,39.70,40.17,39.70,40.15,240100,40.15
2014-06-03,39.82,40.30,39.82,40.13,407700,39.78
2014-06-02,40.29,40.30,39.88,40.04,132500,39.69
2014-05-30,40.24,40.62,40.01,40.16,159400,39.81
2014-05-29,40.27,40.29,39.85,40.15,94800,39.80
2014-05-28,40.13,40.52,39.78,40.22,194500,39.87
2014-05-27,39.01,40.03,38.88,40.03,242900,39.68
2014-05-23,37.94,38.93,37.74,38.88,283800,38.54
2014-05-22,37.86,38.17,37.74,37.84,76000,37.51
2014-05-21,38.13,38.24,37.72,37.81,96300,37.48
2014-05-20,38.54,39.14,37.74,38.05,198700,37.72
2014-05-19,38.55,38.77,38.33,38.63,93800,38.29
2014-05-16,38.19,38.68,38.00,38.64,135600,38.30
2014-05-15,38.17,38.45,37.62,38.27,192300,37.94
2014-05-14,38.64,38.83,38.26,38.38,142100,38.05
2014-05-13,39.25,39.56,38.64,38.65,145600,38.31
2014-05-12,39.01,39.39,38.75,39.24,190900,38.90
2014-05-09,38.29,38.78,38.18,38.76,96200,38.42
2014-05-08,39.06,39.51,38.49,38.55,135600,38.21
2014-05-07,38.35,39.10,38.23,39.05,141500,38.71
2014-05-06,38.80,39.26,38.21,38.29,130200,37.96
2014-05-05,38.53,39.25,38.28,38.96,158300,38.62
2014-05-02,38.20,38.75,38.02,38.65,176800,38.31
2014-05-01,38.28,38.28,37.63,38.19,361200,37.86
2014-04-30,38.21,38.38,37.89,38.23,258900,37.90
2014-04-29,38.58,38.99,38.25,38.28,151600,37.95
2014-04-28,38.61,38.78,38.34,38.46,177000,38.12
2014-04-25,38.29,38.71,38.11,38.38,220200,38.05
2014-04-24,38.36,38.69,38.19,38.48,223900,38.14
2014-04-23,38.77,39.12,38.23,38.26,149700,37.93
2014-04-22,38.83,39.10,37.95,38.74,270400,38.40
2014-04-21,37.70,38.02,37.61,37.92,101100,37.59
2014-04-17,37.43,37.82,37.40,37.64,155100,37.31
2014-04-16,37.83,37.84,37.44,37.55,131300,37.22
2014-04-15,37.93,37.97,37.16,37.65,125800,37.32
2014-04-14,37.65,37.91,37.38,37.84,152500,37.51
2014-04-11,37.32,37.81,37.04,37.27,160300,36.94
2014-04-10,38.33,38.57,37.33,37.61,242800,37.28
2014-04-09,38.67,38.67,38.15,38.47,103600,38.13
2014-04-08,38.63,38.80,38.23,38.62,126900,38.28
2014-04-07,38.39,38.93,38.10,38.63,206900,38.29
2014-04-04,39.42,39.43,38.42,38.43,154600,38.09
2014-04-03,39.45,39.86,39.02,39.11,129500,38.77
2014-04-02,39.07,39.53,38.72,39.43,129900,39.09
2014-04-01,38.64,39.07,38.38,39.03,145200,38.69
2014-03-31,38.07,38.85,37.89,38.69,241200,38.35
2014-03-28,37.73,38.09,37.60,37.81,285600,37.48
2014-03-27,37.82,38.05,37.63,37.70,286600,37.37
2014-03-26,38.47,38.85,37.77,37.80,178100,37.47
2014-03-25,38.13,38.50,37.82,38.25,143300,37.92
2014-03-24,38.36,38.51,37.73,37.96,150400,37.63
2014-03-21,38.19,38.86,38.04,38.17,402300,37.84
2014-03-20,37.82,38.21,37.52,38.14,100200,37.81
2014-03-19,38.91,39.12,37.67,37.79,186700,37.46
2014-03-18,38.48,39.07,38.12,38.88,147300,38.54
2014-03-17,38.60,38.79,38.18,38.35,190900,38.02
2014-03-14,38.21,38.67,38.10,38.44,153300,38.10
2014-03-13,38.69,38.74,38.19,38.32,131300,37.99
2014-03-12,38.84,39.13,38.44,38.56,167000,38.22
2014-03-11,39.34,39.52,38.75,38.95,227700,38.61
2014-03-10,39.64,39.64,39.16,39.31,111300,38.97
2014-03-07,40.27,40.27,39.52,39.67,124700,39.32
2014-03-06,39.76,40.16,39.49,40.02,107400,39.67
2014-03-05,39.88,40.29,39.42,39.72,170100,39.37
2014-03-04,39.71,40.34,39.46,40.14,285600,39.44
2014-03-03,39.37,39.53,38.34,39.34,409900,38.66
2014-02-28,39.67,40.24,39.28,39.64,350400,38.95
2014-02-27,40.01,40.46,39.33,39.52,201600,38.83
2014-02-26,40.02,40.46,39.57,40.11,171900,39.41
2014-02-25,40.16,40.30,39.72,39.88,204600,39.19
2014-02-24,40.21,40.78,40.19,40.24,246300,39.54
2014-02-21,40.63,40.63,40.04,40.09,180900,39.39
2014-02-20,40.00,40.50,40.00,40.42,179000,39.72
2014-02-19,39.63,40.52,39.63,40.03,193900,39.33
2014-02-18,40.00,40.21,39.49,39.88,214700,39.19
2014-02-14,39.77,39.93,39.41,39.91,113000,39.22
2014-02-13,38.83,39.99,38.83,39.76,175600,39.07
2014-02-12,39.14,39.45,38.80,39.06,112500,38.38
2014-02-11,38.72,39.38,38.53,39.17,190400,38.49
2014-02-10,38.06,38.62,37.76,38.55,187700,37.88
2014-02-07,38.23,38.59,37.93,38.15,174600,37.49
2014-02-06,37.94,38.47,37.92,38.23,140500,37.57
2014-02-05,38.15,38.25,37.59,37.92,280400,37.26
2014-02-04,38.59,38.90,38.10,38.39,330000,37.72
2014-02-03,39.88,40.70,38.24,38.37,512100,37.70
2014-01-31,39.90,40.86,39.87,40.00,257200,39.31
2014-01-30,40.51,41.82,40.30,40.45,315500,39.75
2014-01-29,40.52,40.86,39.45,39.56,197600,38.87
2014-01-28,40.30,41.84,40.30,40.71,283800,40.00
2014-01-27,40.91,41.27,40.31,40.69,282700,39.98
2014-01-24,40.96,40.96,40.23,40.72,236300,40.01
2014-01-23,41.35,41.74,41.10,41.30,231000,40.58
2014-01-22,40.97,41.63,40.89,41.56,277400,40.84
2014-01-21,40.89,41.06,40.47,40.86,194800,40.15
2014-01-17,40.54,40.94,40.33,40.55,174900,39.85
2014-01-16,40.60,41.09,40.23,40.56,231100,39.86
2014-01-15,40.98,41.57,40.67,40.69,342700,39.98
2014-01-14,41.05,41.05,40.60,40.84,322800,40.13
2014-01-13,41.25,41.61,40.53,40.84,248900,40.13
2014-01-10,41.16,41.57,40.98,41.38,181400,40.66
2014-01-09,41.54,42.07,40.81,41.13,184500,40.42
2014-01-08,41.74,41.84,40.93,41.47,203200,40.75
2014-01-07,41.90,42.44,41.07,41.89,306300,41.16
2014-01-06,41.68,41.97,41.30,41.62,290000,40.90
2014-01-03,41.44,41.81,41.16,41.61,194600,40.89
2014-01-02,41.55,41.59,40.83,41.43,201300,40.71
2013-12-31,41.93,42.28,41.60,41.74,202000,41.02
2013-12-30,41.74,41.97,41.27,41.86,123500,41.13
2013-12-27,41.52,41.70,41.23,41.69,134100,40.97
2013-12-26,42.16,42.45,41.27,41.39,155100,40.67
2013-12-24,41.61,42.15,41.50,42.08,107700,41.35
2013-12-23,41.57,42.00,41.30,41.48,118400,40.76
2013-12-20,40.98,41.54,40.36,41.46,448400,40.74
2013-12-19,41.37,41.37,40.60,40.78,179400,40.07
2013-12-18,40.79,41.75,40.54,41.54,369400,40.82
2013-12-17,40.48,40.79,39.94,40.71,213800,40.00
2013-12-16,39.71,40.77,39.61,40.55,264900,39.85
2013-12-13,39.09,39.69,38.81,39.61,204200,38.92
2013-12-12,39.48,39.51,39.05,39.18,172200,38.16
2013-12-11,39.96,40.01,39.19,39.50,235100,38.47
2013-12-10,40.13,40.48,39.75,39.83,248000,38.79
2013-12-09,40.63,41.13,40.10,40.30,220100,39.25
2013-12-06,40.07,40.57,39.95,40.48,242100,39.42
2013-12-05,39.62,40.01,39.30,39.75,212400,38.71
2013-12-04,39.69,40.30,39.39,39.63,99200,38.59
2013-12-03,39.84,40.49,39.78,39.83,237900,38.79
2013-12-02,39.95,40.08,39.52,39.91,182900,38.87
2013-11-29,40.37,40.37,39.73,39.85,112900,38.81
2013-11-27,39.36,40.22,38.98,40.20,121800,39.15
2013-11-26,38.80,39.35,38.57,39.23,155600,38.20
2013-11-25,39.37,39.37,38.59,38.76,133900,37.75
2013-11-22,39.31,39.49,38.84,39.34,258300,38.31
2013-11-21,38.89,39.37,38.47,39.37,546000,38.34
2013-11-20,38.95,39.28,38.49,38.66,268200,37.65
2013-11-19,39.03,39.08,38.60,38.69,150200,37.68
2013-11-18,39.33,39.33,38.81,38.95,408300,37.93
2013-11-15,39.11,39.33,38.86,39.23,187200,38.20
2013-11-14,39.71,39.72,38.95,39.10,245200,38.08
2013-11-13,39.69,40.19,39.34,39.73,179100,38.69
2013-11-12,40.05,40.13,39.85,40.08,144000,39.03
2013-11-11,39.89,40.33,39.72,40.02,153600,38.97
2013-11-08,39.59,40.03,39.28,40.00,241200,38.95
2013-11-07,40.44,40.44,39.44,39.68,211400,38.64
2013-11-06,40.43,40.55,40.13,40.23,109000,39.18
2013-11-05,40.61,40.79,40.13,40.14,183800,39.09
2013-11-04,41.31,41.69,40.85,40.90,258800,39.83
2013-11-01,40.71,41.33,40.44,41.24,404200,40.16
2013-10-31,40.88,41.45,40.72,40.83,219600,39.76
2013-10-30,41.80,41.93,40.86,40.94,196800,39.87
2013-10-29,42.62,42.62,41.70,41.88,175800,40.79
2013-10-28,42.68,42.68,42.02,42.54,151100,41.43
2013-10-25,42.64,42.64,42.17,42.58,127500,41.47
2013-10-24,42.43,42.60,42.15,42.48,187100,41.37
2013-10-23,42.81,42.81,41.94,42.18,208500,41.08
2013-10-22,42.75,43.14,41.86,42.91,260300,41.79
2013-10-21,43.54,43.84,42.80,43.02,262700,41.90
2013-10-18,43.60,43.78,43.27,43.62,278500,42.48
2013-10-17,42.40,43.42,42.40,43.31,179100,42.18
2013-10-16,42.00,42.81,41.78,42.68,279900,41.56
2013-10-15,41.68,41.88,41.39,41.77,211100,40.68
2013-10-14,41.18,41.80,40.97,41.71,202900,40.62
2013-10-11,39.97,41.26,39.49,41.25,216700,40.17
2013-10-10,39.27,39.98,38.89,39.98,206500,38.93
2013-10-09,38.30,38.62,38.01,38.17,129800,37.17
2013-10-08,38.34,38.41,38.01,38.18,136500,37.18
2013-10-07,38.50,38.93,38.27,38.28,161800,37.28
2013-10-04,39.12,39.42,38.61,38.84,136800,37.82
2013-10-03,39.66,39.70,38.83,39.23,173200,38.20
2013-10-02,40.17,40.35,39.55,39.79,177300,38.75
2013-10-01,39.55,40.95,39.35,40.34,302400,39.29
2013-09-30,39.48,39.94,39.18,39.68,248100,38.64
2013-09-27,39.69,39.97,39.24,39.73,144300,38.69
2013-09-26,39.52,40.06,39.52,39.99,101500,38.94
2013-09-25,40.15,40.52,39.54,39.55,137300,38.52
2013-09-24,40.04,40.46,39.63,40.06,142600,39.01
2013-09-23,40.59,40.68,40.04,40.09,213800,39.04
2013-09-20,41.13,41.13,40.58,40.69,646600,39.63
2013-09-19,40.34,41.10,40.00,40.80,210100,39.73
2013-09-18,39.32,40.41,38.78,40.32,265300,39.27
2013-09-17,39.55,39.59,39.08,39.36,232700,38.33
2013-09-16,39.94,40.05,39.50,39.59,161700,38.55
2013-09-13,38.99,39.51,38.90,39.40,315500,38.37
2013-09-12,39.11,39.56,39.02,39.13,381400,37.81
2013-09-11,39.31,39.31,38.88,39.25,219000,37.92
2013-09-10,39.00,39.37,38.85,39.28,303500,37.95
2013-09-09,38.50,38.91,38.50,38.90,236100,37.58
2013-09-06,38.40,38.98,38.01,38.48,303000,37.18
2013-09-05,38.51,38.92,38.21,38.35,102100,37.05
2013-09-04,38.04,38.58,37.90,38.45,236600,37.15
2013-09-03,38.94,39.46,37.59,38.00,411800,36.71
2013-08-30,39.96,40.10,38.52,38.56,209900,37.25
2013-08-29,39.50,40.01,39.38,40.01,158700,38.66
2013-08-28,39.79,39.79,39.37,39.59,153400,38.25
2013-08-27,39.83,40.09,39.38,39.81,278400,38.46
2013-08-26,40.63,40.66,40.08,40.12,240000,38.76
2013-08-23,40.48,40.67,40.20,40.52,112300,39.15
2013-08-22,40.61,41.08,40.22,40.50,121000,39.13
2013-08-21,40.32,41.32,39.70,40.59,214600,39.22
2013-08-20,39.40,40.41,39.20,40.24,280600,38.88
2013-08-19,39.95,40.07,39.25,39.26,183000,37.93
2013-08-16,40.74,40.95,39.72,39.98,274600,38.63
2013-08-15,42.00,42.04,40.84,40.91,200600,39.52
2013-08-14,42.39,42.87,42.00,42.47,144200,41.03
2013-08-13,43.50,43.87,42.29,42.43,155400,40.99
2013-08-12,43.59,43.85,43.42,43.57,203800,42.09
2013-08-09,43.18,44.04,43.04,43.91,131200,42.42
2013-08-08,43.45,43.48,43.11,43.28,137600,41.81
2013-08-07,43.55,43.68,43.00,43.27,205500,41.80
2013-08-06,43.97,43.97,43.30,43.58,239000,42.10
2013-08-05,43.89,44.06,43.70,44.00,136600,42.51
2013-08-02,44.09,44.28,43.77,44.01,206100,42.52
2013-08-01,44.31,44.93,43.96,44.19,378000,42.69
2013-07-31,43.76,44.53,43.26,44.03,369100,42.54
2013-07-30,43.82,44.41,43.36,43.70,202400,42.22
