Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,16.89,16.89,16.15,16.15,1000,16.15
2014-06-12,16.50,16.50,16.12,16.49,4400,16.49
2014-06-11,16.44,16.50,16.12,16.50,4400,16.50
2014-06-10,16.99,16.99,16.42,16.43,8500,16.43
2014-06-09,16.90,16.90,16.80,16.85,600,16.85
2014-06-06,16.77,16.90,16.55,16.80,2500,16.80
2014-06-05,17.00,17.00,15.92,15.92,4800,15.92
2014-06-04,16.98,17.00,16.98,16.99,3400,16.99
2014-06-03,17.03,17.03,16.98,16.98,400,16.98
2014-06-02,17.04,17.04,17.04,17.04,200,17.04
2014-05-30,17.03,17.03,17.03,17.03,000,17.03
2014-05-29,17.04,17.04,17.00,17.03,48800,16.99
2014-05-28,17.01,17.01,17.01,17.01,000,16.97
2014-05-27,17.04,17.04,17.00,17.01,1000,16.97
2014-05-23,17.02,17.02,17.02,17.02,000,16.98
2014-05-22,17.00,17.02,17.00,17.02,1500,16.98
2014-05-21,17.00,17.00,17.00,17.00,100,16.96
2014-05-20,16.97,17.47,16.97,17.20,1300,17.16
2014-05-19,17.48,17.48,17.48,17.48,000,17.44
2014-05-16,17.25,17.48,17.25,17.48,2000,17.44
2014-05-15,17.24,17.25,17.24,17.25,1000,17.21
2014-05-14,17.36,17.47,17.24,17.24,1100,17.20
2014-05-13,17.25,17.25,16.49,16.78,5900,16.74
2014-05-12,17.38,17.38,17.15,17.24,2800,17.20
2014-05-09,17.25,17.25,16.97,17.02,1200,16.98
2014-05-08,17.08,17.12,17.05,17.05,800,17.01
2014-05-07,17.47,17.47,17.04,17.04,600,17.00
2014-05-06,17.36,17.39,17.04,17.09,3200,17.05
2014-05-05,17.19,17.42,16.97,17.24,3500,17.20
2014-05-02,17.43,17.43,17.10,17.16,2300,17.12
2014-05-01,17.48,17.48,16.97,16.97,3100,16.93
2014-04-30,17.25,17.25,17.15,17.15,16700,17.11
2014-04-29,17.33,17.49,17.21,17.21,700,17.17
2014-04-28,16.89,17.50,16.89,17.50,2000,17.46
2014-04-25,16.80,17.15,16.80,16.88,1700,16.84
2014-04-24,16.96,16.96,16.96,16.96,000,16.92
2014-04-23,17.00,17.00,16.40,16.96,2500,16.92
2014-04-22,16.07,17.00,16.07,16.95,1900,16.91
2014-04-21,15.80,17.50,15.79,16.39,53000,16.35
2014-04-17,15.59,15.70,15.51,15.60,21200,15.56
2014-04-16,15.52,15.60,15.50,15.51,6200,15.47
2014-04-15,15.55,15.60,15.46,15.50,5900,15.46
2014-04-14,15.30,15.58,15.30,15.45,6100,15.41
2014-04-11,15.66,15.67,15.65,15.65,1200,15.61
2014-04-10,15.66,15.73,15.66,15.73,1900,15.69
2014-04-09,15.60,15.69,15.60,15.69,1300,15.65
2014-04-08,15.62,15.66,15.62,15.65,6900,15.61
2014-04-07,15.30,15.48,15.30,15.46,12700,15.42
2014-04-04,15.35,15.35,15.35,15.35,600,15.31
2014-04-03,15.60,15.60,15.60,15.60,000,15.56
2014-04-02,15.61,15.61,15.60,15.60,800,15.56
2014-04-01,15.48,15.48,15.48,15.48,300,15.44
2014-03-31,15.53,15.62,15.52,15.60,1300,15.56
2014-03-28,15.74,15.74,15.45,15.62,6600,15.58
2014-03-27,15.45,15.57,15.32,15.53,10000,15.49
2014-03-26,15.45,15.45,15.45,15.45,13000,15.41
2014-03-25,15.50,15.59,15.45,15.45,3300,15.41
2014-03-24,15.48,15.69,15.48,15.50,1800,15.46
2014-03-21,15.48,15.57,15.45,15.45,10700,15.41
2014-03-20,15.45,15.68,15.45,15.55,4700,15.51
2014-03-19,15.46,15.72,15.46,15.61,1200,15.57
2014-03-18,15.45,15.50,15.45,15.50,10100,15.46
2014-03-17,15.43,15.43,15.40,15.42,4100,15.38
2014-03-14,15.52,15.80,15.30,15.49,6000,15.45
2014-03-13,15.40,15.60,15.22,15.60,38300,15.56
2014-03-12,15.27,15.30,15.20,15.30,3100,15.26
2014-03-11,15.32,15.36,15.31,15.36,5000,15.32
2014-03-10,15.31,15.37,15.25,15.36,10100,15.32
2014-03-07,15.43,15.43,15.43,15.43,000,15.39
2014-03-06,15.30,15.45,15.30,15.43,2300,15.39
2014-03-05,15.47,15.47,15.25,15.25,6100,15.21
2014-03-04,15.54,15.54,15.40,15.40,3800,15.36
2014-03-03,15.13,15.55,15.13,15.50,5700,15.46
2014-02-28,15.41,15.45,15.40,15.40,2000,15.36
2014-02-27,15.72,15.72,15.30,15.40,5100,15.36
2014-02-26,15.60,15.70,15.60,15.61,8500,15.53
2014-02-25,15.51,15.65,15.51,15.65,1600,15.57
