Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,13.52,13.66,13.41,13.66,1200,13.66
2014-06-12,13.56,13.56,13.56,13.56,000,13.56
2014-06-11,13.56,13.56,13.56,13.56,000,13.56
2014-06-10,13.56,13.56,13.56,13.56,000,13.56
2014-06-09,13.57,13.58,13.56,13.56,500,13.56
2014-06-06,13.56,13.56,13.56,13.56,200,13.56
2014-06-05,13.70,13.70,13.70,13.70,000,13.70
2014-06-04,13.70,13.70,13.70,13.70,900,13.70
2014-06-03,13.38,13.38,13.38,13.38,000,13.38
2014-06-02,13.38,13.38,13.38,13.38,000,13.38
2014-05-30,13.38,13.38,13.38,13.38,2600,13.38
2014-05-29,13.70,13.70,13.70,13.70,300,13.70
2014-05-28,13.37,13.50,13.37,13.50,600,13.50
2014-05-27,13.72,13.72,13.68,13.68,600,13.68
2014-05-23,13.70,13.75,13.35,13.35,3400,13.35
2014-05-22,13.67,13.70,13.20,13.65,2700,13.65
2014-05-21,13.43,13.67,13.25,13.57,5500,13.57
2014-05-20,13.15,13.24,13.15,13.24,600,13.24
2014-05-19,13.17,13.19,13.17,13.19,600,13.19
2014-05-16,13.47,13.47,13.47,13.47,000,13.47
2014-05-15,13.60,13.60,13.45,13.47,1700,13.47
2014-05-14,13.48,13.50,13.48,13.50,200,13.50
2014-05-13,13.42,13.66,13.19,13.19,2300,13.19
2014-05-12,13.30,13.60,13.30,13.55,6900,13.55
2014-05-09,13.12,13.28,12.12,13.25,9300,13.25
2014-05-08,13.30,13.45,13.09,13.30,49600,13.30
2014-05-07,13.37,13.47,13.32,13.32,2400,13.32
2014-05-06,13.70,13.70,13.70,13.70,000,13.70
2014-05-05,13.70,13.70,13.70,13.70,000,13.70
2014-05-02,13.70,13.70,13.70,13.70,000,13.70
2014-05-01,13.70,13.70,13.70,13.70,000,13.70
2014-04-30,13.70,13.70,13.70,13.70,600,13.70
2014-04-29,13.75,13.75,13.75,13.75,000,13.75
2014-04-28,13.26,13.75,13.26,13.75,900,13.75
2014-04-25,13.45,13.45,13.45,13.45,000,13.45
2014-04-24,13.45,13.45,13.45,13.45,000,13.45
2014-04-23,13.45,13.45,13.45,13.45,000,13.45
2014-04-22,13.45,13.45,13.45,13.45,000,13.45
2014-04-21,13.49,13.75,13.30,13.45,4600,13.45
2014-04-17,13.29,13.40,13.29,13.35,2500,13.35
2014-04-16,13.49,13.50,13.39,13.48,1800,13.48
2014-04-15,13.18,13.55,13.15,13.38,3300,13.38
2014-04-14,13.28,13.28,13.28,13.28,000,13.28
2014-04-11,13.28,13.28,13.28,13.28,1000,13.28
2014-04-10,13.33,13.33,13.33,13.33,000,13.33
2014-04-09,13.58,13.58,13.33,13.33,2400,13.33
2014-04-08,13.50,13.50,13.50,13.50,000,13.50
2014-04-07,13.50,13.50,13.50,13.50,000,13.50
2014-04-04,13.50,13.50,13.50,13.50,000,13.50
2014-04-03,13.50,13.50,13.50,13.50,000,13.50
2014-04-02,13.40,13.50,13.40,13.50,3100,13.50
2014-04-01,13.50,13.50,13.50,13.50,3300,13.50
2014-03-31,13.30,13.30,13.30,13.30,3300,13.30
2014-03-28,13.35,13.35,13.28,13.30,11700,13.30
2014-03-27,13.32,13.32,13.32,13.32,000,13.32
2014-03-26,13.32,13.32,13.32,13.32,000,13.32
2014-03-25,13.32,13.32,13.32,13.32,000,13.32
2014-03-24,13.30,13.32,13.30,13.32,800,13.32
2014-03-21,13.50,13.50,13.50,13.50,700,13.50
2014-03-20,13.50,13.50,13.49,13.50,1700,13.50
2014-03-19,13.35,13.45,13.35,13.35,2000,13.35
2014-03-18,13.45,13.45,13.45,13.45,400,13.45
2014-03-17,13.31,13.31,13.31,13.31,000,13.31
2014-03-14,13.35,13.35,13.31,13.31,2800,13.31
2014-03-13,13.35,13.45,13.35,13.45,400,13.45
2014-03-12,13.30,13.45,13.30,13.45,4900,13.45
2014-03-11,13.49,13.50,13.30,13.50,7600,13.50
2014-03-10,13.50,13.50,13.30,13.30,4200,13.30
2014-03-07,13.50,13.50,13.40,13.40,5800,13.40
2014-03-06,13.75,13.75,13.33,13.33,1600,13.33
2014-03-05,13.63,13.75,13.63,13.75,1100,13.75
2014-03-04,13.72,13.72,13.72,13.72,000,13.72
2014-03-03,13.28,13.72,13.28,13.72,700,13.72
2014-02-28,13.50,13.50,13.30,13.50,4400,13.50
2014-02-27,13.35,13.35,13.35,13.35,600,13.35
2014-02-26,13.28,13.28,13.28,13.28,500,13.28
2014-02-25,13.30,13.70,13.28,13.28,13300,13.28
2014-02-24,13.17,13.17,13.17,13.17,000,13.17
2014-02-21,13.17,13.17,13.17,13.17,400,13.17
2014-02-20,13.05,13.69,13.05,13.69,2200,13.69
2014-02-19,13.45,13.45,13.10,13.10,3800,13.10
2014-02-18,13.20,13.50,13.17,13.50,4400,13.50
2014-02-14,13.74,13.74,13.74,13.74,200,13.74
2014-02-13,13.11,13.11,13.11,13.11,000,13.11
2014-02-12,13.11,13.11,13.11,13.11,1900,13.11
2014-02-11,13.11,13.15,13.11,13.15,1700,13.15
2014-02-10,13.15,13.44,13.06,13.06,2400,13.06
2014-02-07,13.11,13.15,13.05,13.15,6700,13.15
2014-02-06,13.23,13.30,13.15,13.22,1400,13.22
2014-02-05,13.19,13.35,13.15,13.25,1100,13.25
