Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,6.89,6.95,6.84,6.93,945900,6.93
2014-06-12,6.69,6.90,6.65,6.90,1843300,6.90
2014-06-11,6.61,6.70,6.61,6.68,756900,6.68
2014-06-10,6.59,6.65,6.58,6.64,633400,6.64
2014-06-09,6.58,6.62,6.56,6.61,633500,6.61
2014-06-06,6.56,6.59,6.51,6.57,698400,6.57
2014-06-05,6.51,6.58,6.47,6.56,926800,6.56
2014-06-04,6.37,6.56,6.37,6.51,1553600,6.51
2014-06-03,6.36,6.39,6.33,6.38,1307600,6.38
2014-06-02,6.30,6.37,6.29,6.36,873700,6.36
2014-05-30,6.35,6.42,6.32,6.33,1331600,6.33
2014-05-29,6.38,6.42,6.33,6.35,868100,6.35
2014-05-28,6.32,6.40,6.28,6.38,912400,6.38
2014-05-27,6.35,6.37,6.28,6.34,930700,6.34
2014-05-23,6.33,6.41,6.31,6.37,775100,6.37
2014-05-22,6.38,6.39,6.33,6.33,647100,6.33
2014-05-21,6.33,6.39,6.31,6.39,567200,6.39
2014-05-20,6.39,6.41,6.32,6.34,1120900,6.30
2014-05-19,6.33,6.43,6.30,6.40,648700,6.36
2014-05-16,6.41,6.41,6.31,6.34,847600,6.30
2014-05-15,6.47,6.49,6.30,6.40,1549600,6.36
2014-05-14,6.48,6.51,6.46,6.47,1015500,6.43
2014-05-13,6.62,6.68,6.46,6.48,2584900,6.44
2014-05-12,6.55,6.75,6.55,6.66,1300700,6.62
2014-05-09,6.59,6.60,6.45,6.57,1259200,6.53
2014-05-08,6.70,6.72,6.59,6.59,1755200,6.55
2014-05-07,6.68,6.80,6.64,6.69,1916200,6.65
2014-05-06,6.68,6.79,6.65,6.65,1298100,6.61
2014-05-05,6.58,6.70,6.53,6.66,959700,6.62
2014-05-02,6.49,6.59,6.48,6.58,624600,6.54
2014-05-01,6.47,6.55,6.43,6.51,696500,6.47
2014-04-30,6.52,6.53,6.44,6.50,1081500,6.46
2014-04-29,6.34,6.60,6.33,6.55,1856100,6.51
2014-04-28,6.31,6.33,6.28,6.31,621500,6.27
2014-04-25,6.31,6.33,6.24,6.29,855700,6.25
2014-04-24,6.30,6.35,6.29,6.32,904300,6.28
2014-04-23,6.27,6.34,6.26,6.26,647200,6.22
2014-04-22,6.23,6.31,6.19,6.28,1051000,6.24
2014-04-21,6.37,6.39,6.23,6.27,972700,6.23
2014-04-17,6.33,6.42,6.32,6.40,1147100,6.33
2014-04-16,6.29,6.33,6.26,6.32,682700,6.25
2014-04-15,6.22,6.32,6.20,6.26,930700,6.19
2014-04-14,6.19,6.30,6.17,6.25,1080000,6.18
2014-04-11,6.22,6.25,6.17,6.19,824500,6.12
2014-04-10,6.27,6.40,6.21,6.23,965700,6.16
2014-04-09,6.27,6.37,6.21,6.29,1064300,6.22
2014-04-08,6.23,6.29,6.17,6.25,898600,6.18
2014-04-07,6.22,6.29,6.16,6.18,776600,6.11
2014-04-04,6.26,6.33,6.23,6.24,894500,6.17
2014-04-03,6.20,6.28,6.18,6.23,853300,6.16
2014-04-02,6.10,6.20,6.08,6.17,869700,6.10
2014-04-01,6.07,6.14,6.06,6.10,628000,6.03
2014-03-31,6.14,6.17,6.04,6.08,855300,6.01
2014-03-28,6.10,6.18,6.10,6.14,858300,6.07
2014-03-27,5.97,6.07,5.96,6.07,1285200,6.00
2014-03-26,6.02,6.08,5.96,5.98,1551500,5.91
2014-03-25,6.01,6.05,6.00,6.04,1347000,5.97
2014-03-24,6.00,6.07,5.95,5.97,1444200,5.90
2014-03-21,6.04,6.11,6.03,6.04,917600,5.97
2014-03-20,6.04,6.05,5.97,6.01,1341400,5.94
2014-03-19,6.09,6.13,6.03,6.09,1204400,5.98
2014-03-18,6.02,6.13,6.01,6.09,1051700,5.98
2014-03-17,6.12,6.14,6.01,6.04,1450700,5.94
2014-03-14,5.99,6.12,5.97,6.11,1148000,6.00
2014-03-13,6.08,6.12,5.99,6.02,1364900,5.92
2014-03-12,6.10,6.11,5.97,6.05,2258800,5.95
2014-03-11,6.32,6.33,6.12,6.15,1917100,6.04
2014-03-10,6.44,6.44,6.22,6.29,1516700,6.18
2014-03-07,6.40,6.46,6.39,6.44,1190200,6.33
2014-03-06,6.34,6.45,6.34,6.42,1304600,6.31
