Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,69.88,70.24,69.50,69.86,385300,69.86
2014-06-12,70.58,70.85,69.61,69.93,531200,69.93
2014-06-11,70.07,70.74,69.98,70.58,662400,70.58
2014-06-10,71.28,71.66,70.69,71.03,549200,70.63
2014-06-09,71.39,71.86,71.03,71.38,533300,70.98
2014-06-06,70.82,71.25,70.73,70.96,526900,70.56
2014-06-05,70.05,70.73,69.61,70.71,447600,70.31
2014-06-04,70.04,71.05,69.55,69.77,855000,69.38
2014-06-03,70.14,70.41,69.71,70.30,742300,69.90
2014-06-02,69.37,70.37,69.10,70.28,953200,69.88
2014-05-30,68.88,69.67,68.79,69.16,1417600,68.77
2014-05-29,68.36,68.86,68.14,68.82,598800,68.43
2014-05-28,67.85,68.15,67.34,67.98,667600,67.60
2014-05-27,67.76,68.08,67.41,67.77,744300,67.39
2014-05-23,67.31,67.60,67.06,67.55,585700,67.17
2014-05-22,67.55,67.90,67.17,67.19,705000,66.81
2014-05-21,67.70,68.03,67.30,67.51,547000,67.13
2014-05-20,67.50,67.70,67.09,67.33,935400,66.95
2014-05-19,67.24,68.39,67.01,67.70,900800,67.32
2014-05-16,66.67,67.49,66.36,67.45,889500,67.07
2014-05-15,67.35,67.63,66.18,66.73,940300,66.35
2014-05-14,67.36,67.75,66.93,67.14,526800,66.76
2014-05-13,67.97,68.47,67.22,67.29,765300,66.91
2014-05-12,66.55,68.12,66.50,67.97,1055300,67.59
2014-05-09,66.61,67.04,66.05,66.28,945000,65.91
2014-05-08,66.86,68.00,66.63,66.76,753700,66.38
2014-05-07,66.74,67.00,65.93,66.95,724900,66.57
2014-05-06,66.49,66.81,66.20,66.42,629400,66.05
2014-05-05,66.31,67.46,66.22,66.73,913100,66.35
2014-05-02,66.26,66.94,66.01,66.40,961400,66.03
2014-05-01,66.50,67.14,65.98,66.26,1725800,65.89
2014-04-30,65.30,66.78,65.01,66.63,1478300,66.25
2014-04-29,65.57,65.86,65.00,65.28,1372900,64.91
2014-04-28,66.68,66.93,65.00,65.56,1060800,65.19
2014-04-25,66.53,66.63,66.16,66.39,766400,66.02
