Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,57.12,57.35,56.23,56.77,27100,56.77
2014-06-12,56.36,57.27,55.69,57.23,38200,57.23
2014-06-11,56.70,57.23,56.28,56.52,16500,56.52
2014-06-10,57.00,57.89,56.72,57.19,13000,57.19
2014-06-09,56.75,57.49,56.36,57.42,40200,57.42
2014-06-06,58.10,58.13,56.44,56.61,36500,56.61
2014-06-05,56.06,58.14,56.06,57.74,55100,57.74
2014-06-04,53.99,56.31,53.57,56.09,91800,56.09
2014-06-03,56.54,56.54,54.99,56.37,73300,56.37
2014-06-02,56.54,57.13,55.73,56.56,36000,56.56
2014-05-30,56.75,56.79,55.89,56.71,72600,56.71
2014-05-29,56.85,57.55,56.51,56.77,29600,56.77
2014-05-28,56.13,56.33,55.86,56.16,30500,56.16
2014-05-27,56.09,56.94,55.83,56.06,30800,56.06
2014-05-23,55.29,55.94,54.93,55.51,72500,55.51
2014-05-22,53.95,55.79,53.46,55.13,77900,55.13
2014-05-21,52.93,54.62,52.76,53.66,80200,53.66
2014-05-20,52.78,53.40,51.21,52.69,61000,52.69
2014-05-19,51.63,53.49,51.19,52.80,83400,52.80
2014-05-16,50.00,52.21,49.54,51.65,50600,51.65
2014-05-15,50.18,50.52,49.26,49.79,40700,49.79
2014-05-14,52.27,52.87,50.51,50.65,28300,50.65
2014-05-13,52.20,52.85,51.37,52.28,59100,52.28
2014-05-12,50.49,52.88,50.09,52.51,75400,52.51
2014-05-09,49.80,50.49,49.23,49.74,84100,49.74
2014-05-08,50.17,50.92,49.97,50.03,53800,50.03
2014-05-07,50.13,50.71,49.84,50.24,59400,50.24
2014-05-06,51.23,51.39,49.53,50.05,48900,50.05
2014-05-05,50.66,51.45,50.15,51.18,83400,51.18
2014-05-02,50.81,51.00,50.50,50.66,59300,50.66
2014-05-01,50.10,51.23,49.88,50.75,94400,50.75
2014-04-30,51.06,51.30,49.50,50.04,680000,50.04
2014-04-29,54.45,54.45,51.01,51.24,86900,51.24
2014-04-28,57.77,57.77,54.52,54.70,44300,54.70
2014-04-25,57.84,57.97,56.32,57.43,34400,57.43
2014-04-24,59.32,59.75,57.93,58.25,15100,58.25
2014-04-23,60.97,60.97,59.70,59.73,28500,59.73
2014-04-22,59.45,61.76,59.26,60.85,21700,60.85
2014-04-21,59.20,59.50,58.50,59.29,18300,59.29
2014-04-17,58.75,59.14,58.66,59.01,7100,59.01
2014-04-16,58.12,58.88,58.00,58.66,19800,58.66
2014-04-15,57.37,58.22,56.63,57.88,33900,57.88
2014-04-14,57.34,57.34,56.51,56.83,24000,56.83
2014-04-11,56.65,57.45,56.50,56.75,18800,56.75
2014-04-10,58.00,58.00,56.21,57.00,38600,57.00
2014-04-09,56.03,58.00,55.78,57.95,31800,57.95
2014-04-08,54.97,57.98,54.93,55.66,42800,55.66
2014-04-07,55.25,55.74,54.80,55.12,89000,55.12
2014-04-04,55.91,56.31,55.00,55.26,20000,55.26
2014-04-03,56.70,56.70,55.33,55.52,16000,55.52
2014-04-02,56.88,57.45,56.10,56.44,13200,56.44
2014-04-01,56.05,57.43,56.04,56.58,30200,56.58
2014-03-31,54.37,55.97,54.37,55.76,42600,55.76
2014-03-28,54.68,55.51,54.01,54.20,13600,54.20
2014-03-27,55.01,55.16,54.50,54.74,12200,54.74
2014-03-26,56.29,57.03,55.10,55.17,16200,55.17
2014-03-25,57.05,57.13,56.00,56.10,13200,56.10
2014-03-24,58.00,58.00,56.36,56.44,13100,56.44
2014-03-21,58.00,58.00,57.53,57.84,20400,57.84
2014-03-20,56.99,58.37,56.61,57.98,22800,57.98
2014-03-19,56.76,57.18,56.39,56.39,21200,56.39
2014-03-18,56.15,56.89,56.03,56.65,8300,56.65
2014-03-17,56.96,56.96,55.80,56.14,18600,56.14
2014-03-14,55.77,57.17,55.77,56.62,7700,56.62
2014-03-13,56.91,57.51,55.53,55.57,14900,55.57
2014-03-12,56.66,56.80,56.08,56.71,10900,56.71
2014-03-11,58.00,58.00,56.05,56.51,19000,56.51
2014-03-10,57.50,58.00,57.50,57.89,11300,57.89
2014-03-07,58.00,58.25,57.48,57.85,22400,57.85
2014-03-06,57.67,58.00,56.76,57.92,22500,57.92
2014-03-05,58.00,58.00,57.25,57.25,21600,57.25
2014-03-04,57.67,59.20,57.16,58.08,28200,58.08
2014-03-03,56.55,57.40,55.74,57.05,15200,57.05
2014-02-28,56.34,57.56,56.15,56.87,23000,56.87
2014-02-27,55.11,56.23,55.11,56.23,20800,56.23
2014-02-26,55.35,55.37,54.78,55.13,17400,55.13
2014-02-25,56.53,56.53,54.68,55.59,9000,55.59
2014-02-24,57.38,57.38,55.90,56.44,12300,56.44
2014-02-21,57.57,57.57,56.89,57.11,11800,57.11
2014-02-20,57.64,57.64,56.59,57.19,8600,57.19
2014-02-19,57.46,57.64,57.23,57.36,14400,57.36
2014-02-18,57.88,57.88,57.24,57.83,10400,57.83
2014-02-14,57.80,57.99,56.77,57.62,6900,57.62
2014-02-13,57.10,58.00,56.67,57.69,25700,57.69
2014-02-12,56.91,57.76,56.36,57.41,22500,57.41
2014-02-11,57.37,57.60,56.21,56.95,18300,56.95
2014-02-10,56.46,58.00,56.12,57.06,22000,57.06
2014-02-07,58.08,59.66,55.50,57.04,25500,57.04
2014-02-06,54.50,59.79,54.50,58.00,39600,58.00
2014-02-05,53.28,53.58,51.77,52.96,23500,52.96
2014-02-04,53.38,53.68,52.38,53.11,15200,53.11
2014-02-03,54.04,54.04,51.15,52.98,47100,52.98
2014-01-31,54.13,55.37,53.25,53.94,26700,53.94
2014-01-30,52.67,55.72,50.00,54.74,22100,54.74
2014-01-29,52.15,52.80,51.85,52.09,19300,52.09
2014-01-28,55.30,55.64,51.92,52.36,41400,52.36
2014-01-27,56.24,56.77,55.05,55.34,15200,55.34
2014-01-24,56.71,57.27,55.67,56.12,12700,56.12
2014-01-23,57.10,57.50,56.51,56.88,6100,56.88
2014-01-22,57.58,57.91,56.30,57.28,8400,57.28
2014-01-21,56.68,58.00,56.41,57.74,13100,57.74
2014-01-17,56.60,57.40,56.36,56.50,14100,56.50
2014-01-16,56.30,56.88,56.30,56.60,6300,56.60
2014-01-15,56.44,56.91,55.32,56.24,57000,56.24
2014-01-14,56.79,56.79,55.81,56.10,12600,56.10
2014-01-13,56.30,57.00,56.07,56.38,24400,56.38
2014-01-10,56.61,57.00,56.16,56.64,5200,56.64
2014-01-09,56.46,57.12,56.01,56.46,17000,56.46
2014-01-08,56.31,57.75,56.30,56.31,17500,56.31
2014-01-07,56.86,57.21,56.48,56.90,7700,56.90
2014-01-06,56.56,57.10,56.01,56.50,23700,56.50
2014-01-03,56.64,56.81,55.71,56.50,17600,56.50
2014-01-02,56.68,56.68,56.25,56.61,27000,56.61
2013-12-31,58.00,58.02,56.69,56.84,15500,56.84
2013-12-30,58.00,58.15,57.68,57.86,10200,57.86
2013-12-27,57.49,58.05,57.36,57.98,14200,57.98
2013-12-26,58.20,58.33,57.16,57.16,34000,57.16
2013-12-24,58.10,58.62,57.90,58.25,6800,58.25
2013-12-23,57.50,58.30,57.50,58.00,19000,58.00
2013-12-20,57.00,57.98,56.80,57.44,78600,57.44
2013-12-19,56.12,56.57,56.07,56.50,29300,56.50
2013-12-18,55.84,56.46,55.44,56.25,17200,56.25
2013-12-17,53.36,56.48,52.53,55.70,41200,55.70
2013-12-16,53.38,53.95,52.60,53.23,46900,53.23
2013-12-13,55.30,55.38,53.20,53.36,25400,53.36
2013-12-12,52.65,56.44,52.33,54.98,37200,54.98
2013-12-11,52.41,52.45,51.67,52.11,23700,52.11
2013-12-10,52.59,52.59,51.81,52.34,19500,52.34
2013-12-09,51.98,53.14,51.38,52.68,23200,52.68
2013-12-06,52.85,53.02,51.66,52.00,26000,52.00
2013-12-05,53.17,53.48,52.23,52.52,32000,52.52
2013-12-04,53.93,54.05,52.74,53.10,24800,53.10
2013-12-03,53.77,54.72,53.60,54.11,18600,54.11
2013-12-02,54.00,54.54,53.54,53.67,22700,53.67
2013-11-29,55.63,55.73,54.02,54.02,8300,54.02
2013-11-27,54.50,55.82,53.10,55.47,38700,55.47
2013-11-26,54.80,55.65,54.50,54.62,7700,54.62
2013-11-25,53.84,55.06,53.15,54.77,67500,54.77
2013-11-22,54.43,55.08,54.14,54.33,44500,54.33
2013-11-21,54.50,54.50,53.97,54.25,14100,54.25
2013-11-20,52.73,54.50,52.44,54.45,17600,54.45
2013-11-19,51.42,53.60,51.42,52.67,19200,52.67
2013-11-18,48.99,52.36,47.49,51.86,31400,51.86
2013-11-15,49.84,49.99,47.51,49.09,41500,49.09
2013-11-14,49.84,50.25,49.53,49.91,498200,49.91
2013-11-13,49.51,50.00,49.33,49.98,4100,49.98
2013-11-12,50.66,50.66,49.75,50.11,3400,50.11
2013-11-11,52.39,52.39,50.54,50.87,6600,50.87
2013-11-08,50.02,52.89,49.25,52.46,14400,52.46
2013-11-07,52.95,53.20,51.00,51.00,6600,51.00
2013-11-06,53.88,53.88,52.75,52.86,3400,52.86
2013-11-05,53.34,54.06,52.75,53.16,6400,53.16
2013-11-04,52.71,54.42,52.71,53.46,7100,53.46
2013-11-01,54.33,54.69,51.12,53.78,9500,53.78
2013-10-31,54.61,54.87,53.80,54.36,11200,54.36
2013-10-30,54.79,55.00,54.50,54.50,4500,54.50
2013-10-29,54.70,55.05,54.63,54.99,14900,54.99
2013-10-28,54.51,54.85,54.13,54.82,28900,54.82
2013-10-25,54.73,54.73,54.11,54.32,7100,54.32
2013-10-24,54.32,54.63,54.20,54.59,22500,54.59
2013-10-23,54.29,54.61,54.13,54.31,21700,54.31
2013-10-22,54.20,55.76,54.11,54.46,28400,54.46
2013-10-21,54.62,54.95,53.81,54.01,33200,54.01
2013-10-18,53.82,54.99,53.11,54.51,13200,54.51
2013-10-17,52.59,53.80,52.59,53.33,29000,53.33
2013-10-16,53.92,54.00,52.68,53.30,9500,53.30
2013-10-15,53.60,53.98,53.51,53.56,6300,53.56
2013-10-14,52.25,54.00,51.87,53.44,14400,53.44
2013-10-11,51.46,52.60,51.44,52.53,24500,52.53
2013-10-10,49.61,51.84,49.38,51.75,19100,51.75
2013-10-09,51.31,51.31,48.33,48.57,11500,48.57
