Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,28.17,28.50,27.91,28.37,147000,28.37
2014-06-12,28.06,28.19,27.60,28.10,418000,28.10
2014-06-11,28.59,28.66,28.21,28.21,154300,28.21
2014-06-10,28.82,28.95,28.60,28.74,144500,28.74
2014-06-09,28.83,29.02,28.69,28.84,158700,28.84
2014-06-06,28.96,29.15,28.81,28.86,187400,28.86
2014-06-05,28.21,28.87,28.07,28.80,261800,28.80
2014-06-04,28.04,28.17,27.93,28.10,318500,28.10
2014-06-03,28.19,28.51,28.10,28.15,621900,28.15
2014-06-02,28.37,28.73,28.18,28.38,272300,28.38
2014-05-30,28.25,28.51,28.16,28.46,250700,28.46
2014-05-29,28.22,28.26,28.06,28.21,207000,28.21
2014-05-28,27.85,28.22,27.77,28.13,294400,28.13
2014-05-27,27.99,28.16,27.83,27.88,300600,27.88
2014-05-23,27.68,27.89,27.53,27.76,275400,27.76
2014-05-22,27.64,27.83,27.63,27.69,307500,27.69
2014-05-21,27.87,27.87,27.44,27.54,338800,27.54
2014-05-20,27.93,28.05,27.71,27.75,630800,27.75
2014-05-19,28.12,28.23,27.85,27.94,492300,27.94
2014-05-16,27.56,28.28,27.47,28.27,400500,28.27
2014-05-15,27.63,27.64,27.31,27.63,542000,27.63
2014-05-14,27.64,27.90,27.48,27.68,434000,27.68
2014-05-13,27.89,28.14,27.56,27.60,520900,27.60
2014-05-12,28.64,28.71,27.87,27.91,629800,27.91
2014-05-09,28.55,28.85,28.47,28.53,572600,28.53
2014-05-08,28.57,29.22,28.14,28.68,1229600,28.68
2014-05-07,26.35,28.62,26.19,28.51,1593100,28.51
2014-05-06,26.57,26.66,26.24,26.28,327700,26.28
2014-05-05,26.62,26.75,26.42,26.59,420100,26.59
2014-05-02,27.52,27.66,26.66,26.79,487300,26.79
2014-05-01,27.78,27.90,27.44,27.77,764300,27.77
2014-04-30,27.77,28.04,27.59,27.68,490800,27.68
2014-04-29,28.34,28.50,27.82,27.84,914100,27.84
2014-04-28,28.10,28.35,27.89,28.21,812600,28.21
2014-04-25,27.67,28.12,27.57,28.03,892200,28.03
2014-04-24,27.58,27.73,27.36,27.70,433500,27.70
2014-04-23,27.36,27.67,27.36,27.44,334100,27.44
2014-04-22,27.28,27.39,27.07,27.36,272500,27.36
2014-04-21,27.17,27.40,27.02,27.23,236100,27.23
2014-04-17,27.50,27.65,27.20,27.22,244100,27.22
2014-04-16,27.70,27.72,27.30,27.50,442400,27.50
2014-04-15,27.35,27.60,27.22,27.58,455500,27.58
2014-04-14,27.32,27.69,27.02,27.53,500400,27.35
2014-04-11,26.82,27.36,26.79,27.07,653900,26.89
2014-04-10,27.01,27.37,26.70,26.81,367500,26.63
2014-04-09,27.20,27.28,26.87,27.05,294300,26.87
2014-04-08,27.00,27.37,26.76,27.17,288500,26.99
2014-04-07,26.84,27.17,26.76,26.94,374800,26.76
2014-04-04,27.30,27.46,26.83,26.83,405600,26.65
2014-04-03,27.16,27.29,27.04,27.19,245800,27.01
2014-04-02,26.99,27.09,26.74,27.07,288400,26.89
2014-04-01,27.05,27.10,26.84,26.97,635500,26.79
2014-03-31,26.93,27.15,26.78,27.03,437600,26.85
2014-03-28,26.73,26.94,26.72,26.79,216100,26.61
2014-03-27,26.74,26.82,26.60,26.78,278400,26.60
2014-03-26,27.07,27.18,26.72,26.72,357200,26.54
2014-03-25,26.81,26.96,26.58,26.93,296500,26.75
2014-03-24,26.90,26.98,26.64,26.70,404200,26.52
2014-03-21,26.51,27.18,26.46,26.79,1059900,26.61
2014-03-20,26.54,26.54,26.26,26.31,344900,26.13
2014-03-19,27.06,27.15,26.56,26.60,661300,26.42
2014-03-18,27.23,27.25,27.03,27.11,660400,26.93
2014-03-17,27.01,27.16,26.74,27.15,327300,26.97
2014-03-14,26.89,27.16,26.87,26.91,629200,26.73
2014-03-13,26.54,27.08,26.54,26.93,668300,26.75
2014-03-12,25.88,26.55,25.88,26.54,527100,26.36
2014-03-11,25.76,25.96,25.46,25.93,522400,25.76
2014-03-10,25.90,26.06,25.64,25.67,327200,25.50
2014-03-07,26.12,26.15,25.69,25.97,410500,25.80
2014-03-06,26.29,26.58,26.04,26.12,724700,25.94
2014-03-05,26.42,26.53,26.02,26.21,395100,26.03
2014-03-04,26.04,26.55,25.94,26.47,592000,26.29
2014-03-03,26.23,26.23,25.70,25.75,462300,25.58
2014-02-28,25.97,26.43,25.70,26.15,572000,25.97
2014-02-27,25.56,25.60,25.34,25.58,266700,25.41
2014-02-26,25.60,25.83,25.47,25.60,312200,25.43
2014-02-25,25.43,25.63,25.33,25.50,245700,25.33
2014-02-24,25.72,25.80,25.44,25.45,282600,25.28
2014-02-21,25.52,25.83,25.52,25.67,357500,25.50
2014-02-20,25.15,25.58,25.15,25.53,276400,25.36
2014-02-19,25.39,25.59,25.11,25.11,330900,24.94
2014-02-18,25.40,25.51,25.22,25.49,241900,25.32
2014-02-14,25.13,25.34,25.04,25.33,272400,25.16
2014-02-13,24.57,25.09,24.56,25.09,258100,24.92
2014-02-12,24.77,24.85,24.66,24.72,263700,24.55
2014-02-11,24.38,24.93,24.32,24.77,313700,24.60
2014-02-10,24.33,24.45,24.05,24.38,261600,24.22
2014-02-07,24.20,24.36,24.07,24.33,372400,24.17
2014-02-06,23.95,24.10,23.80,24.06,338300,23.90
2014-02-05,23.90,23.94,23.70,23.89,388900,23.73
2014-02-04,24.15,24.15,23.83,23.95,806200,23.79
2014-02-03,24.67,24.80,23.89,24.01,1293600,23.85
2014-01-31,24.34,24.81,24.28,24.65,538400,24.48
2014-01-30,24.43,24.78,24.28,24.71,243100,24.54
2014-01-29,24.16,24.53,24.15,24.32,370100,24.16
2014-01-28,24.40,24.40,24.19,24.39,448900,24.23
2014-01-27,24.33,24.44,24.13,24.38,414200,24.22
2014-01-24,24.47,24.69,24.21,24.30,408400,24.14
2014-01-23,24.70,24.85,24.60,24.62,316600,24.45
2014-01-22,24.74,24.84,24.72,24.82,250400,24.65
2014-01-21,24.32,24.72,24.25,24.71,785100,24.54
2014-01-17,24.67,24.73,24.59,24.59,234100,24.24
2014-01-16,24.57,24.74,24.57,24.67,196700,24.32
2014-01-15,24.86,24.91,24.63,24.63,367000,24.28
2014-01-14,24.59,25.33,24.54,24.72,416600,24.37
2014-01-13,24.46,24.76,24.33,24.52,605800,24.17
2014-01-10,24.11,24.62,23.98,24.58,348600,24.23
2014-01-09,23.96,24.07,23.79,24.04,375300,23.70
2014-01-08,23.80,23.89,23.61,23.89,505400,23.55
2014-01-07,23.66,23.95,23.63,23.85,435900,23.51
2014-01-06,23.80,23.83,23.53,23.53,442400,23.20
2014-01-03,23.70,23.87,23.62,23.73,350600,23.39
2014-01-02,24.10,24.10,23.57,23.71,368100,23.37
2013-12-31,24.23,24.29,24.07,24.12,266000,23.78
2013-12-30,24.22,24.36,24.10,24.15,218300,23.81
2013-12-27,24.15,24.23,23.94,24.22,236700,23.88
2013-12-26,24.03,24.14,23.90,24.05,230400,23.71
2013-12-24,23.88,24.16,23.76,24.00,166700,23.66
2013-12-23,24.08,24.12,23.87,23.93,377900,23.59
2013-12-20,23.60,23.92,23.58,23.83,730600,23.49
2013-12-19,23.83,23.90,23.51,23.59,437800,23.26
2013-12-18,23.57,23.89,23.30,23.89,367800,23.55
2013-12-17,23.52,23.58,23.42,23.57,510900,23.24
2013-12-16,23.41,23.74,23.36,23.51,354100,23.18
2013-12-13,23.26,23.46,23.17,23.37,523800,23.04
2013-12-12,22.99,23.42,22.99,23.24,927100,22.91
2013-12-11,23.09,23.12,22.78,22.89,435400,22.57
2013-12-10,23.52,23.60,23.12,23.13,647600,22.80
2013-12-09,23.56,23.78,23.20,23.61,1136600,23.27
2013-12-06,23.21,23.67,23.01,23.65,776200,23.31
2013-12-05,23.23,23.29,23.02,23.09,422800,22.76
2013-12-04,22.83,23.29,22.72,23.23,463500,22.90
2013-12-03,23.06,23.23,22.86,22.96,1110400,22.63
2013-12-02,23.28,23.35,23.06,23.16,475000,22.83
2013-11-29,23.23,23.35,23.16,23.27,260000,22.94
2013-11-27,23.17,23.29,23.09,23.21,333100,22.88
2013-11-26,23.18,23.18,22.94,23.11,374300,22.78
2013-11-25,23.29,23.44,23.17,23.22,247300,22.89
2013-11-22,23.22,23.39,23.14,23.33,331800,23.00
2013-11-21,22.96,23.33,22.92,23.28,315700,22.95
2013-11-20,23.11,23.20,22.93,22.99,218100,22.66
2013-11-19,23.10,23.29,23.00,23.05,335700,22.72
2013-11-18,23.19,23.33,22.96,23.16,384300,22.83
2013-11-15,23.19,23.22,22.93,23.17,282200,22.84
2013-11-14,23.04,23.27,22.98,23.23,181800,22.90
2013-11-13,22.86,23.03,22.65,23.03,320500,22.70
2013-11-12,23.29,23.41,22.99,23.03,279900,22.70
2013-11-11,23.30,23.52,23.16,23.37,439100,23.04
2013-11-08,23.08,23.43,22.85,23.28,405500,22.95
2013-11-07,23.52,23.61,23.07,23.11,369500,22.78
2013-11-06,23.60,23.75,23.42,23.49,249000,23.16
2013-11-05,23.63,23.77,23.44,23.44,295200,23.11
2013-11-04,23.92,23.95,23.49,23.73,370300,23.39
2013-11-01,24.10,24.46,23.70,23.98,514200,23.48
2013-10-31,24.02,24.17,23.70,23.92,388100,23.42
2013-10-30,24.36,24.53,24.07,24.07,274600,23.57
2013-10-29,24.16,24.31,24.03,24.28,431500,23.77
2013-10-28,24.19,24.31,23.97,24.16,415100,23.65
2013-10-25,24.00,24.19,23.83,24.19,272600,23.68
2013-10-24,24.06,24.09,23.85,23.92,444300,23.42
2013-10-23,23.89,24.11,23.82,23.95,644600,23.45
2013-10-22,23.76,24.05,23.65,23.95,327900,23.45
2013-10-21,23.84,23.84,23.56,23.68,264200,23.18
2013-10-18,23.73,23.84,23.60,23.81,369600,23.31
2013-10-17,22.95,23.64,22.83,23.57,313800,23.08
2013-10-16,22.89,23.09,22.84,23.04,225900,22.56
2013-10-15,23.24,23.24,22.72,22.82,369900,22.34
2013-10-14,23.36,23.42,22.98,23.26,263200,22.77
2013-10-11,23.18,23.49,23.08,23.49,431100,23.00
2013-10-10,22.85,23.26,22.64,23.20,548200,22.71
2013-10-09,22.43,22.87,22.39,22.59,529200,22.12
2013-10-08,22.25,22.55,22.09,22.40,254900,21.93
2013-10-07,22.15,22.45,22.09,22.26,325700,21.79
2013-10-04,22.23,22.37,22.15,22.30,209700,21.83
2013-10-03,22.47,22.49,22.02,22.21,391200,21.74
2013-10-02,22.81,22.83,22.51,22.55,300900,22.08
2013-10-01,22.65,23.09,22.65,22.89,751300,22.41
2013-09-30,22.18,22.74,22.18,22.63,807800,22.16
2013-09-27,22.28,22.55,22.26,22.33,308000,21.86
2013-09-26,22.49,22.65,22.37,22.47,256400,22.00
2013-09-25,22.60,22.75,22.46,22.49,171500,22.02
2013-09-24,22.67,22.82,22.56,22.69,276900,22.21
2013-09-23,22.32,22.84,22.30,22.68,375700,22.20
2013-09-20,22.56,22.59,22.36,22.36,769800,21.89
2013-09-19,22.63,22.74,22.41,22.47,324900,22.00
2013-09-18,21.92,22.70,21.86,22.63,489400,22.16
2013-09-17,21.65,21.95,21.57,21.95,560600,21.49
2013-09-16,21.88,21.96,21.54,21.65,555900,21.20
2013-09-13,21.47,21.65,21.39,21.61,326300,21.16
2013-09-12,21.65,21.80,21.41,21.43,250800,20.98
2013-09-11,21.65,21.66,21.39,21.60,388600,21.15
2013-09-10,21.61,21.67,21.36,21.65,448400,21.20
2013-09-09,21.33,21.56,21.11,21.54,402800,21.09
2013-09-06,21.39,21.58,21.22,21.25,385800,20.80
2013-09-05,21.42,21.47,21.14,21.27,315900,20.82
2013-09-04,21.36,21.43,21.17,21.42,508400,20.97
2013-09-03,22.11,22.23,21.30,21.36,744800,20.91
2013-08-30,22.07,22.25,21.86,21.91,438400,21.45
2013-08-29,22.28,22.37,22.06,22.10,371300,21.64
2013-08-28,22.37,22.57,22.23,22.33,430800,21.86
2013-08-27,22.49,22.68,22.36,22.36,903200,21.89
2013-08-26,22.85,22.97,22.56,22.68,320500,22.20
2013-08-23,22.61,22.86,22.46,22.85,466900,22.37
2013-08-22,22.55,22.78,22.47,22.58,412300,22.11
2013-08-21,22.85,22.91,22.42,22.48,469100,22.01
2013-08-20,22.52,23.02,22.48,22.97,716100,22.49
2013-08-19,22.51,22.60,22.38,22.50,445500,22.03
2013-08-16,22.84,22.87,22.48,22.54,411500,22.07
2013-08-15,23.31,23.40,22.89,22.90,436100,22.42
2013-08-14,23.56,23.64,23.31,23.50,357800,23.01
2013-08-13,23.74,23.86,23.55,23.59,424100,23.10
2013-08-12,23.54,23.82,23.43,23.71,537400,23.21
2013-08-09,23.83,23.91,23.59,23.63,303700,23.13
2013-08-08,23.79,23.97,23.69,23.84,395700,23.34
2013-08-07,23.70,23.84,23.55,23.66,421400,23.16
2013-08-06,23.95,24.06,23.76,23.79,341500,23.29
2013-08-05,24.27,24.27,24.01,24.04,631400,23.54
2013-08-02,23.80,24.39,23.65,24.29,702800,23.78
2013-08-01,23.66,23.90,23.61,23.76,557100,23.26
2013-07-31,23.65,23.66,23.33,23.48,219800,22.99
2013-07-30,23.73,23.82,23.58,23.76,281300,23.10
2013-07-29,23.62,23.81,23.52,23.64,302000,22.98
2013-07-26,23.39,23.67,23.26,23.66,159300,23.00
2013-07-25,23.34,23.59,23.23,23.58,492700,22.93
2013-07-24,23.98,23.98,23.23,23.34,328200,22.69
2013-07-23,23.91,23.98,23.76,23.94,215000,23.28
2013-07-22,23.98,24.14,23.80,23.84,349300,23.18
2013-07-19,23.51,24.02,23.51,23.96,392000,23.29
2013-07-18,23.35,23.68,23.34,23.62,212800,22.96
2013-07-17,23.42,23.49,23.00,23.30,407500,22.65
2013-07-16,23.33,23.48,23.20,23.29,274400,22.64
2013-07-15,23.00,23.47,23.00,23.32,274200,22.67
2013-07-12,22.89,23.04,22.75,23.02,229100,22.38
2013-07-11,23.00,23.12,22.81,22.91,342200,22.27
2013-07-10,22.34,22.80,22.33,22.75,329700,22.12
2013-07-09,22.45,22.51,22.30,22.35,765100,21.73
2013-07-08,22.16,22.45,21.97,22.38,322100,21.76
2013-07-05,22.17,22.22,21.65,22.06,484600,21.45
2013-07-03,22.01,22.12,21.84,21.99,189600,21.38
2013-07-02,21.97,22.50,21.93,22.12,799400,21.51
2013-07-01,22.23,22.33,22.04,22.15,439100,21.53
2013-06-28,22.11,22.30,21.87,22.19,620300,21.57
2013-06-27,21.98,22.29,21.93,22.11,465200,21.50
2013-06-26,21.95,22.07,21.73,21.89,603500,21.28
2013-06-25,21.64,21.86,21.44,21.75,415900,21.15
2013-06-24,21.34,21.81,21.11,21.53,475700,20.93
2013-06-21,21.44,21.61,21.17,21.47,738600,20.87
2013-06-20,21.76,21.82,21.23,21.35,553000,20.76
2013-06-19,22.50,22.61,22.00,22.00,335500,21.39
2013-06-18,22.27,22.55,22.12,22.54,364700,21.91
2013-06-17,22.37,22.43,22.11,22.17,389200,21.55
2013-06-14,22.06,22.33,22.03,22.21,455500,21.59
2013-06-13,21.90,22.15,21.68,22.03,597400,21.42
2013-06-12,22.41,22.47,21.88,21.94,380000,21.33
2013-06-11,22.22,22.52,22.03,22.24,306600,21.62
2013-06-10,22.46,22.60,22.19,22.43,473000,21.81
2013-06-07,22.69,22.90,22.23,22.36,679700,21.74
2013-06-06,21.58,22.01,21.26,22.01,650600,21.40
2013-06-05,21.83,21.88,21.57,21.58,428900,20.98
2013-06-04,22.31,22.38,21.83,21.91,483700,21.30
2013-06-03,22.41,22.47,22.12,22.34,635500,21.72
2013-05-31,22.39,22.86,22.39,22.42,430300,21.80
2013-05-30,22.32,22.94,22.32,22.48,625500,21.86
2013-05-29,22.33,22.33,21.77,22.11,567700,21.50
2013-05-28,22.58,22.97,22.43,22.47,604700,21.85
2013-05-24,22.49,22.60,22.35,22.52,679000,21.89
2013-05-23,22.62,22.74,22.33,22.60,802600,21.97
