Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,7.31,7.36,7.20,7.21,17996600,7.21
2014-06-12,7.52,7.55,7.28,7.34,24978500,7.34
2014-06-11,7.22,7.59,7.22,7.56,33680200,7.56
2014-06-10,7.26,7.39,7.02,7.28,59444100,7.28
2014-06-09,7.71,7.78,7.36,7.38,54016100,7.38
2014-06-06,8.05,8.08,7.69,7.72,45945600,7.72
2014-06-05,7.67,7.97,7.32,7.87,105194400,7.87
2014-06-04,8.24,8.62,8.22,8.50,22400900,8.50
2014-06-03,8.26,8.32,8.16,8.27,15741200,8.27
2014-06-02,8.41,8.43,8.27,8.30,13916400,8.30
2014-05-30,8.36,8.42,8.27,8.36,20179100,8.36
2014-05-29,8.30,8.45,8.29,8.38,18662600,8.38
2014-05-28,8.33,8.36,8.18,8.31,16893800,8.31
2014-05-27,8.23,8.38,8.22,8.27,23615800,8.27
2014-05-23,7.76,8.15,7.75,8.12,40413700,8.12
2014-05-22,7.79,7.84,7.71,7.76,13504200,7.76
2014-05-21,7.76,7.82,7.65,7.82,15299500,7.82
2014-05-20,7.86,7.89,7.70,7.72,16756100,7.72
2014-05-19,7.64,7.88,7.60,7.80,19852800,7.80
2014-05-16,7.68,7.71,7.53,7.58,15709200,7.58
2014-05-15,7.79,7.79,7.56,7.70,21140000,7.70
2014-05-14,7.83,7.88,7.73,7.77,20854800,7.77
2014-05-13,7.83,8.02,7.76,7.82,22881200,7.82
2014-05-12,7.69,7.91,7.69,7.87,20080700,7.87
2014-05-09,7.58,7.64,7.46,7.62,15507500,7.62
2014-05-08,7.71,7.80,7.52,7.57,18049500,7.57
2014-05-07,7.88,7.89,7.59,7.71,23393700,7.71
2014-05-06,7.91,7.92,7.77,7.77,18910700,7.77
2014-05-05,7.78,7.95,7.70,7.86,19213300,7.86
2014-05-02,7.81,7.96,7.77,7.87,31565300,7.87
2014-05-01,7.42,7.90,7.41,7.70,65979800,7.70
2014-04-30,7.07,7.32,6.97,7.30,41049800,7.30
2014-04-29,6.96,7.11,6.96,7.09,22508800,7.09
2014-04-28,7.02,7.11,6.78,6.95,25945800,6.95
2014-04-25,7.08,7.10,6.93,6.99,19925100,6.99
2014-04-24,7.16,7.18,7.06,7.12,16178000,7.12
2014-04-23,7.26,7.27,7.11,7.13,19770600,7.13
2014-04-22,7.06,7.25,7.06,7.25,21120900,7.25
2014-04-21,7.21,7.28,7.04,7.04,25439600,7.04
2014-04-17,7.16,7.31,7.10,7.16,26040300,7.16
2014-04-16,7.10,7.19,6.96,7.12,26298900,7.12
2014-04-15,7.12,7.22,6.76,7.06,42797200,7.06
2014-04-14,7.26,7.33,7.01,7.10,34744600,7.10
2014-04-11,6.73,7.25,6.73,7.04,47012400,7.04
2014-04-10,7.18,7.39,6.92,6.94,104843300,6.94
2014-04-09,6.20,6.44,6.15,6.40,32468100,6.40
2014-04-08,6.05,6.21,5.85,6.11,28176800,6.11
2014-04-07,6.21,6.29,5.83,6.05,39034000,6.05
2014-04-04,6.55,6.68,6.16,6.20,36670500,6.20
2014-04-03,6.38,6.60,6.38,6.49,26767700,6.49
2014-04-02,6.39,6.47,6.31,6.36,13444200,6.36
2014-04-01,6.29,6.41,6.29,6.39,21324600,6.39
2014-03-31,6.50,6.55,6.22,6.27,31050800,6.27
2014-03-28,6.35,6.53,6.34,6.43,12042200,6.43
2014-03-27,6.48,6.49,6.17,6.38,23163300,6.38
2014-03-26,6.71,6.75,6.47,6.50,15600500,6.50
2014-03-25,6.65,6.74,6.55,6.67,14097900,6.67
2014-03-24,6.68,6.79,6.43,6.52,16971200,6.52
2014-03-21,6.89,6.90,6.64,6.64,20294500,6.64
2014-03-20,6.81,6.89,6.76,6.87,10131500,6.87
2014-03-19,6.89,6.92,6.80,6.83,9457100,6.83
2014-03-18,6.89,6.96,6.86,6.88,14383300,6.88
2014-03-17,6.92,6.93,6.82,6.87,12998900,6.87
2014-03-14,6.76,6.95,6.74,6.81,14914700,6.81
2014-03-13,7.05,7.05,6.75,6.77,23299600,6.77
2014-03-12,6.66,6.95,6.59,6.92,35506800,6.92
2014-03-11,6.45,6.63,6.40,6.44,14215600,6.44
2014-03-10,6.53,6.53,6.38,6.43,16383700,6.43
2014-03-07,6.69,6.73,6.55,6.56,12594500,6.56
2014-03-06,6.75,6.78,6.56,6.64,24247100,6.64
2014-03-05,6.79,6.86,6.71,6.73,15210000,6.73
2014-03-04,6.68,6.81,6.68,6.77,18368100,6.77
2014-03-03,6.48,6.64,6.36,6.58,19722700,6.58
2014-02-28,6.80,6.81,6.51,6.59,21312400,6.59
2014-02-27,6.58,6.75,6.52,6.74,19271900,6.74
2014-02-26,6.74,6.78,6.58,6.63,20887300,6.63
2014-02-25,6.50,6.75,6.35,6.70,21824600,6.70
2014-02-24,6.58,6.60,6.42,6.53,28930600,6.53
2014-02-21,6.60,6.87,6.54,6.67,50638500,6.67
2014-02-20,6.44,6.58,6.32,6.53,28038900,6.53
2014-02-19,6.27,6.55,6.26,6.41,35702500,6.41
2014-02-18,6.02,6.35,5.96,6.27,44025100,6.27
2014-02-14,5.98,5.99,5.86,5.92,12946800,5.92
2014-02-13,5.74,5.99,5.72,5.96,19966700,5.96
2014-02-12,5.73,5.84,5.73,5.81,13023300,5.81
2014-02-11,5.70,5.78,5.65,5.75,20884300,5.75
2014-02-10,5.67,5.69,5.57,5.64,13870400,5.64
2014-02-07,5.61,5.74,5.56,5.70,22562900,5.70
2014-02-06,5.43,5.62,5.43,5.60,19180300,5.60
2014-02-05,5.38,5.46,5.26,5.45,16468600,5.45
2014-02-04,5.37,5.43,5.23,5.34,13368600,5.34
2014-02-03,5.52,5.59,5.31,5.33,18999800,5.33
2014-01-31,5.53,5.65,5.49,5.55,19636300,5.55
2014-01-30,5.44,5.67,5.44,5.67,19892000,5.67
2014-01-29,5.46,5.52,5.33,5.36,15893300,5.36
2014-01-28,5.41,5.59,5.41,5.55,15979000,5.55
2014-01-27,5.47,5.50,5.26,5.43,23723200,5.43
2014-01-24,5.66,5.67,5.46,5.47,27747500,5.47
2014-01-23,5.80,5.82,5.65,5.72,20132100,5.72
2014-01-22,5.76,5.85,5.71,5.82,15580500,5.82
2014-01-21,5.91,5.92,5.70,5.77,20702100,5.77
2014-01-17,5.67,5.96,5.65,5.85,43175400,5.85
2014-01-16,5.50,5.62,5.38,5.59,22634500,5.59
2014-01-15,5.65,5.65,5.50,5.50,15436500,5.50
2014-01-14,5.59,5.69,5.54,5.64,14624200,5.64
2014-01-13,5.59,5.62,5.51,5.56,18863100,5.56
2014-01-10,5.70,5.72,5.58,5.60,16958500,5.60
2014-01-09,5.69,5.75,5.55,5.68,32137600,5.68
2014-01-08,5.47,5.71,5.45,5.65,57160900,5.65
2014-01-07,5.40,5.42,5.27,5.31,21493800,5.31
2014-01-06,5.50,5.51,5.36,5.37,29391700,5.37
2014-01-03,5.33,5.52,5.30,5.47,54811200,5.47
2014-01-02,5.05,5.17,5.01,5.04,20036900,5.04
2013-12-31,5.08,5.10,5.02,5.06,17497400,5.06
2013-12-30,5.08,5.10,5.00,5.05,16568100,5.05
2013-12-27,5.18,5.22,5.08,5.09,13219400,5.09
2013-12-26,5.21,5.25,5.15,5.17,12327200,5.17
2013-12-24,5.28,5.29,5.14,5.18,11749800,5.18
2013-12-23,5.02,5.30,5.01,5.24,35040500,5.24
2013-12-20,5.10,5.10,4.73,4.99,77748500,4.99
2013-12-19,5.43,5.44,5.14,5.17,69481800,5.17
2013-12-18,5.75,5.82,5.58,5.76,27249900,5.76
2013-12-17,5.87,5.87,5.61,5.68,19038400,5.68
