Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,32.87,32.99,32.50,32.75,94900,32.75
2014-06-12,32.84,32.84,32.38,32.70,96000,32.70
2014-06-11,33.21,33.23,32.57,32.83,102900,32.83
2014-06-10,33.14,33.33,32.80,33.22,78500,33.22
2014-06-09,33.00,33.40,32.65,33.18,123300,33.18
2014-06-06,32.35,33.21,32.07,33.04,121500,33.04
2014-06-05,31.03,32.26,30.75,32.21,142800,32.21
2014-06-04,30.53,31.12,30.28,30.91,137800,30.91
2014-06-03,30.67,30.90,30.15,30.62,88100,30.62
2014-06-02,31.35,31.48,30.57,30.87,78400,30.87
2014-05-30,31.52,31.60,31.01,31.35,77500,31.35
2014-05-29,31.72,31.75,31.20,31.38,71500,31.38
2014-05-28,31.40,32.09,31.20,31.56,77200,31.56
2014-05-27,31.36,31.99,31.09,31.52,101000,31.52
2014-05-23,30.05,31.22,29.78,31.19,95600,31.19
2014-05-22,29.81,30.18,29.35,29.97,191100,29.97
2014-05-21,30.00,30.80,28.95,29.58,241500,29.58
2014-05-20,30.50,30.67,29.21,30.00,178400,30.00
2014-05-19,30.05,30.71,29.95,30.54,73800,30.54
2014-05-16,29.87,30.66,29.53,30.21,87700,30.21
2014-05-15,29.23,30.09,28.60,29.95,157000,29.95
2014-05-14,30.18,30.29,29.35,29.46,98200,29.46
2014-05-13,31.33,31.33,30.29,30.33,119600,30.33
2014-05-12,30.26,31.49,30.26,31.30,101400,31.30
2014-05-09,29.52,30.24,29.19,30.19,113400,30.19
2014-05-08,29.91,30.76,29.67,29.72,100100,29.72
2014-05-07,29.76,30.15,29.41,30.05,104800,30.05
2014-05-06,30.05,30.33,29.18,29.64,240000,29.64
2014-05-05,31.08,31.27,30.01,30.08,216200,30.08
2014-05-02,30.35,31.56,30.11,31.36,130500,31.36
2014-05-01,30.75,31.11,29.89,30.21,244400,30.21
2014-04-30,30.60,31.05,30.32,30.90,65700,30.90
2014-04-29,31.10,31.30,30.56,30.71,142900,30.71
2014-04-28,30.95,31.42,30.29,30.84,114500,30.84
2014-04-25,31.29,31.36,30.66,30.88,153500,30.88
2014-04-24,31.95,31.95,30.93,31.51,126700,31.51
2014-04-23,32.65,33.00,31.58,31.85,151900,31.85
2014-04-22,33.65,33.72,32.53,32.70,112900,32.70
2014-04-21,33.29,33.91,33.00,33.65,130100,33.65
2014-04-17,32.81,33.45,32.54,33.14,120600,33.14
2014-04-16,33.38,33.68,32.36,32.81,210000,32.81
2014-04-15,32.33,33.24,31.43,33.02,181900,33.02
2014-04-14,32.46,32.62,31.65,32.20,92000,32.20
2014-04-11,31.57,32.69,31.57,32.06,156900,32.06
2014-04-10,33.06,33.46,31.54,31.91,191400,31.91
2014-04-09,32.82,33.23,32.55,33.12,113100,33.12
2014-04-08,32.67,33.28,32.35,32.75,168900,32.75
2014-04-07,32.10,32.94,31.68,32.72,112400,32.60
2014-04-04,33.43,33.43,31.76,32.31,152800,32.19
2014-04-03,33.49,33.73,32.75,33.10,100200,32.98
2014-04-02,33.15,33.52,33.00,33.42,92200,33.30
2014-04-01,32.75,33.25,32.60,33.18,133700,33.06
2014-03-31,32.11,32.93,31.91,32.75,130600,32.63
2014-03-28,32.24,32.77,31.61,31.95,101200,31.83
2014-03-27,31.27,32.35,31.20,32.27,138500,32.15
2014-03-26,32.10,32.41,31.19,31.24,113600,31.13
2014-03-25,32.03,32.36,31.82,31.95,106300,31.83
2014-03-24,32.16,32.30,31.62,31.95,109400,31.83
2014-03-21,33.00,33.00,32.05,32.17,269900,32.05
2014-03-20,33.03,33.55,32.85,32.98,149200,32.86
