Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,11.41,11.46,11.39,11.46,11800,11.46
2014-06-12,11.44,11.49,11.37,11.42,25000,11.42
2014-06-11,11.49,11.50,11.43,11.50,33000,11.50
2014-06-10,11.58,11.59,11.48,11.53,41700,11.53
2014-06-09,11.71,11.71,11.60,11.61,29800,11.61
2014-06-06,11.56,11.71,11.54,11.70,66000,11.70
2014-06-05,11.50,11.58,11.49,11.57,52100,11.57
2014-06-04,11.45,11.55,11.42,11.55,28600,11.55
2014-06-03,11.46,11.52,11.45,11.51,20300,11.51
2014-06-02,11.50,11.53,11.44,11.51,50100,11.51
2014-05-30,11.49,11.53,11.45,11.53,69500,11.53
2014-05-29,11.45,11.52,11.43,11.50,62500,11.50
2014-05-28,11.49,11.51,11.44,11.46,58400,11.46
2014-05-27,11.49,11.55,11.49,11.55,43700,11.55
2014-05-23,11.51,11.54,11.48,11.48,21600,11.48
2014-05-22,11.56,11.56,11.52,11.52,23400,11.52
2014-05-21,11.51,11.56,11.44,11.56,43400,11.56
2014-05-20,11.51,11.59,11.48,11.58,39800,11.52
2014-05-19,11.50,11.55,11.43,11.52,83300,11.46
2014-05-16,11.35,11.55,11.34,11.55,25100,11.49
2014-05-15,11.40,11.40,11.28,11.39,50300,11.33
2014-05-14,11.33,11.39,11.30,11.35,26400,11.29
2014-05-13,11.39,11.43,11.32,11.36,24900,11.30
2014-05-12,11.40,11.48,11.36,11.41,13100,11.35
2014-05-09,11.27,11.40,11.24,11.40,90300,11.34
2014-05-08,11.26,11.33,11.22,11.25,58300,11.19
2014-05-07,11.24,11.28,11.23,11.27,21100,11.21
2014-05-06,11.22,11.25,11.21,11.23,17300,11.17
2014-05-05,11.22,11.31,11.22,11.27,31000,11.21
2014-05-02,11.26,11.31,11.22,11.27,36500,11.21
2014-05-01,11.21,11.32,11.21,11.31,45000,11.25
2014-04-30,11.26,11.27,11.21,11.26,28900,11.20
2014-04-29,11.27,11.30,11.25,11.27,26200,11.21
2014-04-28,11.23,11.26,11.21,11.26,22700,11.20
2014-04-25,11.24,11.25,11.20,11.24,96200,11.18
2014-04-24,11.11,11.22,11.04,11.20,111000,11.14
2014-04-23,11.03,11.12,11.03,11.11,29900,11.05
2014-04-22,11.02,11.09,10.99,11.07,30700,11.01
2014-04-21,10.96,11.06,10.95,11.05,33500,10.99
