Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,13.47,13.47,13.20,13.32,27700,13.32
2014-06-12,13.57,13.72,13.35,13.39,23800,13.39
2014-06-11,13.47,13.72,13.45,13.60,38700,13.60
2014-06-10,13.60,13.74,13.49,13.62,36100,13.62
2014-06-09,13.40,13.58,13.40,13.51,38300,13.51
2014-06-06,13.53,13.57,13.21,13.39,32000,13.39
2014-06-05,13.25,13.50,13.20,13.44,34700,13.44
2014-06-04,13.15,13.29,13.15,13.22,32100,13.22
2014-06-03,13.40,13.50,13.25,13.25,30100,13.25
2014-06-02,13.30,13.48,13.21,13.42,31000,13.42
2014-05-30,13.18,13.37,13.12,13.20,37500,13.20
2014-05-29,12.99,13.30,12.99,13.19,25600,13.19
2014-05-28,13.27,13.27,12.91,13.06,26900,13.06
2014-05-27,13.06,13.30,13.06,13.22,34500,13.22
2014-05-23,13.02,13.19,12.85,13.09,29100,13.09
2014-05-22,12.95,13.18,12.85,12.93,50600,12.93
2014-05-21,12.90,12.97,12.76,12.85,36900,12.85
2014-05-20,13.17,13.38,12.82,12.91,35800,12.91
2014-05-19,13.34,13.34,12.90,13.04,46900,13.04
2014-05-16,13.38,13.49,13.15,13.32,38600,13.32
2014-05-15,13.48,13.52,13.20,13.29,40100,13.29
2014-05-14,13.31,13.57,13.04,13.29,27900,13.29
2014-05-13,13.60,13.60,13.26,13.35,37200,13.35
2014-05-12,13.49,13.89,13.25,13.60,73300,13.60
2014-05-09,13.08,13.33,12.99,13.25,26900,13.25
2014-05-08,13.03,13.19,12.99,13.08,59400,13.08
2014-05-07,12.88,13.06,12.82,13.06,71900,13.06
2014-05-06,12.99,13.00,12.87,12.97,47200,12.97
2014-05-05,12.80,13.14,12.80,12.96,69800,12.96
2014-05-02,12.90,12.99,12.80,12.90,37800,12.90
2014-05-01,13.51,13.51,12.81,13.02,81300,13.02
2014-04-30,13.33,13.35,12.57,12.90,189700,12.90
2014-04-29,13.74,13.78,13.31,13.45,173300,13.45
2014-04-28,14.00,14.59,14.00,14.23,219400,14.23
2014-04-25,14.59,14.59,14.15,14.34,70400,14.34
2014-04-24,14.30,14.65,14.30,14.41,124500,14.41
2014-04-23,14.24,14.40,14.08,14.27,76100,14.27
2014-04-22,14.15,14.25,14.10,14.22,122900,14.22
2014-04-21,14.10,14.10,13.70,14.06,84900,14.06
2014-04-17,13.84,13.96,13.78,13.81,35500,13.81
2014-04-16,13.81,13.84,13.74,13.74,39600,13.74
2014-04-15,13.78,13.96,13.71,13.76,47100,13.76
2014-04-14,13.78,13.80,13.66,13.76,73200,13.76
2014-04-11,13.98,14.09,13.75,13.78,43000,13.78
2014-04-10,13.91,14.10,13.89,14.10,66000,14.10
2014-04-09,13.75,14.09,13.75,14.05,45100,14.05
2014-04-08,13.86,14.00,13.67,13.97,60900,13.97
2014-04-07,13.80,14.07,13.65,13.94,95300,13.94
2014-04-04,14.00,14.07,13.80,13.92,114100,13.92
2014-04-03,14.08,14.09,13.77,13.88,65800,13.88
