Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,12.90,12.95,12.82,12.91,302300,12.91
2014-06-12,12.77,13.00,12.75,12.94,386500,12.94
2014-06-11,12.87,12.94,12.75,12.77,507200,12.77
2014-06-10,12.69,13.02,12.64,12.82,2662000,12.82
2014-06-09,13.32,13.44,13.27,13.39,126800,13.39
2014-06-06,13.31,13.40,13.29,13.33,108000,13.33
2014-06-05,13.28,13.39,13.25,13.31,160400,13.31
2014-06-04,13.28,13.30,13.20,13.29,70600,13.29
2014-06-03,13.19,13.31,13.18,13.27,127500,13.27
2014-06-02,13.19,13.30,13.13,13.23,186100,13.23
2014-05-30,13.35,13.39,13.24,13.31,285300,13.19
2014-05-29,13.45,13.48,13.16,13.23,295300,13.11
2014-05-28,13.37,13.45,13.35,13.42,150500,13.30
2014-05-27,13.29,13.40,13.25,13.32,196800,13.20
2014-05-23,13.30,13.30,13.20,13.26,75100,13.14
2014-05-22,13.07,13.30,13.06,13.24,114000,13.12
2014-05-21,13.18,13.27,13.00,13.01,163200,12.89
2014-05-20,13.31,13.37,13.12,13.12,112800,13.00
2014-05-19,13.25,13.35,13.20,13.35,146900,13.23
2014-05-16,13.20,13.25,13.12,13.19,65600,13.07
2014-05-15,13.27,13.27,13.12,13.23,92100,13.11
2014-05-14,13.23,13.28,13.17,13.22,136400,13.10
2014-05-13,13.18,13.24,13.14,13.21,104400,13.09
2014-05-12,13.13,13.27,13.13,13.16,125600,13.04
2014-05-09,13.07,13.17,13.01,13.09,95200,12.97
2014-05-08,13.26,13.33,13.07,13.07,118500,12.95
2014-05-07,13.24,13.36,13.15,13.21,123300,13.09
2014-05-06,13.31,13.42,13.14,13.18,170900,13.06
2014-05-05,13.20,13.48,13.14,13.48,337800,13.36
2014-05-02,13.17,13.25,13.10,13.25,160800,13.01
2014-05-01,13.21,13.21,13.10,13.17,98000,12.93
2014-04-30,13.17,13.24,13.10,13.21,144500,12.97
2014-04-29,13.05,13.15,13.02,13.13,128300,12.89
2014-04-28,13.20,13.25,13.00,13.03,230000,12.79
2014-04-25,13.13,13.18,13.05,13.16,209500,12.92
2014-04-24,13.03,13.14,12.98,13.13,189300,12.89
2014-04-23,13.00,13.06,13.00,13.03,100700,12.79
2014-04-22,13.01,13.04,12.97,13.01,173200,12.77
2014-04-21,12.95,13.03,12.91,13.01,214700,12.77
2014-04-17,12.98,13.14,12.93,13.09,144400,12.85
2014-04-16,12.88,13.04,12.84,12.98,172700,12.74
2014-04-15,12.83,12.94,12.76,12.86,200800,12.63
2014-04-14,13.04,13.04,12.81,12.83,225200,12.60
2014-04-11,13.04,13.10,12.85,12.94,200800,12.70
2014-04-10,13.02,13.09,13.00,13.06,101500,12.82
2014-04-09,13.10,13.11,13.00,13.01,173400,12.77
2014-04-08,12.99,13.07,12.98,13.05,117500,12.81
2014-04-07,13.01,13.10,12.99,13.00,169800,12.76
2014-04-04,13.00,13.12,13.00,13.04,150700,12.80
2014-04-03,13.10,13.15,13.00,13.01,291900,12.77
2014-04-02,13.12,13.21,13.04,13.11,149800,12.87
2014-04-01,13.35,13.42,13.10,13.13,204500,12.89
2014-03-31,13.30,13.42,13.30,13.39,238700,13.03
2014-03-28,13.20,13.32,13.17,13.30,222100,12.94
2014-03-27,13.02,13.20,13.00,13.17,133500,12.81
2014-03-26,13.28,13.28,12.88,12.93,381700,12.58
2014-03-25,13.09,13.23,13.05,13.20,107800,12.84
2014-03-24,13.24,13.37,13.00,13.01,224800,12.66
2014-03-21,13.28,13.41,13.22,13.24,126300,12.88
2014-03-20,13.26,13.39,13.22,13.26,101800,12.90
2014-03-19,13.24,13.34,13.17,13.31,90300,12.95
2014-03-18,13.21,13.30,13.11,13.17,115400,12.81
2014-03-17,13.15,13.25,13.03,13.16,197700,12.80
2014-03-14,13.27,13.34,13.12,13.13,190000,12.77
2014-03-13,13.30,13.43,13.20,13.21,143400,12.85
2014-03-12,13.38,13.38,13.23,13.29,203400,12.93
2014-03-11,13.64,13.64,13.30,13.38,173500,13.02
