Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,22.11,22.19,21.61,21.71,499000,21.71
2014-06-12,22.40,22.40,21.83,21.99,533700,21.99
2014-06-11,22.09,22.63,21.97,22.47,782300,22.47
2014-06-10,21.57,22.39,21.50,22.30,682900,22.30
2014-06-09,21.04,21.99,21.00,21.68,765400,21.68
2014-06-06,20.99,21.28,20.99,21.06,568900,21.06
2014-06-05,20.44,20.95,20.18,20.85,593600,20.85
2014-06-04,20.23,20.66,20.23,20.37,787700,20.37
2014-06-03,20.15,20.38,20.02,20.24,517100,20.24
2014-06-02,20.51,20.63,20.08,20.21,420100,20.21
2014-05-30,20.51,20.68,20.23,20.35,449500,20.35
2014-05-29,20.24,20.59,20.21,20.45,421700,20.45
2014-05-28,20.26,20.35,20.11,20.23,571200,20.23
2014-05-27,20.39,20.45,20.22,20.26,719800,20.26
2014-05-23,20.15,20.40,20.06,20.32,545200,20.32
2014-05-22,20.12,20.25,19.97,20.11,703900,20.11
2014-05-21,20.27,20.40,20.02,20.12,394300,20.12
2014-05-20,20.53,20.59,19.89,20.14,736800,20.14
2014-05-19,20.26,20.56,20.07,20.54,659100,20.54
2014-05-16,20.30,20.30,19.93,20.26,577800,20.26
2014-05-15,20.27,20.38,19.99,20.35,856400,20.35
2014-05-14,20.93,20.95,20.44,20.48,713000,20.48
2014-05-13,21.19,21.29,20.89,20.93,585500,20.93
2014-05-12,20.76,21.33,20.67,21.19,677700,21.19
2014-05-09,20.42,20.67,20.21,20.66,424300,20.66
2014-05-08,20.42,21.04,20.19,20.54,866300,20.54
2014-05-07,20.40,20.62,19.97,20.48,1461700,20.48
2014-05-06,20.63,20.88,20.40,20.43,839900,20.43
2014-05-05,20.38,21.00,20.26,20.79,850100,20.79
2014-05-02,20.45,20.74,20.26,20.61,824600,20.61
2014-05-01,20.25,20.65,19.92,20.31,873000,20.31
2014-04-30,20.12,20.27,19.80,20.25,1026400,20.25
2014-04-29,20.57,21.00,20.08,20.11,882100,20.11
2014-04-28,21.17,21.25,19.96,20.56,1752400,20.56
2014-04-25,21.13,21.42,21.01,21.03,1044100,21.03
2014-04-24,20.83,21.80,20.83,21.24,1451600,21.24
2014-04-23,19.85,21.55,19.41,20.90,3957800,20.90
2014-04-22,17.94,18.43,17.88,18.26,1078300,18.26
2014-04-21,17.65,18.04,17.49,17.88,747600,17.88
2014-04-17,17.15,17.69,17.07,17.56,532100,17.56
2014-04-16,17.04,17.16,16.70,17.13,389100,17.13
2014-04-15,16.75,17.04,16.35,16.95,661600,16.95
2014-04-14,17.23,17.23,16.42,16.68,866000,16.68
2014-04-11,17.14,17.55,16.98,16.98,653100,16.98
2014-04-10,17.59,17.75,17.21,17.35,625400,17.35
2014-04-09,17.78,17.88,17.49,17.61,1087300,17.61
2014-04-08,17.32,17.85,17.21,17.68,1063000,17.68
2014-04-07,17.33,17.49,17.11,17.32,775300,17.32
2014-04-04,18.04,18.05,17.22,17.35,535700,17.35
2014-04-03,17.82,18.00,17.68,17.84,415700,17.84
2014-04-02,17.66,17.86,17.37,17.76,740100,17.76
2014-04-01,17.42,17.74,17.29,17.66,516000,17.66
2014-03-31,17.40,17.61,17.31,17.45,535700,17.45
2014-03-28,17.28,17.66,17.10,17.25,605400,17.25
2014-03-27,17.39,17.55,17.17,17.27,467500,17.27
2014-03-26,18.02,18.09,17.37,17.39,507900,17.39
2014-03-25,18.00,18.21,17.62,17.82,459900,17.82
2014-03-24,17.98,18.05,17.66,17.91,559000,17.91
2014-03-21,17.68,18.07,17.63,17.94,1126200,17.94
2014-03-20,17.63,17.89,17.53,17.63,328500,17.63
2014-03-19,17.54,17.77,17.40,17.61,493200,17.61
2014-03-18,17.02,17.60,16.96,17.52,597400,17.52
2014-03-17,17.58,17.58,16.92,17.06,524000,17.06
2014-03-14,16.83,17.08,16.79,16.84,315500,16.84
2014-03-13,17.41,17.49,16.81,16.84,521300,16.84
2014-03-12,16.98,17.38,16.94,17.37,505500,17.37
2014-03-11,17.32,17.45,17.01,17.06,543700,17.06
2014-03-10,17.34,17.41,17.17,17.32,305400,17.32
