Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,8.37,8.86,8.37,8.59,8200,8.59
2014-06-12,8.47,8.70,8.40,8.41,6100,8.41
2014-06-11,8.43,9.27,8.37,8.43,12200,8.43
2014-06-10,8.45,8.70,8.39,8.46,8300,8.46
2014-06-09,8.39,9.01,8.37,8.44,10200,8.44
2014-06-06,8.25,8.43,8.25,8.37,7500,8.37
2014-06-05,8.48,8.48,8.25,8.25,9900,8.25
2014-06-04,8.55,8.63,8.28,8.32,9000,8.32
2014-06-03,8.30,8.92,8.25,8.34,9500,8.34
2014-06-02,8.35,8.60,8.26,8.44,6900,8.44
2014-05-30,8.34,8.75,8.26,8.27,7200,8.27
2014-05-29,8.31,8.50,8.25,8.28,7800,8.28
2014-05-28,8.62,8.83,8.34,8.34,7700,8.34
2014-05-27,8.36,8.97,8.25,8.62,15100,8.62
2014-05-23,8.20,8.20,8.15,8.20,3100,8.20
2014-05-22,8.16,8.29,8.06,8.20,20000,8.20
2014-05-21,8.20,8.46,8.18,8.35,12600,8.35
2014-05-20,8.20,8.33,8.10,8.21,21000,8.21
2014-05-19,8.23,8.35,8.21,8.30,5300,8.30
2014-05-16,8.25,8.26,8.20,8.22,4800,8.22
2014-05-15,8.52,8.61,8.22,8.25,38800,8.25
2014-05-14,8.64,8.72,8.60,8.66,1900,8.66
2014-05-13,9.22,9.41,8.56,8.62,20500,8.62
2014-05-12,8.83,9.19,8.83,8.95,4200,8.95
2014-05-09,9.00,9.01,8.45,8.74,19900,8.74
2014-05-08,9.25,9.28,9.01,9.08,15800,9.08
2014-05-07,10.43,10.43,9.13,9.37,70900,9.37
2014-05-06,10.85,11.30,10.62,10.74,19900,10.74
2014-05-05,11.26,11.26,10.70,10.81,13100,10.81
2014-05-02,10.85,11.05,10.75,10.80,12400,10.80
2014-05-01,10.89,10.93,10.51,10.80,18600,10.80
2014-04-30,10.92,10.92,10.88,10.89,2700,10.89
2014-04-29,11.35,11.39,10.93,11.22,1800,11.22
2014-04-28,11.08,11.49,11.02,11.06,4500,11.06
2014-04-25,11.13,11.78,10.86,11.00,4600,11.00
2014-04-24,10.86,11.29,10.86,11.16,4900,11.16
2014-04-23,10.92,11.15,10.90,10.95,1400,10.95
2014-04-22,10.85,11.05,10.50,10.78,8500,10.78
2014-04-21,11.00,11.50,11.00,11.08,6500,11.08
2014-04-17,11.28,11.28,10.80,10.95,4400,10.95
2014-04-16,10.95,11.50,10.85,11.48,3200,11.48
2014-04-15,11.97,11.99,10.55,11.24,34800,11.24
2014-04-14,12.00,12.28,11.26,11.97,30400,11.97
2014-04-11,11.57,11.85,11.35,11.85,13000,11.85
2014-04-10,11.34,11.82,11.34,11.82,54800,11.82
2014-04-09,11.35,11.65,11.25,11.43,38200,11.43
2014-04-08,11.42,11.65,11.19,11.21,9700,11.21
2014-04-07,11.41,11.69,11.10,11.54,7000,11.54
2014-04-04,11.47,11.65,11.15,11.52,24200,11.52
2014-04-03,12.02,12.02,11.40,11.46,11700,11.46
2014-04-02,11.93,12.49,11.29,11.84,12100,11.84
2014-04-01,11.66,12.19,11.32,11.96,12200,11.96
2014-03-31,11.60,11.60,11.36,11.43,5100,11.43
2014-03-28,11.62,11.72,11.15,11.36,11800,11.36
2014-03-27,11.51,11.61,11.38,11.40,3900,11.40
2014-03-26,11.77,12.26,11.38,11.43,20700,11.43
2014-03-25,11.58,11.63,11.39,11.57,12800,11.57
2014-03-24,11.89,12.06,11.18,11.48,31900,11.48
2014-03-21,12.85,12.85,11.91,11.91,20200,11.91
2014-03-20,13.12,13.46,12.52,12.96,22500,12.96
2014-03-19,13.63,14.49,12.94,13.12,84300,13.12
2014-03-18,12.48,13.49,12.29,13.35,95800,13.35
