Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,45.78,46.08,45.45,45.68,190600,45.68
2014-06-12,45.85,46.19,45.21,45.51,270300,45.51
2014-06-11,46.51,46.61,45.91,46.07,220500,46.07
2014-06-10,47.13,47.24,46.45,46.87,278900,46.87
2014-06-09,46.68,47.66,46.31,47.40,282200,47.40
2014-06-06,46.10,46.71,45.83,46.60,260000,46.60
2014-06-05,45.90,46.57,45.42,45.76,341800,45.76
2014-06-04,44.57,45.64,44.44,45.62,309800,45.62
2014-06-03,44.86,45.00,44.39,44.88,354600,44.88
2014-06-02,45.27,45.68,44.49,45.11,294900,45.11
2014-05-30,45.65,45.88,44.97,45.20,247500,45.20
2014-05-29,45.77,46.15,45.39,45.50,226700,45.50
2014-05-28,46.12,46.43,45.58,45.66,249900,45.66
2014-05-27,46.38,46.59,46.04,46.33,232500,46.33
2014-05-23,45.63,46.16,45.49,45.92,290000,45.92
2014-05-22,45.27,45.90,44.95,45.71,195900,45.71
2014-05-21,45.10,45.75,44.58,45.30,349900,45.30
2014-05-20,45.78,46.28,44.59,45.04,509000,45.04
2014-05-19,44.85,46.12,44.72,46.01,537300,46.01
2014-05-16,44.75,45.19,44.30,45.14,335000,45.14
2014-05-15,45.47,45.60,44.17,44.86,414700,44.86
2014-05-14,47.02,47.06,45.69,45.84,364200,45.84
2014-05-13,48.51,48.72,47.20,47.24,347700,47.24
2014-05-12,47.33,48.68,47.18,48.61,409000,48.61
2014-05-09,44.60,48.04,44.60,46.90,584800,46.90
2014-05-08,46.39,47.38,45.97,46.58,496000,46.58
2014-05-07,45.73,46.75,44.79,46.70,383100,46.70
2014-05-06,46.42,46.51,45.42,45.48,283100,45.48
2014-05-05,46.24,46.86,45.73,46.75,300400,46.75
2014-05-02,46.94,47.58,46.78,46.95,384100,46.95
2014-05-01,46.57,47.24,46.17,46.81,353200,46.81
2014-04-30,45.84,46.88,45.48,46.77,467400,46.77
2014-04-29,45.56,46.33,45.39,45.99,391100,45.99
2014-04-28,45.69,45.96,44.18,45.21,583600,45.21
2014-04-25,46.16,46.21,45.14,45.53,437800,45.53
2014-04-24,47.17,47.35,46.14,46.49,333800,46.49
2014-04-23,47.00,47.39,46.63,46.97,457800,46.97
2014-04-22,45.90,47.33,45.80,47.12,420700,47.12
2014-04-21,45.85,46.36,45.33,45.80,848800,45.80
2014-04-17,45.64,46.68,45.35,45.70,539800,45.70
2014-04-16,45.10,45.70,44.69,45.57,667200,45.57
2014-04-15,44.62,45.01,43.57,44.50,650700,44.50
2014-04-14,45.48,45.48,43.86,44.31,746000,44.31
2014-04-11,44.65,44.80,43.88,44.13,673000,44.13
2014-04-10,47.08,47.29,45.24,45.44,508500,45.44
2014-04-09,46.12,47.08,45.87,46.94,604000,46.94
2014-04-08,45.80,46.23,45.17,45.77,515100,45.77
2014-04-07,47.12,47.22,44.72,45.64,620400,45.64
2014-04-04,50.33,50.33,46.88,47.25,617800,47.25
2014-04-03,50.40,50.40,48.57,49.62,535100,49.62
2014-04-02,50.34,50.66,50.07,50.41,276300,50.41
2014-04-01,50.09,50.20,49.34,50.10,459200,50.10
2014-03-31,48.68,50.02,48.31,49.76,539700,49.76
2014-03-28,48.38,48.97,48.00,48.26,419700,48.26
2014-03-27,49.36,49.36,47.93,48.30,309300,48.30
2014-03-26,50.14,50.47,48.93,49.25,501300,49.25
2014-03-25,50.12,50.42,48.97,49.53,331000,49.53
2014-03-24,50.19,50.59,49.13,49.83,333000,49.83
2014-03-21,51.40,51.59,49.81,49.92,788600,49.92
2014-03-20,49.06,51.11,48.85,51.05,484800,51.05
2014-03-19,49.17,49.56,48.46,49.19,510200,49.19
2014-03-18,48.53,49.15,48.53,48.99,376600,48.99
2014-03-17,47.86,48.84,47.86,48.44,391500,48.44
2014-03-14,47.13,48.06,47.13,47.53,259300,47.53
2014-03-13,48.13,48.45,47.08,47.47,302300,47.47
2014-03-12,47.38,47.99,46.86,47.95,142000,47.95
2014-03-11,48.18,48.77,47.46,47.67,194300,47.67
2014-03-10,48.09,48.30,47.74,48.26,247000,48.26
2014-03-07,48.23,48.23,47.47,48.10,367500,48.10
2014-03-06,48.03,48.06,47.66,47.81,333200,47.81
2014-03-05,48.50,48.50,47.79,47.98,407600,47.98
2014-03-04,47.66,49.16,47.66,48.52,652100,48.52
2014-03-03,47.49,47.51,46.36,46.88,340400,46.88
2014-02-28,48.49,48.76,47.83,48.09,300100,48.09
2014-02-27,48.63,49.12,48.20,48.55,410500,48.55
2014-02-26,47.71,49.14,47.05,48.87,467400,48.87
2014-02-25,50.00,50.00,47.12,47.61,792200,47.61
2014-02-24,48.15,49.43,48.07,48.85,482500,48.85
2014-02-21,48.10,48.59,47.56,48.12,408100,48.12
2014-02-20,47.19,47.98,46.70,47.77,235000,47.77
2014-02-19,48.23,48.46,47.13,47.15,348200,47.15
2014-02-18,47.05,48.72,47.05,48.51,547400,48.51
2014-02-14,47.60,47.60,46.76,47.08,295600,47.08
2014-02-13,46.03,47.72,46.03,47.65,271400,47.65
2014-02-12,46.26,46.85,46.16,46.51,214000,46.51
2014-02-11,45.14,46.48,44.80,46.08,491400,46.08
2014-02-10,45.00,45.31,44.42,45.13,296400,45.13
2014-02-07,44.24,45.14,44.11,45.12,493900,45.12
2014-02-06,43.57,44.26,43.42,44.15,529300,44.15
2014-02-05,43.83,44.04,43.25,43.38,441700,43.38
2014-02-04,43.57,44.16,43.11,43.96,507900,43.96
2014-02-03,45.12,45.13,43.13,43.34,522500,43.34
2014-01-31,44.64,45.78,44.15,45.15,494100,45.15
2014-01-30,45.97,46.66,45.66,46.10,317500,46.10
2014-01-29,45.95,46.34,45.26,45.73,327200,45.73
2014-01-28,45.75,46.62,45.56,46.57,379900,46.57
2014-01-27,47.29,47.50,45.19,45.57,741300,45.57
2014-01-24,49.51,49.99,46.69,47.26,678300,47.26
2014-01-23,49.82,50.25,49.28,49.81,286100,49.81
2014-01-22,50.00,50.50,49.78,50.19,228900,50.19
2014-01-21,49.41,49.85,48.73,49.85,376100,49.85
2014-01-17,49.81,49.85,48.74,49.08,301300,49.08
2014-01-16,49.50,49.85,49.15,49.82,399200,49.82
2014-01-15,48.83,49.54,48.48,49.50,542500,49.50
2014-01-14,48.36,49.10,48.20,48.90,286400,48.90
2014-01-13,48.50,48.81,47.80,48.22,337700,48.22
2014-01-10,48.55,48.81,47.95,48.50,231200,48.50
2014-01-09,48.68,49.35,48.23,48.51,348100,48.51
2014-01-08,48.14,48.91,48.03,48.70,574800,48.70
2014-01-07,47.71,48.81,47.53,48.24,349300,48.24
2014-01-06,47.61,47.88,47.12,47.40,356900,47.40
2014-01-03,47.05,47.73,46.78,47.32,209200,47.32
2014-01-02,47.62,47.62,46.78,47.04,273000,47.04
2013-12-31,47.56,48.13,47.56,47.92,259500,47.92
2013-12-30,46.77,47.87,46.77,47.50,302700,47.50
2013-12-27,47.24,47.37,46.40,46.92,172600,46.92
2013-12-26,47.09,47.45,46.90,47.02,162100,47.02
2013-12-24,47.00,47.41,46.60,46.89,147500,46.89
2013-12-23,47.00,47.20,46.48,47.07,339800,47.07
2013-12-20,46.41,46.93,45.86,46.67,619000,46.67
2013-12-19,46.10,46.57,45.92,46.30,249400,46.30
2013-12-18,44.97,46.35,44.57,46.24,436500,46.24
2013-12-17,45.40,45.48,44.51,44.78,471700,44.78
2013-12-16,44.96,45.78,44.88,45.46,241700,45.46
2013-12-13,45.13,45.34,44.60,44.84,303000,44.84
2013-12-12,44.63,45.15,44.43,44.80,282400,44.80
2013-12-11,44.82,45.12,44.40,44.52,305400,44.52
2013-12-10,45.09,45.24,44.52,44.70,282800,44.70
2013-12-09,45.67,45.70,45.00,45.28,260000,45.28
2013-12-06,45.77,46.28,45.37,45.64,322500,45.64
2013-12-05,44.56,45.04,44.33,45.03,262900,45.03
2013-12-04,44.34,45.13,44.21,44.71,226600,44.71
2013-12-03,45.06,45.39,44.13,44.55,279300,44.55
2013-12-02,44.73,45.56,44.66,45.14,318100,45.14
2013-11-29,45.21,45.45,44.72,44.77,174100,44.77
2013-11-27,45.28,45.47,44.79,45.13,235100,45.13
2013-11-26,45.54,45.60,44.84,45.32,310800,45.32
2013-11-25,45.69,46.48,45.54,45.65,429300,45.65
2013-11-22,45.35,46.24,45.19,45.67,518700,45.67
2013-11-21,44.10,45.49,44.05,45.48,634700,45.48
2013-11-20,44.19,44.22,43.76,44.04,287600,44.04
2013-11-19,44.04,44.40,43.84,43.94,296200,43.94
2013-11-18,43.90,44.52,43.75,44.05,323600,44.05
2013-11-15,43.55,43.80,43.51,43.77,252100,43.77
2013-11-14,43.75,43.78,43.45,43.63,156100,43.63
2013-11-13,42.47,43.66,42.20,43.65,257000,43.65
2013-11-12,42.87,43.03,42.55,42.75,166300,42.75
2013-11-11,43.03,43.22,42.52,43.07,388100,43.07
2013-11-08,40.77,43.23,40.77,43.20,1065700,43.20
2013-11-07,42.18,42.18,40.73,40.74,617600,40.74
2013-11-06,41.86,42.16,41.80,42.11,517100,42.11
2013-11-05,41.18,41.98,41.11,41.71,456500,41.71
2013-11-04,40.80,41.33,40.48,41.31,470000,41.31
2013-11-01,40.11,41.19,40.09,40.80,718700,40.80
2013-10-31,41.80,41.89,40.36,40.95,749500,40.95
2013-10-30,42.08,42.32,41.78,41.80,342400,41.80
2013-10-29,41.98,42.23,41.62,42.08,312700,42.08
2013-10-28,41.79,42.10,41.69,41.98,409900,41.98
2013-10-25,41.73,41.89,41.54,41.83,349600,41.83
2013-10-24,40.77,41.64,40.73,41.55,352600,41.55
2013-10-23,40.95,40.95,40.06,40.71,389400,40.71
2013-10-22,41.19,41.23,40.70,41.12,395600,41.12
2013-10-21,41.12,41.23,40.88,41.12,369300,41.12
2013-10-18,40.82,41.04,40.28,41.03,472600,41.03
2013-10-17,39.93,40.68,39.93,40.54,352300,40.54
2013-10-16,39.90,40.45,39.72,40.23,528200,40.23
2013-10-15,39.92,39.92,39.59,39.61,410800,39.61
2013-10-14,39.52,40.05,39.28,39.97,339700,39.97
2013-10-11,39.13,39.86,38.97,39.86,364300,39.86
2013-10-10,39.10,39.63,38.93,39.32,572800,39.32
2013-10-09,38.60,38.79,37.97,38.59,612300,38.59
2013-10-08,39.27,39.28,38.34,38.53,546300,38.53
2013-10-07,39.81,39.85,39.31,39.32,308900,39.32
2013-10-04,39.81,40.28,39.81,40.10,408300,40.10
2013-10-03,40.40,40.40,39.61,39.88,598500,39.88
2013-10-02,40.89,40.89,39.88,40.40,718600,40.40
2013-10-01,41.34,41.56,41.00,41.07,713300,41.07
2013-09-30,41.31,41.47,41.00,41.22,533300,41.22
2013-09-27,41.41,41.82,41.33,41.74,474600,41.74
2013-09-26,42.14,42.39,41.60,41.75,453400,41.75
2013-09-25,42.13,42.72,41.69,42.03,562700,42.03
2013-09-24,42.42,42.42,41.76,42.03,600200,42.03
2013-09-23,42.46,42.55,41.82,42.35,475500,42.35
2013-09-20,42.51,42.83,42.35,42.62,575300,42.62
2013-09-19,42.73,42.73,42.13,42.26,499400,42.26
2013-09-18,42.70,43.13,42.47,42.50,339400,42.50
2013-09-17,42.72,42.80,42.30,42.80,235000,42.80
2013-09-16,42.57,42.76,42.15,42.73,355600,42.73
2013-09-13,42.39,42.51,41.81,42.06,421200,42.06
2013-09-12,42.52,42.60,42.09,42.13,287900,42.13
2013-09-11,42.69,43.12,42.44,42.51,453200,42.51
2013-09-10,42.41,42.90,42.38,42.88,436500,42.88
2013-09-09,41.15,42.18,41.15,42.16,414800,42.16
2013-09-06,40.93,41.33,40.11,41.09,457700,41.09
2013-09-05,40.62,41.15,40.61,40.87,344700,40.87
2013-09-04,40.14,41.00,40.02,40.67,386300,40.67
2013-09-03,40.72,40.92,39.82,40.03,527400,40.03
2013-08-30,40.54,40.54,39.80,40.02,502800,40.02
2013-08-29,39.92,40.99,39.92,40.56,628700,40.56
2013-08-28,39.58,40.45,39.48,39.93,552600,39.93
2013-08-27,39.61,39.90,39.08,39.35,911800,39.35
2013-08-26,40.03,40.42,39.94,40.24,407200,40.24
2013-08-23,40.01,40.25,39.85,40.07,516700,40.07
2013-08-22,39.45,40.14,39.24,40.13,309500,40.13
2013-08-21,39.41,39.99,39.35,39.55,528600,39.55
2013-08-20,39.12,39.66,38.78,39.65,317900,39.65
2013-08-19,39.17,39.34,38.91,39.16,472400,39.16
2013-08-16,39.05,39.73,38.98,39.32,473100,39.32
2013-08-15,39.71,39.85,38.91,39.05,678600,39.05
2013-08-14,40.14,40.24,39.58,40.00,437200,40.00
2013-08-13,39.87,40.31,39.78,40.25,823700,40.25
2013-08-12,38.93,39.83,38.89,39.78,442700,39.78
2013-08-09,38.00,39.25,37.91,39.13,527500,39.13
2013-08-08,38.14,38.39,37.82,38.30,442900,38.30
2013-08-07,37.93,37.98,37.58,37.90,341000,37.90
2013-08-06,38.68,38.70,38.00,38.16,481300,38.16
2013-08-05,38.86,38.88,37.58,38.81,742200,38.81
2013-08-02,38.85,39.24,38.70,38.96,360800,38.96
2013-08-01,37.80,38.96,37.76,38.91,571500,38.91
2013-07-31,37.60,38.02,37.57,37.65,357200,37.65
2013-07-30,37.41,37.66,37.27,37.59,381700,37.59
2013-07-29,37.34,37.55,37.21,37.36,399300,37.36
2013-07-26,37.47,37.55,37.27,37.48,259100,37.48
2013-07-25,37.19,37.86,37.05,37.83,366400,37.83
2013-07-24,37.73,37.73,37.19,37.19,281300,37.19
2013-07-23,37.65,37.82,37.45,37.70,401400,37.70
2013-07-22,37.20,37.74,37.15,37.60,495400,37.60
2013-07-19,37.29,37.79,36.98,37.21,558900,37.21
2013-07-18,36.81,37.40,36.79,37.37,423100,37.37
2013-07-17,36.85,36.94,36.53,36.75,552800,36.75
2013-07-16,36.78,36.96,36.58,36.79,409200,36.79
2013-07-15,36.78,36.93,36.46,36.74,324700,36.74
2013-07-12,36.47,36.64,36.36,36.57,387300,36.57
