Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,27.05,27.12,26.99,27.06,9400,27.06
2014-06-12,27.02,27.02,26.74,26.78,14900,26.78
2014-06-11,26.55,26.58,26.49,26.57,6500,26.57
2014-06-10,26.30,26.30,26.22,26.29,9000,26.29
2014-06-09,25.33,25.44,25.30,25.42,9800,25.42
2014-06-06,25.60,25.60,25.50,25.50,6800,25.50
2014-06-05,25.49,25.62,25.48,25.55,7700,25.55
2014-06-04,25.50,25.52,25.35,25.35,19800,25.35
2014-06-03,25.50,25.63,25.45,25.50,20700,25.50
2014-06-02,24.62,24.71,24.59,24.68,7200,24.68
2014-05-30,24.62,24.65,24.54,24.61,3900,24.61
2014-05-29,24.67,24.67,24.41,24.41,17300,24.41
2014-05-28,25.66,25.71,25.52,25.59,14500,25.59
2014-05-27,24.34,24.45,24.23,24.34,6100,24.34
2014-05-23,24.29,24.36,24.22,24.36,10900,24.36
2014-05-22,24.17,24.28,24.15,24.18,10300,24.18
2014-05-21,23.88,23.91,23.83,23.86,9000,23.86
2014-05-20,23.91,23.91,23.77,23.78,6500,23.78
2014-05-19,23.85,23.89,23.80,23.88,9500,23.88
2014-05-16,24.00,24.10,23.88,24.04,10200,24.04
2014-05-15,24.06,24.07,23.88,23.89,10600,23.89
2014-05-14,24.04,24.07,23.94,23.94,10700,23.94
2014-05-13,23.75,23.86,23.66,23.78,26600,23.78
2014-05-12,23.50,23.57,23.43,23.48,46000,23.48
2014-05-09,22.94,22.95,22.73,22.82,31400,22.82
2014-05-08,23.55,23.66,23.28,23.38,29800,23.38
2014-05-07,23.42,23.46,23.00,23.22,79300,23.22
2014-05-06,23.89,24.02,23.46,23.47,90400,23.47
2014-05-05,23.96,24.05,23.82,23.92,23400,23.92
2014-05-02,24.50,24.69,24.39,24.50,42000,24.50
2014-05-01,24.34,24.46,24.34,24.40,7900,24.40
2014-04-30,24.26,24.42,24.24,24.37,7500,24.37
2014-04-29,24.49,24.52,24.40,24.40,14200,24.40
2014-04-28,24.74,24.85,24.68,24.76,9200,24.76
2014-04-25,25.20,25.31,25.17,25.23,4400,25.23
2014-04-24,25.26,25.30,25.07,25.09,14700,25.09
2014-04-23,25.57,25.63,25.46,25.56,6800,25.56
2014-04-22,26.06,26.20,26.05,26.14,9500,26.14
2014-04-21,25.32,25.34,25.14,25.29,10600,25.29
2014-04-17,25.34,25.42,25.28,25.37,11000,25.37
2014-04-16,25.62,25.75,25.57,25.65,13400,25.65
2014-04-15,25.60,25.71,25.52,25.60,14100,25.60
2014-04-14,27.31,27.41,27.19,27.30,46500,27.30
2014-04-11,28.77,28.96,28.65,28.75,32700,28.75
2014-04-10,29.71,29.99,29.55,29.85,99400,29.85
2014-04-09,25.21,25.21,25.00,25.16,4300,25.16
2014-04-08,25.02,25.24,25.02,25.17,6600,25.17
2014-04-07,24.97,25.05,24.87,24.93,12000,24.93
2014-04-04,24.57,24.63,24.28,24.28,15300,24.28
2014-04-03,24.76,24.78,24.59,24.68,16500,24.68
2014-04-02,25.16,25.24,25.00,25.12,28100,25.12
2014-04-01,26.00,26.10,26.00,26.05,7000,26.05
2014-03-31,25.77,25.87,25.67,25.77,12500,25.77
2014-03-28,25.98,26.08,25.81,25.99,28500,25.99
2014-03-27,28.18,28.25,28.10,28.18,3700,28.18
2014-03-26,28.40,28.47,28.26,28.31,4200,28.31
2014-03-25,28.31,28.38,28.14,28.25,8500,28.25
2014-03-24,28.53,28.53,28.35,28.37,7200,28.37
2014-03-21,28.84,29.01,28.66,28.66,6700,28.66
2014-03-20,29.18,29.33,29.12,29.22,9400,29.22
2014-03-19,29.45,29.48,29.34,29.44,3300,29.44
2014-03-18,29.52,29.70,29.46,29.46,12000,29.46
2014-03-17,29.49,29.56,29.37,29.37,9400,29.37
2014-03-14,29.33,29.54,29.29,29.30,7100,29.30
2014-03-13,29.94,30.00,29.56,29.58,12200,29.58
2014-03-12,30.03,30.19,29.98,30.11,7100,30.11
2014-03-11,30.47,30.64,30.29,30.29,8000,30.29
2014-03-10,30.45,30.51,30.25,30.41,19400,30.41
2014-03-07,30.92,30.92,30.64,30.72,7800,30.72
2014-03-06,31.33,31.50,31.31,31.36,24000,31.36
2014-03-05,30.11,30.25,30.00,30.22,11100,30.22
2014-03-04,30.26,30.31,30.13,30.23,6600,30.23
2014-03-03,29.91,30.35,29.91,30.26,23100,30.26
2014-02-28,29.92,29.92,29.72,29.82,10000,29.82
2014-02-27,30.16,30.18,29.93,30.12,23100,30.12
2014-02-26,28.77,28.83,28.65,28.73,15000,28.73
2014-02-25,28.31,28.41,28.08,28.08,9700,28.08
2014-02-24,28.68,28.74,28.60,28.71,8800,28.71
2014-02-21,28.88,28.97,28.80,28.87,11100,28.87
2014-02-20,30.52,30.55,29.87,30.54,35300,30.54
2014-02-19,28.91,29.05,28.84,28.99,26300,28.99
2014-02-18,27.97,27.97,27.73,27.75,6900,27.75
2014-02-14,28.03,28.24,28.03,28.23,6600,28.23
2014-02-13,27.35,27.45,27.25,27.34,17300,27.34
2014-02-12,28.13,28.15,27.98,27.98,6100,27.98
2014-02-11,27.95,28.10,27.91,27.98,15200,27.98
2014-02-10,28.21,28.21,28.01,28.09,10600,28.09
2014-02-07,27.90,28.01,27.84,27.96,11800,27.96
2014-02-06,27.16,27.46,27.16,27.39,5400,27.39
2014-02-05,26.94,27.05,26.78,26.88,13700,26.88
2014-02-04,26.59,26.79,26.54,26.60,8500,26.60
2014-02-03,27.82,27.91,27.53,27.53,10500,27.53
2014-01-31,27.94,28.08,27.89,27.89,7600,27.89
2014-01-30,28.13,28.13,27.89,27.95,7500,27.95
2014-01-29,28.00,28.13,27.79,27.99,13900,27.99
2014-01-28,27.90,28.14,27.90,27.99,6000,27.99
2014-01-27,28.07,28.11,27.87,27.88,12000,27.88
2014-01-24,28.00,28.63,27.97,28.22,25800,28.22
2014-01-23,27.71,27.92,27.68,27.83,20600,27.83
2014-01-22,27.69,27.95,27.46,27.79,18000,27.79
2014-01-21,27.43,27.43,26.65,27.00,20800,27.00
2014-01-17,27.58,27.60,27.47,27.52,9600,27.52
2014-01-16,27.90,27.93,27.78,27.78,8400,27.78
2014-01-15,27.52,27.62,27.44,27.49,11800,27.49
2014-01-14,27.57,27.89,27.55,27.75,16200,27.75
2014-01-13,26.68,26.82,26.54,26.54,9100,26.54
2014-01-10,26.78,26.85,26.62,26.85,4900,26.85
2014-01-09,27.48,27.48,27.16,27.16,7900,27.16
2014-01-08,27.59,27.59,26.97,27.42,11200,27.42
2014-01-07,26.70,26.83,26.62,26.70,29500,26.70
2014-01-06,28.51,28.51,28.19,28.19,5200,28.19
2014-01-03,28.24,28.29,28.10,28.10,7200,28.10
2014-01-02,28.39,28.40,27.91,27.97,12600,27.97
2013-12-31,28.51,28.74,28.51,28.54,5600,28.54
2013-12-30,28.28,28.28,27.87,28.27,8900,28.27
2013-12-27,28.27,28.40,28.14,28.40,11000,28.40
2013-12-26,28.85,28.95,28.71,28.75,9800,28.75
2013-12-24,28.73,28.96,28.73,28.95,6100,28.95
2013-12-23,28.34,28.48,27.83,28.27,19800,28.27
2013-12-20,28.80,28.88,28.66,28.66,16700,28.66
2013-12-19,29.18,29.39,29.15,29.23,7500,29.23
2013-12-18,29.40,29.61,29.12,29.42,14600,29.42
2013-12-17,29.72,29.73,29.43,29.43,19600,29.43
2013-12-16,30.16,30.43,30.11,30.19,34500,30.19
2013-12-13,28.53,30.12,28.53,29.96,28000,29.96
2013-12-12,27.72,27.85,27.60,27.67,30600,27.67
2013-12-11,27.95,27.95,26.98,26.98,143100,26.98
2013-12-10,42.77,42.98,42.69,42.91,15700,28.61
2013-12-09,42.33,42.45,42.19,42.19,7000,28.13
2013-12-06,42.63,42.89,42.57,42.89,10900,28.59
2013-12-05,42.25,42.27,41.65,41.69,33100,27.79
2013-12-04,43.22,43.22,42.09,42.78,37500,28.52
2013-12-03,44.93,45.00,44.49,44.88,30000,29.92
2013-12-02,44.68,44.76,44.12,44.24,19900,29.49
2013-11-29,44.16,44.38,44.04,44.24,12900,29.49
2013-11-27,44.03,44.31,43.60,44.07,60400,29.38
2013-11-26,43.67,43.70,43.33,43.70,17500,29.13
2013-11-25,43.97,44.00,43.75,43.82,34300,29.21
2013-11-22,42.40,42.44,42.01,42.44,71700,28.29
2013-11-21,40.00,40.01,39.79,39.95,39600,26.63
2013-11-20,39.63,39.64,39.27,39.32,9600,26.21
2013-11-19,39.79,39.94,39.65,39.74,25300,26.49
2013-11-18,40.00,40.21,39.96,40.13,31500,26.75
2013-11-15,38.96,39.25,38.80,39.25,28300,26.17
2013-11-14,38.08,38.49,38.00,38.49,15400,25.66
2013-11-13,38.35,38.78,38.26,38.77,11700,25.85
2013-11-12,38.54,38.56,38.25,38.26,10000,25.51
