Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,14.88,14.91,14.64,14.84,1189400,14.84
2014-06-12,14.99,14.99,14.76,14.81,1305700,14.81
2014-06-11,14.94,15.00,14.82,14.98,1338200,14.98
2014-06-10,15.07,15.12,14.82,15.01,1095900,15.01
2014-06-09,15.23,15.39,15.08,15.10,1086800,15.10
2014-06-06,15.31,15.31,15.10,15.25,966100,15.25
2014-06-05,14.93,15.21,14.78,15.20,1383300,15.20
2014-06-04,14.71,14.94,14.66,14.85,1102700,14.85
2014-06-03,14.67,14.84,14.60,14.80,1302100,14.80
2014-06-02,14.72,14.81,14.59,14.73,1407900,14.73
2014-05-30,14.58,14.73,14.57,14.69,2135900,14.69
2014-05-29,14.65,14.69,14.55,14.56,1915700,14.56
2014-05-28,14.41,14.57,14.27,14.53,2709400,14.53
2014-05-27,14.35,14.52,14.35,14.49,1516700,14.49
2014-05-23,14.05,14.31,14.05,14.27,2502100,14.27
2014-05-22,14.00,14.23,13.93,14.03,2249700,14.03
2014-05-21,14.10,14.15,13.85,13.98,892600,13.98
2014-05-20,14.19,14.20,13.97,14.06,1386400,14.06
2014-05-19,14.22,14.27,14.08,14.21,840700,14.21
2014-05-16,13.85,14.21,13.83,14.21,1000700,14.21
2014-05-15,14.02,14.08,13.73,13.89,1797600,13.89
2014-05-14,14.26,14.30,14.06,14.09,1153100,14.09
2014-05-13,14.52,14.58,14.26,14.27,1458800,14.27
2014-05-12,14.39,14.63,14.31,14.53,1174200,14.53
2014-05-09,14.31,14.45,14.18,14.30,1403400,14.30
2014-05-08,14.30,14.54,14.24,14.38,967100,14.38
2014-05-07,14.20,14.29,14.00,14.29,1983600,14.29
2014-05-06,14.30,14.45,14.09,14.11,1538800,14.11
2014-05-05,14.34,14.42,14.20,14.35,1116400,14.35
2014-05-02,14.47,14.70,14.39,14.46,2325000,14.46
2014-05-01,14.27,14.50,14.13,14.49,2531800,14.49
2014-04-30,13.83,14.33,13.77,14.31,2924800,14.31
2014-04-29,13.95,13.98,13.83,13.88,2500500,13.88
2014-04-28,13.90,13.98,13.63,13.89,1773800,13.89
2014-04-25,13.84,13.86,13.66,13.81,1569100,13.81
2014-04-24,13.99,14.06,13.87,13.93,858900,13.93
2014-04-23,13.99,14.06,13.84,13.92,1701000,13.92
2014-04-22,13.89,14.04,13.83,13.96,931200,13.96
2014-04-21,13.82,13.91,13.68,13.91,1245400,13.91
2014-04-17,13.67,13.84,13.67,13.81,1898600,13.81
2014-04-16,13.67,13.75,13.57,13.74,1537800,13.74
2014-04-15,13.44,13.59,13.29,13.58,1977700,13.58
2014-04-14,13.39,13.45,13.25,13.43,1534500,13.43
2014-04-11,13.26,13.40,13.07,13.22,2293600,13.22
2014-04-10,13.84,13.88,13.35,13.36,2984500,13.36
2014-04-09,14.01,14.05,13.75,13.81,2525900,13.81
2014-04-08,13.73,14.01,13.68,13.93,2168500,13.93
2014-04-07,13.88,14.02,13.73,13.75,1981900,13.75
2014-04-04,14.11,14.15,13.84,13.93,1493500,13.93
2014-04-03,14.07,14.09,13.95,14.04,1408800,14.04
2014-04-02,13.92,14.06,13.80,14.06,1671900,14.06
2014-04-01,13.76,13.94,13.63,13.93,1423500,13.93
2014-03-31,13.63,13.79,13.51,13.73,1235200,13.73
2014-03-28,13.54,13.75,13.49,13.59,1316800,13.59
2014-03-27,13.53,13.69,13.43,13.56,1860400,13.56
2014-03-26,13.95,13.98,13.57,13.61,3143500,13.56
2014-03-25,13.71,13.92,13.69,13.89,2068500,13.84
2014-03-24,13.99,13.99,13.47,13.66,5091100,13.61
2014-03-21,13.73,14.00,13.73,14.00,3639100,13.95
2014-03-20,13.57,13.71,13.45,13.70,2367600,13.65
2014-03-19,13.94,13.95,13.55,13.64,2345700,13.59
2014-03-18,13.97,14.00,13.82,14.00,1852900,13.95
2014-03-17,13.92,14.00,13.82,13.99,2006500,13.94
2014-03-14,13.53,13.86,13.53,13.83,2197300,13.78
2014-03-13,13.58,13.66,13.45,13.56,2589100,13.51
2014-03-12,13.39,13.57,13.39,13.54,2450600,13.49
2014-03-11,13.39,13.69,13.35,13.42,2724800,13.37
2014-03-10,13.50,13.54,13.27,13.34,1532500,13.29
2014-03-07,13.65,13.69,13.41,13.50,1590400,13.45
2014-03-06,13.59,13.66,13.47,13.61,1246400,13.56
2014-03-05,13.75,13.75,13.52,13.58,1170500,13.53
2014-03-04,13.57,13.87,13.57,13.75,2508900,13.70
2014-03-03,13.43,13.53,13.25,13.51,1087700,13.46
2014-02-28,13.52,13.68,13.43,13.52,1940900,13.47
2014-02-27,13.72,13.76,13.51,13.52,1232700,13.47
2014-02-26,13.65,13.80,13.56,13.74,2786000,13.69
2014-02-25,13.44,13.77,13.35,13.64,3055300,13.59
2014-02-24,13.31,13.65,13.30,13.46,1772100,13.41
2014-02-21,13.33,13.57,13.21,13.35,2331100,13.30
2014-02-20,13.39,13.52,13.35,13.38,1627600,13.33
2014-02-19,13.34,13.59,13.28,13.41,1656900,13.36
2014-02-18,13.45,13.48,13.27,13.41,1379700,13.36
2014-02-14,13.31,13.46,13.23,13.40,1695800,13.35
2014-02-13,13.14,13.32,13.02,13.30,2089500,13.25
2014-02-12,13.11,13.29,13.00,13.22,2121800,13.17
2014-02-11,12.89,13.17,12.85,13.11,1444900,13.06
2014-02-10,12.65,12.93,12.56,12.89,1321200,12.84
2014-02-07,12.60,12.73,12.44,12.64,1966900,12.59
2014-02-06,12.47,12.56,12.44,12.56,1262400,12.51
2014-02-05,12.54,12.54,12.33,12.46,1773800,12.41
2014-02-04,12.59,12.73,12.44,12.59,1441300,12.54
2014-02-03,12.84,12.84,12.35,12.52,2137800,12.47
2014-01-31,12.62,12.91,12.53,12.83,1884700,12.78
2014-01-30,12.79,12.98,12.74,12.83,1489400,12.78
2014-01-29,12.62,12.76,12.41,12.69,1430500,12.64
2014-01-28,12.87,12.95,12.72,12.76,2687000,12.71
2014-01-27,13.16,13.18,12.75,12.82,1686100,12.77
2014-01-24,13.41,13.44,13.03,13.12,1674000,13.07
2014-01-23,13.43,13.56,13.39,13.44,1196600,13.39
2014-01-22,13.39,13.53,13.38,13.52,1156100,13.47
2014-01-21,13.47,13.58,13.34,13.35,1241600,13.30
2014-01-17,13.44,13.53,13.34,13.38,1269200,13.33
2014-01-16,13.38,13.50,13.34,13.49,1153800,13.44
2014-01-15,13.32,13.47,13.30,13.42,2271500,13.37
2014-01-14,13.19,13.39,13.15,13.30,1089000,13.25
2014-01-13,13.27,13.32,13.05,13.11,1298300,13.06
2014-01-10,13.35,13.47,13.28,13.34,1024300,13.29
2014-01-09,13.41,13.42,13.20,13.31,1127200,13.26
2014-01-08,13.38,13.45,13.17,13.35,1263700,13.30
2014-01-07,13.38,13.59,13.36,13.38,2029900,13.33
2014-01-06,13.58,13.59,13.30,13.36,1518400,13.31
2014-01-03,13.30,13.53,13.30,13.44,1204100,13.39
2014-01-02,13.38,13.38,13.17,13.32,1218500,13.27
2013-12-31,13.44,13.58,13.37,13.40,1115100,13.35
2013-12-30,13.43,13.50,13.39,13.44,953700,13.39
2013-12-27,13.48,13.50,13.28,13.48,774400,13.43
2013-12-26,13.50,13.59,13.39,13.46,998200,13.36
2013-12-24,13.46,13.54,13.41,13.46,633200,13.36
2013-12-23,13.35,13.54,13.35,13.47,1236300,13.37
2013-12-20,13.21,13.34,13.16,13.31,4116300,13.21
2013-12-19,13.25,13.26,13.05,13.21,1279400,13.11
2013-12-18,12.99,13.35,12.80,13.31,1932600,13.21
2013-12-17,12.98,13.09,12.86,12.99,1464100,12.89
2013-12-16,12.79,12.99,12.74,12.96,1809500,12.86
2013-12-13,12.70,12.83,12.58,12.73,1467900,12.64
2013-12-12,12.52,12.68,12.44,12.63,1706300,12.54
2013-12-11,13.03,13.03,12.51,12.54,1335400,12.45
2013-12-10,13.19,13.31,13.01,13.04,1521700,12.94
2013-12-09,13.25,13.25,13.03,13.20,1079500,13.10
2013-12-06,13.07,13.22,13.00,13.20,1903700,13.10
2013-12-05,12.53,12.99,12.50,12.92,2146100,12.82
2013-12-04,12.83,12.83,12.48,12.56,3928400,12.47
2013-12-03,12.70,12.81,12.51,12.55,1435900,12.46
2013-12-02,13.04,13.04,12.74,12.76,1176800,12.67
2013-11-29,13.07,13.13,12.94,13.07,723100,12.97
2013-11-27,12.85,13.02,12.79,13.02,2374700,12.92
2013-11-26,12.94,12.96,12.85,12.87,1227400,12.78
2013-11-25,13.04,13.09,12.88,12.89,1450800,12.79
2013-11-22,13.13,13.13,12.88,12.99,879400,12.89
2013-11-21,12.98,13.19,12.95,13.08,1039800,12.98
2013-11-20,13.21,13.32,12.89,12.91,1280000,12.81
