Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,16.14,16.24,16.11,16.22,2509000,16.22
2014-06-12,16.13,16.22,16.07,16.09,3327200,16.09
2014-06-11,16.00,16.04,15.96,15.99,3253600,15.99
2014-06-10,16.15,16.21,16.05,16.18,2718700,16.18
2014-06-09,16.18,16.34,16.15,16.30,1755900,16.30
2014-06-06,16.12,16.22,16.07,16.10,1700100,16.10
2014-06-05,16.23,16.28,16.16,16.24,625200,16.24
2014-06-04,16.18,16.27,16.16,16.24,1534900,16.24
2014-06-03,16.06,16.12,16.02,16.08,2014600,16.08
2014-06-02,16.31,16.33,16.22,16.29,1249700,16.29
2014-05-30,16.15,16.23,16.10,16.18,2388200,16.18
2014-05-29,16.20,16.24,16.15,16.21,2850500,16.21
2014-05-28,16.29,16.38,16.22,16.33,3608800,16.33
2014-05-27,16.50,16.71,16.48,16.64,2469500,16.64
2014-05-23,16.05,16.26,16.05,16.11,2543800,16.11
2014-05-22,16.33,16.37,16.16,16.18,2276000,16.18
2014-05-21,16.08,16.13,16.00,16.05,1422600,16.05
2014-05-20,16.09,16.11,15.93,16.01,3188000,16.01
2014-05-19,16.02,16.36,16.02,16.32,3745800,16.32
2014-05-16,16.25,16.39,16.15,16.38,1735400,16.38
2014-05-15,16.51,16.57,16.28,16.39,3817900,16.39
2014-05-14,16.75,17.19,16.28,16.50,7187200,16.50
2014-05-13,17.60,17.69,17.52,17.64,2073000,17.64
2014-05-12,17.26,17.49,17.25,17.45,1168100,17.45
2014-05-09,17.39,17.45,17.33,17.38,1476300,17.38
2014-05-08,17.33,17.62,17.33,17.49,2930900,17.49
2014-05-07,17.43,17.58,17.31,17.55,1363300,17.55
2014-05-06,17.59,17.60,17.46,17.51,1203700,17.51
2014-05-05,17.55,17.68,17.51,17.64,751900,17.64
2014-05-02,17.60,17.73,17.49,17.63,1376600,17.63
2014-05-01,16.85,17.49,16.76,17.16,3842300,17.16
2014-04-30,17.59,17.67,17.46,17.64,1479100,17.64
2014-04-29,17.98,18.05,17.91,17.96,993700,17.96
2014-04-28,17.87,17.98,17.69,17.95,1437900,17.95
2014-04-25,17.93,17.99,17.77,17.87,1178800,17.87
2014-04-24,18.16,18.19,17.85,18.15,2632500,18.15
2014-04-23,18.73,18.74,18.62,18.66,724400,18.66
2014-04-22,18.64,18.75,18.57,18.68,1474800,18.68
2014-04-21,18.81,19.05,18.80,19.00,1293700,19.00
2014-04-17,18.80,18.85,18.69,18.71,961800,18.71
2014-04-16,18.75,18.81,18.66,18.78,1027100,18.78
2014-04-15,18.58,18.64,18.33,18.55,1313400,18.55
2014-04-14,18.60,18.72,18.50,18.59,1077000,18.59
2014-04-11,18.33,18.41,18.27,18.38,1265900,18.38
2014-04-10,18.40,18.55,18.13,18.15,2571800,18.15
2014-04-09,18.68,18.87,18.56,18.82,1143700,18.82
2014-04-08,18.92,19.01,18.86,18.90,1796300,18.90
2014-04-07,19.18,19.26,18.92,19.05,1821900,19.05
2014-04-04,19.26,19.34,18.95,19.03,1378600,19.03
2014-04-03,19.25,19.28,18.95,19.09,1856300,19.09
2014-04-02,19.19,19.35,19.08,19.29,1442500,19.29
2014-04-01,19.42,19.46,19.29,19.44,2230000,19.44
2014-03-31,19.12,19.25,19.08,19.12,2988700,19.12
2014-03-28,18.60,18.79,18.60,18.65,2966100,18.65
2014-03-27,18.32,18.39,18.18,18.27,2873600,18.27
2014-03-26,18.31,18.40,18.02,18.05,2317300,18.05
2014-03-25,17.96,18.25,17.92,18.25,3383100,18.25
2014-03-24,17.74,17.78,17.54,17.65,2850400,17.65
2014-03-21,17.61,17.85,17.61,17.76,4009700,17.76
2014-03-20,17.32,17.62,17.31,17.61,3192000,17.61
2014-03-19,17.17,17.35,17.04,17.15,3527100,17.15
2014-03-18,16.98,17.21,16.92,17.15,1939600,17.15
2014-03-17,17.15,17.34,17.15,17.22,1202100,17.22
2014-03-14,17.26,17.33,17.12,17.17,3085500,17.17
2014-03-13,17.88,17.89,17.50,17.63,2433200,17.63
2014-03-12,17.73,17.85,17.69,17.84,1514500,17.84
2014-03-11,18.04,18.04,17.77,17.85,1681200,17.85
