Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,84.02,84.03,83.28,83.44,977100,83.44
2014-06-12,84.82,84.82,83.51,83.78,1539100,83.78
2014-06-11,85.28,85.28,84.45,84.76,979600,84.76
2014-06-10,85.74,85.74,84.68,85.10,1003500,85.10
2014-06-09,85.40,85.57,84.98,85.50,1051800,85.50
2014-06-06,85.76,86.12,85.27,85.56,1318400,85.56
2014-06-05,85.46,85.95,85.24,85.78,1083800,85.78
2014-06-04,85.38,86.08,85.09,85.53,2348000,85.53
2014-06-03,84.72,85.76,84.40,85.46,1687400,85.46
2014-06-02,84.73,85.09,84.20,84.83,1177600,84.83
2014-05-30,85.38,85.61,83.12,84.49,3349500,84.49
2014-05-29,83.22,83.90,83.00,83.89,1452900,83.89
2014-05-28,83.50,83.86,81.61,82.64,5573000,82.64
2014-05-27,80.43,80.48,79.96,80.36,732900,80.36
2014-05-23,80.44,80.58,80.12,80.27,632500,80.27
2014-05-22,80.38,80.63,79.91,80.59,853200,80.59
2014-05-21,80.10,80.42,79.94,80.37,701600,80.37
2014-05-20,80.18,80.55,79.70,80.05,1498200,80.05
2014-05-19,79.57,80.36,79.46,80.10,949600,80.10
2014-05-16,79.03,80.13,78.89,80.10,1420400,80.10
2014-05-15,79.77,79.80,78.85,79.12,1254200,79.12
2014-05-14,80.19,80.22,79.29,80.11,1688100,80.11
2014-05-13,81.41,81.44,80.33,80.35,1379100,80.35
2014-05-12,80.79,81.39,80.57,81.10,1307700,81.10
2014-05-09,79.93,80.63,79.41,80.62,1263500,80.62
2014-05-08,79.41,80.42,79.35,80.04,1562800,80.04
2014-05-07,78.77,79.48,78.41,79.42,1261700,79.42
2014-05-06,78.60,79.43,78.46,79.04,1701800,79.04
2014-05-05,77.69,78.93,77.32,78.83,1700600,78.83
2014-05-02,77.43,78.03,77.26,77.82,1057400,77.82
2014-05-01,77.74,77.94,77.12,77.43,1164300,77.43
2014-04-30,77.90,78.02,77.29,77.75,1116900,77.75
2014-04-29,77.16,78.27,76.90,77.90,1612400,77.90
2014-04-28,77.13,77.30,75.78,76.83,2373700,76.83
2014-04-25,77.58,78.45,76.67,76.72,2050600,76.72
2014-04-24,80.50,80.78,76.89,77.88,4159700,77.88
2014-04-23,78.74,79.11,78.03,78.39,1904500,78.39
2014-04-22,79.62,79.78,78.70,78.74,1729900,78.74
2014-04-21,78.87,79.73,78.80,79.48,2066800,79.48
2014-04-17,78.76,79.45,78.49,78.78,1337200,78.78
2014-04-16,80.24,80.25,78.28,79.05,2154800,79.05
2014-04-15,79.88,80.07,77.39,79.57,2291100,79.57
2014-04-14,80.26,80.35,79.13,79.80,1572200,79.80
2014-04-11,79.26,80.03,79.06,79.36,1894000,79.36
2014-04-10,82.14,82.21,79.43,79.64,1199800,79.64
2014-04-09,81.28,82.16,80.92,82.10,1426000,82.10
2014-04-08,81.21,81.65,80.42,81.26,1764700,81.26
2014-04-07,82.35,82.49,80.75,81.23,1501600,81.23
2014-04-04,84.36,84.85,82.49,82.60,1570700,82.60
2014-04-03,82.56,84.23,82.34,84.13,2873800,84.13
2014-04-02,81.79,82.59,81.79,82.29,2052700,82.29
2014-04-01,81.88,82.18,81.35,81.88,1082800,81.88
2014-03-31,80.78,81.67,80.43,81.47,1112300,81.47
2014-03-28,80.22,81.15,80.11,80.54,828100,80.54
2014-03-27,79.33,79.98,78.75,79.87,1161500,79.87
2014-03-26,80.31,80.69,79.59,79.59,1166100,79.28
2014-03-25,79.57,80.63,79.38,79.94,1154900,79.63
2014-03-24,81.21,81.25,79.18,79.31,2157200,79.01
2014-03-21,81.91,82.30,80.73,80.86,2765700,80.55
2014-03-20,81.07,81.33,80.52,81.30,912300,80.99
2014-03-19,81.56,81.97,80.73,81.22,985900,80.91
2014-03-18,80.86,81.60,80.24,81.53,1405900,81.22
2014-03-17,80.55,81.16,80.48,80.79,1204500,80.48
2014-03-14,81.14,81.64,80.13,80.27,1490300,79.96
2014-03-13,82.17,82.27,81.10,81.22,1970500,80.91
2014-03-12,81.25,81.64,81.24,81.63,920400,81.32
2014-03-11,81.73,81.88,81.27,81.63,1030900,81.32
2014-03-10,81.36,81.88,81.36,81.80,994700,81.49
2014-03-07,81.36,81.71,80.69,81.64,1380300,81.33
2014-03-06,81.28,81.42,80.71,80.95,1024700,80.64
2014-03-05,81.80,81.89,80.97,81.08,1339200,80.77
2014-03-04,81.04,82.05,80.81,81.87,1747700,81.56
2014-03-03,79.45,80.31,79.43,79.90,1503800,79.59
2014-02-28,81.17,81.52,79.84,80.24,2490500,79.93
2014-02-27,81.12,81.32,80.65,81.17,1552800,80.86
2014-02-26,81.70,81.97,80.74,81.13,1853400,80.82
2014-02-25,82.32,82.68,81.46,81.59,1594600,81.28
2014-02-24,82.15,83.06,82.10,82.61,1745500,82.29
