Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,11.92,11.93,11.86,11.91,62100,11.91
2014-06-12,11.94,11.94,11.80,11.87,60000,11.87
2014-06-11,11.82,11.94,11.80,11.88,86800,11.88
2014-06-10,11.64,11.86,11.64,11.79,139300,11.79
2014-06-09,11.62,11.67,11.56,11.63,113600,11.63
2014-06-06,11.65,11.66,11.55,11.58,103200,11.58
2014-06-05,11.76,11.76,11.64,11.69,80100,11.69
2014-06-04,11.83,11.84,11.68,11.72,172600,11.72
2014-06-03,11.85,11.86,11.73,11.82,87800,11.82
2014-06-02,11.95,12.00,11.85,11.88,94400,11.88
2014-05-30,11.98,12.05,11.95,11.99,96700,11.99
2014-05-29,12.01,12.19,11.98,12.03,94800,12.03
2014-05-28,12.17,12.32,11.98,12.01,155000,12.01
2014-05-27,12.41,12.41,12.23,12.31,79800,12.14
2014-05-23,12.31,12.40,12.29,12.36,106000,12.19
2014-05-22,12.19,12.36,12.15,12.30,65000,12.13
2014-05-21,12.16,12.25,12.07,12.22,72200,12.06
2014-05-20,12.21,12.25,12.16,12.20,64300,12.04
2014-05-19,12.27,12.33,12.21,12.22,53600,12.06
2014-05-16,12.23,12.37,12.21,12.31,75900,12.14
2014-05-15,12.24,12.28,12.13,12.27,123900,12.10
2014-05-14,11.97,12.24,11.96,12.20,152000,12.04
2014-05-13,11.95,11.97,11.90,11.94,89500,11.78
2014-05-12,11.90,11.97,11.85,11.93,123900,11.77
2014-05-09,11.96,11.99,11.85,11.90,121900,11.74
2014-05-08,12.09,12.14,11.95,11.99,182500,11.83
2014-05-07,12.13,12.14,12.05,12.10,119200,11.94
2014-05-06,12.10,12.16,12.04,12.10,100300,11.94
2014-05-05,12.07,12.11,11.98,12.04,89800,11.88
2014-05-02,12.14,12.17,12.04,12.08,75500,11.92
2014-05-01,12.23,12.32,12.12,12.19,118600,12.03
2014-04-30,12.09,12.36,12.07,12.22,181600,12.06
2014-04-29,12.05,12.27,11.98,12.11,459800,11.95
2014-04-28,11.90,11.93,11.83,11.87,108500,11.71
2014-04-25,11.82,11.96,11.81,11.92,265000,11.76
2014-04-24,11.65,11.86,11.61,11.84,133100,11.68
2014-04-23,11.66,11.76,11.60,11.62,104500,11.46
2014-04-22,11.84,11.84,11.66,11.71,107200,11.55
2014-04-21,11.89,11.90,11.75,11.84,177600,11.68
2014-04-17,11.94,12.01,11.89,11.93,116300,11.77
2014-04-16,11.91,12.00,11.89,11.97,182200,11.81
2014-04-15,11.86,11.92,11.81,11.92,101600,11.76
2014-04-14,11.96,12.00,11.87,11.90,136600,11.74
2014-04-11,12.09,12.12,11.91,11.96,123600,11.80
2014-04-10,11.81,12.10,11.81,12.06,162200,11.90
2014-04-09,11.68,12.02,11.67,11.90,261900,11.74
2014-04-08,11.63,11.75,11.60,11.68,117500,11.52
2014-04-07,11.47,11.62,11.47,11.60,120800,11.44
2014-04-04,11.52,11.57,11.47,11.48,100500,11.33
2014-04-03,11.56,11.65,11.47,11.47,83500,11.32
2014-04-02,11.62,11.62,11.52,11.56,97400,11.40
2014-04-01,11.63,11.70,11.56,11.59,107700,11.43
2014-03-31,11.56,11.68,11.53,11.64,145100,11.48
2014-03-28,11.60,11.62,11.48,11.54,126100,11.38
2014-03-27,11.53,11.62,11.51,11.62,101400,11.46
2014-03-26,11.42,11.52,11.37,11.51,86300,11.35
2014-03-25,11.33,11.43,11.33,11.41,147100,11.26
2014-03-24,11.25,11.37,11.21,11.36,81000,11.21
2014-03-21,11.38,11.40,11.21,11.26,201100,11.11
2014-03-20,11.33,11.33,11.24,11.30,90200,11.15
2014-03-19,11.57,11.58,11.28,11.38,134200,11.23
2014-03-18,11.52,11.71,11.52,11.64,86700,11.48
2014-03-17,11.45,11.57,11.41,11.54,94900,11.38
2014-03-14,11.41,11.54,11.37,11.42,61500,11.27
2014-03-13,11.48,11.52,11.41,11.45,65200,11.30
2014-03-12,11.41,11.48,11.39,11.48,86600,11.33
2014-03-11,11.40,11.50,11.34,11.46,81100,11.31
2014-03-10,11.55,11.55,11.36,11.41,118400,11.26
2014-03-07,11.72,11.80,11.50,11.55,100100,11.39
2014-03-06,11.80,11.91,11.74,11.81,153400,11.65
2014-03-05,11.70,11.85,11.63,11.76,251800,11.60
2014-03-04,11.50,11.68,11.46,11.66,288400,11.50
2014-03-03,11.48,11.55,11.26,11.45,205300,11.30
2014-02-28,11.29,11.58,11.20,11.52,227500,11.36
2014-02-27,11.55,11.67,11.39,11.42,278000,11.11
2014-02-26,11.75,11.79,11.53,11.59,403700,11.27
2014-02-25,11.77,11.89,11.73,11.77,183300,11.45
2014-02-24,12.16,12.16,11.76,11.80,223000,11.48
2014-02-21,12.07,12.19,11.93,12.19,297000,11.86
2014-02-20,11.99,12.43,11.72,12.39,562600,12.05
2014-02-19,13.63,13.63,13.35,13.40,133200,13.03
2014-02-18,13.62,13.67,13.59,13.64,66000,13.27
2014-02-14,13.55,13.63,13.49,13.58,118700,13.21
2014-02-13,13.48,13.65,13.41,13.59,101500,13.22
2014-02-12,13.38,13.61,13.38,13.54,83600,13.17
2014-02-11,13.30,13.42,13.28,13.39,86100,13.02
2014-02-10,13.39,13.39,13.26,13.30,77000,12.93
2014-02-07,13.25,13.41,13.24,13.38,68400,13.01
2014-02-06,12.91,13.21,12.90,13.17,57900,12.81
2014-02-05,12.82,13.03,12.71,12.96,105300,12.60
2014-02-04,12.93,12.96,12.70,12.86,65400,12.51
2014-02-03,13.21,13.21,12.86,12.90,131200,12.55
2014-01-31,12.85,13.16,12.82,13.13,81800,12.77
2014-01-30,12.80,12.97,12.80,12.95,89000,12.59
2014-01-29,12.81,12.89,12.76,12.81,175300,12.46
2014-01-28,12.81,12.86,12.77,12.83,103400,12.48
2014-01-27,12.96,12.97,12.80,12.81,85200,12.46
2014-01-24,12.93,13.03,12.91,12.92,74100,12.56
2014-01-23,12.92,12.96,12.81,12.92,76000,12.56
2014-01-22,13.09,13.13,12.97,12.97,79400,12.61
2014-01-21,13.04,13.16,12.96,13.09,102800,12.73
2014-01-17,13.13,13.13,12.86,12.94,114600,12.58
2014-01-16,12.71,13.10,12.71,13.05,128500,12.69
2014-01-15,12.68,12.76,12.63,12.64,109800,12.29
2014-01-14,12.87,12.87,12.65,12.68,123700,12.33
2014-01-13,12.82,12.92,12.78,12.85,113500,12.50
2014-01-10,12.70,12.83,12.68,12.80,71300,12.45
2014-01-09,12.79,12.85,12.71,12.74,87900,12.39
2014-01-08,12.67,12.88,12.65,12.85,63000,12.50
2014-01-07,12.88,12.90,12.61,12.67,69100,12.32
2014-01-06,12.77,12.89,12.68,12.87,118100,12.52
2014-01-03,12.73,12.74,12.65,12.69,74900,12.34
2014-01-02,12.71,12.75,12.65,12.65,60800,12.30
2013-12-31,12.61,12.71,12.57,12.68,66600,12.33
2013-12-30,12.55,12.62,12.53,12.57,146300,12.22
2013-12-27,12.43,12.63,12.43,12.56,214300,12.21
2013-12-26,12.71,12.84,12.58,12.68,60000,12.33
2013-12-24,12.63,12.71,12.56,12.67,74500,12.32
2013-12-23,12.79,12.85,12.59,12.64,102100,12.29
2013-12-20,12.50,12.74,12.50,12.74,107100,12.39
2013-12-19,12.55,12.64,12.47,12.51,61100,12.17
