Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,49.92,49.92,48.66,49.43,511100,49.43
2014-06-12,51.22,51.74,50.17,50.34,140800,50.34
2014-06-11,51.16,51.51,50.65,51.03,103500,51.03
2014-06-10,51.58,51.84,51.01,51.18,192000,51.18
2014-06-09,51.89,52.15,51.16,51.52,303600,51.52
2014-06-06,50.50,51.29,50.00,51.20,255200,51.20
2014-06-05,50.38,51.47,50.14,50.31,191400,50.31
2014-06-04,50.91,51.24,50.21,50.48,133900,50.48
2014-06-03,51.49,51.60,50.50,50.74,107500,50.74
2014-06-02,51.86,52.56,51.38,51.56,108100,51.56
2014-05-30,52.05,52.58,51.54,52.00,176600,52.00
2014-05-29,52.58,52.90,51.76,52.14,140900,52.14
2014-05-28,52.52,52.60,51.96,52.41,89300,52.41
2014-05-27,52.43,52.61,52.02,52.33,76300,52.33
2014-05-23,53.00,53.05,52.34,52.44,187400,52.44
2014-05-22,52.94,53.19,52.68,53.02,62200,53.02
2014-05-21,52.62,53.00,52.62,52.94,44500,52.94
2014-05-20,52.00,52.97,52.00,52.79,79300,52.79
2014-05-19,52.26,52.70,51.92,52.09,61200,52.09
2014-05-16,52.11,52.37,51.71,52.26,77800,52.26
2014-05-15,51.99,52.00,51.13,51.95,101000,51.95
2014-05-14,51.17,51.94,50.76,51.79,87300,51.79
2014-05-13,50.38,51.39,49.80,51.04,104000,51.04
2014-05-12,49.89,50.60,49.55,50.47,131000,50.47
2014-05-09,50.04,50.42,49.68,49.95,149100,49.95
2014-05-08,51.27,51.41,50.17,50.26,209300,50.26
2014-05-07,51.58,51.63,51.11,51.16,147600,51.16
2014-05-06,51.79,52.00,51.38,51.46,77100,51.46
2014-05-05,51.29,52.13,51.29,52.02,165100,52.02
2014-05-02,52.04,52.08,51.26,51.27,101200,51.27
2014-05-01,52.01,52.99,51.96,51.96,114200,51.96
2014-04-30,52.88,53.06,52.33,53.04,137800,52.23
2014-04-29,52.90,53.25,52.59,52.90,195100,52.09
2014-04-28,51.49,52.90,51.30,52.90,103300,52.09
2014-04-25,51.21,51.52,50.40,51.00,242400,50.22
2014-04-24,51.48,52.00,51.31,51.50,181100,50.71
2014-04-23,51.90,52.09,51.52,51.53,163000,50.74
2014-04-22,51.11,52.39,50.49,51.94,99200,51.15
