Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,22.76,22.98,22.58,22.84,67600,22.84
2014-06-12,22.69,22.93,22.45,22.66,98800,22.66
2014-06-11,22.57,23.00,22.55,22.81,70900,22.81
2014-06-10,22.75,22.91,22.56,22.84,64300,22.75
2014-06-09,22.55,22.90,22.45,22.89,118400,22.80
2014-06-06,21.98,22.67,21.78,22.49,86900,22.40
2014-06-05,21.16,21.78,20.95,21.77,80600,21.68
2014-06-04,20.81,21.12,20.72,21.00,62900,20.92
2014-06-03,20.94,21.13,20.75,20.83,64000,20.75
2014-06-02,21.23,21.29,20.96,21.00,65500,20.92
2014-05-30,21.31,21.55,20.98,21.25,73800,21.17
2014-05-29,21.23,21.66,20.99,21.22,61500,21.14
2014-05-28,20.92,21.21,20.83,21.02,65200,20.94
2014-05-27,20.77,21.07,20.41,20.88,64500,20.80
2014-05-23,20.26,20.80,19.90,20.58,162800,20.50
2014-05-22,19.74,20.28,19.74,20.20,48200,20.12
2014-05-21,19.68,20.10,19.30,19.75,62600,19.67
2014-05-20,19.79,19.92,19.35,19.65,120300,19.57
2014-05-19,19.80,20.21,19.74,19.90,52600,19.82
2014-05-16,19.88,20.04,19.59,19.82,52900,19.74
2014-05-15,19.80,20.00,19.20,19.91,76200,19.83
2014-05-14,20.20,20.29,19.76,19.84,72900,19.76
2014-05-13,20.75,20.81,20.18,20.20,110400,20.12
2014-05-12,20.48,21.04,20.35,20.83,70400,20.75
2014-05-09,19.78,20.47,19.78,20.34,69800,20.26
2014-05-08,20.09,20.23,19.81,19.83,93400,19.75
2014-05-07,20.11,20.14,19.78,20.09,112900,20.01
2014-05-06,20.18,20.34,20.00,20.00,101500,19.92
2014-05-05,20.02,20.64,20.02,20.22,176100,20.14
2014-05-02,20.44,20.63,20.05,20.14,70700,20.06
2014-05-01,20.68,20.68,19.61,20.47,129900,20.39
2014-04-30,21.23,21.42,20.76,20.81,68500,20.73
2014-04-29,21.32,21.78,21.22,21.39,53700,21.31
2014-04-28,22.01,22.40,20.87,21.30,94300,21.22
2014-04-25,22.30,22.81,21.36,22.01,124600,21.92
2014-04-24,22.89,23.06,22.27,22.48,84600,22.39
2014-04-23,22.85,23.18,22.63,22.65,41200,22.56
2014-04-22,22.99,23.09,22.40,22.98,55000,22.89
2014-04-21,22.97,22.97,22.47,22.88,33500,22.79
2014-04-17,22.93,23.26,22.62,23.12,42600,23.03
2014-04-16,23.07,23.36,22.49,23.08,68200,22.99
2014-04-15,23.11,23.19,22.17,23.04,70300,22.95
2014-04-14,23.42,23.42,22.77,23.11,43900,23.02
2014-04-11,23.23,23.50,23.02,23.10,63600,23.01
2014-04-10,25.08,25.08,23.48,23.50,61700,23.41
2014-04-09,24.69,25.23,24.22,25.08,83500,24.98
2014-04-08,24.22,24.96,24.06,24.56,70600,24.46
2014-04-07,23.07,24.30,22.68,24.24,112600,24.14
2014-04-04,24.22,24.39,23.04,23.13,70200,23.04
2014-04-03,24.12,24.92,23.61,24.02,49200,23.93
2014-04-02,24.40,24.45,24.00,24.11,56500,24.01
2014-04-01,23.15,24.60,22.93,24.44,80300,24.34
2014-03-31,22.57,23.26,22.45,23.01,83900,22.92
2014-03-28,22.58,23.18,22.34,22.49,56800,22.40
2014-03-27,22.91,22.95,22.38,22.48,46100,22.39
2014-03-26,24.05,24.07,22.94,22.96,49500,22.87
2014-03-25,23.89,24.08,23.70,23.81,38600,23.72
2014-03-24,23.97,23.97,23.54,23.81,44300,23.72
2014-03-21,23.70,24.04,23.57,23.93,85300,23.84
2014-03-20,23.57,23.88,23.39,23.67,39000,23.58
2014-03-19,23.83,23.83,23.35,23.68,26800,23.59
2014-03-18,23.75,24.00,23.67,23.91,60400,23.82
2014-03-17,23.89,24.13,23.68,23.74,34100,23.65
2014-03-14,23.32,23.85,23.28,23.66,28800,23.57
2014-03-13,24.04,24.04,23.37,23.48,35100,23.39
2014-03-12,24.10,24.27,23.89,24.04,36600,23.95
2014-03-11,24.74,24.92,24.11,24.29,58800,24.12
2014-03-10,24.68,24.97,24.34,24.80,54700,24.63
2014-03-07,24.77,24.92,24.60,24.83,57100,24.65
2014-03-06,24.51,24.81,24.41,24.54,67500,24.36
2014-03-05,24.80,24.80,24.34,24.52,58500,24.34
2014-03-04,24.46,25.35,24.46,24.95,137500,24.77
2014-03-03,24.69,24.86,23.90,24.12,46700,23.95
2014-02-28,24.50,25.00,24.50,24.91,98800,24.73
2014-02-27,24.00,24.50,24.00,24.39,76000,24.21
2014-02-26,23.60,24.11,23.56,23.96,94800,23.79
2014-02-25,23.64,24.04,23.31,23.48,70100,23.31
2014-02-24,23.56,24.10,23.55,23.69,51900,23.52
2014-02-21,23.64,23.65,23.37,23.62,118500,23.45
2014-02-20,23.36,23.62,23.15,23.51,86700,23.34
2014-02-19,23.77,23.99,23.23,23.41,71400,23.24
2014-02-18,23.88,24.05,23.63,23.93,61500,23.76
2014-02-14,24.33,24.36,23.63,23.89,120900,23.72
2014-02-13,23.50,24.36,23.43,24.27,53200,24.09
2014-02-12,23.47,23.84,23.34,23.72,36700,23.55
2014-02-11,23.42,23.81,23.28,23.52,90100,23.35
2014-02-10,23.71,24.30,22.80,23.43,52600,23.26
2014-02-07,23.48,24.07,23.20,23.74,102800,23.57
2014-02-06,23.48,23.82,23.27,23.43,75900,23.26
2014-02-05,23.58,23.68,23.05,23.34,61700,23.17
2014-02-04,24.12,24.40,23.41,23.63,46400,23.46
2014-02-03,24.79,24.93,23.50,24.03,84700,23.86
2014-01-31,24.68,25.22,24.66,24.79,66200,24.61
2014-01-30,25.20,25.35,25.02,25.21,75600,25.03
2014-01-29,24.78,25.24,24.64,24.92,69300,24.74
2014-01-28,25.00,25.23,24.87,25.11,63500,24.93
2014-01-27,25.15,25.49,24.82,24.99,48500,24.81
2014-01-24,25.74,25.99,24.93,25.02,124000,24.84
2014-01-23,26.12,26.12,25.46,26.01,78000,25.82
2014-01-22,26.59,26.78,26.11,26.22,44900,26.03
2014-01-21,26.28,26.94,26.13,26.42,40300,26.23
2014-01-17,26.04,26.32,25.84,26.28,81800,26.09
2014-01-16,25.89,26.25,25.61,26.15,90500,25.96
2014-01-15,25.96,26.53,25.29,26.00,104100,25.81
2014-01-14,25.55,26.00,25.52,26.00,86900,25.81
2014-01-13,25.81,26.21,25.24,25.55,59100,25.37
2014-01-10,26.09,26.10,24.77,25.94,82200,25.75
2014-01-09,26.87,27.39,25.76,26.01,78200,25.82
2014-01-08,27.01,27.05,26.48,26.71,89200,26.52
2014-01-07,27.71,28.58,26.89,27.09,62500,26.89
2014-01-06,28.46,28.58,27.57,27.61,124000,27.41
2014-01-03,28.42,28.80,28.34,28.42,153900,28.22
