Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,2.98,3.09,2.93,3.01,143400,3.01
2014-06-12,3.08,3.08,2.90,3.00,276700,3.00
2014-06-11,3.08,3.16,2.92,3.11,378500,3.11
2014-06-10,3.28,3.35,3.10,3.11,399900,3.11
2014-06-09,3.22,3.35,3.05,3.26,516700,3.26
2014-06-06,3.15,3.33,3.10,3.20,620100,3.20
2014-06-05,2.95,3.12,2.95,3.12,330600,3.12
2014-06-04,2.90,3.00,2.82,2.95,186100,2.95
2014-06-03,2.97,2.97,2.87,2.92,185700,2.92
2014-06-02,2.98,3.00,2.86,2.97,246200,2.97
2014-05-30,2.80,3.00,2.73,2.98,546600,2.98
2014-05-29,2.77,3.00,2.72,2.87,566100,2.87
2014-05-28,2.75,2.78,2.68,2.78,103400,2.78
2014-05-27,2.73,2.77,2.64,2.75,180900,2.75
2014-05-23,2.61,2.74,2.58,2.67,298100,2.67
2014-05-22,2.59,2.62,2.48,2.59,119900,2.59
2014-05-21,2.47,2.65,2.47,2.59,230100,2.59
2014-05-20,2.60,2.63,2.47,2.49,194800,2.49
2014-05-19,2.57,2.65,2.55,2.58,139900,2.58
2014-05-16,2.55,2.58,2.46,2.55,176500,2.55
2014-05-15,2.66,2.67,2.53,2.54,306400,2.54
2014-05-14,2.64,2.68,2.61,2.65,125500,2.65
2014-05-13,2.66,2.67,2.62,2.65,81400,2.65
2014-05-12,2.77,2.79,2.66,2.67,184400,2.67
2014-05-09,2.75,2.79,2.63,2.77,504300,2.77
2014-05-08,2.79,2.81,2.64,2.68,469800,2.68
2014-05-07,2.78,2.89,2.73,2.78,293300,2.78
2014-05-06,2.73,2.82,2.69,2.80,399200,2.80
2014-05-05,2.61,2.75,2.60,2.74,565700,2.74
2014-05-02,2.58,2.61,2.57,2.60,140600,2.60
2014-05-01,2.65,2.65,2.56,2.59,146300,2.59
2014-04-30,2.63,2.70,2.52,2.64,352400,2.64
2014-04-29,2.65,2.72,2.42,2.61,472800,2.61
2014-04-28,2.52,2.70,2.42,2.67,433000,2.67
2014-04-25,2.56,2.59,2.49,2.54,242800,2.54
2014-04-24,2.50,2.56,2.42,2.56,296100,2.56
2014-04-23,2.38,2.45,2.37,2.41,122600,2.41
2014-04-22,2.42,2.42,2.35,2.37,145600,2.37
2014-04-21,2.40,2.45,2.27,2.39,249200,2.39
2014-04-17,2.44,2.45,2.43,2.45,74800,2.45
2014-04-16,2.51,2.51,2.41,2.47,57700,2.47
2014-04-15,2.56,2.56,2.40,2.47,230700,2.47
2014-04-14,2.57,2.60,2.50,2.55,433000,2.55
2014-04-11,2.50,2.53,2.38,2.51,282600,2.51
2014-04-10,2.54,2.58,2.45,2.47,606500,2.47
2014-04-09,2.49,2.55,2.44,2.52,528800,2.52
2014-04-08,2.37,2.49,2.37,2.48,301600,2.48
2014-04-07,2.43,2.53,2.36,2.37,561800,2.37
2014-04-04,2.40,2.45,2.36,2.42,232500,2.42
2014-04-03,2.37,2.45,2.35,2.40,126100,2.40
2014-04-02,2.41,2.41,2.35,2.38,146200,2.38
2014-04-01,2.39,2.42,2.29,2.40,435300,2.40
2014-03-31,2.21,2.49,2.21,2.40,522000,2.40
2014-03-28,2.26,2.27,2.16,2.21,125400,2.21
2014-03-27,2.03,2.27,2.02,2.26,525400,2.26
2014-03-26,2.05,2.07,2.00,2.06,92800,2.06
2014-03-25,2.00,2.05,2.00,2.05,45300,2.05
2014-03-24,2.02,2.03,1.95,2.03,30000,2.03
2014-03-21,1.95,2.01,1.90,2.01,71200,2.01
2014-03-20,1.99,1.99,1.86,1.97,185300,1.97
2014-03-19,2.06,2.07,1.93,1.96,173400,1.96
2014-03-18,2.02,2.07,1.97,2.02,118900,2.02
2014-03-17,2.00,2.09,2.00,2.02,58900,2.02
2014-03-14,1.94,2.01,1.94,1.99,87600,1.99
2014-03-13,1.94,2.01,1.92,1.92,68500,1.92
2014-03-12,2.03,2.04,1.92,1.96,112300,1.96
2014-03-11,2.06,2.10,1.97,2.00,197100,2.00
2014-03-10,2.08,2.10,2.02,2.02,64700,2.02
2014-03-07,2.12,2.13,2.02,2.06,173000,2.06
2014-03-06,2.08,2.12,2.00,2.08,171200,2.08
2014-03-05,2.07,2.08,2.00,2.06,57400,2.06
2014-03-04,2.03,2.10,2.03,2.05,43900,2.05
2014-03-03,2.04,2.10,2.03,2.03,49000,2.03
2014-02-28,2.05,2.15,2.03,2.04,108300,2.04
2014-02-27,2.10,2.13,2.03,2.07,151200,2.07
2014-02-26,2.11,2.18,2.05,2.09,148600,2.09
2014-02-25,2.19,2.23,2.05,2.12,217400,2.12
2014-02-24,2.27,2.28,2.16,2.23,145700,2.23
2014-02-21,2.24,2.28,2.13,2.27,101700,2.27
2014-02-20,2.19,2.25,2.15,2.22,120400,2.22
2014-02-19,2.27,2.27,2.11,2.18,86100,2.18
2014-02-18,2.29,2.30,2.09,2.27,339900,2.27
2014-02-14,2.11,2.25,2.10,2.22,318600,2.22
2014-02-13,2.17,2.20,2.06,2.10,61800,2.10
2014-02-12,2.08,2.20,2.06,2.15,99400,2.15
2014-02-11,2.02,2.10,2.00,2.08,112900,2.08
2014-02-10,2.00,2.02,1.92,2.02,77200,2.02
2014-02-07,1.95,2.03,1.95,2.01,82900,2.01
2014-02-06,1.89,2.02,1.86,1.97,135200,1.97
2014-02-05,1.87,1.90,1.82,1.85,69400,1.85
2014-02-04,1.74,1.87,1.74,1.84,155700,1.84
2014-02-03,1.74,1.85,1.74,1.83,107000,1.83
2014-01-31,1.88,1.88,1.73,1.85,201000,1.85
2014-01-30,1.90,1.93,1.85,1.87,73000,1.87
2014-01-29,1.96,1.96,1.83,1.84,67300,1.84
2014-01-28,1.96,1.96,1.86,1.96,93100,1.96
2014-01-27,1.93,1.96,1.71,1.93,429500,1.93
2014-01-24,1.88,1.99,1.86,1.98,290300,1.98
2014-01-23,2.15,2.15,1.85,1.85,360900,1.85
2014-01-22,2.14,2.17,2.11,2.11,71900,2.11
2014-01-21,2.18,2.18,2.11,2.17,76300,2.17
2014-01-17,2.16,2.16,2.09,2.11,26700,2.11
2014-01-16,2.16,2.16,2.07,2.12,88600,2.12
2014-01-15,2.10,2.20,2.07,2.11,207300,2.11
2014-01-14,2.19,2.19,2.11,2.15,76100,2.15
2014-01-13,2.08,2.19,2.08,2.16,77700,2.16
2014-01-10,2.06,2.13,2.06,2.07,36200,2.07
2014-01-09,2.14,2.14,2.06,2.06,13900,2.06
2014-01-08,2.10,2.13,2.07,2.08,111600,2.08
2014-01-07,2.04,2.13,2.04,2.07,85000,2.07
2014-01-06,2.18,2.18,2.04,2.04,106700,2.04
2014-01-03,2.14,2.14,1.87,2.12,135400,2.12
2014-01-02,2.25,2.25,2.11,2.11,130400,2.11
2013-12-31,2.19,2.23,2.15,2.17,85900,2.17
2013-12-30,2.16,2.23,2.16,2.19,84200,2.19
2013-12-27,2.29,2.30,2.15,2.18,235600,2.18
2013-12-26,2.29,2.29,2.06,2.21,257900,2.21
2013-12-24,2.26,2.28,2.23,2.28,30300,2.28
2013-12-23,2.32,2.32,2.22,2.27,161300,2.27
2013-12-20,2.35,2.40,2.29,2.35,201400,2.35
2013-12-19,2.49,2.52,2.40,2.44,136000,2.44
2013-12-18,2.50,2.50,2.34,2.45,119800,2.45
2013-12-17,2.40,2.45,2.33,2.39,193200,2.39
2013-12-16,2.30,2.45,2.27,2.37,151500,2.37
2013-12-13,2.35,2.35,2.24,2.26,76300,2.26
2013-12-12,2.25,2.34,2.25,2.31,57600,2.31
2013-12-11,2.39,2.39,2.32,2.32,38100,2.32
2013-12-10,2.33,2.36,2.30,2.36,46400,2.36
2013-12-09,2.35,2.42,2.34,2.34,89400,2.34
2013-12-06,2.28,2.44,2.28,2.35,118000,2.35
2013-12-05,2.34,2.39,2.31,2.31,26700,2.31
2013-12-04,2.33,2.40,2.31,2.35,71000,2.35
2013-12-03,2.40,2.40,2.27,2.30,121800,2.30
2013-12-02,2.55,2.57,2.35,2.40,232800,2.40
2013-11-29,2.44,2.50,2.40,2.50,121200,2.50
2013-11-27,2.50,2.50,2.38,2.41,266500,2.41
2013-11-26,2.28,2.48,2.20,2.47,482700,2.47
2013-11-25,2.30,2.33,2.20,2.27,121100,2.27
2013-11-22,2.18,2.30,2.08,2.30,634500,2.30
2013-11-21,2.10,2.19,2.08,2.15,102700,2.15
2013-11-20,2.10,2.17,2.06,2.08,144200,2.08
2013-11-19,2.16,2.18,2.07,2.07,158000,2.07
2013-11-18,2.19,2.25,2.16,2.16,58200,2.16
2013-11-15,2.18,2.23,2.15,2.22,92500,2.22
2013-11-14,2.25,2.25,2.12,2.21,155300,2.21
2013-11-13,2.28,2.28,2.20,2.25,85300,2.25
2013-11-12,2.25,2.30,2.21,2.25,54400,2.25
2013-11-11,2.29,2.30,2.22,2.25,64600,2.25
2013-11-08,2.24,2.31,2.20,2.31,66800,2.31
2013-11-07,2.34,2.35,2.17,2.26,217200,2.26
2013-11-06,2.29,2.36,2.22,2.30,62700,2.30
2013-11-05,2.17,2.33,2.17,2.29,72300,2.29
2013-11-04,2.30,2.32,2.16,2.24,269300,2.24
2013-11-01,2.40,2.40,2.30,2.32,100600,2.32
2013-10-31,2.21,2.33,2.21,2.26,140400,2.26
2013-10-30,2.31,2.39,2.27,2.34,133700,2.34
2013-10-29,2.23,2.34,2.16,2.26,185300,2.26
2013-10-28,2.52,2.52,2.24,2.26,633000,2.26
2013-10-25,2.53,2.57,2.51,2.53,330300,2.53
2013-10-24,2.60,2.64,2.55,2.59,248000,2.59
2013-10-23,2.54,2.66,2.50,2.60,322500,2.60
2013-10-22,2.76,2.84,2.72,2.73,277100,2.73
2013-10-21,2.75,2.83,2.68,2.72,423500,2.72
2013-10-18,2.75,2.93,2.73,2.77,529500,2.77
2013-10-17,2.58,2.75,2.55,2.72,395100,2.72
2013-10-16,2.70,2.78,2.55,2.59,838300,2.59
2013-10-15,2.56,2.69,2.55,2.66,1027300,2.66
2013-10-14,2.49,2.60,2.45,2.52,579700,2.52
2013-10-11,2.31,2.46,2.31,2.46,495000,2.46
2013-10-10,2.26,2.30,2.19,2.26,436700,2.26
2013-10-09,2.18,2.25,2.10,2.23,407500,2.23
2013-10-08,2.19,2.25,2.19,2.20,77900,2.20
2013-10-07,2.18,2.20,2.16,2.18,66300,2.18
2013-10-04,2.21,2.21,2.16,2.16,28200,2.16
2013-10-03,2.19,2.23,2.15,2.18,109500,2.18
2013-10-02,2.15,2.21,2.15,2.17,41200,2.17
2013-10-01,2.17,2.19,2.15,2.18,85600,2.18
2013-09-30,2.20,2.20,2.13,2.20,78800,2.20
2013-09-27,2.22,2.25,2.20,2.20,57900,2.20
2013-09-26,2.27,2.27,2.21,2.23,104500,2.23
2013-09-25,2.24,2.28,2.21,2.23,260200,2.23
2013-09-24,2.25,2.29,2.18,2.20,394300,2.20
2013-09-23,2.15,2.24,2.09,2.18,181100,2.18
2013-09-20,2.10,2.15,2.05,2.15,77500,2.15
2013-09-19,2.06,2.10,1.98,2.07,113600,2.07
