Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,32.63,32.75,32.02,32.15,27900,32.15
2014-06-12,32.56,32.93,32.05,32.40,16000,32.40
2014-06-11,32.92,33.11,32.40,32.98,29400,32.49
2014-06-10,32.83,33.14,32.83,32.98,12700,32.49
2014-06-09,32.54,33.20,32.54,33.07,23700,32.58
2014-06-06,32.16,32.95,32.05,32.61,20500,32.13
2014-06-05,31.42,32.16,31.23,32.15,32700,31.67
2014-06-04,31.75,31.78,31.23,31.46,23500,30.99
2014-06-03,31.98,32.35,31.65,31.88,37600,31.41
2014-06-02,32.32,32.40,31.70,32.17,16100,31.69
2014-05-30,32.45,32.50,31.91,32.14,27800,31.66
2014-05-29,32.67,32.72,32.16,32.33,8200,31.85
2014-05-28,32.01,32.59,31.76,32.43,18300,31.95
2014-05-27,31.75,32.20,31.51,32.05,19100,31.57
2014-05-23,31.47,31.76,31.38,31.59,23700,31.12
2014-05-22,31.50,31.51,31.17,31.42,11500,30.95
2014-05-21,31.72,31.84,31.20,31.37,15300,30.90
2014-05-20,31.78,31.88,31.13,31.46,35500,30.99
2014-05-19,31.58,31.98,31.58,31.97,9600,31.50
2014-05-16,31.37,31.61,31.01,31.61,20600,31.14
2014-05-15,31.25,31.51,30.76,31.37,61400,30.90
2014-05-14,31.97,32.00,31.26,31.31,29900,30.84
2014-05-13,32.77,32.82,31.90,31.93,36900,31.46
2014-05-12,32.37,33.27,32.26,32.83,42700,32.34
2014-05-09,31.60,32.37,31.52,32.26,18700,31.78
2014-05-08,31.97,32.29,31.74,31.79,20300,31.32
2014-05-07,31.60,31.97,31.25,31.89,29800,31.42
2014-05-06,31.76,31.93,31.30,31.44,37900,30.97
2014-05-05,31.94,32.35,31.59,31.79,17100,31.32
2014-05-02,32.05,32.63,31.84,32.10,28100,31.62
2014-05-01,31.84,32.32,31.30,31.99,54900,31.51
2014-04-30,31.60,32.37,31.60,32.01,33100,31.53
2014-04-29,31.97,31.97,31.50,31.79,20200,31.32
