Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,98.94,99.20,98.58,99.03,541900,99.03
2014-06-12,99.90,99.96,98.57,98.95,745100,98.95
2014-06-11,100.10,100.22,99.50,99.88,493300,99.88
2014-06-10,100.12,100.92,99.92,100.58,632900,100.58
2014-06-09,100.36,100.95,100.07,100.41,996000,100.41
2014-06-06,99.76,100.33,99.24,100.22,1074500,100.22
2014-06-05,100.00,100.01,99.09,99.68,889700,99.68
2014-06-04,99.07,100.00,99.03,99.98,933600,99.98
2014-06-03,98.65,99.59,98.47,99.25,998700,99.25
2014-06-02,99.65,99.65,98.40,99.15,821500,99.15
2014-05-30,99.40,99.68,98.71,99.41,1372800,99.41
2014-05-29,98.05,99.19,97.78,99.13,1337900,99.13
2014-05-28,97.70,98.34,96.66,97.78,1107900,97.78
2014-05-27,97.14,98.16,97.14,97.92,998400,97.92
2014-05-23,97.34,97.34,95.50,96.59,1164200,96.59
2014-05-22,96.01,97.50,95.96,96.55,2157100,96.55
2014-05-21,95.77,97.40,95.03,96.30,5924800,96.30
2014-05-20,90.80,90.83,87.99,88.23,1788000,88.23
2014-05-19,90.19,91.21,90.19,90.75,629100,90.75
2014-05-16,88.17,90.81,88.07,90.48,1407400,90.48
2014-05-15,88.91,89.12,87.12,88.17,928300,88.17
2014-05-14,89.50,89.94,89.28,89.31,656300,89.31
2014-05-13,89.60,90.35,89.36,89.70,937600,89.70
2014-05-12,89.58,90.24,89.53,89.63,548800,89.63
2014-05-09,89.00,89.71,88.35,89.36,616900,89.36
2014-05-08,87.59,90.43,87.59,88.90,1111200,88.90
2014-05-07,86.90,87.32,85.75,86.71,478800,86.71
2014-05-06,87.44,87.54,86.67,86.73,655200,86.73
2014-05-05,87.80,88.26,86.69,87.80,763500,87.80
2014-05-02,87.99,89.50,87.99,88.41,520300,88.41
2014-05-01,87.45,88.36,87.04,88.12,719900,88.12
2014-04-30,87.34,87.75,86.89,87.49,854400,87.49
2014-04-29,85.50,87.49,85.28,87.34,1245100,87.34
2014-04-28,87.61,87.61,84.61,85.45,1650300,85.45
2014-04-25,88.09,88.37,86.86,87.11,727500,87.11
2014-04-24,88.25,89.00,87.47,88.37,734800,88.37
2014-04-23,88.02,88.89,87.68,87.90,990900,87.90
2014-04-22,86.91,88.80,86.70,88.14,910900,88.14
2014-04-21,86.71,87.29,86.48,86.63,475600,86.63
2014-04-17,86.77,87.22,86.30,86.65,644300,86.65
2014-04-16,86.61,87.51,86.58,86.94,700400,86.94
2014-04-15,85.60,86.80,84.12,86.03,1696100,86.03
2014-04-14,85.37,85.89,84.19,84.82,1110200,84.82
2014-04-11,85.76,85.76,84.20,84.54,1298100,84.54
2014-04-10,87.81,88.30,86.26,86.32,833800,86.32
2014-04-09,86.70,88.00,86.35,87.68,981300,87.68
2014-04-08,85.50,86.63,85.08,86.41,1009600,86.41
2014-04-07,86.88,86.88,84.90,85.45,1298900,85.45
2014-04-04,88.92,89.06,86.77,87.34,1280700,87.34
2014-04-03,88.70,89.12,88.14,88.62,1371200,88.62
2014-04-02,88.19,89.12,87.76,88.80,1503900,88.80
2014-04-01,86.51,88.17,86.34,87.94,1397000,87.94
2014-03-31,85.56,86.51,85.50,86.15,1314900,86.15
2014-03-28,84.99,85.74,84.76,85.05,883700,85.05
2014-03-27,85.42,85.66,84.47,84.98,1067900,84.98
2014-03-26,86.50,86.96,85.37,85.37,1502100,85.37
2014-03-25,87.36,87.66,85.61,86.49,1594600,86.49
2014-03-24,89.32,90.07,86.70,87.23,2878200,87.23
2014-03-21,90.20,93.85,89.34,90.73,4537300,90.73
2014-03-20,92.53,92.84,90.83,91.17,2342000,91.17
2014-03-19,92.67,93.28,91.92,92.79,1039100,92.79
2014-03-18,92.34,93.20,91.95,92.67,759600,92.67
2014-03-17,92.31,92.67,91.40,92.31,1047200,91.97
2014-03-14,91.67,92.37,91.62,91.90,2774800,91.56
2014-03-13,92.85,93.14,91.88,92.24,1963900,91.90
2014-03-12,92.08,92.69,91.63,92.49,914400,92.15
2014-03-11,93.39,93.91,92.09,92.46,842600,92.12
2014-03-10,93.77,93.80,92.35,93.47,1051100,93.13
2014-03-07,93.69,94.74,93.50,93.81,655000,93.46
2014-03-06,94.88,94.88,92.60,93.28,1909600,92.94
2014-03-05,93.31,93.51,92.80,93.06,687600,92.72
2014-03-04,92.96,93.95,92.95,93.34,777000,93.00
2014-03-03,92.16,92.38,91.09,92.14,1692400,91.80
2014-02-28,93.05,93.97,92.53,93.25,1061500,92.91
2014-02-27,91.95,93.28,91.65,93.10,1207700,92.76
2014-02-26,91.10,92.49,90.83,91.87,1263300,91.53
2014-02-25,90.46,90.95,90.12,90.77,1016800,90.44
2014-02-24,89.60,91.00,89.34,90.50,1086900,90.17
2014-02-21,89.43,89.65,89.00,89.28,552300,88.95
2014-02-20,88.40,89.50,88.09,89.44,676000,89.11
2014-02-19,88.81,89.48,88.28,88.39,806000,88.06
