Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,41.05,41.19,40.66,41.07,2902700,41.07
2014-06-12,40.64,40.99,40.60,40.88,251500,40.88
2014-06-11,41.84,41.87,41.61,41.79,142200,41.79
2014-06-10,42.66,42.75,42.28,42.35,160800,42.35
2014-06-09,41.76,42.04,41.67,41.99,120800,41.99
2014-06-06,42.51,42.59,42.23,42.31,360400,42.31
2014-06-05,42.50,42.67,42.24,42.27,427400,42.27
2014-06-04,42.50,42.53,42.12,42.19,161500,42.19
2014-06-03,42.87,43.31,42.85,43.00,366100,43.00
2014-06-02,43.56,43.56,43.03,43.11,309800,43.11
2014-05-30,44.00,44.21,43.59,43.68,235400,43.68
2014-05-29,43.78,44.05,43.70,44.04,143600,44.04
2014-05-28,43.68,43.80,43.62,43.72,219600,43.72
2014-05-27,43.87,44.08,43.44,43.75,160200,43.75
2014-05-23,43.53,43.82,43.42,43.75,184400,43.75
2014-05-22,43.00,43.88,43.00,43.63,303900,43.63
2014-05-21,42.84,43.22,42.59,42.61,207600,42.61
2014-05-20,42.45,42.54,42.05,42.16,384100,42.16
2014-05-19,44.36,44.45,43.75,44.34,500500,44.34
2014-05-16,43.55,44.11,43.16,44.05,221200,44.05
2014-05-15,42.00,42.00,41.47,41.73,179200,41.73
2014-05-14,41.59,42.45,41.30,42.08,214100,42.08
2014-05-13,40.85,41.11,40.76,40.91,192500,40.91
2014-05-12,41.05,41.25,40.84,40.97,180700,40.97
2014-05-09,40.82,41.11,40.66,41.04,154400,41.04
2014-05-08,40.91,41.16,40.78,40.86,180700,40.86
2014-05-07,40.92,41.36,40.82,41.11,257100,41.11
2014-05-06,40.46,40.79,40.44,40.78,105100,40.78
2014-05-05,40.28,40.54,40.18,40.54,117800,40.54
2014-05-02,40.12,40.46,40.05,40.21,172200,40.21
2014-05-01,39.66,40.09,39.59,40.09,136200,40.09
2014-04-30,39.38,39.76,39.38,39.70,156100,39.70
2014-04-29,39.00,39.58,39.00,39.24,187100,39.24
2014-04-28,41.16,41.25,39.07,39.79,254700,38.00
2014-04-25,40.14,41.16,40.14,41.16,233400,39.31
2014-04-24,40.45,40.53,39.86,40.53,110500,38.70
2014-04-23,40.29,40.34,39.66,39.88,159100,38.08
2014-04-22,40.59,40.74,40.51,40.65,93400,38.82
2014-04-21,41.06,41.35,40.71,40.80,167100,38.96
2014-04-17,40.90,41.20,40.72,41.02,221800,39.17
2014-04-16,40.57,40.95,40.52,40.95,215600,39.10
2014-04-15,40.70,40.70,39.55,40.13,201900,38.32
2014-04-14,40.80,41.12,40.73,40.85,191800,39.01
2014-04-11,40.12,40.35,40.07,40.25,274500,38.44
2014-04-10,40.01,40.42,39.66,39.96,554600,38.16
2014-04-09,41.48,41.53,40.25,40.46,347000,38.64
2014-04-08,41.11,41.65,41.10,41.46,301000,39.59
2014-04-07,40.99,41.13,40.61,40.68,178400,38.85
2014-04-04,40.30,41.10,40.30,40.60,158200,38.77
2014-04-03,39.99,40.12,39.32,39.86,166900,38.06
2014-04-02,40.25,40.25,39.98,40.16,181300,38.35
2014-04-01,40.00,40.30,39.84,40.24,192200,38.43
2014-03-31,39.63,39.64,39.27,39.37,210100,37.60
2014-03-28,38.89,39.62,38.86,39.36,168300,37.59
2014-03-27,38.50,38.72,38.28,38.57,189800,36.83
2014-03-26,39.48,39.48,38.75,38.75,262100,37.00
2014-03-25,39.30,39.36,38.89,39.00,201300,37.24
2014-03-24,39.14,39.57,38.89,39.31,357000,37.54
2014-03-21,38.55,38.75,38.24,38.28,553500,36.56
2014-03-20,39.42,39.73,38.40,39.22,582800,37.45
2014-03-19,39.81,40.47,39.68,39.76,235500,37.97
2014-03-18,39.12,39.40,39.07,39.22,179900,37.45
2014-03-17,39.60,39.87,39.54,39.57,293800,37.79
2014-03-14,38.90,39.70,38.65,39.58,238700,37.80
2014-03-13,38.24,38.51,37.80,37.87,135100,36.16
2014-03-12,37.57,37.81,37.32,37.81,125200,36.11
2014-03-11,38.15,38.19,37.71,37.78,245500,36.08
2014-03-10,38.40,38.43,37.64,38.12,299800,36.40
2014-03-07,40.26,40.26,38.74,39.00,527300,37.24
2014-03-06,40.29,40.59,40.19,40.33,186400,38.51
2014-03-05,39.94,40.44,39.88,40.36,305200,38.54
2014-03-04,39.68,40.33,39.68,40.31,194000,38.49
2014-03-03,39.36,39.54,38.96,39.33,206700,37.56
2014-02-28,39.52,39.78,39.09,39.23,142700,37.46
2014-02-27,38.77,39.46,38.75,39.42,214600,37.64
2014-02-26,39.06,39.26,38.68,38.94,275500,37.19
2014-02-25,39.13,39.46,38.51,38.72,454500,36.98
2014-02-24,40.21,40.53,40.21,40.47,322400,38.65
2014-02-21,40.17,40.45,39.96,40.26,311900,38.45
2014-02-20,39.52,39.93,39.30,39.86,294300,38.06
2014-02-19,38.80,39.30,38.66,38.75,356100,37.00
2014-02-18,38.26,38.83,38.26,38.63,203900,36.89
2014-02-14,37.70,38.18,37.66,37.99,207200,36.28
2014-02-13,37.44,37.58,37.19,37.39,256600,35.71
2014-02-12,37.78,38.12,37.38,37.50,222600,35.81
2014-02-11,37.35,37.90,37.12,37.86,203300,36.15
2014-02-10,37.58,37.61,36.96,37.19,239600,35.51
2014-02-07,37.45,37.98,37.45,37.75,235100,36.05
2014-02-06,36.70,37.45,36.70,37.40,343500,35.71
2014-02-05,36.35,36.50,36.02,36.17,191300,34.54
2014-02-04,35.43,36.40,35.28,36.32,406100,34.68
2014-02-03,36.10,36.11,35.19,35.23,267600,33.64
2014-01-31,35.84,36.39,35.77,36.27,156000,34.64
2014-01-30,36.37,36.77,36.30,36.49,343700,34.85
2014-01-29,35.41,35.84,35.29,35.43,195500,33.83
2014-01-28,35.19,35.47,35.03,35.33,262500,33.74
2014-01-27,35.10,35.30,34.74,35.10,346600,33.52
2014-01-24,35.93,35.93,34.96,35.17,205900,33.59
2014-01-23,36.50,36.64,35.84,36.02,181300,34.40
2014-01-22,36.82,36.91,36.35,36.87,158200,35.21
2014-01-21,36.87,37.12,36.54,36.85,223100,35.19
2014-01-17,36.77,36.90,36.47,36.62,203900,34.97
2014-01-16,36.84,37.49,36.37,36.56,136600,34.91
2014-01-15,36.32,36.70,36.32,36.62,161800,34.97
2014-01-14,36.48,36.75,36.09,36.38,312200,34.74
2014-01-13,36.75,37.28,36.36,36.42,477000,34.78
2014-01-10,34.94,36.22,34.60,36.02,382300,34.40
2014-01-09,34.39,34.39,33.98,34.30,236500,32.75
2014-01-08,34.23,34.49,34.12,34.30,181000,32.75
2014-01-07,34.11,34.25,33.91,34.12,476800,32.58
2014-01-06,34.47,34.47,33.95,33.95,375100,32.42
2014-01-03,35.16,35.16,34.59,34.92,271800,33.35
2014-01-02,35.70,35.76,34.76,34.83,209800,33.26
2013-12-31,35.27,36.07,35.27,35.85,180200,34.23
2013-12-30,35.25,35.71,35.25,35.58,310900,33.98
2013-12-27,34.98,35.34,34.84,35.27,224800,33.68
2013-12-26,35.12,35.32,35.06,35.17,160700,33.59
2013-12-24,34.91,35.25,34.86,35.11,67000,33.53
2013-12-23,34.22,34.75,34.15,34.66,288700,33.10
2013-12-20,34.76,34.94,34.41,34.63,441100,33.07
2013-12-19,34.84,35.09,34.53,35.05,314200,33.47
2013-12-18,34.37,35.15,34.00,35.06,409800,33.48
2013-12-17,34.45,34.56,34.20,34.26,436500,32.72
2013-12-16,35.33,35.33,34.62,35.25,415200,33.66
2013-12-13,34.51,34.56,34.22,34.35,244800,32.80
2013-12-12,34.41,34.79,34.31,34.51,212200,32.95
2013-12-11,34.47,34.83,34.23,34.39,382300,32.84
2013-12-10,34.14,34.23,33.85,34.08,418700,32.54
2013-12-09,34.42,34.63,33.75,34.55,433800,32.99
2013-12-06,34.20,34.60,33.88,34.42,634300,32.87
2013-12-05,35.12,35.41,34.73,34.73,528500,33.17
2013-12-04,35.39,35.66,35.21,35.29,463000,33.70
2013-12-03,36.34,36.34,35.63,36.02,166700,34.40
2013-12-02,36.66,37.21,36.46,36.50,206400,34.86
2013-11-29,36.66,36.73,36.25,36.54,140800,34.89
2013-11-27,35.77,36.39,35.77,36.28,336600,34.65
2013-11-26,35.30,35.93,34.70,35.73,597700,34.12
2013-11-25,37.08,37.08,36.67,36.74,155800,35.08
2013-11-22,37.30,37.30,36.80,37.00,275100,35.33
2013-11-21,38.27,38.52,38.02,38.20,289600,36.48
2013-11-20,38.50,38.69,38.14,38.46,548200,36.73
2013-11-19,38.81,39.39,38.70,38.96,253300,37.20
2013-11-18,38.62,38.95,38.36,38.47,148000,36.74
2013-11-15,37.91,38.68,37.82,38.49,200000,36.76
2013-11-14,38.30,38.70,37.91,38.57,153200,36.83
2013-11-13,37.27,38.20,36.72,37.91,401600,36.20
2013-11-12,38.23,38.38,37.69,38.26,208800,36.54
2013-11-11,38.92,39.08,38.29,38.32,126900,36.59
2013-11-08,39.83,39.90,39.31,39.81,745200,38.02
2013-11-07,39.98,40.28,39.76,39.87,377300,38.07
