Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,94.95,95.48,94.82,95.41,1446500,95.41
2014-06-12,94.97,95.19,94.57,95.00,1840500,95.00
2014-06-11,94.81,95.10,94.60,94.90,1555600,94.90
2014-06-10,94.69,95.16,94.65,95.10,1730400,95.10
2014-06-09,94.71,95.05,94.55,94.66,1871000,94.66
2014-06-06,94.54,94.97,94.29,94.36,2157500,94.36
2014-06-05,94.89,95.00,94.24,94.97,1854800,94.42
2014-06-04,93.39,94.75,93.13,94.67,2048300,94.12
2014-06-03,93.08,93.45,92.87,93.41,2012100,92.87
2014-06-02,93.70,94.01,93.65,93.71,1454800,93.17
2014-05-30,94.00,94.12,93.37,93.45,2276700,92.91
2014-05-29,93.40,94.31,93.40,94.10,1724200,93.56
2014-05-28,93.43,93.81,93.27,93.46,2048200,92.92
2014-05-27,93.15,93.65,92.98,93.49,1590800,92.95
2014-05-23,93.01,93.34,92.41,92.86,1451200,92.32
2014-05-22,92.80,93.10,92.60,93.01,1364300,92.47
2014-05-21,93.03,93.34,92.57,92.86,1701900,92.32
2014-05-20,92.48,92.98,92.32,92.67,1391800,92.13
2014-05-19,92.48,92.89,92.14,92.77,1292200,92.23
2014-05-16,92.46,92.62,91.62,92.58,2331000,92.04
2014-05-15,92.45,92.65,91.91,92.37,2257200,91.84
2014-05-14,93.02,93.04,92.44,92.65,1330600,92.11
2014-05-13,92.37,93.06,92.22,92.91,2246800,92.37
2014-05-12,92.12,92.93,92.03,92.04,2072600,91.51
2014-05-09,91.07,91.36,90.74,91.30,1640400,90.77
2014-05-08,90.98,91.53,90.91,91.24,1775400,90.71
2014-05-07,90.33,91.51,90.33,91.07,3279200,90.54
2014-05-06,90.32,90.63,89.81,89.88,2301000,89.36
2014-05-05,90.82,90.92,89.93,90.65,1911400,90.13
2014-05-02,90.99,91.68,90.84,91.00,2100100,90.47
2014-05-01,90.64,90.92,90.25,90.83,2753600,90.30
2014-04-30,90.70,90.77,90.03,90.58,2744500,90.06
2014-04-29,90.00,90.94,89.89,90.90,3649300,90.37
2014-04-28,88.85,90.28,88.79,89.64,4086900,89.12
2014-04-25,88.70,88.70,87.99,88.31,2256200,87.80
2014-04-24,88.30,88.99,88.30,88.59,2239600,88.08
2014-04-23,86.90,88.57,86.73,88.13,2911100,87.62
