Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,48.74,48.74,48.32,48.54,30200,48.54
2014-06-12,49.42,49.54,47.61,48.50,106400,48.50
2014-06-11,49.15,49.65,49.01,49.28,40200,49.28
2014-06-10,49.14,49.50,49.02,49.03,30600,49.03
2014-06-09,49.40,49.96,49.15,49.17,60200,49.17
2014-06-06,49.01,49.63,48.85,49.40,61900,49.40
2014-06-05,48.87,49.29,48.87,49.01,45300,49.01
2014-06-04,48.61,49.00,48.45,48.96,40300,48.96
2014-06-03,48.83,48.90,48.45,48.48,40000,48.48
2014-06-02,48.45,48.74,48.33,48.73,67100,48.73
2014-05-30,48.35,48.59,48.23,48.34,64200,48.34
2014-05-29,48.37,48.37,47.99,48.12,61600,48.12
2014-05-28,48.18,48.35,48.05,48.31,33900,48.31
2014-05-27,48.74,48.84,47.92,47.95,53400,47.95
2014-05-23,48.67,48.97,48.36,48.44,58900,48.44
2014-05-22,48.73,48.90,48.60,48.74,27400,48.74
2014-05-21,48.67,49.26,48.46,48.49,38000,48.49
2014-05-20,49.43,49.50,48.80,48.83,43200,48.83
2014-05-19,50.00,50.00,49.53,49.71,31200,49.13
2014-05-16,48.85,49.78,48.50,49.76,31400,49.18
2014-05-15,48.88,48.92,48.53,48.90,36800,48.33
2014-05-14,49.04,49.23,48.86,49.07,28500,48.50
2014-05-13,49.09,49.11,48.69,49.05,45800,48.48
2014-05-12,48.94,49.03,48.65,48.88,35100,48.31
2014-05-09,48.78,48.89,48.22,48.53,16400,47.96
2014-05-08,48.85,48.85,48.50,48.54,43900,47.97
2014-05-07,47.99,48.77,47.80,48.75,45600,48.18
2014-05-06,47.73,47.78,47.49,47.71,52200,47.15
2014-05-05,47.31,47.70,47.31,47.53,26800,46.98
2014-05-02,47.79,47.88,47.27,47.58,20600,47.02
2014-05-01,48.04,48.09,47.44,47.67,47500,47.11
2014-04-30,47.67,47.86,47.40,47.70,31500,47.14
2014-04-29,47.11,47.96,47.09,47.53,34900,46.98
2014-04-28,47.54,47.57,47.00,47.14,44700,46.59
2014-04-25,47.44,47.54,47.03,47.38,45600,46.83
2014-04-24,46.96,47.23,46.91,47.18,42700,46.63
2014-04-23,46.53,46.77,46.36,46.77,75600,46.22
2014-04-22,46.04,46.45,46.03,46.45,47900,45.91
2014-04-21,46.01,46.29,45.78,46.04,46400,45.50
2014-04-17,46.01,46.29,45.97,46.05,32300,45.51
2014-04-16,46.28,46.32,46.01,46.02,41100,45.48
2014-04-15,46.38,46.38,45.90,46.17,38500,45.63
2014-04-14,46.27,46.39,46.05,46.11,45800,45.57
2014-04-11,45.77,45.90,45.50,45.85,27100,45.32
2014-04-10,46.12,46.13,45.56,45.58,33400,45.05
2014-04-09,46.15,46.15,45.90,46.03,22500,45.49
2014-04-08,45.97,46.11,45.77,45.88,21900,45.34
2014-04-07,46.11,46.24,45.79,45.82,23500,45.29
2014-04-04,46.19,46.31,45.91,46.02,33800,45.48
2014-04-03,46.01,46.07,45.75,45.89,32000,45.35
2014-04-02,46.30,46.30,45.71,45.82,43000,45.29
2014-04-01,45.73,46.19,45.66,46.19,33300,45.65
2014-03-31,46.11,46.34,45.66,45.80,42500,45.27
2014-03-28,46.02,46.09,45.79,46.09,29800,45.55
2014-03-27,45.82,46.00,45.51,45.77,39700,45.24
2014-03-26,45.94,46.20,45.61,45.65,45500,45.12
2014-03-25,45.72,46.17,45.72,46.07,45800,45.53
2014-03-24,46.20,46.20,45.49,45.76,56600,45.23
2014-03-21,45.80,46.23,45.67,46.06,50200,45.52
2014-03-20,45.60,45.90,45.02,45.51,63600,44.98
2014-03-19,46.00,46.41,45.50,45.72,49200,45.19
2014-03-18,46.10,46.37,45.82,46.01,48200,45.47
2014-03-17,46.21,46.32,45.70,46.05,67800,45.51
2014-03-14,45.57,46.08,45.20,45.90,59800,45.36
2014-03-13,46.14,46.23,45.28,45.76,43800,45.23
2014-03-12,46.11,46.35,45.77,45.90,67700,45.36
2014-03-11,46.49,46.81,46.29,46.39,52200,45.85
2014-03-10,46.14,46.99,46.05,46.63,60100,46.09
2014-03-07,46.42,46.50,46.10,46.39,30700,45.85
2014-03-06,46.38,46.39,46.07,46.17,60900,45.63
2014-03-05,45.95,46.24,45.75,46.18,35200,45.64
2014-03-04,45.63,46.00,45.52,45.95,37800,45.41
2014-03-03,44.60,45.45,44.29,45.29,86100,44.76
2014-02-28,44.49,44.65,44.07,44.65,114300,44.13
2014-02-27,44.10,44.40,43.98,44.31,72400,43.79
2014-02-26,43.76,43.96,43.54,43.96,60000,43.45
2014-02-25,43.50,43.73,43.31,43.54,77900,43.03
2014-02-24,43.46,43.46,43.17,43.38,147700,42.87
2014-02-21,43.59,43.60,43.29,43.47,73000,42.96
2014-02-20,43.71,43.93,43.09,43.33,124000,42.82
2014-02-19,43.96,44.16,43.16,43.32,217400,42.81
2014-02-18,44.07,44.40,43.78,44.14,127000,43.05
2014-02-14,43.91,44.02,43.61,43.80,56700,42.72
2014-02-13,43.54,44.24,43.41,43.81,87900,42.73
2014-02-12,43.57,43.85,43.19,43.50,92800,42.43
2014-02-11,44.67,44.67,43.65,43.71,101700,42.63
2014-02-10,44.35,44.84,43.64,44.49,90200,43.40
2014-02-07,43.84,44.60,43.45,44.60,71700,43.50
2014-02-06,43.12,43.60,42.98,43.50,92600,42.43
2014-02-05,42.94,43.08,42.51,42.88,183500,41.82
2014-02-04,42.50,42.75,42.32,42.66,66400,41.61
2014-02-03,43.17,43.31,42.06,42.22,122300,41.18
2014-01-31,41.99,43.07,41.99,43.05,81700,41.99
2014-01-30,42.04,42.48,41.98,42.43,73900,41.39
2014-01-29,42.38,42.38,40.64,41.88,244600,40.85
2014-01-28,42.30,42.77,42.08,42.45,201100,41.41
2014-01-27,44.36,45.45,42.25,42.46,194800,41.42
2014-01-24,44.07,44.09,43.35,43.45,140000,42.38
2014-01-23,44.29,44.41,44.01,44.25,135300,43.16
2014-01-22,44.37,44.40,43.63,44.32,146300,43.23
2014-01-21,44.50,44.65,44.10,44.19,172200,43.10
2014-01-17,44.95,44.96,44.32,44.35,120500,43.26
2014-01-16,45.16,45.29,44.67,44.95,146900,43.84
2014-01-15,46.00,46.28,44.94,45.35,100500,44.23
2014-01-14,46.49,46.49,44.90,46.11,216600,44.98
