Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,24.99,24.99,24.45,24.87,13700,24.87
2014-06-12,24.47,24.78,24.41,24.46,11400,24.46
2014-06-11,24.33,24.34,24.10,24.10,9300,24.10
2014-06-10,24.46,24.47,24.25,24.32,63600,24.32
2014-06-09,24.94,24.94,24.55,24.90,139500,24.90
2014-06-06,26.08,26.34,25.83,26.34,98300,26.34
2014-06-05,26.06,26.06,25.78,25.95,77000,25.95
2014-06-04,25.78,25.78,25.50,25.62,141800,25.62
2014-06-03,26.05,26.05,25.86,26.04,59100,26.04
2014-06-02,26.78,26.78,26.25,26.25,12100,26.21
2014-05-30,25.82,26.10,25.70,25.79,755500,25.75
2014-05-29,25.99,26.08,25.56,25.56,823300,25.52
2014-05-28,24.65,24.80,24.34,24.61,16000,24.57
2014-05-27,25.50,25.51,25.06,25.31,17500,25.27
2014-05-23,24.24,24.38,24.23,24.33,5200,24.29
2014-05-22,24.48,24.48,24.30,24.31,3600,24.27
2014-05-21,24.01,24.29,24.01,24.12,11600,24.08
2014-05-20,23.69,23.69,23.22,23.41,9000,23.37
2014-05-19,24.40,24.42,24.24,24.30,8800,24.26
2014-05-16,25.55,25.59,25.54,25.59,1100,25.55
2014-05-15,25.65,25.71,25.64,25.71,2800,25.67
2014-05-14,26.24,26.35,26.00,26.00,1300,25.96
2014-05-13,25.97,25.99,25.93,25.95,1800,25.91
2014-05-09,25.78,25.82,25.78,25.81,2200,25.77
2014-05-08,25.96,25.96,25.90,25.90,1500,25.86
2014-05-07,25.85,25.94,25.83,25.87,5300,25.83
2014-05-06,25.97,26.07,25.88,25.88,1700,25.84
2014-05-05,25.96,26.07,25.96,26.07,1700,26.03
2014-05-02,25.40,25.40,25.40,25.40,600,25.36
2014-05-01,25.47,25.47,25.43,25.43,597100,25.39
